Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
China,1850,Helm,3.0,4.0,8.0,5.0,1.5,7.393
China,1850,Shield,3.0,4.2,8.0,4.0,1.2,6.694
China,1850,Lore,5.2,4.0,5.0,6.0,7.2,11.344
China,1850,Stewards,4.0,4.0,7.0,4.0,3.0,8.006
China,1850,Craft,4.0,3.0,6.0,3.0,2.5,7.547
China,1850,Hands,3.0,3.0,8.0,3.0,-0.5,5.944
China,1850,Archive,4.0,4.0,6.0,5.0,4.5,9.101
China,1850,Flow,4.0,3.0,7.0,4.0,2.0,8.006
China,1860,Helm,2.0,3.0,9.0,5.0,-1.5,5.071
China,1860,Shield,2.0,3.0,9.0,3.0,-2.5,3.809
China,1860,Lore,4.8,4.0,6.0,6.0,5.8,8.241
China,1860,Stewards,3.0,3.0,8.0,4.0,0.0,5.369
China,1860,Craft,3.0,3.0,7.0,3.0,0.5,4.899
China,1860,Hands,2.0,2.0,9.0,3.0,-3.5,3.809
China,1860,Archive,3.0,3.0,7.2,5.0,1.3,6.2
China,1860,Flow,3.0,3.0,8.0,4.0,0.0,5.369
China,1870,Helm,4.0,4.0,6.0,5.0,4.5,10.431
China,1870,Shield,4.0,4.0,5.0,4.0,5.0,9.995
China,1870,Lore,5.0,4.0,5.0,6.0,7.0,12.879
China,1870,Stewards,4.0,4.0,5.0,4.0,5.0,9.995
China,1870,Craft,4.0,4.0,5.0,4.0,5.0,9.995
China,1870,Hands,3.0,3.0,6.0,3.0,1.5,7.414
China,1870,Archive,4.0,4.0,5.0,5.0,5.5,10.883
China,1870,Flow,4.0,4.0,5.0,4.0,5.0,9.995
China,1880,Helm,4.0,4.0,6.0,5.0,4.5,10.431
China,1880,Shield,4.0,4.0,5.0,4.0,5.0,9.995
China,1880,Lore,5.0,4.0,5.0,6.0,7.0,12.879
China,1880,Stewards,4.0,5.0,5.0,4.0,6.0,9.995
China,1880,Craft,4.0,4.0,5.0,4.0,5.0,9.995
China,1880,Hands,3.0,3.0,6.0,3.0,1.5,7.414
China,1880,Archive,4.0,4.0,5.0,5.0,5.5,10.883
China,1880,Flow,4.0,4.0,5.0,4.0,5.0,9.995
China,1890,Helm,3.0,3.8,7.0,5.0,2.3,8.173
China,1890,Shield,3.0,4.0,7.0,4.0,2.0,7.38
China,1890,Lore,5.0,4.0,5.0,6.0,7.0,11.816
China,1890,Stewards,4.0,4.0,6.0,4.0,4.0,8.795
China,1890,Craft,4.0,3.4,5.0,4.0,4.4,9.178
China,1890,Hands,3.0,3.0,7.0,3.0,0.5,6.531
China,1890,Archive,4.0,4.0,5.2,5.0,5.3,9.941
China,1890,Flow,3.8,4.0,6.0,4.0,3.8,8.586
China,1900,Helm,2.0,3.0,9.0,5.0,-1.5,5.085
China,1900,Shield,2.0,2.8,9.0,4.0,-2.2,4.441
China,1900,Lore,3.0,3.0,7.0,6.0,2.0,6.805
China,1900,Stewards,3.0,3.0,8.0,4.0,0.0,5.258
China,1900,Craft,3.0,3.0,7.0,4.0,1.0,5.487
China,1900,Hands,2.0,2.2,9.0,3.0,-3.3,3.75
China,1900,Archive,3.0,3.0,8.0,5.0,0.5,5.924
China,1900,Flow,3.0,3.0,8.0,4.0,0.0,5.258
China,1910,Helm,2.0,3.0,9.0,6.0,-1.0,6.498
China,1910,Shield,3.0,3.0,8.0,4.0,0.0,6.007
China,1910,Lore,4.0,4.0,6.0,7.0,5.5,9.529
China,1910,Stewards,3.0,4.0,7.0,5.0,2.5,7.075
China,1910,Craft,3.0,3.0,7.0,4.0,1.0,6.275
China,1910,Hands,2.0,3.0,8.0,3.0,-1.5,4.46
China,1910,Archive,3.0,3.0,8.0,5.0,0.5,6.781
China,1910,Flow,3.0,3.0,7.0,4.0,1.0,6.275
China,1920,Helm,2.0,2.0,9.0,6.0,-2.0,6.492
China,1920,Shield,2.2,3.0,8.8,4.0,-1.6,5.181
China,1920,Lore,4.0,4.0,6.0,7.0,5.5,9.391
China,1920,Stewards,3.0,3.0,7.0,5.0,1.5,6.97
