Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
China,1800,Helm,,,,,,
China,1800,Shield,,,,,,
China,1800,Lore,,,,,,
China,1800,Stewards,,,,,,
China,1800,Craft,,,,,,
China,1800,Hands,,,,,,
China,1800,Archive,,,,,,
China,1800,Flow,,,,,,
China,1801,Helm,,,,,,
China,1801,Shield,,,,,,
China,1801,Lore,,,,,,
China,1801,Stewards,,,,,,
China,1801,Craft,,,,,,
China,1801,Hands,,,,,,
China,1801,Archive,,,,,,
China,1801,Flow,,,,,,
China,1802,Helm,,,,,,
China,1802,Shield,,,,,,
China,1802,Lore,,,,,,
China,1802,Stewards,,,,,,
China,1802,Craft,,,,,,
China,1802,Hands,,,,,,
China,1802,Archive,,,,,,
China,1802,Flow,,,,,,
China,1803,Helm,,,,,,
China,1803,Shield,,,,,,
China,1803,Lore,,,,,,
China,1803,Stewards,,,,,,
China,1803,Craft,,,,,,
China,1803,Hands,,,,,,
China,1803,Archive,,,,,,
China,1803,Flow,,,,,,
China,1804,Helm,,,,,,
China,1804,Shield,,,,,,
China,1804,Lore,,,,,,
China,1804,Stewards,,,,,,
China,1804,Craft,,,,,,
China,1804,Hands,,,,,,
China,1804,Archive,,,,,,
China,1804,Flow,,,,,,
China,1805,Helm,,,,,,
China,1805,Shield,,,,,,
China,1805,Lore,,,,,,
China,1805,Stewards,,,,,,
China,1805,Craft,,,,,,
China,1805,Hands,,,,,,
China,1805,Archive,,,,,,
China,1805,Flow,,,,,,
China,1806,Helm,,,,,,
China,1806,Shield,,,,,,
China,1806,Lore,,,,,,
China,1806,Stewards,,,,,,
China,1806,Craft,,,,,,
China,1806,Hands,,,,,,
China,1806,Archive,,,,,,
China,1806,Flow,,,,,,
China,1807,Helm,,,,,,
China,1807,Shield,,,,,,
China,1807,Lore,,,,,,
China,1807,Stewards,,,,,,
China,1807,Craft,,,,,,
China,1807,Hands,,,,,,
China,1807,Archive,,,,,,
China,1807,Flow,,,,,,
China,1808,Helm,,,,,,
China,1808,Shield,,,,,,
China,1808,Lore,,,,,,
China,1808,Stewards,,,,,,
China,1808,Craft,,,,,,
China,1808,Hands,,,,,,
China,1808,Archive,,,,,,
China,1808,Flow,,,,,,
China,1809,Helm,,,,,,
China,1809,Shield,,,,,,
China,1809,Lore,,,,,,
China,1809,Stewards,,,,,,
China,1809,Craft,,,,,,
China,1809,Hands,,,,,,
China,1809,Archive,,,,,,
China,1809,Flow,,,,,,
China,1810,Helm,,,,,,
China,1810,Shield,,,,,,
China,1810,Lore,,,,,,
China,1810,Stewards,,,,,,
China,1810,Craft,,,,,,
China,1810,Hands,,,,,,
China,1810,Archive,,,,,,
China,1810,Flow,,,,,,
China,1811,Helm,,,,,,
China,1811,Shield,,,,,,
China,1811,Lore,,,,,,
China,1811,Stewards,,,,,,
China,1811,Craft,,,,,,
China,1811,Hands,,,,,,
China,1811,Archive,,,,,,
China,1811,Flow,,,,,,
China,1812,Helm,,,,,,
China,1812,Shield,,,,,,
China,1812,Lore,,,,,,
China,1812,Stewards,,,,,,
China,1812,Craft,,,,,,
China,1812,Hands,,,,,,
China,1812,Archive,,,,,,
China,1812,Flow,,,,,,
China,1813,Helm,,,,,,
China,1813,Shield,,,,,,
China,1813,Lore,,,,,,
China,1813,Stewards,,,,,,
China,1813,Craft,,,,,,
China,1813,Hands,,,,,,
China,1813,Archive,,,,,,
China,1813,Flow,,,,,,
China,1814,Helm,,,,,,
China,1814,Shield,,,,,,
China,1814,Lore,,,,,,
China,1814,Stewards,,,,,,
China,1814,Craft,,,,,,
China,1814,Hands,,,,,,
China,1814,Archive,,,,,,
China,1814,Flow,,,,,,
China,1815,Helm,,,,,,
China,1815,Shield,,,,,,
China,1815,Lore,,,,,,
China,1815,Stewards,,,,,,
China,1815,Craft,,,,,,
China,1815,Hands,,,,,,
China,1815,Archive,,,,,,
China,1815,Flow,,,,,,
China,1816,Helm,,,,,,
China,1816,Shield,,,,,,
China,1816,Lore,,,,,,
China,1816,Stewards,,,,,,
