Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
China,1900,Helm,2,2,9,4,-3.0,4.378
China,1900,Shield,2,2,9,2,-4.0,3.219
China,1900,Lore,4,3,6,5,3.5,7.318
China,1900,Stewards,4,4,6,4,4.0,6.765
China,1900,Craft,3,3,7,3,0.5,5.083
China,1900,Hands,3,4,7,2,1.0,4.43
China,1900,Archive,5,4,6,5,5.5,8.065
China,1900,Flow,3,3,8,3,-0.5,4.865
China,1901,Helm,2,2,9,4,-3.0,4.378
China,1901,Shield,2,2,9,2,-4.0,3.219
China,1901,Lore,4,3,6,5,3.5,7.318
China,1901,Stewards,4,4,6,4,4.0,6.765
China,1901,Craft,3,3,7,3,0.5,5.083
China,1901,Hands,3,4,7,2,1.0,4.43
China,1901,Archive,5,4,6,5,5.5,8.065
China,1901,Flow,3,3,8,3,-0.5,4.865
China,1902,Helm,2,2,9,4,-3.0,4.378
China,1902,Shield,2,2,9,2,-4.0,3.219
China,1902,Lore,4,3,6,5,3.5,7.318
China,1902,Stewards,4,4,6,4,4.0,6.765
China,1902,Craft,3,3,7,3,0.5,5.083
China,1902,Hands,3,4,7,2,1.0,4.43
China,1902,Archive,5,4,6,5,5.5,8.065
China,1902,Flow,3,3,8,3,-0.5,4.865
China,1903,Helm,3,3,8,5,0.5,6.531
China,1903,Shield,3,3,8,3,-0.5,5.31
China,1903,Lore,4,4,7,5,3.5,7.72
China,1903,Stewards,4,4,6,4,4.0,7.422
China,1903,Craft,3,3,6,3,1.5,5.801
China,1903,Hands,3,3,7,2,0.0,4.835
China,1903,Archive,5,4,6,5,5.5,8.885
China,1903,Flow,3,4,7,3,1.5,5.551
China,1904,Helm,3,3,8,5,0.5,6.531
China,1904,Shield,3,3,8,3,-0.5,5.31
China,1904,Lore,4,4,7,5,3.5,7.72
China,1904,Stewards,4,4,6,4,4.0,7.422
China,1904,Craft,3,3,6,3,1.5,5.801
China,1904,Hands,3,3,7,2,0.0,4.835
China,1904,Archive,5,4,6,5,5.5,8.885
China,1904,Flow,3,4,7,3,1.5,5.551
China,1905,Helm,3,3,8,5,0.5,6.531
China,1905,Shield,3,3,8,3,-0.5,5.31
China,1905,Lore,4,4,7,5,3.5,7.72
China,1905,Stewards,4,4,6,4,4.0,7.422
China,1905,Craft,3,3,6,3,1.5,5.801
China,1905,Hands,3,3,7,2,0.0,4.835
China,1905,Archive,5,4,6,5,5.5,8.885
China,1905,Flow,3,4,7,3,1.5,5.551
China,1906,Helm,3,3,8,5,0.5,6.531
China,1906,Shield,3,3,8,3,-0.5,5.31
China,1906,Lore,4,4,7,5,3.5,7.72
China,1906,Stewards,4,4,6,4,4.0,7.422
China,1906,Craft,3,3,6,3,1.5,5.801
China,1906,Hands,3,3,7,2,0.0,4.835
China,1906,Archive,5,4,6,5,5.5,8.885
China,1906,Flow,3,4,7,3,1.5,5.551
China,1907,Helm,3,3,8,5,0.5,6.531
China,1907,Shield,3,3,8,3,-0.5,5.31
China,1907,Lore,4,4,7,5,3.5,7.72
China,1907,Stewards,4,4,6,4,4.0,7.422
China,1907,Craft,3,3,6,3,1.5,5.801
China,1907,Hands,3,3,7,2,0.0,4.835
China,1907,Archive,5,4,6,5,5.5,8.885
China,1907,Flow,3,4,7,3,1.5,5.551
China,1908,Helm,2,2,9,4,-3.0,4.078
China,1908,Shield,2,2,9,2,-4.0,2.96
China,1908,Lore,4,4,7,5,3.5,6.438
China,1908,Stewards,3,3,7,4,1.0,5.227
China,1908,Craft,3,3,7,3,0.5,4.654
China,1908,Hands,3,3,8,2,-1.0,3.852
China,1908,Archive,4,4,7,5,3.5,6.438
China,1908,Flow,3,3,8,3,-0.5,4.457
China,1909,Helm,2,2,9,4,-3.0,4.078
China,1909,Shield,2,2,9,2,-4.0,2.96
China,1909,Lore,4,4,7,5,3.5,6.438
China,1909,Stewards,3,3,7,4,1.0,5.227
China,1909,Craft,3,3,7,3,0.5,4.654
China,1909,Hands,3,3,8,2,-1.0,3.852
China,1909,Archive,4,4,7,5,3.5,6.438
China,1909,Flow,3,3,8,3,-0.5,4.457
China,1910,Helm,2,2,9,4,-3.0,4.078
China,1910,Shield,2,2,9,2,-4.0,2.96
China,1910,Lore,4,4,7,5,3.5,6.438
China,1910,Stewards,3,3,7,4,1.0,5.227
China,1910,Craft,3,3,7,3,0.5,4.654
China,1910,Hands,3,3,8,2,-1.0,3.852
China,1910,Archive,4,4,7,5,3.5,6.438
China,1910,Flow,3,3,8,3,-0.5,4.457
China,1911,Helm,1,1,10,3,-6.5,2.182
China,1911,Shield,2,2,9,2,-4.0,2.383
China,1911,Lore,3,3,7,5,1.5,4.589
China,1911,Stewards,3,3,8,3,-0.5,3.546
China,1911,Craft,2,2,8,3,-2.5,3.004
China,1911,Hands,2,3,8,2,-2.0,2.492
China,1911,Archive,4,3,7,4,2.0,4.645
China,1911,Flow,2,2,9,3,-3.5,2.875
China,1912,Helm,3,3,8,5,0.5,6.526
China,1912,Shield,3,3,8,3,-0.5,5.2
