Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
France,1800,Helm,7,7,5,7,12.5,25.399
France,1800,Shield,8,8,6,7,13.5,26.011
France,1800,Lore,5,6,6,8,9.0,21.965
France,1800,Stewards,5,5,6,6,7.0,19.506
France,1800,Craft,6,6,5,6,10.0,22.29
France,1800,Hands,6,6,6,4,8.0,18.637
France,1800,Archive,7,7,4,8,14.0,27.742
France,1800,Flow,5,5,7,6,6.0,18.661
France,1801,Helm,8,8,4,7,15.5,33.116
France,1801,Shield,8,8,4,7,15.5,33.116
France,1801,Lore,6,6,5,8,11.0,28.632
France,1801,Stewards,6,6,5,6,10.0,25.869
France,1801,Craft,7,6,4,6,12.0,29.397
France,1801,Hands,6,6,5,4,9.0,22.828
France,1801,Archive,8,7,3,8,16.0,35.943
France,1801,Flow,6,6,5,6,10.0,25.869
France,1802,Helm,9,8,3,8,18.0,43.808
France,1802,Shield,9,8,3,7,17.5,42.221
France,1802,Lore,7,7,4,8,14.0,36.712
France,1802,Stewards,7,6,4,6,12.0,33.557
France,1802,Craft,7,7,4,7,13.5,35.173
France,1802,Hands,7,7,4,4,12.0,30.096
France,1802,Archive,8,8,3,8,17.0,41.123
France,1802,Flow,7,7,4,6,13.0,33.557
France,1803,Helm,9,9,4,8,18.0,41.163
France,1803,Shield,9,9,4,7,17.5,39.59
France,1803,Lore,7,7,4,8,14.0,36.093
France,1803,Stewards,7,7,4,7,13.5,34.52
France,1803,Craft,7,7,4,7,13.5,34.52
France,1803,Hands,7,7,4,4,12.0,29.341
France,1803,Archive,8,8,3,8,17.0,40.339
France,1803,Flow,6,7,5,7,11.5,30.444
France,1804,Helm,9,9,4,9,18.5,45.045
France,1804,Shield,9,10,4,8,19.0,43.439
France,1804,Lore,8,7,4,8,15.0,40.806
France,1804,Stewards,7,7,4,7,13.5,36.376
France,1804,Craft,8,7,4,7,14.5,39.124
France,1804,Hands,7,7,5,4,11.0,29.522
France,1804,Archive,9,8,3,9,18.5,46.937
France,1804,Flow,6,7,5,7,11.5,32.062
France,1805,Helm,9,10,5,9,18.5,42.449
France,1805,Shield,10,10,5,8,19.0,43.362
France,1805,Lore,8,8,4,8,16.0,40.097
France,1805,Stewards,7,7,5,7,12.5,34.229
France,1805,Craft,8,8,4,7,15.5,38.472
France,1805,Hands,7,8,5,4,12.0,29.095
France,1805,Archive,9,8,3,9,18.5,46.098
France,1805,Flow,6,7,6,7,10.5,30.13
France,1806,Helm,9,10,4,9,19.5,45.58
France,1806,Shield,10,10,4,8,20.0,46.6
France,1806,Lore,8,8,4,8,16.0,41.282
France,1806,Stewards,8,8,4,7,15.5,39.624
France,1806,Craft,8,8,4,7,15.5,39.624
France,1806,Hands,7,8,5,4,12.0,29.987
France,1806,Archive,9,9,3,9,19.5,47.499
France,1806,Flow,6,7,7,7,9.5,29.604
France,1807,Helm,9,10,4,9,19.5,45.925
France,1807,Shield,10,10,4,8,20.0,46.907
France,1807,Lore,8,8,4,8,16.0,41.588
France,1807,Stewards,8,8,4,8,16.0,41.588
France,1807,Craft,8,8,4,7,15.5,39.892
France,1807,Hands,7,8,5,4,12.0,30.133
France,1807,Archive,9,9,3,9,19.5,47.862
France,1807,Flow,6,7,7,7,9.5,29.835
France,1808,Helm,8,9,6,9,15.5,35.977
France,1808,Shield,9,9,6,8,16.0,36.747
France,1808,Lore,7,8,5,8,14.0,33.692
France,1808,Stewards,8,8,5,8,15.0,36.057
France,1808,Craft,8,8,4,7,15.5,36.02
France,1808,Hands,7,7,6,4,10.0,25.954
France,1808,Archive,9,9,3,9,19.5,43.152
France,1808,Flow,5,6,8,7,6.5,23.697
France,1809,Helm,8,9,7,9,14.5,31.677
France,1809,Shield,8,9,7,8,14.0,30.381
France,1809,Lore,7,8,6,8,13.0,29.68
France,1809,Stewards,7,7,6,8,12.0,29.68
France,1809,Craft,8,8,5,7,14.5,31.603
France,1809,Hands,6,7,7,4,8.0,20.648
France,1809,Archive,9,9,4,9,18.5,37.887
France,1809,Flow,5,6,8,7,6.5,21.923
France,1810,Helm,8,9,6,9,15.5,34.14
France,1810,Shield,9,9,6,8,16.0,34.827
France,1810,Lore,7,8,6,8,13.0,30.653
France,1810,Stewards,8,8,6,8,14.0,32.787
France,1810,Craft,8,8,5,7,14.5,32.735
France,1810,Hands,6,7,7,4,8.0,21.397
France,1810,Archive,9,9,4,9,18.5,39.247
France,1810,Flow,5,6,9,7,5.5,21.574
France,1811,Helm,8,9,6,9,15.5,33.112
France,1811,Shield,9,9,6,8,16.0,33.734
France,1811,Lore,7,8,6,8,13.0,29.75
France,1811,Stewards,7,7,7,8,11.0,28.499
France,1811,Craft,8,8,6,7,13.5,30.403
France,1811,Hands,6,6,8,4,6.0,19.821
France,1811,Archive,9,9,4,9,18.5,38.006
France,1811,Flow,5,6,9,7,5.5,20.986
France,1812,Helm,7,8,8,9,11.5,24.945
France,1812,Shield,7,8,9,8,10.0,22.778
France,1812,Lore,6,7,7,8,10.0,23.187
France,1812,Stewards,6,7,7,8,10.0,23.187
France,1812,Craft,7,7,6,7,11.5,24.557
France,1812,Hands,5,6,9,4,4.0,14.687
France,1812,Archive,9,9,4,9,18.5,32.596
France,1812,Flow,4,5,9,7,3.5,16.86
France,1813,Helm,6,7,9,9,8.5,19.681
France,1813,Shield,5,6,10,8,5.0,16.645
France,1813,Lore,5,6,8,8,7.0,18.148
France,1813,Stewards,5,6,8,8,7.0,18.148
France,1813,Craft,6,6,7,7,8.5,19.078
France,1813,Hands,4,5,10,4,1.0,10.861
France,1813,Archive,9,8,5,9,16.5,26.789
France,1813,Flow,4,4,10,7,1.5,14.319
France,1814,Helm,3,4,10,8,1.0,11.672
France,1814,Shield,3,3,10,7,-0.5,10.759
France,1814,Lore,4,4,9,7,2.5,12.213
France,1814,Stewards,4,5,9,7,3.5,12.213
France,1814,Craft,5,5,8,7,5.5,13.68
France,1814,Hands,4,4,10,4,0.0,8.704
France,1814,Archive,8,7,6,9,13.5,19.265
France,1814,Flow,3,3,10,6,-1.0,9.804
France,1815,Helm,2,3,10,7,-1.5,8.991
France,1815,Shield,4,5,10,7,2.5,10.611
France,1815,Lore,3,4,9,7,1.5,10.266
France,1815,Stewards,4,4,9,7,2.5,11.073
France,1815,Craft,4,4,9,7,2.5,11.073
France,1815,Hands,3,4,10,4,-1.0,7.034
France,1815,Archive,7,6,7,8,10.0,15.046
France,1815,Flow,3,3,10,6,-1.0,8.942
France,1816,Helm,5,5,7,7,6.5,17.112
France,1816,Shield,5,5,6,6,7.0,16.705
France,1816,Lore,5,5,7,7,6.5,17.112
France,1816,Stewards,5,5,7,7,6.5,17.112
France,1816,Craft,5,5,6,6,7.0,16.705
France,1816,Hands,4,5,8,4,3.0,11.605
France,1816,Archive,8,7,5,8,14.0,23.808
France,1816,Flow,5,5,7,6,6.0,15.997
France,1817,Helm,6,6,6,7,9.5,22.118
France,1817,Shield,5,5,5,6,8.0,19.946
France,1817,Lore,6,6,6,7,9.5,22.118
France,1817,Stewards,6,6,6,7,9.5,22.118
France,1817,Craft,6,6,5,6,10.0,21.806
France,1817,Hands,5,5,7,4,5.0,15.717
France,1817,Archive,8,7,4,8,15.0,28.809
France,1817,Flow,6,6,6,6,9.0,20.887
France,1818,Helm,6,6,5,7,10.5,25.088
France,1818,Shield,6,6,4,6,11.0,24.755
France,1818,Lore,6,6,5,7,10.5,25.088
France,1818,Stewards,6,7,5,7,11.5,25.088
France,1818,Craft,6,6,4,6,11.0,24.755
France,1818,Hands,5,6,6,4,7.0,17.846
