Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
France,1800,Helm,8,9,4,8,17.0,35.525
France,1800,Shield,9,9,3,8,19.0,39.412
France,1800,Lore,7,7,5,6,12.0,29.066
France,1800,Stewards,6,6,5,5,9.5,25.17
France,1800,Craft,7,8,4,6,14.0,30.352
France,1800,Hands,7,8,4,5,13.5,28.872
France,1800,Archive,6,6,5,5,9.5,25.17
France,1800,Flow,8,8,4,7,15.5,34.199
France,1801,Helm,8,9,4,8,17.0,35.525
France,1801,Shield,9,9,3,8,19.0,39.412
France,1801,Lore,7,7,5,6,12.0,29.066
France,1801,Stewards,6,6,5,5,9.5,25.17
France,1801,Craft,7,8,4,6,14.0,30.352
France,1801,Hands,7,8,4,5,13.5,28.872
France,1801,Archive,6,6,5,5,9.5,25.17
France,1801,Flow,8,8,4,7,15.5,34.199
France,1802,Helm,8,9,4,8,17.0,35.525
France,1802,Shield,9,9,3,8,19.0,39.412
France,1802,Lore,7,7,5,6,12.0,29.066
France,1802,Stewards,6,6,5,5,9.5,25.17
France,1802,Craft,7,8,4,6,14.0,30.352
France,1802,Hands,7,8,4,5,13.5,28.872
France,1802,Archive,6,6,5,5,9.5,25.17
France,1802,Flow,8,8,4,7,15.5,34.199
France,1803,Helm,9,9,3,8,19.0,41.624
France,1803,Shield,9,9,2,8,20.0,43.334
France,1803,Lore,7,7,5,6,12.0,30.613
France,1803,Stewards,6,6,5,5,9.5,26.49
France,1803,Craft,8,8,4,6,15.0,34.615
France,1803,Hands,7,8,4,5,13.5,30.452
France,1803,Archive,6,6,5,5,9.5,26.49
France,1803,Flow,8,8,3,7,16.5,37.613
France,1804,Helm,9,9,3,8,19.0,42.236
France,1804,Shield,9,9,2,8,20.0,43.979
France,1804,Lore,7,7,5,7,12.5,32.499
France,1804,Stewards,6,6,5,5,9.5,26.836
France,1804,Craft,8,8,4,6,15.0,35.052
France,1804,Hands,7,8,4,5,13.5,30.816
France,1804,Archive,6,6,5,6,10.0,28.377
France,1804,Flow,8,8,3,7,16.5,38.149
France,1805,Helm,9,9,3,8,19.0,40.111
France,1805,Shield,9,9,3,8,19.0,40.111
France,1805,Lore,7,6,6,7,10.5,29.643
France,1805,Stewards,6,6,5,5,9.5,25.575
France,1805,Craft,8,8,4,6,15.0,33.327
France,1805,Hands,7,8,5,5,12.5,28.068
France,1805,Archive,6,6,5,6,10.0,27.053
