Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
France,1900,Helm,6,6,4,5,10.5,23.086
France,1900,Shield,5,7,4,5,10.5,20.837
France,1900,Lore,7,7,3,7,14.5,29.005
France,1900,Stewards,6,7,3,6,13.0,25.496
France,1900,Craft,6,6,4,6,11.0,24.43
France,1900,Hands,5,6,5,4,8.0,18.564
France,1900,Archive,7,7,3,6,14.0,27.7
France,1900,Flow,7,7,3,6,14.0,27.7
France,1901,Helm,6,6,4,5,10.5,22.549
France,1901,Shield,5,7,4,5,10.5,20.378
France,1901,Lore,6,7,4,7,12.5,25.132
France,1901,Stewards,6,7,3,6,13.0,24.917
France,1901,Craft,6,6,4,6,11.0,23.879
France,1901,Hands,5,6,5,4,8.0,18.141
France,1901,Archive,7,7,3,6,14.0,27.038
France,1901,Flow,7,7,3,6,14.0,27.038
France,1902,Helm,6,6,4,5,10.5,22.549
France,1902,Shield,5,7,4,5,10.5,20.378
France,1902,Lore,6,7,4,7,12.5,25.132
France,1902,Stewards,6,7,3,6,13.0,24.917
France,1902,Craft,6,6,4,6,11.0,23.879
France,1902,Hands,5,6,5,4,8.0,18.141
France,1902,Archive,7,7,3,6,14.0,27.038
France,1902,Flow,7,7,3,6,14.0,27.038
France,1903,Helm,6,6,4,5,10.5,22.549
France,1903,Shield,5,7,4,5,10.5,20.378
France,1903,Lore,6,7,4,7,12.5,25.132
France,1903,Stewards,6,7,3,6,13.0,24.917
France,1903,Craft,6,6,4,6,11.0,23.879
France,1903,Hands,5,6,5,4,8.0,18.141
France,1903,Archive,7,7,3,6,14.0,27.038
France,1903,Flow,7,7,3,6,14.0,27.038
France,1904,Helm,6,6,4,5,10.5,22.357
France,1904,Shield,5,7,4,5,10.5,20.186
France,1904,Lore,6,7,4,6,12.0,23.649
France,1904,Stewards,6,7,3,6,13.0,24.676
France,1904,Craft,6,6,4,6,11.0,23.649
France,1904,Hands,5,6,5,4,8.0,17.995
France,1904,Archive,7,7,3,6,14.0,26.797
France,1904,Flow,7,7,3,6,14.0,26.797
France,1905,Helm,5,6,5,5,8.5,17.883
France,1905,Shield,5,7,5,5,9.5,17.883
France,1905,Lore,5,6,6,6,8.0,18.269
France,1905,Stewards,6,7,3,6,13.0,22.779
France,1905,Craft,6,6,4,6,11.0,21.845
France,1905,Hands,5,6,5,4,8.0,16.615
France,1905,Archive,6,7,4,6,12.0,21.845
France,1905,Flow,7,7,3,6,14.0,24.639
France,1906,Helm,6,6,4,5,10.5,23.43
France,1906,Shield,6,7,4,5,11.5,23.43
France,1906,Lore,7,7,3,7,14.5,29.428
France,1906,Stewards,6,7,3,6,13.0,25.859
France,1906,Craft,6,6,4,6,11.0,24.774
France,1906,Hands,5,6,5,4,8.0,18.838
France,1906,Archive,7,7,3,6,14.0,28.122
France,1906,Flow,7,7,3,6,14.0,28.122
France,1907,Helm,6,6,4,5,10.5,23.43
France,1907,Shield,6,7,4,5,11.5,23.43
France,1907,Lore,7,7,3,7,14.5,29.428
France,1907,Stewards,6,7,3,6,13.0,25.859
France,1907,Craft,6,6,4,6,11.0,24.774
France,1907,Hands,5,6,5,4,8.0,18.838
France,1907,Archive,7,7,3,6,14.0,28.122
France,1907,Flow,7,7,3,6,14.0,28.122
France,1908,Helm,6,6,4,5,10.5,23.43
France,1908,Shield,6,7,4,5,11.5,23.43
France,1908,Lore,7,7,3,7,14.5,29.428
France,1908,Stewards,6,7,3,6,13.0,25.859
France,1908,Craft,6,6,4,6,11.0,24.774
France,1908,Hands,5,6,5,4,8.0,18.838
France,1908,Archive,7,7,3,6,14.0,28.122
France,1908,Flow,7,7,3,6,14.0,28.122
France,1909,Helm,6,6,4,5,10.5,23.43
France,1909,Shield,6,7,4,5,11.5,23.43
France,1909,Lore,7,7,3,7,14.5,29.428
France,1909,Stewards,6,7,3,6,13.0,25.859
France,1909,Craft,6,6,4,6,11.0,24.774
France,1909,Hands,5,6,5,4,8.0,18.838
France,1909,Archive,7,7,3,6,14.0,28.122
France,1909,Flow,7,7,3,6,14.0,28.122
France,1910,Helm,6,6,4,5,10.5,23.43
France,1910,Shield,6,7,4,5,11.5,23.43
France,1910,Lore,7,7,3,7,14.5,29.428
France,1910,Stewards,6,7,3,6,13.0,25.859
France,1910,Craft,6,6,4,6,11.0,24.774
France,1910,Hands,5,6,5,4,8.0,18.838
France,1910,Archive,7,7,3,6,14.0,28.122
France,1910,Flow,7,7,3,6,14.0,28.122
France,1911,Helm,6,6,5,5,9.5,22.147
France,1911,Shield,6,7,5,5,10.5,22.147
France,1911,Lore,7,7,3,7,14.5,29.043
France,1911,Stewards,6,7,3,6,13.0,25.529
France,1911,Craft,6,6,4,6,11.0,24.461
France,1911,Hands,5,6,5,4,8.0,18.607
France,1911,Archive,7,7,3,6,14.0,27.757
France,1911,Flow,7,7,3,6,14.0,27.757
France,1912,Helm,6,6,5,5,9.5,21.99
France,1912,Shield,6,7,5,5,10.5,21.99
France,1912,Lore,7,7,3,7,14.5,28.826
France,1912,Stewards,6,7,4,6,12.0,24.284
France,1912,Craft,6,6,4,6,11.0,24.284
France,1912,Hands,5,6,5,4,8.0,18.478
France,1912,Archive,7,7,3,6,14.0,27.553
France,1912,Flow,7,7,3,6,14.0,27.553
France,1913,Helm,6,6,5,5,9.5,22.302
France,1913,Shield,7,8,5,5,12.5,24.425
France,1913,Lore,7,7,3,7,14.5,29.228
France,1913,Stewards,6,7,4,6,12.0,24.612
France,1913,Craft,6,6,4,6,11.0,24.612
France,1913,Hands,5,6,5,4,8.0,18.738
France,1913,Archive,7,7,3,6,14.0,27.955
France,1913,Flow,7,7,3,6,14.0,27.955
France,1914,Helm,7,6,7,5,8.5,17.551
France,1914,Shield,6,8,8,5,8.5,15.358
France,1914,Lore,6,7,6,6,10.0,17.627
France,1914,Stewards,6,6,5,5,9.5,17.462
France,1914,Craft,6,6,6,5,8.5,16.737
France,1914,Hands,5,6,7,4,6.0,13.518
France,1914,Archive,6,7,5,5,10.5,17.462
France,1914,Flow,5,6,7,5,6.5,14.436
France,1915,Helm,6,6,7,5,7.5,15.299
France,1915,Shield,6,8,8,5,8.5,14.656
France,1915,Lore,6,6,6,5,8.5,15.962
France,1915,Stewards,6,6,5,5,9.5,16.647
France,1915,Craft,6,7,6,5,9.5,15.962
France,1915,Hands,4,5,8,4,3.0,10.818
France,1915,Archive,6,7,5,5,10.5,16.647
France,1915,Flow,5,6,7,5,6.5,13.792
France,1916,Helm,6,6,8,5,6.5,13.232
France,1916,Shield,5,7,9,4,5.0,10.695
France,1916,Lore,5,6,7,5,6.5,12.474
France,1916,Stewards,6,6,6,5,8.5,14.388
France,1916,Craft,6,7,6,5,9.5,14.388
France,1916,Hands,3,5,9,3,0.5,7.212
France,1916,Archive,6,7,5,5,10.5,14.992
France,1916,Flow,5,6,7,5,6.5,12.474
France,1917,Helm,5,5,9,4,3.0,8.788
France,1917,Shield,3,6,9,3,1.5,6.0
France,1917,Lore,4,6,8,4,4.0,8.115
France,1917,Stewards,5,6,6,5,7.5,10.67
France,1917,Craft,6,7,6,5,9.5,11.703
France,1917,Hands,3,4,9,3,-0.5,6.0
France,1917,Archive,5,7,5,5,9.5,11.111
France,1917,Flow,4,6,8,4,4.0,8.115
France,1918,Helm,7,7,7,5,9.5,16.266
France,1918,Shield,6,7,7,5,8.5,14.904
France,1918,Lore,5,6,7,5,6.5,13.457
France,1918,Stewards,5,6,6,5,7.5,14.051
France,1918,Craft,6,7,6,5,9.5,15.547
France,1918,Hands,4,5,8,4,3.0,10.563
France,1918,Archive,6,7,5,5,10.5,16.211
France,1918,Flow,5,6,7,5,6.5,13.457
France,1919,Helm,5,6,6,6,8.0,17.289
France,1919,Shield,6,6,5,5,9.5,18.71
France,1919,Lore,6,7,5,6,11.0,19.815
France,1919,Stewards,6,7,4,6,12.0,20.663
France,1919,Craft,5,6,5,5,8.5,16.946
France,1919,Hands,5,6,6,4,7.0,15.088
France,1919,Archive,7,7,4,6,13.0,22.372
France,1919,Flow,5,6,6,5,7.5,16.22
France,1920,Helm,5,6,6,5,7.5,16.063
France,1920,Shield,6,6,5,5,9.5,18.545
France,1920,Lore,6,7,5,6,11.0,19.617
France,1920,Stewards,6,7,4,6,12.0,20.455
France,1920,Craft,5,6,5,5,8.5,16.781
France,1920,Hands,5,5,6,4,6.0,14.963
France,1920,Archive,7,7,4,6,13.0,22.164
France,1920,Flow,5,6,6,5,7.5,16.063
France,1921,Helm,5,6,5,5,8.5,17.214
France,1921,Shield,6,6,4,5,10.5,19.86
France,1921,Lore,6,7,5,6,11.0,20.137
France,1921,Stewards,6,7,4,6,12.0,21.001
France,1921,Craft,5,6,5,5,8.5,17.214
France,1921,Hands,5,5,5,4,7.0,16.04
France,1921,Archive,7,7,4,6,13.0,22.767
France,1921,Flow,5,6,5,5,8.5,17.214
France,1922,Helm,5,6,5,5,8.5,17.347
France,1922,Shield,6,6,4,5,10.5,20.017
France,1922,Lore,6,7,4,6,12.0,21.169
France,1922,Stewards,6,7,4,6,12.0,21.169
France,1922,Craft,5,6,5,5,8.5,17.347
France,1922,Hands,5,5,5,4,7.0,16.162
France,1922,Archive,7,7,4,6,13.0,22.952
France,1922,Flow,5,6,5,5,8.5,17.347
France,1923,Helm,6,6,5,6,10.0,20.721
France,1923,Shield,7,7,4,5,12.5,22.265
France,1923,Lore,6,7,4,6,12.0,21.615
France,1923,Stewards,6,7,4,6,12.0,21.615
France,1923,Craft,5,6,5,5,8.5,17.701
France,1923,Hands,5,5,5,4,7.0,16.49
France,1923,Archive,7,7,4,6,13.0,23.445
France,1923,Flow,4,5,6,5,5.5,15.03
France,1924,Helm,5,6,5,5,8.5,17.074
France,1924,Shield,6,6,4,5,10.5,19.672
France,1924,Lore,6,7,4,6,12.0,20.824
France,1924,Stewards,5,7,4,6,11.0,18.984
France,1924,Craft,5,6,5,5,8.5,17.074
France,1924,Hands,5,5,5,4,7.0,15.889
France,1924,Archive,7,7,4,6,13.0,22.55
France,1924,Flow,5,6,5,5,8.5,17.074
France,1925,Helm,5,6,5,5,8.5,17.458
France,1925,Shield,6,6,4,5,10.5,20.148
France,1925,Lore,6,7,4,6,12.0,21.309
France,1925,Stewards,5,7,4,6,11.0,19.398
France,1925,Craft,6,6,4,5,10.5,20.148
France,1925,Hands,5,5,5,4,7.0,16.265
France,1925,Archive,7,7,4,6,13.0,23.106
France,1925,Flow,5,6,5,5,8.5,17.458
France,1926,Helm,6,6,4,6,11.0,24.759
France,1926,Shield,6,6,4,5,10.5,23.371
France,1926,Lore,6,7,3,6,13.0,25.843
France,1926,Stewards,6,7,3,6,13.0,25.843
France,1926,Craft,6,6,4,6,11.0,24.759
France,1926,Hands,5,6,4,5,9.5,21.111
France,1926,Archive,7,7,3,6,14.0,28.057
France,1926,Flow,7,7,3,6,14.0,28.057
France,1927,Helm,6,6,4,5,10.5,23.381
France,1927,Shield,6,6,4,5,10.5,23.381
France,1927,Lore,6,7,3,7,13.5,27.209
France,1927,Stewards,6,7,3,6,13.0,25.855
France,1927,Craft,6,6,4,6,11.0,24.771
France,1927,Hands,5,6,4,5,9.5,21.121
France,1927,Archive,7,7,3,6,14.0,28.07
France,1927,Flow,7,7,3,6,14.0,28.07
France,1928,Helm,6,6,4,5,10.5,24.106
France,1928,Shield,6,6,4,5,10.5,24.106
France,1928,Lore,7,7,3,7,14.5,30.312
France,1928,Stewards,7,7,3,6,14.0,28.959
France,1928,Craft,6,6,4,6,11.0,25.496
France,1928,Hands,5,6,4,5,9.5,21.725
France,1928,Archive,7,7,3,6,14.0,28.959
France,1928,Flow,7,7,3,6,14.0,28.959
France,1929,Helm,6,6,5,5,9.5,21.653
