Society,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max
Germany,1880,Archive,0.707,0.447,0.548,0.837,2.5,11.5,14.0
Germany,1880,Craft,0.447,0.0,0.707,0.707,2.0,14.5,16.5
Germany,1880,Flow,0.837,0.837,0.447,0.447,1.0,13.0,14.0
Germany,1880,Hands,0.447,0.447,0.548,0.447,3.0,7.0,10.0
Germany,1880,Helm,0.447,0.447,0.447,0.447,2.5,13.0,15.5
Germany,1880,Lore,0.837,0.548,0.0,0.894,1.0,13.5,14.5
Germany,1880,Shield,0.548,0.837,0.894,0.837,3.5,12.5,16.0
Germany,1880,Stewards,1.414,0.0,0.837,0.0,4.0,11.5,15.5
Germany,1881,Archive,0.548,0.0,0.447,0.548,2.5,13.0,15.5
Germany,1881,Craft,0.447,0.707,1.0,0.548,2.0,14.0,16.0
Germany,1881,Flow,0.548,0.447,0.447,0.548,2.0,12.5,14.5
Germany,1881,Hands,0.707,0.707,0.0,0.548,3.0,7.0,10.0
Germany,1881,Helm,0.548,0.548,0.837,0.447,2.0,12.0,14.0
Germany,1881,Lore,0.548,0.447,0.548,1.0,2.0,13.5,15.5
Germany,1881,Shield,0.447,0.548,0.548,0.837,3.0,12.0,15.0
Germany,1881,Stewards,0.447,0.707,0.894,0.707,2.0,11.5,13.5
Germany,1882,Archive,0.548,0.447,0.837,0.447,3.0,12.0,15.0
Germany,1882,Craft,0.707,0.0,0.548,0.447,3.0,13.5,16.5
Germany,1882,Flow,0.548,0.447,0.548,1.095,2.0,12.5,14.5
Germany,1882,Hands,0.837,0.707,1.0,0.894,4.0,5.5,9.5
Germany,1882,Helm,0.447,0.548,0.548,0.447,2.5,12.5,15.0
Germany,1882,Lore,0.447,0.447,0.707,0.447,1.5,13.5,15.0
Germany,1882,Shield,0.837,0.548,0.548,0.707,3.5,11.5,15.0
Germany,1882,Stewards,0.548,0.548,0.548,0.894,2.5,12.0,14.5
Germany,1883,Archive,0.447,0.447,0.707,0.447,3.5,13.0,16.5
Germany,1883,Craft,0.447,0.447,0.707,0.707,3.5,13.0,16.5
Germany,1883,Flow,0.548,0.548,0.837,0.548,3.5,10.5,14.0
Germany,1883,Hands,0.707,0.837,0.894,0.837,3.0,6.5,9.5
Germany,1883,Helm,0.707,0.894,0.447,0.0,4.0,12.0,16.0
Germany,1883,Lore,0.447,0.707,0.548,0.894,1.5,14.0,15.5
Germany,1883,Shield,0.548,0.447,0.707,0.548,2.5,13.0,15.5
Germany,1883,Stewards,0.837,0.548,0.837,0.548,3.5,11.5,15.0
Germany,1884,Archive,0.837,0.548,0.447,0.447,3.0,12.0,15.0
Germany,1884,Craft,0.548,0.0,0.447,0.548,2.0,14.0,16.0
Germany,1884,Flow,0.837,0.837,0.548,0.0,3.0,12.0,15.0
Germany,1884,Hands,0.548,0.707,0.707,0.707,3.5,5.5,9.0
Germany,1884,Helm,0.447,0.894,0.837,0.447,4.5,12.5,17.0
Germany,1884,Lore,0.447,0.707,0.707,1.0,2.0,13.5,15.5
Germany,1884,Shield,0.447,0.837,0.447,0.447,2.0,13.5,15.5
Germany,1884,Stewards,0.0,0.0,0.707,0.894,2.0,12.0,14.0
Germany,1885,Archive,0.447,1.304,0.447,0.0,3.0,12.0,15.0
Germany,1885,Craft,0.837,0.447,0.837,0.447,3.5,14.0,17.5
Germany,1885,Flow,0.447,0.447,0.0,0.447,1.0,14.0,15.0
Germany,1885,Hands,0.837,0.837,0.837,0.548,2.0,7.5,9.5
Germany,1885,Helm,0.0,0.447,0.0,0.447,1.0,14.0,15.0
Germany,1885,Lore,0.707,0.707,0.0,0.707,1.0,13.5,14.5
Germany,1885,Shield,1.0,0.447,1.0,0.447,2.5,12.5,15.0
Germany,1885,Stewards,0.548,0.0,0.707,0.447,1.5,12.5,14.0
Germany,1886,Archive,0.548,0.894,0.0,0.548,3.0,12.0,15.0
Germany,1886,Craft,0.447,0.447,0.548,0.548,2.5,14.5,17.0
Germany,1886,Flow,0.447,0.447,0.837,0.447,2.0,13.0,15.0
Germany,1886,Hands,0.0,1.095,0.548,0.548,3.5,6.0,9.5
Germany,1886,Helm,0.837,0.707,0.0,0.0,2.0,13.0,15.0
