Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Greece,1875,Helm,3.8,2.4,6.8,5.4,2.1,0.362
Greece,1875,Shield,2.6,2.6,6.8,3.6,0.2,0.362
Greece,1875,Flow,2.6,2.6,6.2,4,1.0,0.362
Greece,1875,Hands,4.4,4.4,6,3.6,4.6,0.362
Greece,1875,Craft,2.8,3.2,5.8,4.2,2.3,0.362
Greece,1875,Archive,4.4,5.6,4.8,6,8.2,0.362
Greece,1875,Lore,7.2,5.6,4.6,7.4,11.9,0.362
Greece,1875,Stewards,3,3.2,6.8,3.2,1.0,0.362
Greece,1876,Helm,4.4,3.2,6.8,5.2,3.4,0.373
Greece,1876,Shield,2.4,3.2,7,4,0.6,0.373
Greece,1876,Flow,2.8,3.4,6,4.2,2.3,0.373
Greece,1876,Hands,4,3.6,5.8,3.6,3.6,0.373
Greece,1876,Craft,3.2,3.2,6.2,4.2,2.3,0.373
Greece,1876,Archive,5.2,5.6,5.4,6.6,8.7,0.373
Greece,1876,Lore,6.4,5.6,4,7.6,11.8,0.373
Greece,1876,Stewards,3,3.4,7.4,4,1.0,0.373
Greece,1877,Helm,3.6,3,7.2,4.6,1.7,0.367
Greece,1877,Shield,3.2,2.8,6.4,4,1.6,0.367
Greece,1877,Flow,2.4,2.4,6,4.4,1.0,0.367
Greece,1877,Hands,4,4.4,5.8,4,4.6,0.367
Greece,1877,Craft,3.4,3.6,6,3.8,2.9,0.367
Greece,1877,Archive,4.6,5.4,5.6,6.6,7.7,0.367
Greece,1877,Lore,7,6,4.2,7.2,12.4,0.367
Greece,1877,Stewards,2.8,3.4,7.6,4,0.6,0.367
Greece,1878,Helm,3.8,3,7,5.2,2.4,0.362
Greece,1878,Shield,3.4,3.2,6.8,3.6,1.6,0.362
Greece,1878,Flow,3,2.8,5.8,3.2,1.6,0.362
Greece,1878,Hands,3.4,4,6.2,4.2,3.3,0.362
Greece,1878,Craft,2.8,2.4,5.6,4.6,1.9,0.362
Greece,1878,Archive,5.4,4.8,5.4,6.4,8.0,0.362
Greece,1878,Lore,6.6,6.2,3.8,6.6,12.3,0.362
Greece,1878,Stewards,2.6,2.8,7.2,3.6,0.0,0.362
Greece,1879,Helm,4.2,3.4,7.2,4.8,2.8,0.369
Greece,1879,Shield,3.4,2.8,7,4,1.2,0.369
Greece,1879,Flow,2.4,2.6,5.2,4,1.8,0.369
Greece,1879,Hands,4.2,3.4,6,4,3.6,0.369
Greece,1879,Craft,2.6,3.2,6,4,1.8,0.369
Greece,1879,Archive,4.6,5,5,6.2,7.7,0.369
Greece,1879,Lore,6.6,6,4.6,7.6,11.8,0.369
Greece,1879,Stewards,3.2,3.2,6.8,4.4,1.8,0.369
Greece,1880,Helm,4.2,2.8,7.4,5,2.1,0.362
Greece,1880,Shield,3,3,7.4,3.6,0.4,0.362
Greece,1880,Flow,3.2,2.4,5.8,4.2,1.9,0.362
Greece,1880,Hands,4,4.6,5.6,3.8,4.9,0.362
Greece,1880,Craft,3.2,2.4,6,3.6,1.4,0.362
Greece,1880,Archive,4.8,5.2,5.8,5.8,7.1,0.362
Greece,1880,Lore,7,5.4,3.8,6.8,12.0,0.362
Greece,1880,Stewards,2.6,3.4,6.8,3.8,1.1,0.362
Greece,1881,Helm,4,3.2,7.2,4.4,2.2,0.372
Greece,1881,Shield,3.2,2.8,6.4,3.6,1.4,0.372
Greece,1881,Flow,3.2,3.2,6.2,4.2,2.3,0.372
Greece,1881,Hands,3.6,4.4,6.4,4.2,3.7,0.372
Greece,1881,Craft,3.2,2.4,6.2,3.8,1.3,0.372
Greece,1881,Archive,4.6,5.2,4.8,6.2,8.1,0.372
Greece,1881,Lore,7.4,6,3.6,6.8,13.2,0.372
Greece,1881,Stewards,3.2,3.6,7.6,4.6,1.5,0.372
Greece,1882,Helm,3.8,3.2,7,5.2,2.6,0.362
Greece,1882,Shield,2.6,2.8,6.2,4,1.2,0.362
Greece,1882,Flow,2.4,3,5.4,4.6,2.3,0.362
Greece,1882,Hands,3.6,3.6,5.6,3.8,3.5,0.362
Greece,1882,Craft,3.6,3,6.4,4,2.2,0.362
Greece,1882,Archive,4.6,4.8,5.4,6,7.0,0.362
Greece,1882,Lore,7,6.2,4.2,7,12.5,0.362
Greece,1882,Stewards,2.6,2.8,7.4,3.6,-0.2,0.362
Greece,1883,Helm,4.4,4,7.6,5,3.3,0.372
Greece,1883,Shield,4,3,7.2,4.2,1.9,0.372
Greece,1883,Flow,3,3.6,6.4,4.2,2.3,0.372
Greece,1883,Hands,3.4,3.4,5.8,3.4,2.7,0.372
Greece,1883,Craft,2.8,2.8,5.8,4,1.8,0.372
Greece,1883,Archive,5.2,4.4,4.8,6,7.8,0.372
Greece,1883,Lore,7.6,6.6,4.2,7,13.5,0.372
Greece,1883,Stewards,3.4,2.6,7.4,4,0.6,0.372
Greece,1884,Helm,4,2.8,6.8,4.8,2.4,0.362
Greece,1884,Shield,2.8,3.2,6.4,4,1.6,0.362
Greece,1884,Flow,2.6,3.2,6.2,3.6,1.4,0.362
Greece,1884,Hands,3.8,3.6,6.6,4,2.8,0.362
Greece,1884,Craft,3,3,6,4.2,2.1,0.362
Greece,1884,Archive,4.6,5.2,4.8,6.6,8.3,0.362
Greece,1884,Lore,6.8,5.6,3.8,7.4,12.3,0.362
Greece,1884,Stewards,2.6,3,7.2,3.6,0.2,0.362
Greece,1885,Helm,4.6,3.4,7.6,5,2.9,0.381
