Nation,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
India,1950,Executive,7.0,6.0,-2.0,5.0,18.5,11.3
India,1950,Army,6.0,4.0,-1.0,3.0,13.5,8.4
India,1950,Priests,8.0,3.0,-1.0,4.0,15.0,9.0
India,1950,Property,5.0,5.0,-1.0,4.0,13.0,7.8
India,1950,Trades/Professions,6.0,5.0,-1.0,4.0,14.0,8.4
India,1950,Proletariat,7.0,2.0,-1.0,2.0,11.0,6.6
India,1950,StateMemory,5.0,3.0,-1.0,3.0,11.0,6.6
India,1950,Shopkeepers/Merchants,6.0,4.0,-1.0,3.0,12.0,7.2
India,1951,Executive,7.0,6.0,-2.0,5.0,18.5,11.3
India,1951,Army,6.0,4.0,-1.0,3.0,13.5,8.4
India,1951,Priests,8.0,3.0,-1.0,4.0,15.0,9.0
India,1951,Property,5.0,5.0,-1.0,4.0,13.0,7.8
India,1951,Trades/Professions,6.0,5.0,-1.0,4.0,14.0,8.4
India,1951,Proletariat,7.0,2.0,-1.0,2.0,11.0,6.6
India,1951,StateMemory,5.0,3.0,-1.0,3.0,11.0,6.6
India,1951,Shopkeepers/Merchants,6.0,4.0,-1.0,3.0,12.0,7.2
India,1953,Executive,7.0,6.0,-2.0,5.0,18.5,11.3
India,1953,Army,6.0,4.0,0.0,3.0,13.0,7.8
India,1953,Priests,8.0,3.0,-1.0,4.0,15.0,9.0
India,1953,Property,5.0,5.0,-1.0,4.0,13.0,7.8
India,1953,Trades/Professions,6.0,5.0,-1.0,4.0,14.0,8.4
India,1953,Proletariat,7.0,2.0,-1.0,2.0,11.0,6.6
India,1953,StateMemory,5.0,3.0,-1.0,3.0,11.0,6.6
India,1953,Shopkeepers/Merchants,6.0,4.0,-1.0,3.0,12.0,7.2
India,1954,Executive,7.0,6.0,-2.0,5.0,18.5,11.3
India,1954,Army,6.0,4.0,0.0,3.0,13.0,7.8
India,1954,Priests,8.0,3.0,-1.0,4.0,15.0,9.0
India,1954,Property,5.0,5.0,-1.0,4.0,13.0,7.8
India,1954,Trades/Professions,6.0,5.0,-1.0,4.0,14.0,8.4
India,1954,Proletariat,7.0,2.0,-1.0,2.0,11.0,6.6
India,1954,StateMemory,5.0,3.0,-1.0,3.0,11.0,6.6
India,1954,Shopkeepers/Merchants,6.0,4.0,-1.0,3.0,12.0,7.2
India,1955,Executive,7.0,6.0,-2.0,5.0,18.5,11.3
India,1955,Army,6.0,4.0,0.0,3.0,13.0,7.8
India,1955,Priests,8.0,3.0,-1.0,4.0,15.0,9.0
India,1955,Property,5.0,5.0,-1.0,4.0,13.0,7.8
India,1955,Trades/Professions,6.0,5.0,-1.0,4.0,14.0,8.4
India,1955,Proletariat,7.0,2.0,-1.0,2.0,11.0,6.6
India,1955,StateMemory,5.0,3.0,-1.0,3.0,11.0,6.6
India,1955,Shopkeepers/Merchants,6.0,4.0,-1.0,3.0,12.0,7.2
India,1956,Executive,7.0,6.0,-2.0,5.0,18.5,11.3
India,1956,Army,6.0,4.0,0.0,3.0,13.0,7.8
India,1956,Priests,8.0,3.0,-1.0,4.0,15.0,9.0
India,1956,Property,5.0,5.0,-1.0,4.0,13.0,7.8
India,1956,Trades/Professions,6.0,5.0,-1.0,4.0,14.0,8.4
India,1956,Proletariat,7.0,2.0,-1.0,2.0,11.0,6.6
India,1956,StateMemory,5.0,3.0,-1.0,3.0,11.0,6.6
India,1956,Shopkeepers/Merchants,6.0,4.0,-1.0,3.0,12.0,7.2
India,1957,Executive,7.0,6.0,-2.0,5.0,18.5,11.3
India,1957,Army,6.0,4.0,0.0,3.0,13.0,7.8
India,1957,Priests,8.0,3.0,-1.0,4.0,15.0,9.0
India,1957,Property,5.0,5.0,-1.0,4.0,13.0,7.8
India,1957,Trades/Professions,6.0,5.0,-1.0,4.0,14.0,8.4
India,1957,Proletariat,7.0,2.0,-1.0,2.0,11.0,6.6
India,1957,StateMemory,5.0,3.0,-1.0,3.0,11.0,6.6
India,1957,Shopkeepers/Merchants,6.0,4.0,-1.0,3.0,12.0,7.2
India,1958,Executive,7.0,6.0,-2.0,5.0,18.5,11.3
India,1958,Army,6.0,4.0,0.0,3.0,13.0,7.8
India,1958,Priests,8.0,3.0,-1.0,4.0,15.0,9.0
India,1958,Property,5.0,5.0,-1.0,4.0,13.0,7.8
India,1958,Trades/Professions,6.0,5.0,-1.0,4.0,14.0,8.4
India,1958,Proletariat,7.0,2.0,-1.0,2.0,11.0,6.6
India,1958,StateMemory,5.0,3.0,-1.0,3.0,11.0,6.6
India,1958,Shopkeepers/Merchants,6.0,4.0,-1.0,3.0,12.0,7.2
India,1959,Executive,7.0,6.0,-2.0,5.0,18.5,11.3
India,1959,Army,6.0,4.0,0.0,3.0,13.0,7.8
India,1959,Priests,8.0,3.0,-1.0,4.0,15.0,9.0
India,1959,Property,5.0,5.0,-1.0,4.0,13.0,7.8
India,1959,Trades/Professions,6.0,5.0,-1.0,4.0,14.0,8.4
India,1959,Proletariat,7.0,2.0,-1.0,2.0,11.0,6.6
India,1959,StateMemory,5.0,3.0,-1.0,3.0,11.0,6.6
India,1959,Shopkeepers/Merchants,6.0,4.0,-1.0,3.0,12.0,7.2
India,1960,Executive,7.0,6.0,-2.0,5.0,18.5,11.3
India,1960,Army,6.0,4.0,-1.0,3.0,13.5,8.4
India,1960,Priests,8.0,3.0,-1.0,4.0,15.0,9.0
India,1960,Property,5.0,5.0,-1.0,4.0,13.0,7.8
India,1960,Trades/Professions,6.0,5.0,-1.0,4.0,14.0,8.4
India,1960,Proletariat,7.0,2.0,-1.0,2.0,11.0,6.6
India,1960,StateMemory,5.0,3.0,-1.0,3.0,11.0,6.6
India,1960,Shopkeepers/Merchants,6.0,4.0,-1.0,3.0,12.0,7.2
India,1961,Executive,7.0,6.0,-2.0,5.0,18.5,11.3
India,1961,Army,6.0,4.0,-1.0,3.0,13.5,8.4
India,1961,Priests,8.0,3.0,-1.0,4.0,15.0,9.0
India,1961,Property,5.0,5.0,-1.0,4.0,13.0,7.8
India,1961,Trades/Professions,6.0,5.0,-1.0,4.0,14.0,8.4
India,1961,Proletariat,7.0,2.0,-1.0,2.0,11.0,6.6
India,1961,StateMemory,5.0,3.0,-1.0,3.0,11.0,6.6
India,1961,Shopkeepers/Merchants,6.0,4.0,-1.0,3.0,12.0,7.2
India,1962,Executive,7.0,6.0,-2.0,5.0,18.5,11.3
India,1962,Army,6.0,4.0,-1.0,3.0,13.5,8.4
India,1962,Priests,8.0,3.0,-1.0,4.0,15.0,9.0
India,1962,Property,5.0,5.0,-1.0,4.0,13.0,7.8
