Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Indigenous Australia,1600,Helm,7,6,3,6,13.0,3.430
Indigenous Australia,1600,Shield,6,5,3,5,10.5,3.205
Indigenous Australia,1600,Lore,8,8,2,8,18.0,4.200
Indigenous Australia,1600,Stewards,7,7,3,6,14.0,3.430
Indigenous Australia,1600,Craft,7,7,3,7,14.5,3.519
Indigenous Australia,1600,Hands,6,7,3,5,12.5,3.205
Indigenous Australia,1600,Archive,7,7,2,7,15.5,3.955
Indigenous Australia,1600,Flow,6,6,3,6,12.0,3.295
Indigenous Australia,1625,Helm,7,6,3,6,13.0,3.430
Indigenous Australia,1625,Shield,6,5,3,5,10.5,3.205
Indigenous Australia,1625,Lore,8,8,2,8,18.0,4.200
Indigenous Australia,1625,Stewards,7,7,3,6,14.0,3.430
Indigenous Australia,1625,Craft,7,7,3,7,14.5,3.519
Indigenous Australia,1625,Hands,6,7,3,5,12.5,3.205
Indigenous Australia,1625,Archive,7,7,2,7,15.5,3.955
Indigenous Australia,1625,Flow,6,6,3,6,12.0,3.295
Indigenous Australia,1650,Helm,7,6,3,6,13.0,3.430
Indigenous Australia,1650,Shield,6,5,3,5,10.5,3.205
Indigenous Australia,1650,Lore,8,8,2,8,18.0,4.200
Indigenous Australia,1650,Stewards,7,7,3,6,14.0,3.430
Indigenous Australia,1650,Craft,7,7,3,7,14.5,3.519
Indigenous Australia,1650,Hands,6,7,3,5,12.5,3.205
Indigenous Australia,1650,Archive,7,7,2,7,15.5,3.955
Indigenous Australia,1650,Flow,6,6,3,6,12.0,3.295
Indigenous Australia,1675,Helm,7,6,3,6,13.0,3.430
Indigenous Australia,1675,Shield,6,5,3,5,10.5,3.205
Indigenous Australia,1675,Lore,8,8,2,8,18.0,4.200
Indigenous Australia,1675,Stewards,7,7,3,6,14.0,3.430
Indigenous Australia,1675,Craft,7,7,3,7,14.5,3.519
Indigenous Australia,1675,Hands,6,7,3,5,12.5,3.205
Indigenous Australia,1675,Archive,7,7,2,7,15.5,3.955
Indigenous Australia,1675,Flow,6,6,3,6,12.0,3.295
Indigenous Australia,1700,Helm,7,6,3,6,13.0,3.430
Indigenous Australia,1700,Shield,6,5,3,5,10.5,3.205
Indigenous Australia,1700,Lore,8,8,2,8,18.0,4.200
Indigenous Australia,1700,Stewards,7,7,3,6,14.0,3.430
Indigenous Australia,1700,Craft,7,7,3,7,14.5,3.519
Indigenous Australia,1700,Hands,6,7,3,5,12.5,3.205
Indigenous Australia,1700,Archive,7,7,2,7,15.5,3.955
Indigenous Australia,1700,Flow,7,7,3,7,14.5,3.519
Indigenous Australia,1725,Helm,7,6,3,6,13.0,3.430
Indigenous Australia,1725,Shield,6,5,3,5,10.5,3.205
Indigenous Australia,1725,Lore,8,8,2,8,18.0,4.200
Indigenous Australia,1725,Stewards,7,7,3,6,14.0,3.430
Indigenous Australia,1725,Craft,7,7,3,7,14.5,3.519
Indigenous Australia,1725,Hands,6,7,3,5,12.5,3.205
Indigenous Australia,1725,Archive,7,7,2,7,15.5,3.955
Indigenous Australia,1725,Flow,7,7,3,7,14.5,3.519
Indigenous Australia,1750,Helm,7,6,3,6,13.0,3.430
Indigenous Australia,1750,Shield,6,5,3,5,10.5,3.205
Indigenous Australia,1750,Lore,8,8,2,8,18.0,4.200
Indigenous Australia,1750,Stewards,7,7,3,6,14.0,3.430
Indigenous Australia,1750,Craft,7,7,3,7,14.5,3.519
Indigenous Australia,1750,Hands,6,7,3,5,12.5,3.205
Indigenous Australia,1750,Archive,7,7,2,7,15.5,3.955
Indigenous Australia,1750,Flow,7,7,3,7,14.5,3.519
Indigenous Australia,1775,Helm,7,6,3,6,13.0,3.430
Indigenous Australia,1775,Shield,6,5,3,5,10.5,3.205
Indigenous Australia,1775,Lore,8,8,2,8,18.0,4.200
Indigenous Australia,1775,Stewards,7,7,3,6,14.0,3.430
Indigenous Australia,1775,Craft,7,7,3,7,14.5,3.519
Indigenous Australia,1775,Hands,6,7,3,5,12.5,3.205
Indigenous Australia,1775,Archive,7,7,2,7,15.5,3.955
Indigenous Australia,1775,Flow,7,7,3,7,14.5,3.519
Indigenous Australia,1800,Helm,5,5,6,6,7.0,2.800
Indigenous Australia,1800,Shield,5,4,6,5,6.5,2.600
Indigenous Australia,1800,Lore,7,7,5,8,15.0,3.800
Indigenous Australia,1800,Stewards,6,6,6,6,9.0,2.900
Indigenous Australia,1800,Craft,6,6,6,7,10.5,3.000
Indigenous Australia,1800,Hands,5,6,7,5,7.5,2.600
Indigenous Australia,1800,Archive,6,6,5,7,12.0,3.400
Indigenous Australia,1800,Flow,6,6,6,6,9.0,2.900
Indigenous Australia,1825,Helm,4,4,8,5,2.5,2.100
Indigenous Australia,1825,Shield,4,4,8,5,2.5,2.100
Indigenous Australia,1825,Lore,6,6,7,7,10.5,2.900
Indigenous Australia,1825,Stewards,5,5,8,5,4.5,2.300
