Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Iran,1875,Helm,3.8,4.4,5.0,4.0,5.2,10.738
Iran,1875,Shield,3.0,3.4,4.8,2.8,3.0,8.413
Iran,1875,Lore,5.8,4.4,3.6,6.2,9.7,16.292
Iran,1875,Stewards,4.0,3.8,5.4,4.2,4.5,11.027
Iran,1875,Craft,4.6,3.2,4.4,4.0,5.4,12.22
Iran,1875,Hands,5.2,4.8,4.4,3.4,7.3,12.49
Iran,1875,Archive,5.0,4.0,3.8,5.2,7.8,14.223
Iran,1875,Flow,4.2,4.0,5.0,4.0,5.2,11.332
Iran,1876,Helm,3.8,4.4,5.2,3.2,4.6,9.805
Iran,1876,Shield,3.2,3.6,4.4,3.4,4.1,9.382
Iran,1876,Lore,5.8,5.6,4.2,6.0,10.2,15.55
Iran,1876,Stewards,4.0,4.0,5.0,4.2,5.1,11.082
Iran,1876,Craft,5.6,4.2,4.0,4.2,7.9,13.943
Iran,1876,Hands,5.2,4.2,4.6,2.2,5.9,11.182
Iran,1876,Archive,5.0,3.8,4.4,5.2,7.0,13.699
Iran,1876,Flow,3.8,4.0,5.2,3.8,4.5,10.34
Iran,1877,Helm,3.8,3.6,5.2,4.0,4.2,10.487
Iran,1877,Shield,3.2,3.6,5.0,2.0,2.8,7.76
Iran,1877,Lore,6.2,4.8,4.4,6.4,9.8,16.201
Iran,1877,Stewards,3.8,3.0,5.4,3.6,3.2,10.044
Iran,1877,Craft,5.2,3.6,3.4,4.4,7.6,13.84
Iran,1877,Hands,5.0,4.4,3.8,3.2,7.2,12.214
Iran,1877,Archive,4.6,4.2,3.8,4.6,7.3,12.912
Iran,1877,Flow,4.0,4.0,5.4,4.2,4.7,10.863
Iran,1878,Helm,4.2,4.0,5.2,4.0,5.0,10.874
Iran,1878,Shield,3.0,2.8,5.8,2.4,1.2,7.42
Iran,1878,Lore,6.4,5.4,4.4,5.6,10.2,15.536
Iran,1878,Stewards,3.6,3.8,5.4,4.2,4.1,10.08
Iran,1878,Craft,5.0,3.8,4.2,3.8,6.5,12.321
Iran,1878,Hands,4.8,3.6,4.0,3.2,6.0,11.584
Iran,1878,Archive,4.8,4.0,4.6,5.2,6.8,13.015
Iran,1878,Flow,3.6,4.2,4.2,4.0,5.6,10.447
Iran,1879,Helm,4.0,4.0,4.8,4.4,5.4,11.171
Iran,1879,Shield,2.4,2.4,5.4,2.6,0.7,6.84
Iran,1879,Lore,5.8,4.8,3.2,5.8,10.3,15.749
Iran,1879,Stewards,4.4,4.0,5.0,3.8,5.3,11.153
Iran,1879,Craft,5.0,4.2,4.2,4.0,7.0,12.591
Iran,1879,Hands,4.8,3.8,4.2,2.0,5.4,10.403
Iran,1879,Archive,5.0,3.2,3.8,5.0,6.9,13.652
