Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Japan,1850,Helm,4.4,4.2,5.0,3.8,5.5,10.406
Japan,1850,Shield,4.4,4.0,5.0,4.0,5.4,10.55
Japan,1850,Lore,5.0,4.8,4.4,3.8,7.3,11.508
Japan,1850,Stewards,4.0,4.0,5.0,3.2,4.6,9.39
Japan,1850,Craft,4.4,4.0,4.4,3.4,5.7,10.372
Japan,1850,Hands,4.4,3.8,4.4,3.2,5.4,10.216
Japan,1850,Archive,4.6,5.0,4.0,3.8,7.5,11.143
Japan,1850,Flow,3.8,4.0,5.4,3.0,3.9,8.789
Japan,1851,Helm,4.4,3.6,5.0,3.8,4.9,10.461
Japan,1851,Shield,4.2,4.2,5.2,4.2,5.3,10.392
Japan,1851,Lore,5.2,5.2,4.6,4.2,7.9,12.026
Japan,1851,Stewards,3.8,3.6,4.6,3.2,4.4,9.308
Japan,1851,Craft,4.0,4.0,3.8,3.2,5.8,9.938
Japan,1851,Hands,4.0,4.2,3.8,2.8,5.8,9.597
Japan,1851,Archive,5.2,5.0,3.8,4.4,8.6,12.578
Japan,1851,Flow,3.6,3.8,5.2,3.0,3.7,8.617
Japan,1852,Helm,4.0,4.0,5.4,4.0,4.6,9.69
Japan,1852,Shield,4.2,3.8,5.0,4.4,5.2,10.428
Japan,1852,Lore,4.4,4.8,4.0,4.0,7.2,10.84
Japan,1852,Stewards,4.0,4.2,4.6,3.0,5.1,9.218
Japan,1852,Craft,3.8,4.2,4.2,3.4,5.5,9.437
Japan,1852,Hands,3.6,3.8,3.8,3.2,5.2,9.144
Japan,1852,Archive,5.2,5.2,4.2,4.0,8.2,11.789
Japan,1852,Flow,4.0,4.2,5.0,3.4,4.9,9.387
Japan,1853,Helm,2.6,4.2,7.2,4.4,1.8,5.923
Japan,1853,Shield,3.0,4.4,7.2,4.2,2.3,6.188
Japan,1853,Lore,4.2,4.8,5.2,3.8,5.7,7.621
Japan,1853,Stewards,3.0,4.0,6.6,2.8,1.8,5.444
Japan,1853,Craft,3.2,3.6,5.2,3.0,3.1,6.133
Japan,1853,Hands,3.6,4.2,5.0,3.2,4.4,6.719
Japan,1853,Archive,4.0,5.0,4.0,3.8,6.9,7.815
Japan,1853,Flow,2.8,4.2,6.0,2.6,2.3,5.249
Japan,1854,Helm,2.8,4.2,6.4,4.2,2.7,6.393
Japan,1854,Shield,2.4,4.2,7.0,3.8,1.5,5.573
Japan,1854,Lore,4.2,5.0,4.8,4.2,6.5,8.232
Japan,1854,Stewards,3.0,3.4,6.2,3.0,1.7,5.829
Japan,1854,Craft,4.0,3.8,4.6,3.4,4.9,7.548
Japan,1854,Hands,2.8,4.0,5.2,2.4,2.8,5.423
Japan,1854,Archive,4.2,4.8,4.2,4.4,7.0,8.569
Japan,1854,Flow,3.0,3.8,6.0,3.0,2.3,5.881
