Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Japan,1850.0,Army,7.0,6.0,4.0,3.0,10.5,3.772654012654012
Japan,1850.0,Executive,7.0,6.0,5.0,4.0,10.0,3.618429189857761
Japan,1850.0,Merchants / Shopkeepers,5.0,5.0,5.0,4.0,7.0,3.2725465011179296
Japan,1850.0,Priesthood / Knowledge Workers,6.0,5.0,5.0,5.0,8.5,3.560782075067789
Japan,1850.0,Proletariat,4.0,4.0,7.0,2.0,2.0,2.484897959183673
Japan,1850.0,Property,6.0,7.0,4.0,3.0,10.5,3.5899167499167497
Japan,1850.0,StateMemory,7.0,6.0,4.0,5.0,11.5,4.016303696303696
Japan,1850.0,Trades / Professions,5.0,5.0,6.0,4.0,6.0,3.0451282051282047
Japan,1851.0,Army,6.0,6.0,5.0,3.0,9.5,3.588079633079633
Japan,1851.0,Executive,6.0,5.0,6.0,4.0,7.0,3.278912778912779
Japan,1851.0,Merchants / Shopkeepers,5.0,5.0,5.0,4.0,7.0,3.2796914596914596
Japan,1851.0,Priesthood / Knowledge Workers,6.0,5.0,5.0,5.0,8.5,3.5684768384768383
Japan,1851.0,Proletariat,4.0,4.0,7.0,2.0,2.0,2.484897959183673
Japan,1851.0,Property,5.0,7.0,5.0,3.0,9.5,3.3276633276633277
Japan,1851.0,StateMemory,6.0,6.0,5.0,5.0,9.5,3.8219412119412118
Japan,1851.0,Trades / Professions,5.0,5.0,6.0,4.0,6.0,3.0451282051282047
Japan,1852.0,Army,6.0,6.0,5.0,3.0,9.5,3.588079633079633
Japan,1852.0,Executive,5.0,5.0,7.0,4.0,5.0,2.915720765720766
Japan,1852.0,Merchants / Shopkeepers,5.0,5.0,6.0,4.0,6.0,3.0451282051282047
Japan,1852.0,Priesthood / Knowledge Workers,6.0,5.0,5.0,5.0,8.5,3.5684768384768383
Japan,1852.0,Proletariat,4.0,4.0,7.0,2.0,2.0,2.484897959183673
Japan,1852.0,Property,5.0,7.0,5.0,3.0,9.5,3.3276633276633277
Japan,1852.0,StateMemory,6.0,6.0,5.0,5.0,9.5,3.8219412119412118
Japan,1852.0,Trades / Professions,5.0,5.0,6.0,4.0,6.0,3.0451282051282047
Japan,1853.0,Army,5.0,5.0,7.0,4.0,5.0,2.915720765720766
Japan,1853.0,Executive,4.0,4.0,8.0,5.0,2.5,2.4764042857142854
Japan,1853.0,Merchants / Shopkeepers,4.0,5.0,7.0,5.0,4.5,2.802102802102802
Japan,1853.0,Priesthood / Knowledge Workers,5.0,5.0,6.0,6.0,7.0,3.161428571428571
Japan,1853.0,Proletariat,3.0,3.0,8.0,2.0,-2.0,1.9333333333333333
Japan,1853.0,Property,4.0,6.0,7.0,4.0,5.0,2.8333333333333335
Japan,1853.0,StateMemory,5.0,5.0,7.0,6.0,6.0,3.2081632653061225
Japan,1853.0,Trades / Professions,4.0,5.0,7.0,5.0,4.5,2.802102802102802
Japan,1854.0,Army,5.0,5.0,7.0,4.0,5.0,2.915720765720766
Japan,1854.0,Executive,4.0,4.0,8.0,5.0,2.5,2.4764042857142854
Japan,1854.0,Merchants / Shopkeepers,4.0,5.0,7.0,5.0,4.5,2.802102802102802
Japan,1854.0,Priesthood / Knowledge Workers,5.0,5.0,6.0,6.0,7.0,3.161428571428571
Japan,1854.0,Proletariat,3.0,3.0,8.0,2.0,-2.0,1.9333333333333333
Japan,1854.0,Property,4.0,6.0,7.0,4.0,5.0,2.8333333333333335
Japan,1854.0,StateMemory,5.0,5.0,7.0,6.0,6.0,3.2081632653061225
Japan,1854.0,Trades / Professions,4.0,5.0,7.0,5.0,4.5,2.802102802102802
Japan,1855.0,Army,4.0,4.0,8.0,5.0,2.5,2.4764042857142854
Japan,1855.0,Executive,3.0,3.0,9.0,6.0,-0.0,1.9333333333333333
Japan,1855.0,Merchants / Shopkeepers,3.0,4.0,8.0,6.0,2.0,2.3095238095238093
Japan,1855.0,Priesthood / Knowledge Workers,4.0,4.0,7.0,7.0,4.5,2.802102802102802
Japan,1855.0,Proletariat,2.0,2.0,9.0,3.0,-0.5,1.488095238095238
Japan,1855.0,Property,3.0,5.0,8.0,5.0,2.5,2.3833333333333333
Japan,1855.0,StateMemory,4.0,4.0,8.0,7.0,3.5,2.8959183673469386
Japan,1855.0,Trades / Professions,3.0,4.0,8.0,6.0,2.0,2.3095238095238093
Japan,1856.0,Army,4.0,4.0,8.0,5.0,2.5,2.4764042857142854
Japan,1856.0,Executive,3.0,3.0,9.0,6.0,-0.0,1.9333333333333333
Japan,1856.0,Merchants / Shopkeepers,3.0,4.0,8.0,6.0,2.0,2.3095238095238093
Japan,1856.0,Priesthood / Knowledge Workers,4.0,4.0,7.0,7.0,4.5,2.802102802102802
Japan,1856.0,Proletariat,2.0,2.0,9.0,3.0,-0.5,1.488095238095238
