Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Latvia,1901,Archive,5,6,5,7,9.5,1.942
Latvia,1901,Craft,7,7,6,7,11.5,1.971
Latvia,1901,Flow,7,8,5,7,13.5,2.110
Latvia,1901,Hands,5,6,3,4,10.0,2.060
Latvia,1901,Helm,5,6,7,4,6.0,1.545
Latvia,1901,Lore,7,7,5,8,13.0,2.166
Latvia,1901,Shield,7,7,6,3,9.5,1.758
Latvia,1901,Stewards,7,8,5,5,12.5,1.998
Latvia,1902,Archive,5,6,6,7,8.5,1.667
Latvia,1902,Craft,7,8,7,7,11.5,1.708
Latvia,1902,Flow,6,7,6,7,10.5,1.725
Latvia,1902,Hands,6,7,4,5,11.5,1.848
Latvia,1902,Helm,4,6,8,4,4.0,1.285
Latvia,1902,Lore,7,8,6,8,13.0,1.860
Latvia,1902,Shield,7,7,7,3,8.5,1.524
Latvia,1902,Stewards,7,8,6,5,11.5,1.715
Latvia,1903,Archive,4,5,7,7,5.5,1.376
Latvia,1903,Craft,8,9,8,8,13.0,1.585
Latvia,1903,Flow,5,6,8,6,6.0,1.326
Latvia,1903,Hands,7,8,5,6,13.0,1.689
Latvia,1903,Helm,4,5,9,3,1.5,1.089
Latvia,1903,Lore,8,8,7,9,13.5,1.708
Latvia,1903,Shield,7,7,8,3,7.5,1.326
Latvia,1903,Stewards,6,7,8,4,7.0,1.307
Latvia,1904,Archive,3,4,8,6,2.0,1.121
Latvia,1904,Craft,9,9,9,9,13.5,1.499
Latvia,1904,Flow,4,5,9,5,2.5,1.087
Latvia,1904,Hands,8,9,6,7,14.5,1.576
Latvia,1904,Helm,3,5,9,2,0.0,0.925
Latvia,1904,Lore,9,9,8,9,14.5,1.568
Latvia,1904,Shield,7,7,9,3,6.5,1.177
Latvia,1904,Stewards,5,6,9,3,3.5,1.069
Latvia,1905,Archive,1,1,10,2,-7.0,0.613
Latvia,1905,Craft,10,10,10,10,15.0,1.294
Latvia,1905,Flow,1,1,10,1,-7.5,0.582
Latvia,1905,Hands,9,10,9,9,14.5,1.262
Latvia,1905,Helm,1,3,10,1,-5.5,0.582
Latvia,1905,Lore,10,10,9,10,16.0,1.344
Latvia,1905,Shield,5,6,10,2,2.0,0.803
Latvia,1905,Stewards,2,1,10,1,-6.5,0.630
Latvia,1906,Archive,3,4,8,4,1.0,0.813
Latvia,1906,Craft,3,3,10,4,-2.0,0.742
Latvia,1906,Flow,5,5,8,3,3.5,0.887
Latvia,1906,Hands,2,1,10,2,-6.0,0.622
Latvia,1906,Helm,4,6,8,3,3.5,0.832
Latvia,1906,Lore,4,3,10,5,-0.5,0.828
Latvia,1906,Shield,8,9,7,3,11.5,1.102
Latvia,1906,Stewards,6,7,7,3,7.5,0.987
Latvia,1907,Archive,4,5,7,4,4.0,1.036
Latvia,1907,Craft,2,2,9,3,-3.5,0.773
Latvia,1907,Flow,6,7,6,5,9.5,1.275
Latvia,1907,Hands,1,1,9,1,-6.5,0.635
Latvia,1907,Helm,5,7,6,4,8.0,1.163
Latvia,1907,Lore,3,2,9,4,-2.0,0.871
Latvia,1907,Shield,8,9,6,3,12.5,1.320
Latvia,1907,Stewards,7,8,5,4,12.0,1.371
Latvia,1908,Archive,5,5,6,5,6.5,1.410
Latvia,1908,Craft,3,3,8,4,0.0,1.071
Latvia,1908,Flow,7,8,5,6,13.0,1.711
Latvia,1908,Hands,2,1,8,2,-4.0,0.915
Latvia,1908,Helm,6,7,5,4,10.0,1.530
Latvia,1908,Lore,3,2,8,5,-0.5,1.116
Latvia,1908,Shield,8,9,5,3,13.5,1.633
Latvia,1908,Stewards,7,8,4,4,13.0,1.714
Latvia,1909,Archive,6,6,5,6,10.0,1.808
Latvia,1909,Craft,4,4,7,5,3.5,1.387
Latvia,1909,Flow,8,9,4,7,16.5,2.169
Latvia,1909,Hands,2,2,7,2,-2.0,1.092
Latvia,1909,Helm,6,7,5,4,10.0,1.699
Latvia,1909,Lore,4,3,7,6,6.0,1.436
Latvia,1909,Shield,8,9,5,3,13.5,1.808
Latvia,1909,Stewards,7,8,4,4,13.0,1.910
Latvia,1910,Archive,7,7,4,7,13.5,2.348
Latvia,1910,Craft,5,5,6,6,7.0,1.809
Latvia,1910,Flow,9,10,3,8,20.0,2.803
Latvia,1910,Hands,3,2,6,3,0.5,1.478
Latvia,1910,Helm,6,7,5,4,10.0,1.919
Latvia,1910,Lore,5,4,6,7,6.5,1.864
