Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Mongolia,1850,Helm,5.4,4.8,3.2,2.6,8.3,13.404
Mongolia,1850,Shield,4.8,4.2,3,2.2,7.1,12.157
Mongolia,1850,Lore,6,5.8,3,3.4,10.5,15.04
Mongolia,1850,Stewards,5,4.8,3.8,2.2,7.1,12.109
Mongolia,1850,Craft,4,3.4,3.2,1.8,5.1,10.248
Mongolia,1850,Hands,5.2,5.6,4,2.2,7.9,12.364
Mongolia,1850,Archive,5,4.6,3.2,2.8,7.8,12.79
Mongolia,1850,Flow,4.8,4.8,3.8,2.6,7.1,11.984
Mongolia,1851,Helm,5.4,4.8,3.2,2.6,8.3,13.404
Mongolia,1851,Shield,4.8,4.2,3,2.2,7.1,12.157
Mongolia,1851,Lore,6,5.8,3,3.4,10.5,15.04
Mongolia,1851,Stewards,5,4.8,3.8,2.2,7.1,12.109
Mongolia,1851,Craft,4,3.4,3.2,1.8,5.1,10.248
Mongolia,1851,Hands,5.2,5.6,4,2.2,7.9,12.364
Mongolia,1851,Archive,5,4.6,3.2,2.8,7.8,12.79
Mongolia,1851,Flow,4.8,4.8,3.8,2.6,7.1,11.984
Mongolia,1852,Helm,5.4,4.8,3.2,2.6,8.3,13.404
Mongolia,1852,Shield,4.8,4.2,3,2.2,7.1,12.157
Mongolia,1852,Lore,6,5.8,3,3.4,10.5,15.04
Mongolia,1852,Stewards,5,4.8,3.8,2.2,7.1,12.109
Mongolia,1852,Craft,4,3.4,3.2,1.8,5.1,10.248
Mongolia,1852,Hands,5.2,5.6,4,2.2,7.9,12.364
Mongolia,1852,Archive,5,4.6,3.2,2.8,7.8,12.79
Mongolia,1852,Flow,4.8,4.8,3.8,2.6,7.1,11.984
Mongolia,1853,Helm,5.4,4.8,3.2,2.6,8.3,13.404
Mongolia,1853,Shield,4.8,4.2,3,2.2,7.1,12.157
Mongolia,1853,Lore,6,5.8,3,3.4,10.5,15.04
Mongolia,1853,Stewards,5,4.8,3.8,2.2,7.1,12.109
Mongolia,1853,Craft,4,3.4,3.2,1.8,5.1,10.248
Mongolia,1853,Hands,5.2,5.6,4,2.2,7.9,12.364
Mongolia,1853,Archive,5,4.6,3.2,2.8,7.8,12.79
Mongolia,1853,Flow,4.8,4.8,3.8,2.6,7.1,11.984
Mongolia,1854,Helm,5.4,4.8,3.2,2.6,8.3,13.404
Mongolia,1854,Shield,4.8,4.2,3,2.2,7.1,12.157
Mongolia,1854,Lore,6,5.8,3,3.4,10.5,15.04
Mongolia,1854,Stewards,5,4.8,3.8,2.2,7.1,12.109
Mongolia,1854,Craft,4,3.4,3.2,1.8,5.1,10.248
Mongolia,1854,Hands,5.2,5.6,4,2.2,7.9,12.364
Mongolia,1854,Archive,5,4.6,3.2,2.8,7.8,12.79
Mongolia,1854,Flow,4.8,4.8,3.8,2.6,7.1,11.984
Mongolia,1855,Helm,5.4,4.8,3.2,2.6,8.3,13.404
Mongolia,1855,Shield,4.8,4.2,3,2.2,7.1,12.157
Mongolia,1855,Lore,6,5.8,3,3.4,10.5,15.04
Mongolia,1855,Stewards,5,4.8,3.8,2.2,7.1,12.109
Mongolia,1855,Craft,4,3.4,3.2,1.8,5.1,10.248
Mongolia,1855,Hands,5.2,5.6,4,2.2,7.9,12.364
Mongolia,1855,Archive,5,4.6,3.2,2.8,7.8,12.79
Mongolia,1855,Flow,4.8,4.8,3.8,2.6,7.1,11.984
Mongolia,1856,Helm,5.4,4.8,3.2,2.6,8.3,13.404
Mongolia,1856,Shield,4.8,4.2,3,2.2,7.1,12.157
Mongolia,1856,Lore,6,5.8,3,3.4,10.5,15.04
Mongolia,1856,Stewards,5,4.8,3.8,2.2,7.1,12.109
Mongolia,1856,Craft,4,3.4,3.2,1.8,5.1,10.248
Mongolia,1856,Hands,5.2,5.6,4,2.2,7.9,12.364
Mongolia,1856,Archive,5,4.6,3.2,2.8,7.8,12.79
Mongolia,1856,Flow,4.8,4.8,3.8,2.6,7.1,11.984
Mongolia,1857,Helm,5.4,4.8,3.2,2.6,8.3,13.404
Mongolia,1857,Shield,4.8,4.2,3,2.2,7.1,12.157
Mongolia,1857,Lore,6,5.8,3,3.4,10.5,15.04
Mongolia,1857,Stewards,5,4.8,3.8,2.2,7.1,12.109
Mongolia,1857,Craft,4,3.4,3.2,1.8,5.1,10.248
Mongolia,1857,Hands,5.2,5.6,4,2.2,7.9,12.364
Mongolia,1857,Archive,5,4.6,3.2,2.8,7.8,12.79
Mongolia,1857,Flow,4.8,4.8,3.8,2.6,7.1,11.984
Mongolia,1858,Helm,5.4,4.8,3.2,2.6,8.3,13.404
Mongolia,1858,Shield,4.8,4.2,3,2.2,7.1,12.157
Mongolia,1858,Lore,6,5.8,3,3.4,10.5,15.04
Mongolia,1858,Stewards,5,4.8,3.8,2.2,7.1,12.109
Mongolia,1858,Craft,4,3.4,3.2,1.8,5.1,10.248
Mongolia,1858,Hands,5.2,5.6,4,2.2,7.9,12.364
Mongolia,1858,Archive,5,4.6,3.2,2.8,7.8,12.79
Mongolia,1858,Flow,4.8,4.8,3.8,2.6,7.1,11.984
