Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
New Zealand,1900,Helm,6,6,3,5,11.5,22.118
New Zealand,1900,Shield,4,5,2,4,9.0,17.089
New Zealand,1900,Lore,5,5,2,5,10.5,20.776
New Zealand,1900,Stewards,7,7,2,5,14.5,25.227
New Zealand,1900,Craft,5,6,2,4,11.0,19.525
New Zealand,1900,Hands,6,6,2,4,12.0,21.820
New Zealand,1900,Archive,5,5,2,4,10.0,19.525
New Zealand,1900,Flow,6,6,2,5,12.5,23.072
New Zealand,1901,Helm,6,6,3,5,11.5,22.118
New Zealand,1901,Shield,4,5,2,4,9.0,17.089
New Zealand,1901,Lore,5,5,2,5,10.5,20.776
New Zealand,1901,Stewards,7,7,2,5,14.5,25.227
New Zealand,1901,Craft,5,6,2,4,11.0,19.525
New Zealand,1901,Hands,6,6,2,4,12.0,21.820
New Zealand,1901,Archive,5,5,2,4,10.0,19.525
New Zealand,1901,Flow,6,6,2,5,12.5,23.072
New Zealand,1902,Helm,6,6,3,5,11.5,22.118
New Zealand,1902,Shield,4,5,2,4,9.0,17.089
New Zealand,1902,Lore,5,5,2,5,10.5,20.776
New Zealand,1902,Stewards,7,7,2,5,14.5,25.227
New Zealand,1902,Craft,5,6,2,4,11.0,19.525
New Zealand,1902,Hands,6,6,2,4,12.0,21.820
New Zealand,1902,Archive,5,5,2,4,10.0,19.525
New Zealand,1902,Flow,6,6,2,5,12.5,23.072
New Zealand,1903,Helm,6,6,3,5,11.5,22.118
New Zealand,1903,Shield,4,5,2,4,9.0,17.089
New Zealand,1903,Lore,5,5,2,5,10.5,20.776
New Zealand,1903,Stewards,7,7,2,5,14.5,25.227
New Zealand,1903,Craft,5,6,2,4,11.0,19.525
New Zealand,1903,Hands,6,6,2,4,12.0,21.820
New Zealand,1903,Archive,5,5,2,4,10.0,19.525
New Zealand,1903,Flow,6,6,2,5,12.5,23.072
New Zealand,1904,Helm,6,6,3,5,11.5,22.118
New Zealand,1904,Shield,4,5,2,4,9.0,17.089
New Zealand,1904,Lore,5,5,2,5,10.5,20.776
New Zealand,1904,Stewards,7,7,2,5,14.5,25.227
New Zealand,1904,Craft,5,6,2,4,11.0,19.525
New Zealand,1904,Hands,6,6,2,4,12.0,21.820
New Zealand,1904,Archive,5,5,2,4,10.0,19.525
New Zealand,1904,Flow,6,6,2,5,12.5,23.072
New Zealand,1905,Helm,6,6,2,5,12.5,23.252
New Zealand,1905,Shield,4,5,2,4,9.0,17.217
New Zealand,1905,Lore,5,6,2,5,11.5,20.936
New Zealand,1905,Stewards,7,7,2,5,14.5,25.427
New Zealand,1905,Craft,5,6,2,4,11.0,19.673
New Zealand,1905,Hands,6,6,2,4,12.0,21.989
New Zealand,1905,Archive,5,5,2,4,10.0,19.673
New Zealand,1905,Flow,6,6,2,5,12.5,23.252
New Zealand,1906,Helm,6,6,2,5,12.5,23.252
New Zealand,1906,Shield,4,5,2,4,9.0,17.217
New Zealand,1906,Lore,5,6,2,5,11.5,20.936
New Zealand,1906,Stewards,7,7,2,5,14.5,25.427
New Zealand,1906,Craft,5,6,2,4,11.0,19.673
New Zealand,1906,Hands,6,6,2,4,12.0,21.989
New Zealand,1906,Archive,5,5,2,4,10.0,19.673
New Zealand,1906,Flow,6,7,2,5,13.5,23.252
New Zealand,1907,Helm,6,6,2,5,12.5,23.252
New Zealand,1907,Shield,4,5,2,4,9.0,17.217
New Zealand,1907,Lore,5,6,2,5,11.5,20.936
New Zealand,1907,Stewards,7,7,2,5,14.5,25.427
New Zealand,1907,Craft,5,6,2,4,11.0,19.673
New Zealand,1907,Hands,6,6,2,4,12.0,21.989
New Zealand,1907,Archive,5,5,2,4,10.0,19.673
New Zealand,1907,Flow,6,7,2,5,13.5,23.252
New Zealand,1908,Helm,6,6,2,5,12.5,23.252
New Zealand,1908,Shield,4,5,2,4,9.0,17.217
New Zealand,1908,Lore,5,6,2,5,11.5,20.936
New Zealand,1908,Stewards,7,7,2,5,14.5,25.427
New Zealand,1908,Craft,5,6,2,4,11.0,19.673
New Zealand,1908,Hands,6,6,2,4,12.0,21.989
New Zealand,1908,Archive,5,5,2,4,10.0,19.673
New Zealand,1908,Flow,6,7,2,5,13.5,23.252
New Zealand,1909,Helm,6,6,2,5,12.5,23.252
New Zealand,1909,Shield,4,5,2,4,9.0,17.217
New Zealand,1909,Lore,5,6,2,5,11.5,20.936
New Zealand,1909,Stewards,7,7,2,5,14.5,25.427
New Zealand,1909,Craft,5,6,2,4,11.0,19.673
New Zealand,1909,Hands,6,6,2,4,12.0,21.989
New Zealand,1909,Archive,5,5,2,4,10.0,19.673
New Zealand,1909,Flow,6,7,2,5,13.5,23.252
New Zealand,1910,Helm,6,6,2,5,12.5,23.252
New Zealand,1910,Shield,4,5,2,4,9.0,17.217
New Zealand,1910,Lore,5,6,2,5,11.5,20.936
New Zealand,1910,Stewards,7,7,2,5,14.5,25.427
New Zealand,1910,Craft,5,6,2,4,11.0,19.673
New Zealand,1910,Hands,6,6,2,4,12.0,21.989
New Zealand,1910,Archive,5,5,2,4,10.0,19.673
New Zealand,1910,Flow,6,7,2,5,13.5,23.252
New Zealand,1911,Helm,6,6,2,5,12.5,23.252
New Zealand,1911,Shield,4,5,2,4,9.0,17.217
New Zealand,1911,Lore,5,6,2,5,11.5,20.936
New Zealand,1911,Stewards,7,7,2,5,14.5,25.427
New Zealand,1911,Craft,5,6,2,4,11.0,19.673
New Zealand,1911,Hands,6,6,2,4,12.0,21.989
New Zealand,1911,Archive,5,5,2,4,10.0,19.673
New Zealand,1911,Flow,6,7,2,5,13.5,23.252
New Zealand,1912,Helm,6,6,2,5,12.5,23.252
New Zealand,1912,Shield,4,5,2,4,9.0,17.217
New Zealand,1912,Lore,5,6,2,5,11.5,20.936
