Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Poland,1875,Helm,2.0,2.0,7.2,5.4,-0.5,4.136
Poland,1875,Shield,2.0,2.0,7.0,4.0,-1.0,4.04
Poland,1875,Lore,6.2,5.0,5.8,7.0,8.9,7.251
Poland,1875,Stewards,4.0,4.0,6.0,5.0,4.5,5.583
Poland,1875,Craft,4.0,4.0,5.0,5.0,5.5,5.199
Poland,1875,Hands,3.0,3.0,7.0,4.0,1.0,4.612
Poland,1875,Archive,5.0,4.4,6.0,7.0,6.9,6.522
Poland,1875,Flow,4.0,4.0,5.8,5.0,4.7,5.566
Poland,1876,Helm,2.0,2.0,7.2,5.4,-0.5,4.136
Poland,1876,Shield,2.0,2.0,7.0,4.0,-1.0,4.04
Poland,1876,Lore,6.2,5.0,5.8,7.0,8.9,7.251
Poland,1876,Stewards,4.0,4.0,6.0,5.0,4.5,5.583
Poland,1876,Craft,4.0,4.0,5.0,5.0,5.5,5.199
Poland,1876,Hands,3.0,3.0,7.0,4.0,1.0,4.612
Poland,1876,Archive,5.0,4.4,6.0,7.0,6.9,6.522
Poland,1876,Flow,4.0,4.0,5.8,5.0,4.7,5.566
Poland,1877,Helm,2.0,2.0,7.2,5.4,-0.5,4.136
Poland,1877,Shield,2.0,2.0,7.0,4.0,-1.0,4.04
Poland,1877,Lore,6.2,5.0,5.8,7.0,8.9,7.251
Poland,1877,Stewards,4.0,4.0,6.0,5.0,4.5,5.583
Poland,1877,Craft,4.0,4.0,5.0,5.0,5.5,5.199
Poland,1877,Hands,3.0,3.0,7.0,4.0,1.0,4.612
Poland,1877,Archive,5.0,4.4,6.0,7.0,6.9,6.522
Poland,1877,Flow,4.0,4.0,5.8,5.0,4.7,5.566
Poland,1878,Helm,2.0,2.0,7.2,5.4,-0.5,4.136
Poland,1878,Shield,2.0,2.0,7.0,4.0,-1.0,4.04
Poland,1878,Lore,6.2,5.0,5.8,7.0,8.9,7.251
Poland,1878,Stewards,4.0,4.0,6.0,5.0,4.5,5.583
Poland,1878,Craft,4.0,4.0,5.0,5.0,5.5,5.199
