Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Rome,10,Archive,7,7,3,6,14.0,3.083
Rome,10,Craft,7,7,3,5,13.5,3.002
Rome,10,Flow,7,7,3,6,14.0,3.083
Rome,10,Hands,6,6,4,4,10.0,2.531
Rome,10,Helm,7,7,3,6,14.0,3.083
Rome,10,Lore,7,7,3,7,14.5,3.164
Rome,10,Shield,7,7,5,5,11.5,2.479
Rome,10,Stewards,7,7,3,5,13.5,3.002
Rome,20,Archive,7,7,3,6,14.0,2.979
Rome,20,Craft,7,7,3,5,13.5,2.9
Rome,20,Flow,7,7,3,6,14.0,2.979
Rome,20,Hands,6,6,4,4,10.0,2.45
Rome,20,Helm,6,6,4,6,11.0,2.597
Rome,20,Lore,6,6,4,7,11.5,2.671
Rome,20,Shield,7,7,4,5,12.5,2.634
Rome,20,Stewards,7,7,3,5,13.5,2.9
Rome,30,Archive,6,6,4,6,11.0,2.268
Rome,30,Craft,6,6,4,5,10.5,2.202
Rome,30,Flow,6,6,4,6,11.0,2.268
Rome,30,Hands,6,6,4,4,10.0,2.137
Rome,30,Helm,5,6,6,6,8.0,1.855
Rome,30,Lore,6,6,5,7,10.5,2.155
Rome,30,Shield,7,7,4,5,12.5,2.301
Rome,30,Stewards,6,6,4,5,10.5,2.202
Rome,40,Archive,6,6,5,6,10.0,1.932
Rome,40,Craft,6,7,4,5,11.5,2.018
Rome,40,Flow,6,6,5,6,10.0,1.932
Rome,40,Hands,6,6,4,4,10.0,1.957
Rome,40,Helm,4,5,7,6,5.0,1.53
Rome,40,Lore,5,6,5,7,9.5,1.903
Rome,40,Shield,6,7,5,5,10.5,1.874
Rome,40,Stewards,6,6,5,5,9.5,1.874
Rome,50,Archive,7,7,3,6,14.0,3.026
Rome,50,Craft,7,7,3,5,13.5,2.945
Rome,50,Flow,7,7,3,6,14.0,3.026
Rome,50,Hands,6,6,3,4,11.0,2.743
Rome,50,Helm,6,7,4,6,12.0,2.633
Rome,50,Lore,6,6,4,7,11.5,2.708
Rome,50,Shield,7,7,4,5,12.5,2.67
Rome,50,Stewards,7,7,3,5,13.5,2.945
Rome,60,Archive,6,6,5,6,10.0,1.972
Rome,60,Craft,6,6,4,5,10.5,2.063
Rome,60,Flow,6,7,4,6,12.0,2.124
Rome,60,Hands,6,6,5,4,9.0,1.856
Rome,60,Helm,5,6,6,7,8.5,1.81
Rome,60,Lore,5,6,5,7,9.5,1.943
Rome,60,Shield,6,7,5,5,10.5,1.914
Rome,60,Stewards,6,6,5,5,9.5,1.914
Rome,70,Archive,6,6,5,6,10.0,2.007
Rome,70,Craft,7,7,4,5,12.5,2.192
Rome,70,Flow,6,7,5,6,11.0,2.007
Rome,70,Hands,6,6,5,4,9.0,1.891
Rome,70,Helm,6,7,5,6,11.0,2.007
Rome,70,Lore,6,6,5,6,10.0,2.007
