Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Russia,1800,Helm,7,7,4,6,13.0,25.578
Russia,1800,Shield,8,8,3,6,16.0,28.795
Russia,1800,Lore,6,6,5,5,9.5,21.327
Russia,1800,Stewards,7,7,4,5,12.5,24.46
Russia,1800,Craft,6,6,5,5,9.5,21.327
Russia,1800,Hands,5,6,6,4,7.0,17.166
Russia,1800,Archive,7,7,4,5,12.5,24.46
Russia,1800,Flow,6,7,5,5,10.5,21.327
Russia,1801,Helm,7,7,4,6,13.0,25.578
Russia,1801,Shield,8,8,3,6,16.0,28.795
Russia,1801,Lore,6,6,5,5,9.5,21.327
Russia,1801,Stewards,7,7,4,5,12.5,24.46
Russia,1801,Craft,6,6,5,5,9.5,21.327
Russia,1801,Hands,5,6,6,4,7.0,17.166
Russia,1801,Archive,7,7,4,5,12.5,24.46
Russia,1801,Flow,6,7,5,5,10.5,21.327
Russia,1802,Helm,7,7,4,6,13.0,25.578
Russia,1802,Shield,8,8,3,6,16.0,28.795
Russia,1802,Lore,6,6,5,5,9.5,21.327
Russia,1802,Stewards,7,7,4,5,12.5,24.46
Russia,1802,Craft,6,6,5,5,9.5,21.327
Russia,1802,Hands,5,6,6,4,7.0,17.166
Russia,1802,Archive,7,7,4,5,12.5,24.46
Russia,1802,Flow,6,7,5,5,10.5,21.327
Russia,1803,Helm,7,7,4,7,13.5,27.143
Russia,1803,Shield,8,8,3,6,16.0,29.266
Russia,1803,Lore,6,6,5,6,10.0,22.837
Russia,1803,Stewards,7,7,4,5,12.5,24.833
Russia,1803,Craft,6,6,5,5,9.5,21.683
Russia,1803,Hands,5,6,6,4,7.0,17.437
Russia,1803,Archive,7,7,4,5,12.5,24.833
Russia,1803,Flow,6,7,5,5,10.5,21.683
Russia,1804,Helm,7,7,4,7,13.5,27.143
Russia,1804,Shield,8,8,3,6,16.0,29.266
Russia,1804,Lore,6,6,5,6,10.0,22.837
Russia,1804,Stewards,7,7,4,5,12.5,24.833
Russia,1804,Craft,6,6,5,5,9.5,21.683
Russia,1804,Hands,5,6,6,4,7.0,17.437
Russia,1804,Archive,7,7,4,5,12.5,24.833
Russia,1804,Flow,6,7,5,5,10.5,21.683
Russia,1805,Helm,7,7,5,7,12.5,25.584
Russia,1805,Shield,8,8,4,6,15.0,27.604
Russia,1805,Lore,6,6,5,6,10.0,22.449
Russia,1805,Stewards,7,7,4,5,12.5,24.407
Russia,1805,Craft,6,6,5,5,9.5,21.318
Russia,1805,Hands,5,6,6,4,7.0,17.152
Russia,1805,Archive,7,7,4,5,12.5,24.407
Russia,1805,Flow,6,7,5,5,10.5,21.318
Russia,1806,Helm,7,7,5,7,12.5,25.289
Russia,1806,Shield,8,8,4,6,15.0,27.28
Russia,1806,Lore,6,6,5,6,10.0,22.196
Russia,1806,Stewards,7,7,4,5,12.5,24.128
Russia,1806,Craft,6,6,5,5,9.5,21.08
Russia,1806,Hands,5,6,7,4,6.0,16.216
Russia,1806,Archive,7,7,4,5,12.5,24.128
Russia,1806,Flow,6,7,6,5,9.5,20.179
Russia,1807,Helm,7,7,6,7,11.5,23.872
Russia,1807,Shield,8,8,4,6,15.0,26.843
Russia,1807,Lore,6,6,5,6,10.0,21.853
Russia,1807,Stewards,7,6,5,5,10.5,22.768
Russia,1807,Craft,6,6,5,5,9.5,20.758
Russia,1807,Hands,5,5,7,4,5.0,15.976
Russia,1807,Archive,7,7,4,5,12.5,23.751
Russia,1807,Flow,6,6,6,5,8.5,19.873
Russia,1808,Helm,7,7,6,7,11.5,22.645
Russia,1808,Shield,8,8,5,6,14.0,24.388
Russia,1808,Lore,6,6,6,6,9.0,19.881
Russia,1808,Stewards,6,6,6,5,8.5,18.866
Russia,1808,Craft,6,6,6,5,8.5,18.866
Russia,1808,Hands,5,5,7,4,5.0,15.185
Russia,1808,Archive,7,7,5,5,11.5,21.572
Russia,1808,Flow,6,6,6,5,8.5,18.866
Russia,1809,Helm,7,7,6,7,11.5,22.645
Russia,1809,Shield,8,8,5,6,14.0,24.388
Russia,1809,Lore,6,6,6,6,9.0,19.881
Russia,1809,Stewards,6,6,6,5,8.5,18.866
