Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Russia,1800,Helm,6.2,6.4,3.8,5.4,11.5,17.899
Russia,1800,Shield,6.8,7.2,4.0,4.2,12.1,17.622
Russia,1800,Lore,5.4,4.2,4.4,4.6,7.5,15.481
Russia,1800,Stewards,5.4,5.8,3.8,4.0,9.4,15.317
Russia,1800,Craft,4.0,4.0,4.8,4.4,5.4,12.64
Russia,1800,Hands,3.6,4.2,6.2,2.6,2.9,9.557
Russia,1800,Archive,5.0,5.2,3.6,4.2,8.7,14.946
Russia,1800,Flow,4.4,5.0,5.2,4.0,6.2,12.757
Russia,1801,Helm,5.8,5.4,4.2,4.8,9.4,16.628
Russia,1801,Shield,7.2,6.6,4.2,5.2,12.2,19.181
Russia,1801,Lore,5.2,3.8,4.0,5.2,7.6,16.104
Russia,1801,Stewards,5.8,5.6,4.2,4.0,9.2,15.889
Russia,1801,Craft,4.0,3.8,4.8,4.0,5.0,12.401
Russia,1801,Hands,4.2,4.2,5.6,3.2,4.4,11.57
Russia,1801,Archive,5.2,5.2,4.4,3.8,7.9,14.56
Russia,1801,Flow,4.2,4.4,5.6,3.8,4.9,12.135
Russia,1802,Helm,6.0,6.0,4.0,4.4,10.2,16.465
Russia,1802,Shield,7.2,6.4,3.8,5.0,12.3,19.003
Russia,1802,Lore,4.8,4.0,3.8,4.6,7.3,14.724
Russia,1802,Stewards,6.2,6.0,3.6,4.2,10.7,16.888
Russia,1802,Craft,4.0,3.8,5.2,4.0,4.6,11.964
Russia,1802,Hands,4.2,4.2,6.2,2.8,3.6,10.728
Russia,1802,Archive,4.6,5.2,4.6,4.0,7.2,13.358
Russia,1802,Flow,4.2,4.8,5.2,3.4,5.5,11.782
Russia,1803,Helm,6.4,6.4,4.0,5.0,11.3,17.921
Russia,1803,Shield,7.0,6.6,4.0,5.4,12.3,19.203
Russia,1803,Lore,4.6,3.8,4.2,5.0,6.7,14.758
Russia,1803,Stewards,6.0,5.6,4.4,4.0,9.2,16.074
Russia,1803,Craft,4.2,4.2,5.6,4.0,4.8,12.325
Russia,1803,Hands,4.0,3.8,6.6,3.0,2.7,10.538
Russia,1803,Archive,5.0,5.0,4.2,4.2,7.9,14.724
Russia,1803,Flow,4.4,4.8,5.0,3.8,6.1,12.819
Russia,1804,Helm,6.2,6.0,4.2,4.6,10.3,16.804
Russia,1804,Shield,7.0,6.6,4.4,5.0,11.7,18.234
Russia,1804,Lore,5.0,3.4,4.2,5.0,6.7,15.159
Russia,1804,Stewards,5.8,6.4,4.0,4.4,10.4,16.119
Russia,1804,Craft,4.2,4.4,5.0,3.4,5.3,11.877
Russia,1804,Hands,4.0,4.2,6.0,3.0,3.7,10.654
Russia,1804,Archive,4.8,5.2,4.0,4.0,8.0,14.056
Russia,1804,Flow,4.2,5.2,4.8,3.4,6.3,11.983
Russia,1805,Helm,6.0,5.8,4.8,4.8,9.4,16.212
Russia,1805,Shield,7.0,6.6,6.4,5.0,9.7,16.769
Russia,1805,Lore,5.0,3.8,4.2,4.8,7.0,14.964
Russia,1805,Stewards,6.6,5.8,4.2,4.2,10.3,17.03
Russia,1805,Craft,4.0,4.0,5.0,3.8,4.9,11.87
Russia,1805,Hands,4.2,4.2,6.0,3.6,4.2,11.515
Russia,1805,Archive,5.0,5.0,4.4,3.4,7.3,13.568
Russia,1805,Flow,4.2,5.0,4.8,4.2,6.5,12.691
Russia,1806,Helm,5.2,5.6,6.2,5.4,7.3,13.809
Russia,1806,Shield,6.0,5.8,7.2,4.8,7.0,13.89
Russia,1806,Lore,5.0,4.0,4.0,4.6,7.3,14.158
Russia,1806,Stewards,6.2,5.6,4.2,3.6,9.4,14.966
Russia,1806,Craft,4.0,4.0,5.0,4.2,5.1,11.64
Russia,1806,Hands,4.2,4.2,5.8,2.6,3.9,10.133
Russia,1806,Archive,5.2,5.2,3.4,4.4,9.2,14.665
Russia,1806,Flow,4.0,5.0,5.0,3.8,5.9,11.29
Russia,1807,Helm,4.6,6.2,5.0,5.0,8.3,13.604
Russia,1807,Shield,6.0,5.6,4.8,5.0,9.3,15.835
Russia,1807,Lore,4.8,4.4,4.0,5.0,7.7,14.519
Russia,1807,Stewards,6.4,5.6,3.8,4.4,10.4,16.515
Russia,1807,Craft,4.2,4.4,5.4,4.4,5.4,12.211
Russia,1807,Hands,4.0,4.6,6.6,2.6,3.3,9.611
Russia,1807,Archive,4.8,4.6,3.6,4.2,7.9,14.006
Russia,1807,Flow,4.0,5.0,5.0,4.2,6.1,11.915
Russia,1808,Helm,6.2,6.4,4.0,5.0,11.1,17.883
Russia,1808,Shield,7.4,7.4,4.2,4.8,13.0,19.428
Russia,1808,Lore,5.0,4.0,4.6,4.8,6.8,15.254
Russia,1808,Stewards,6.0,6.0,3.6,4.0,10.4,16.884
Russia,1808,Craft,4.6,3.4,5.0,4.0,5.0,13.558
Russia,1808,Hands,4.0,4.2,6.6,3.6,3.4,11.258
Russia,1808,Archive,4.8,4.6,3.8,4.4,7.8,15.044
Russia,1808,Flow,4.0,4.2,5.6,4.2,4.7,12.34
Russia,1809,Helm,6.4,5.8,4.2,4.8,10.4,17.549
Russia,1809,Shield,7.4,7.2,3.8,4.6,13.1,19.211
Russia,1809,Lore,4.6,4.2,4.2,4.8,7.0,14.501
Russia,1809,Stewards,6.0,6.0,3.4,4.2,10.7,16.92
Russia,1809,Craft,4.2,4.0,5.4,4.2,4.9,12.557
Russia,1809,Hands,4.0,4.2,6.0,2.8,3.6,10.612
Russia,1809,Archive,4.8,4.8,3.8,4.0,7.8,14.382
Russia,1809,Flow,4.0,4.8,5.4,3.8,5.3,11.845
Russia,1810,Helm,6.0,5.6,4.0,5.0,10.1,17.016
Russia,1810,Shield,6.6,6.8,4.2,5.4,11.9,18.149
Russia,1810,Lore,4.8,4.4,4.6,5.0,7.1,14.683
Russia,1810,Stewards,5.6,5.8,4.0,4.2,9.5,15.617
Russia,1810,Craft,4.2,3.6,5.4,4.4,4.6,12.655
Russia,1810,Hands,4.0,4.2,6.4,3.4,3.5,10.857
Russia,1810,Archive,5.2,5.2,4.2,4.0,8.2,14.641
Russia,1810,Flow,4.0,5.6,5.4,4.0,6.2,11.941
Russia,1811,Helm,6.4,6.6,4.0,4.6,11.3,17.819
Russia,1811,Shield,7.4,7.2,4.2,5.2,13.0,19.771
Russia,1811,Lore,5.2,4.2,4.0,4.8,7.8,15.973
Russia,1811,Stewards,6.0,5.4,4.0,4.2,9.5,16.784
Russia,1811,Craft,3.4,3.8,4.8,4.4,4.6,11.818
Russia,1811,Hands,4.4,3.8,6.0,2.6,3.5,11.279
Russia,1811,Archive,5.2,4.8,4.2,4.4,8.0,15.469
Russia,1811,Flow,4.0,4.8,5.4,4.0,5.4,12.238
Russia,1812,Helm,5.8,5.4,8.2,5.0,5.5,12.614
Russia,1812,Shield,6.8,7.0,7.6,5.6,9.0,14.579
Russia,1812,Lore,5.6,4.8,5.8,5.6,7.4,14.139
Russia,1812,Stewards,6.0,4.8,6.2,4.4,6.8,13.507
Russia,1812,Craft,3.8,3.6,7.2,4.0,2.2,9.69
Russia,1812,Hands,5.4,3.8,6.6,5.0,5.1,12.971
Russia,1812,Archive,5.6,5.8,6.8,4.0,6.6,12.34
Russia,1812,Flow,2.6,3.6,9.4,3.0,-1.7,6.395
Russia,1813,Helm,7.0,6.0,7.4,5.4,8.3,17.184
Russia,1813,Shield,7.8,7.8,6.6,6.0,12.0,19.398
Russia,1813,Lore,6.2,5.0,4.6,5.0,9.1,17.645
Russia,1813,Stewards,6.0,5.6,6.2,4.6,7.7,15.844
Russia,1813,Craft,4.0,4.2,6.8,3.6,3.2,11.266
Russia,1813,Hands,5.6,4.4,5.0,3.8,6.9,15.264
Russia,1813,Archive,5.0,4.4,4.2,4.0,7.2,14.921
Russia,1813,Flow,4.4,4.4,6.4,4.2,4.5,12.708
Russia,1814,Helm,6.8,6.8,5.0,6.4,11.8,20.371
Russia,1814,Shield,8.8,8.4,4.4,6.2,15.9,23.809
Russia,1814,Lore,5.4,5.0,5.0,4.8,7.8,16.535
Russia,1814,Stewards,5.4,5.6,4.4,3.8,8.5,15.954
Russia,1814,Craft,4.0,4.0,4.6,3.6,5.2,12.97
Russia,1814,Hands,5.0,3.8,5.0,3.4,5.5,14.407
Russia,1814,Archive,4.8,5.0,4.2,5.0,8.1,16.186
Russia,1814,Flow,4.2,5.0,5.0,3.4,5.9,12.913
Russia,1815,Helm,6.0,5.8,4.0,4.8,10.2,17.277
Russia,1815,Shield,7.4,7.0,3.0,4.8,13.8,20.271
Russia,1815,Lore,5.2,4.4,4.6,4.6,7.3,15.331
Russia,1815,Stewards,5.8,5.6,4.2,4.2,9.3,16.246
Russia,1815,Craft,4.2,4.0,5.0,4.0,5.2,12.774
Russia,1815,Hands,4.0,3.8,6.4,3.0,2.9,10.739
Russia,1815,Archive,5.0,5.4,4.2,4.4,8.4,15.059
Russia,1815,Flow,3.8,4.8,3.8,4.0,6.8,12.706
Russia,1816,Helm,5.4,6.0,4.2,5.2,9.8,16.05
Russia,1816,Shield,7.0,7.0,3.2,5.0,13.3,19.069
Russia,1816,Lore,4.6,4.4,4.0,4.8,7.4,14.476
Russia,1816,Stewards,5.8,6.0,4.0,4.0,9.8,15.705
Russia,1816,Craft,4.0,4.0,5.6,3.8,4.3,11.604
Russia,1816,Hands,4.0,4.2,5.8,3.0,3.9,10.732
Russia,1816,Archive,4.8,5.4,3.6,4.2,8.7,14.499
Russia,1816,Flow,4.0,5.0,4.0,4.0,7.0,12.656
Russia,1817,Helm,5.4,5.8,3.8,5.0,9.9,16.357
Russia,1817,Shield,7.2,7.0,3.2,4.8,13.4,19.53
Russia,1817,Lore,5.4,4.4,4.0,5.0,8.3,16.221
Russia,1817,Stewards,5.6,5.8,4.0,3.8,9.3,15.449
Russia,1817,Craft,4.0,4.0,4.6,4.0,5.4,12.473
Russia,1817,Hands,3.4,4.2,6.0,3.2,3.2,9.936
Russia,1817,Archive,5.6,5.0,4.0,3.8,8.5,15.449
Russia,1817,Flow,4.0,4.8,4.4,3.6,6.2,12.201
Russia,1818,Helm,6.0,5.4,4.2,5.2,9.8,17.555
Russia,1818,Shield,7.0,7.0,3.6,5.4,13.1,19.793
Russia,1818,Lore,5.0,4.2,4.2,5.0,7.5,15.668
Russia,1818,Stewards,6.2,6.2,4.2,4.0,10.2,16.766
Russia,1818,Craft,4.2,3.8,5.2,4.2,4.9,12.896
Russia,1818,Hands,3.8,4.2,6.0,2.6,3.3,10.223
Russia,1818,Archive,5.2,5.6,4.2,3.6,8.4,14.685
Russia,1818,Flow,4.2,5.2,4.0,4.2,7.5,13.595
Russia,1819,Helm,6.4,6.2,4.2,5.2,11.0,18.52
Russia,1819,Shield,6.8,7.4,3.2,5.2,13.6,19.956
Russia,1819,Lore,4.8,4.0,4.0,5.0,7.3,15.7
Russia,1819,Stewards,6.2,6.0,4.2,4.4,10.2,17.445
Russia,1819,Craft,4.6,4.0,5.2,3.8,5.3,13.441
Russia,1819,Hands,4.0,4.0,6.0,3.0,3.5,11.147
Russia,1819,Archive,5.0,5.0,3.8,3.8,8.1,15.034
Russia,1819,Flow,4.2,4.8,4.0,4.0,7.0,13.618
Russia,1820,Helm,5.8,6.2,4.4,4.8,10.0,16.322
Russia,1820,Shield,6.8,7.0,3.2,5.0,13.1,18.941
Russia,1820,Lore,5.0,4.0,4.0,4.8,7.4,15.257
Russia,1820,Stewards,6.0,6.0,4.2,4.6,10.1,16.599
Russia,1820,Craft,3.8,4.2,5.2,3.6,4.6,11.346
Russia,1820,Hands,3.8,3.8,5.6,3.0,3.5,10.569
Russia,1820,Archive,4.8,5.2,4.2,4.0,7.8,14.041
Russia,1820,Flow,4.4,4.8,4.0,3.8,7.1,13.262
Russia,1821,Helm,6.0,6.2,4.2,5.0,10.5,17.79
Russia,1821,Shield,7.4,6.4,3.0,4.8,13.2,20.834
Russia,1821,Lore,5.4,3.6,3.8,5.4,7.9,17.409
Russia,1821,Stewards,6.0,5.8,4.0,4.0,9.8,16.964
Russia,1821,Craft,3.8,4.4,5.4,3.8,4.7,11.957
Russia,1821,Hands,4.4,4.0,5.8,3.2,4.2,12.232
Russia,1821,Archive,5.0,4.8,3.6,4.4,8.4,15.871
Russia,1821,Flow,3.8,4.4,3.8,4.0,6.4,13.05
Russia,1822,Helm,6.0,5.4,4.0,4.8,9.8,17.374
Russia,1822,Shield,7.2,6.8,2.8,4.8,13.6,20.203
Russia,1822,Lore,4.6,4.4,4.0,5.0,7.5,15.146
Russia,1822,Stewards,6.2,5.8,4.0,4.2,10.1,17.118
Russia,1822,Craft,3.6,4.0,4.8,4.8,5.2,12.643
Russia,1822,Hands,4.0,4.2,6.0,2.8,3.6,10.786
Russia,1822,Archive,5.2,4.8,4.2,4.0,7.8,15.107
Russia,1822,Flow,4.0,4.8,4.2,4.2,6.7,13.155
Russia,1823,Helm,6.0,6.4,4.4,5.2,10.6,16.361
Russia,1823,Shield,6.6,7.4,3.0,5.2,13.6,18.231
Russia,1823,Lore,4.8,3.8,4.0,4.2,6.7,13.837
Russia,1823,Stewards,5.8,5.8,4.0,4.0,9.6,15.257
Russia,1823,Craft,3.6,3.8,5.0,3.6,4.2,10.706
Russia,1823,Hands,4.0,4.0,5.8,2.8,3.6,10.249
Russia,1823,Archive,4.2,4.8,4.2,4.0,6.8,12.524
Russia,1823,Flow,3.8,5.0,3.6,3.6,7.0,11.758
Russia,1824,Helm,6.0,6.2,4.4,4.8,10.2,17.053
Russia,1824,Shield,7.0,6.8,2.6,4.8,13.6,20.015
Russia,1824,Lore,4.8,3.6,4.2,5.2,6.8,15.514
Russia,1824,Stewards,5.8,5.8,4.4,4.2,9.3,16.156
Russia,1824,Craft,4.0,4.2,5.0,4.4,5.4,12.853
Russia,1824,Hands,4.4,3.8,5.6,3.2,4.2,12.068
Russia,1824,Archive,5.0,5.2,4.0,3.8,8.1,14.658
Russia,1824,Flow,4.0,4.8,4.0,4.0,6.8,13.038
Russia,1825,Helm,4.6,4.8,6.8,4.2,4.7,11.092
Russia,1825,Shield,7.2,7.2,6.6,5.2,10.4,15.332
Russia,1825,Lore,4.8,4.6,4.4,4.6,7.3,12.923
Russia,1825,Stewards,5.2,5.6,4.8,4.2,8.1,12.989
Russia,1825,Craft,4.4,3.4,4.8,3.0,4.5,10.783
Russia,1825,Hands,4.0,4.2,6.0,3.0,3.7,9.628
Russia,1825,Archive,5.2,5.0,5.0,4.0,7.2,12.721
Russia,1825,Flow,3.8,3.8,4.8,3.6,4.6,10.35
Russia,1826,Helm,6.8,6.2,2.8,5.2,12.8,21.047
Russia,1826,Shield,6.8,6.8,2.8,5.0,13.3,20.847
Russia,1826,Lore,5.0,3.6,4.0,5.2,7.2,16.85
Russia,1826,Stewards,6.0,5.8,3.0,4.0,10.8,18.222
Russia,1826,Craft,3.8,4.4,4.2,4.0,6.0,13.189
Russia,1826,Hands,4.6,3.8,6.6,3.0,3.3,12.284
Russia,1826,Archive,5.0,4.6,2.8,4.2,8.9,16.697
Russia,1826,Flow,3.8,4.6,3.6,4.0,6.8,13.547
Russia,1827,Helm,7.2,6.0,3.4,5.2,12.4,21.197
Russia,1827,Shield,6.8,6.8,2.8,4.4,13.0,20.241
Russia,1827,Lore,5.4,4.0,3.6,5.2,8.4,17.806
Russia,1827,Stewards,6.0,5.8,2.8,3.8,10.9,18.171
Russia,1827,Craft,3.8,3.8,4.2,4.0,5.4,13.112
Russia,1827,Hands,4.0,3.6,6.4,2.6,2.5,10.914
Russia,1827,Archive,5.2,5.0,2.8,4.0,9.4,16.842
Russia,1827,Flow,4.0,5.0,3.8,4.0,7.2,13.759
Russia,1828,Helm,7.6,6.0,3.0,4.6,12.9,21.59
Russia,1828,Shield,7.4,7.4,2.6,5.0,14.7,21.994
Russia,1828,Lore,4.6,4.4,4.2,4.6,7.1,15.286
Russia,1828,Stewards,5.6,5.8,3.2,4.2,10.3,17.505
Russia,1828,Craft,4.6,4.2,4.2,4.2,6.7,14.897
Russia,1828,Hands,3.6,4.8,6.2,3.0,3.7,10.65
Russia,1828,Archive,5.2,5.0,3.0,4.0,9.2,16.679
Russia,1828,Flow,3.6,5.0,4.2,4.2,6.5,12.906
Russia,1829,Helm,6.8,6.0,2.8,5.2,12.6,22.068
Russia,1829,Shield,7.4,7.2,3.2,5.6,14.2,23.189
Russia,1829,Lore,5.8,4.2,4.2,5.0,8.3,18.781
Russia,1829,Stewards,6.6,6.6,3.2,3.8,11.9,19.897
Russia,1829,Craft,4.4,4.2,3.6,3.8,6.9,15.172
Russia,1829,Hands,3.4,3.6,5.4,3.2,3.2,11.352
Russia,1829,Archive,5.6,5.2,3.2,4.0,9.6,18.163
Russia,1829,Flow,4.2,4.8,3.6,3.8,7.3,14.744
Russia,1830,Helm,7.2,6.0,2.8,5.4,13.1,21.706
Russia,1830,Shield,7.0,7.0,2.6,5.2,14.0,21.348
Russia,1830,Lore,4.6,3.6,3.8,5.0,6.9,15.878
Russia,1830,Stewards,5.8,5.8,3.0,3.8,10.5,17.472
Russia,1830,Craft,4.0,4.2,3.8,4.0,6.4,13.701
Russia,1830,Hands,4.0,4.0,6.4,3.0,3.1,11.221
Russia,1830,Archive,4.8,5.0,3.2,3.8,8.5,15.447
Russia,1830,Flow,4.0,4.8,4.2,4.0,6.6,13.46
Russia,1831,Helm,6.6,6.0,3.2,4.8,11.8,19.229
Russia,1831,Shield,6.8,7.2,3.0,4.8,13.4,19.719
Russia,1831,Lore,5.0,4.0,4.4,4.8,7.0,15.571
Russia,1831,Stewards,6.0,6.0,2.8,3.8,11.1,17.511
Russia,1831,Craft,4.0,3.8,4.8,3.8,4.9,12.548
Russia,1831,Hands,3.6,4.0,5.8,3.0,3.3,10.504
Russia,1831,Archive,4.8,5.0,2.6,4.4,9.4,16.034
Russia,1831,Flow,4.2,5.0,4.0,3.6,7.0,13.189
Russia,1832,Helm,7.4,6.0,3.2,5.4,12.9,22.665
Russia,1832,Shield,7.2,7.0,3.0,4.6,13.5,21.707
Russia,1832,Lore,5.8,4.0,4.0,4.8,8.2,18.489
Russia,1832,Stewards,6.0,6.2,3.0,4.2,11.3,19.061
Russia,1832,Craft,4.4,4.2,4.0,3.6,6.4,14.498
Russia,1832,Hands,4.4,4.2,6.4,3.2,3.8,12.628
Russia,1832,Archive,5.0,5.2,3.2,4.2,9.1,16.914
Russia,1832,Flow,3.8,4.4,4.0,4.4,6.4,14.064
Russia,1833,Helm,7.0,6.0,3.0,4.8,12.4,20.458
Russia,1833,Shield,7.4,7.2,2.8,4.6,14.1,21.094
Russia,1833,Lore,4.8,4.6,3.8,5.4,8.3,16.44
Russia,1833,Stewards,6.0,6.0,3.0,3.8,10.9,17.713
