Society,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max
Russia,1800,Archive,0.0,0.447,0.548,0.837,1.5,8.0,9.5
Russia,1800,Craft,0.707,0.707,0.447,0.548,2.0,4.0,6.0
Russia,1800,Flow,0.548,0.707,0.837,0.707,2.5,5.0,7.5
Russia,1800,Hands,0.548,0.447,0.447,0.548,2.0,2.0,4.0
Russia,1800,Helm,0.447,0.548,0.837,0.548,3.5,10.5,14.0
Russia,1800,Lore,0.548,0.837,0.548,1.14,4.0,5.5,9.5
Russia,1800,Shield,0.447,0.837,0.707,0.837,4.0,10.5,14.5
Russia,1800,Stewards,0.548,0.447,0.447,0.707,1.5,9.0,10.5
Russia,1801,Archive,0.837,0.447,0.548,0.837,1.0,7.5,8.5
Russia,1801,Craft,0.0,0.447,0.447,0.707,1.0,4.5,5.5
Russia,1801,Flow,0.837,0.548,0.548,0.447,3.0,4.0,7.0
Russia,1801,Hands,0.447,0.447,0.548,0.447,2.5,3.5,6.0
Russia,1801,Helm,0.447,0.548,0.447,0.447,2.0,8.5,10.5
Russia,1801,Lore,0.837,0.837,0.707,0.447,1.5,7.0,8.5
Russia,1801,Shield,0.837,0.548,0.837,0.447,4.5,9.5,14.0
Russia,1801,Stewards,0.837,0.548,1.095,0.707,5.0,7.0,12.0
Russia,1802,Archive,0.548,1.095,0.548,0.707,3.0,5.0,8.0
Russia,1802,Craft,0.0,0.837,0.447,1.0,3.0,3.5,6.5
Russia,1802,Flow,0.447,0.447,0.837,0.548,1.5,4.5,6.0
Russia,1802,Hands,0.837,0.447,0.447,0.447,4.0,1.5,5.5
Russia,1802,Helm,0.707,0.0,0.707,0.548,2.0,9.0,11.0
Russia,1802,Lore,0.837,0.707,0.447,0.548,2.0,6.5,8.5
Russia,1802,Shield,0.447,0.548,0.447,0.707,0.5,12.0,12.5
Russia,1802,Stewards,0.447,0.0,0.548,0.447,1.5,10.0,11.5
Russia,1803,Archive,0.707,0.707,0.447,0.837,3.5,7.0,10.5
Russia,1803,Craft,0.447,1.304,0.548,0.707,3.5,3.5,7.0
Russia,1803,Flow,0.548,0.447,1.0,0.447,3.5,4.5,8.0
Russia,1803,Hands,0.707,0.837,0.548,0.707,3.0,1.0,4.0
Russia,1803,Helm,0.894,0.894,0.707,0.707,5.0,8.0,13.0
Russia,1803,Lore,1.14,0.837,0.447,0.707,2.5,5.0,7.5
Russia,1803,Shield,1.0,0.894,0.707,0.548,3.5,10.5,14.0
Russia,1803,Stewards,0.707,0.548,0.548,0.707,1.5,8.5,10.0
Russia,1804,Archive,0.447,0.447,0.707,0.707,1.5,7.5,9.0
Russia,1804,Craft,0.447,0.548,1.0,0.894,3.5,3.5,7.0
Russia,1804,Flow,0.447,0.447,0.837,0.548,1.5,5.5,7.0
Russia,1804,Hands,0.707,0.837,1.0,0.0,3.0,2.5,5.5
Russia,1804,Helm,0.447,0.707,0.447,0.894,2.0,9.0,11.0
Russia,1804,Lore,0.707,0.548,0.447,0.0,2.0,5.5,7.5
Russia,1804,Shield,0.707,0.548,0.548,0.707,3.5,10.0,13.5
Russia,1804,Stewards,0.447,0.548,1.0,0.548,2.5,9.5,12.0
Russia,1805,Archive,1.225,0.0,0.548,0.548,2.0,6.0,8.0
Russia,1805,Craft,0.0,0.707,0.0,0.837,1.5,4.5,6.0
Russia,1805,Flow,0.837,0.0,0.447,0.447,2.5,5.0,7.5
Russia,1805,Hands,0.837,0.837,1.0,0.548,1.5,3.5,5.0
Russia,1805,Helm,1.0,0.447,0.837,1.095,2.0,8.5,10.5
Russia,1805,Lore,0.707,0.837,0.447,0.447,4.0,5.5,9.5
Russia,1805,Shield,0.707,0.894,0.894,0.707,4.5,8.0,12.5
Russia,1805,Stewards,0.548,0.447,0.837,0.447,3.0,9.0,12.0
Russia,1806,Archive,0.447,0.447,0.548,0.548,1.5,8.5,10.0
Russia,1806,Craft,0.0,0.0,0.707,0.447,1.5,4.5,6.0
Russia,1806,Flow,0.0,0.707,0.707,0.837,2.0,4.5,6.5
Russia,1806,Hands,0.447,0.447,0.447,0.548,1.0,3.5,4.5
Russia,1806,Helm,0.447,1.14,0.837,0.894,3.5,5.5,9.0
Russia,1806,Lore,1.0,0.707,0.707,0.548,4.5,4.5,9.0
Russia,1806,Shield,1.0,0.837,0.447,0.837,2.0,6.0,8.0
Russia,1806,Stewards,0.447,0.548,0.447,0.548,2.5,8.5,11.0
Russia,1807,Archive,0.447,0.894,0.894,0.447,4.0,6.0,10.0
Russia,1807,Craft,0.447,0.894,0.548,1.14,3.0,4.0,7.0
Russia,1807,Flow,0.0,0.0,0.707,0.837,1.0,5.5,6.5
Russia,1807,Hands,0.0,0.548,0.548,0.548,2.0,2.5,4.5
Russia,1807,Helm,0.548,0.447,0.707,0.707,2.0,7.5,9.5
Russia,1807,Lore,0.837,1.14,0.707,0.707,2.5,6.5,9.0
Russia,1807,Shield,0.707,0.548,0.447,0.707,2.5,8.0,10.5
Russia,1807,Stewards,0.548,0.894,0.837,0.548,2.5,9.0,11.5
Russia,1808,Archive,0.837,0.548,0.447,0.894,2.0,7.0,9.0
Russia,1808,Craft,0.548,0.894,0.707,0.707,3.5,3.5,7.0
Russia,1808,Flow,0.707,0.447,0.548,0.837,1.5,4.0,5.5
Russia,1808,Hands,0.707,0.447,0.894,0.548,3.5,1.5,5.0
Russia,1808,Helm,0.447,0.548,0.0,0.0,1.0,10.5,11.5
Russia,1808,Lore,0.707,0.707,0.548,0.837,1.5,6.0,7.5
Russia,1808,Shield,0.894,0.548,0.447,0.837,3.0,12.0,15.0
Russia,1808,Stewards,0.707,1.0,0.894,0.0,3.0,9.0,12.0
Russia,1809,Archive,0.447,0.837,0.447,0.707,3.5,6.0,9.5
Russia,1809,Craft,0.837,0.707,0.548,0.447,1.5,4.0,5.5
Russia,1809,Flow,0.0,0.837,0.548,0.447,2.5,4.0,6.5
Russia,1809,Hands,0.707,0.447,0.707,0.837,3.5,2.0,5.5
Russia,1809,Helm,0.548,0.447,0.447,0.447,3.0,8.5,11.5
Russia,1809,Lore,0.894,0.447,0.447,0.447,3.5,5.0,8.5
Russia,1809,Shield,0.548,0.837,0.447,0.548,1.5,12.0,13.5
Russia,1809,Stewards,0.0,0.707,0.894,0.447,3.0,9.0,12.0
Russia,1810,Archive,0.447,0.447,0.447,0.707,1.5,7.5,9.0
Russia,1810,Craft,0.447,0.894,0.548,0.548,1.5,4.0,5.5
Russia,1810,Flow,0.707,0.548,0.548,0.707,1.5,5.5,7.0
Russia,1810,Hands,0.0,0.447,0.894,0.548,2.0,2.5,4.5
Russia,1810,Helm,0.707,0.548,0.0,0.707,3.0,8.5,11.5
Russia,1810,Lore,0.447,0.548,0.548,0.0,2.0,6.5,8.5
Russia,1810,Shield,0.548,0.837,0.447,0.548,1.0,11.5,12.5
Russia,1810,Stewards,0.894,0.837,0.707,0.837,4.0,7.5,11.5
Russia,1811,Archive,0.447,0.447,0.447,0.548,1.0,7.5,8.5
Russia,1811,Craft,0.548,0.447,0.837,0.548,2.5,3.5,6.0
Russia,1811,Flow,0.707,1.095,0.548,0.707,4.5,3.5,8.0
Russia,1811,Hands,0.894,0.837,0.707,0.548,2.5,2.5,5.0
Russia,1811,Helm,0.548,0.548,0.0,0.548,2.0,10.5,12.5
Russia,1811,Lore,0.447,0.837,0.707,0.447,3.0,6.5,9.5
Russia,1811,Shield,0.548,0.837,0.447,0.837,2.5,12.0,14.5
Russia,1811,Stewards,0.707,0.894,0.707,0.447,4.5,8.0,12.5
Russia,1812,Archive,0.548,1.095,0.837,1.0,5.0,3.5,8.5
Russia,1812,Craft,0.837,0.548,1.304,0.707,3.5,0.5,4.0
Russia,1812,Flow,1.14,1.14,0.548,1.225,6.0,-4.5,1.5
Russia,1812,Hands,0.894,1.095,0.894,0.0,3.0,3.5,6.5
Russia,1812,Helm,0.837,1.517,0.447,0.707,3.0,4.0,7.0
Russia,1812,Lore,1.14,0.447,0.447,1.14,3.5,6.0,9.5
Russia,1812,Shield,0.447,0.707,0.894,1.14,3.0,8.0,11.0
Russia,1812,Stewards,1.0,1.095,0.447,0.894,3.0,5.5,8.5
Russia,1813,Archive,0.707,0.548,1.095,1.225,4.0,5.0,9.0
Russia,1813,Craft,0.707,0.447,1.095,0.894,4.0,1.5,5.5
Russia,1813,Flow,1.342,0.548,1.517,1.304,7.5,2.0,9.5
Russia,1813,Hands,0.894,0.548,1.414,0.837,5.0,4.5,9.5
