Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Russia,1900.0,Army,6.0,6.0,4.0,4.0,10.0,1.9012276612276613
Russia,1900.0,Executive,4.0,5.0,6.0,3.0,4.5,1.4084049284049283
Russia,1900.0,Merchants / Shopkeepers,6.0,6.0,4.0,6.0,11.0,2.0276701076701076
Russia,1900.0,Priesthood / Knowledge Workers,5.0,5.0,5.0,7.0,8.5,1.8476076304647735
Russia,1900.0,Proletariat,4.0,5.0,7.0,3.0,3.5,1.3110308738880168
Russia,1900.0,Property,3.0,7.0,5.0,4.0,7.0,1.49029637029637
Russia,1900.0,StateMemory,5.0,6.0,3.0,7.0,11.5,2.1606637806637807
Russia,1900.0,Trades / Professions,6.0,5.0,4.0,6.0,10.0,2.0276701076701076
Russia,1901.0,Army,6.0,6.0,4.0,4.0,10.0,1.8120771292199864
Russia,1901.0,Executive,3.0,5.0,7.0,3.0,2.5,1.1773607904700343
Russia,1901.0,Merchants / Shopkeepers,6.0,6.0,4.0,6.0,11.0,1.9340668854954568
Russia,1901.0,Priesthood / Knowledge Workers,5.0,5.0,6.0,6.0,7.0,1.5898784548784552
Russia,1901.0,Proletariat,4.0,5.0,8.0,3.0,2.5,1.1742027580262877
Russia,1901.0,Property,3.0,7.0,5.0,4.0,7.0,1.420469054754769
Russia,1901.0,StateMemory,5.0,6.0,3.0,6.0,11.0,1.99006771006771
Russia,1901.0,Trades / Professions,6.0,5.0,4.0,6.0,10.0,1.9340668854954568
Russia,1902.0,Army,6.0,6.0,4.0,4.0,10.0,1.7563718820861678
Russia,1902.0,Executive,2.0,5.0,8.0,3.0,0.5,1.0024704618689582
Russia,1902.0,Merchants / Shopkeepers,6.0,6.0,4.0,6.0,11.0,1.874285714285714
Russia,1902.0,Priesthood / Knowledge Workers,5.0,5.0,6.0,6.0,7.0,1.5458956309796648
Russia,1902.0,Proletariat,4.0,5.0,9.0,3.0,1.5,1.076139929656073
Russia,1902.0,Property,3.0,7.0,6.0,4.0,6.0,1.2817627050820326
Russia,1902.0,StateMemory,5.0,6.0,3.0,6.0,11.0,1.9245104102246962
Russia,1902.0,Trades / Professions,6.0,5.0,4.0,6.0,10.0,1.874285714285714
Russia,1903.0,Army,6.0,6.0,4.0,4.0,10.0,1.7420861678004536
Russia,1903.0,Executive,2.0,5.0,8.0,3.0,0.5,0.9917561761546725
Russia,1903.0,Merchants / Shopkeepers,6.0,6.0,4.0,6.0,11.0,1.8599999999999997
Russia,1903.0,Priesthood / Knowledge Workers,4.0,5.0,6.0,6.0,6.0,1.4544108552511916
Russia,1903.0,Proletariat,4.0,5.0,9.0,3.0,1.5,1.0660558960426276
Russia,1903.0,Property,3.0,7.0,6.0,4.0,6.0,1.269517807122849
Russia,1903.0,StateMemory,5.0,6.0,3.0,6.0,11.0,1.9089259946402806
Russia,1903.0,Trades / Professions,6.0,5.0,4.0,6.0,10.0,1.8599999999999999
Russia,1904.0,Army,4.0,3.0,9.0,4.0,0.0,1.0149899959983995
