Nation,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Saudi Arabia,1918,Executive,5,4,-3,4,12.0,11.0
Saudi Arabia,1918,Army,6,3,-4,3,13.5,8.1
Saudi Arabia,1918,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1918,Property,4,3,-1,3,9.5,8.1
Saudi Arabia,1918,Trades/Professions,3,3,-1,3,8.5,6.3
Saudi Arabia,1918,Proletariat,2,3,0,2,6.0,3.6
Saudi Arabia,1918,StateMemory,7,2,-3,5,13.5,8.1
Saudi Arabia,1918,Shopkeepers/Merchants,4,3,-1,3,9.5,6.3
Saudi Arabia,1919,Executive,5,4,-3,4,12.0,11.0
Saudi Arabia,1919,Army,6,3,-4,3,13.5,8.1
Saudi Arabia,1919,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1919,Property,4,3,-1,3,9.5,8.1
Saudi Arabia,1919,Trades/Professions,3,3,-1,3,8.5,6.3
Saudi Arabia,1919,Proletariat,2,3,0,2,6.0,3.6
Saudi Arabia,1919,StateMemory,7,2,-3,5,13.5,8.1
Saudi Arabia,1919,Shopkeepers/Merchants,4,3,-1,3,9.5,6.3
Saudi Arabia,1920,Executive,5,4,-3,4,12.0,11.0
Saudi Arabia,1920,Army,6,3,-4,3,13.5,8.1
Saudi Arabia,1920,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1920,Property,4,3,-1,3,9.5,8.1
Saudi Arabia,1920,Trades/Professions,3,3,-1,3,8.5,6.3
Saudi Arabia,1920,Proletariat,2,3,0,2,6.0,3.6
Saudi Arabia,1920,StateMemory,7,2,-3,5,13.5,8.1
Saudi Arabia,1920,Shopkeepers/Merchants,4,3,-1,3,9.5,6.3
Saudi Arabia,1921,Executive,6,5,-4,5,14.5,13.2
Saudi Arabia,1921,Army,7,4,-5,4,17.0,10.2
Saudi Arabia,1921,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1921,Property,5,4,-2,4,13.0,10.8
Saudi Arabia,1921,Trades/Professions,4,4,-2,4,12.0,8.4
Saudi Arabia,1921,Proletariat,3,4,-1,3,10.5,6.3
Saudi Arabia,1921,StateMemory,8,3,-4,6,17.0,10.2
Saudi Arabia,1921,Shopkeepers/Merchants,5,4,-2,4,13.0,8.4
Saudi Arabia,1922,Executive,7,6,-5,6,17.0,15.6
Saudi Arabia,1922,Army,8,5,-6,5,19.5,12.4
Saudi Arabia,1922,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1922,Property,6,5,-3,5,15.5,13.2
Saudi Arabia,1922,Trades/Professions,5,5,-3,5,14.5,10.8
Saudi Arabia,1922,Proletariat,4,5,-2,4,13.0,8.4
Saudi Arabia,1922,StateMemory,9,4,-5,7,20.5,12.4
Saudi Arabia,1922,Shopkeepers/Merchants,6,5,-3,5,15.5,10.8
Saudi Arabia,1923,Executive,8,7,-6,7,20.5,18.0
Saudi Arabia,1923,Army,9,6,-7,6,23.0,14.4
Saudi Arabia,1923,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1923,Property,7,6,-4,6,18.0,15.6
Saudi Arabia,1923,Trades/Professions,6,6,-4,6,17.0,13.2
Saudi Arabia,1923,Proletariat,5,6,-3,5,15.5,10.8
Saudi Arabia,1923,StateMemory,10,5,-6,8,23.5,14.4
Saudi Arabia,1923,Shopkeepers/Merchants,7,6,-4,6,18.0,13.2
Saudi Arabia,1924,Executive,9,8,-7,8,23.0,20.4
Saudi Arabia,1924,Army,10,7,-8,7,26.5,16.2
Saudi Arabia,1924,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1924,Property,8,7,-5,7,21.5,18.0
Saudi Arabia,1924,Trades/Professions,7,7,-5,7,20.5,15.6
Saudi Arabia,1924,Proletariat,6,7,-4,6,18.0,13.2
Saudi Arabia,1924,StateMemory,11,6,-7,9,26.0,16.2
Saudi Arabia,1924,Shopkeepers/Merchants,8,7,-5,7,21.5,15.6
Saudi Arabia,1925,Executive,10,9,-8,9,26.5,22.8
Saudi Arabia,1925,Army,11,8,-9,8,29.0,18.0
Saudi Arabia,1925,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1925,Property,9,8,-6,8,24.0,20.4
Saudi Arabia,1925,Trades/Professions,8,8,-6,8,23.0,18.0
Saudi Arabia,1925,Proletariat,7,8,-5,7,20.5,15.6
Saudi Arabia,1925,StateMemory,12,7,-8,10,28.5,18.0
Saudi Arabia,1925,Shopkeepers/Merchants,9,8,-6,8,24.0,18.0
Saudi Arabia,1926,Executive,10,9,-8,9,26.5,22.8
Saudi Arabia,1926,Army,11,8,-9,8,29.0,18.0
Saudi Arabia,1926,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1926,Property,9,8,-6,8,24.0,20.4
Saudi Arabia,1926,Trades/Professions,8,8,-6,8,23.0,18.0
Saudi Arabia,1926,Proletariat,7,8,-5,7,20.5,15.6
Saudi Arabia,1926,StateMemory,12,7,-8,10,28.5,18.0
Saudi Arabia,1926,Shopkeepers/Merchants,9,8,-6,8,24.0,18.0
Saudi Arabia,1927,Executive,10,9,-8,9,26.5,22.8
Saudi Arabia,1927,Army,11,8,-9,8,29.0,18.0
Saudi Arabia,1927,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1927,Property,9,8,-6,8,24.0,20.4
Saudi Arabia,1927,Trades/Professions,8,8,-6,8,23.0,18.0
Saudi Arabia,1927,Proletariat,7,8,-5,7,20.5,15.6
Saudi Arabia,1927,StateMemory,12,7,-8,10,28.5,18.0
Saudi Arabia,1927,Shopkeepers/Merchants,9,8,-6,8,24.0,18.0
Saudi Arabia,1928,Executive,10,9,-8,9,26.5,22.8
Saudi Arabia,1928,Army,11,8,-9,8,29.0,18.0
Saudi Arabia,1928,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1928,Property,9,8,-6,8,24.0,20.4
Saudi Arabia,1928,Trades/Professions,8,8,-6,8,23.0,18.0
Saudi Arabia,1928,Proletariat,7,8,-5,7,20.5,15.6
Saudi Arabia,1928,StateMemory,12,7,-8,10,28.5,18.0
Saudi Arabia,1928,Shopkeepers/Merchants,9,8,-6,8,24.0,18.0
Saudi Arabia,1929,Executive,10,9,-8,9,26.5,22.8
Saudi Arabia,1929,Army,11,8,-9,8,29.0,18.0
Saudi Arabia,1929,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1929,Property,9,8,-6,8,24.0,20.4
Saudi Arabia,1929,Trades/Professions,8,8,-6,8,23.0,18.0
Saudi Arabia,1929,Proletariat,7,8,-5,7,20.5,15.6
Saudi Arabia,1929,StateMemory,12,7,-8,10,28.5,18.0
Saudi Arabia,1929,Shopkeepers/Merchants,9,8,-6,8,24.0,18.0
Saudi Arabia,1930,Executive,10,9,-8,9,26.5,22.8
Saudi Arabia,1930,Army,11,8,-9,8,29.0,18.0
Saudi Arabia,1930,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1930,Property,9,8,-6,8,24.0,20.4
Saudi Arabia,1930,Trades/Professions,8,8,-6,8,23.0,18.0
Saudi Arabia,1930,Proletariat,7,8,-5,7,20.5,15.6
Saudi Arabia,1930,StateMemory,12,7,-8,10,28.5,18.0
Saudi Arabia,1930,Shopkeepers/Merchants,9,8,-6,8,24.0,18.0
Saudi Arabia,1931,Executive,10,9,-8,9,26.5,22.8
Saudi Arabia,1931,Army,11,8,-9,8,29.0,18.0
Saudi Arabia,1931,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1931,Property,9,8,-6,8,24.0,20.4
Saudi Arabia,1931,Trades/Professions,8,8,-6,8,23.0,18.0
Saudi Arabia,1931,Proletariat,7,8,-5,7,20.5,15.6
Saudi Arabia,1931,StateMemory,12,7,-8,10,28.5,18.0
Saudi Arabia,1931,Shopkeepers/Merchants,9,8,-6,8,24.0,18.0
Saudi Arabia,1932,Executive,10,9,-8,9,26.5,22.8
Saudi Arabia,1932,Army,11,8,-9,8,29.0,18.0
Saudi Arabia,1932,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1932,Property,9,8,-6,8,24.0,20.4
Saudi Arabia,1932,Trades/Professions,8,8,-6,8,23.0,18.0
Saudi Arabia,1932,Proletariat,7,8,-5,7,20.5,15.6
Saudi Arabia,1932,StateMemory,12,7,-8,10,28.5,18.0
Saudi Arabia,1932,Shopkeepers/Merchants,9,8,-6,8,24.0,18.0
Saudi Arabia,1933,Executive,10,9,-8,9,26.5,22.8
Saudi Arabia,1933,Army,11,8,-9,8,29.0,18.0
Saudi Arabia,1933,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1933,Property,9,8,-6,8,24.0,20.4
Saudi Arabia,1933,Trades/Professions,8,8,-6,8,23.0,18.0
Saudi Arabia,1933,Proletariat,7,8,-5,7,20.5,15.6
Saudi Arabia,1933,StateMemory,12,7,-8,10,28.5,18.0
Saudi Arabia,1933,Shopkeepers/Merchants,9,8,-6,8,24.0,18.0
Saudi Arabia,1934,Executive,10,9,-8,9,26.5,22.8
Saudi Arabia,1934,Army,11,8,-9,8,29.0,18.0
Saudi Arabia,1934,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1934,Property,9,8,-6,8,24.0,20.4
Saudi Arabia,1934,Trades/Professions,8,8,-6,8,23.0,18.0
Saudi Arabia,1934,Proletariat,7,8,-5,7,20.5,15.6
Saudi Arabia,1934,StateMemory,12,7,-8,10,28.5,18.0
Saudi Arabia,1934,Shopkeepers/Merchants,9,8,-6,8,24.0,18.0
Saudi Arabia,1935,Executive,10,9,-8,9,26.5,22.8
Saudi Arabia,1935,Army,11,8,-9,8,29.0,18.0
Saudi Arabia,1935,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1935,Property,9,8,-6,8,24.0,20.4
Saudi Arabia,1935,Trades/Professions,8,8,-6,8,23.0,18.0
Saudi Arabia,1935,Proletariat,7,8,-5,7,20.5,15.6
Saudi Arabia,1935,StateMemory,12,7,-8,10,28.5,18.0
Saudi Arabia,1935,Shopkeepers/Merchants,9,8,-6,8,24.0,18.0
Saudi Arabia,1936,Executive,10,9,-8,9,26.5,22.8
Saudi Arabia,1936,Army,11,8,-9,8,29.0,18.0
Saudi Arabia,1936,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1936,Property,9,8,-6,8,24.0,20.4
Saudi Arabia,1936,Trades/Professions,8,8,-6,8,23.0,18.0
Saudi Arabia,1936,Proletariat,7,8,-5,7,20.5,15.6
Saudi Arabia,1936,StateMemory,12,7,-8,10,28.5,18.0
Saudi Arabia,1936,Shopkeepers/Merchants,9,8,-6,8,24.0,18.0
Saudi Arabia,1937,Executive,10,9,-8,9,26.5,22.8
Saudi Arabia,1937,Army,11,8,-9,8,29.0,18.0
Saudi Arabia,1937,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1937,Property,9,8,-6,8,24.0,20.4
Saudi Arabia,1937,Trades/Professions,8,8,-6,8,23.0,18.0
Saudi Arabia,1937,Proletariat,7,8,-5,7,20.5,15.6
Saudi Arabia,1937,StateMemory,12,7,-8,10,28.5,18.0
Saudi Arabia,1937,Shopkeepers/Merchants,9,8,-6,8,24.0,18.0
Saudi Arabia,1938,Executive,10,9,-8,9,26.5,22.8
Saudi Arabia,1938,Army,11,8,-9,8,29.0,18.0
Saudi Arabia,1938,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1938,Property,9,8,-6,8,24.0,20.4
Saudi Arabia,1938,Trades/Professions,8,8,-6,8,23.0,18.0
Saudi Arabia,1938,Proletariat,7,8,-5,7,20.5,15.6
Saudi Arabia,1938,StateMemory,12,7,-8,10,28.5,18.0
Saudi Arabia,1938,Shopkeepers/Merchants,9,8,-6,8,24.0,18.0
Saudi Arabia,1939,Executive,10,9,-8,9,26.5,22.8
Saudi Arabia,1939,Army,11,8,-9,8,29.0,18.0
Saudi Arabia,1939,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1939,Property,9,8,-6,8,24.0,20.4
Saudi Arabia,1939,Trades/Professions,8,8,-6,8,23.0,18.0
Saudi Arabia,1939,Proletariat,7,8,-5,7,20.5,15.6
Saudi Arabia,1939,StateMemory,12,7,-8,10,28.5,18.0
Saudi Arabia,1939,Shopkeepers/Merchants,9,8,-6,8,24.0,18.0
Saudi Arabia,1940,Executive,10,9,-8,9,26.5,22.8
Saudi Arabia,1940,Army,11,8,-9,8,29.0,18.0
Saudi Arabia,1940,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1940,Property,9,8,-6,8,24.0,20.4
Saudi Arabia,1940,Trades/Professions,8,8,-6,8,23.0,18.0
Saudi Arabia,1940,Proletariat,7,8,-5,7,20.5,15.6
Saudi Arabia,1940,StateMemory,12,7,-8,10,28.5,18.0
Saudi Arabia,1940,Shopkeepers/Merchants,9,8,-6,8,24.0,18.0
Saudi Arabia,1941,Executive,10,9,-8,9,26.5,22.8
Saudi Arabia,1941,Army,11,8,-9,8,29.0,18.0
Saudi Arabia,1941,Priests,8,2,-2,6,15.0,12.0
Saudi Arabia,1941,Property,9,8,-6,8,24.0,20.4
Saudi Arabia,1941,Trades/Professions,8,8,-6,8,23.0,18.0
