Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Spain,1800,Helm,4,4,5,6,6.0,16.479
Spain,1800,Shield,5,6,4,5,9.5,17.947
Spain,1800,Lore,8,7,3,7,15.5,26.374
Spain,1800,Stewards,4,4,6,5,4.5,14.652
Spain,1800,Craft,5,5,4,5,8.5,17.947
Spain,1800,Hands,6,6,4,3,9.5,17.14
Spain,1800,Archive,7,7,3,7,14.5,24.751
Spain,1800,Flow,4,4,7,5,3.5,14.009
Spain,1801,Helm,4,4,5,6,6.0,16.697
Spain,1801,Shield,6,6,4,5,10.5,20.109
Spain,1801,Lore,8,7,3,7,15.5,26.857
Spain,1801,Stewards,4,4,6,5,4.5,14.86
Spain,1801,Craft,5,5,4,5,8.5,18.234
Spain,1801,Hands,6,6,4,3,9.5,17.485
Spain,1801,Archive,7,7,3,7,14.5,25.174
Spain,1801,Flow,4,4,7,5,3.5,14.206
Spain,1802,Helm,4,4,5,6,6.0,16.967
Spain,1802,Shield,5,6,3,5,10.5,19.341
Spain,1802,Lore,8,7,3,7,15.5,27.31
Spain,1802,Stewards,4,4,5,5,5.5,15.782
Spain,1802,Craft,5,5,4,5,8.5,18.52
Spain,1802,Hands,6,6,4,3,9.5,17.747
Spain,1802,Archive,7,7,3,7,14.5,25.595
Spain,1802,Flow,5,5,6,5,6.5,16.964
Spain,1803,Helm,4,4,6,6,5.0,15.596
Spain,1803,Shield,5,5,4,5,8.5,17.752
Spain,1803,Lore,8,7,3,7,15.5,26.066
Spain,1803,Stewards,4,4,6,5,4.5,14.494
Spain,1803,Craft,5,5,4,5,8.5,17.752
Spain,1803,Hands,6,6,4,3,9.5,16.962
Spain,1803,Archive,7,7,3,7,14.5,24.464
Spain,1803,Flow,4,4,8,5,2.5,13.247
Spain,1804,Helm,3,4,7,6,3.0,11.646
Spain,1804,Shield,4,5,5,5,6.5,13.228
Spain,1804,Lore,8,7,4,7,14.5,21.304
Spain,1804,Stewards,3,3,8,5,0.5,10.19
Spain,1804,Craft,5,5,5,5,7.5,14.698
Spain,1804,Hands,5,5,6,3,5.5,11.854
Spain,1804,Archive,7,7,4,7,13.5,20.128
Spain,1804,Flow,3,3,9,5,-0.5,9.739
Spain,1805,Helm,3,3,8,6,1.0,10.388
Spain,1805,Shield,2,3,9,5,-1.5,7.803
Spain,1805,Lore,8,7,4,7,14.5,19.362
Spain,1805,Stewards,3,3,9,5,-0.5,9.066
Spain,1805,Craft,5,5,5,5,7.5,13.509
Spain,1805,Hands,5,5,6,3,5.5,10.827
Spain,1805,Archive,7,7,4,7,13.5,18.378
Spain,1805,Flow,2,2,10,5,-3.5,7.456
Spain,1806,Helm,3,3,8,6,1.0,10.436
Spain,1806,Shield,2,3,8,5,-0.5,8.203
Spain,1806,Lore,8,7,4,7,14.5,19.452
Spain,1806,Stewards,3,3,9,5,-0.5,9.106
Spain,1806,Craft,5,5,5,5,7.5,13.567
Spain,1806,Hands,5,5,6,3,5.5,10.869
Spain,1806,Archive,7,7,4,7,13.5,18.464
Spain,1806,Flow,2,2,10,5,-3.5,7.491
Spain,1807,Helm,2,3,9,6,-1.0,8.211
Spain,1807,Shield,3,3,8,5,0.5,8.883
Spain,1807,Lore,7,6,5,7,11.5,16.259
Spain,1807,Stewards,3,2,9,5,-1.5,8.495
Spain,1807,Craft,4,4,6,5,4.5,10.884
Spain,1807,Hands,5,5,7,3,4.5,9.508
Spain,1807,Archive,7,6,5,7,11.5,16.259
Spain,1807,Flow,2,2,10,5,-3.5,7.043
Spain,1808,Helm,1,1,10,6,-5.0,5.525
Spain,1808,Shield,2,3,10,4,-3.0,4.811
Spain,1808,Lore,6,5,8,7,6.5,9.759
Spain,1808,Stewards,2,1,10,5,-4.5,5.541
Spain,1808,Craft,3,3,9,5,-0.5,6.455
Spain,1808,Hands,4,5,10,3,0.5,5.256
Spain,1808,Archive,5,4,8,7,4.5,9.301
Spain,1808,Flow,1,1,10,5,-5.5,4.837
Spain,1809,Helm,1,2,10,7,-3.5,6.05
Spain,1809,Shield,3,4,10,4,-1.0,5.091
Spain,1809,Lore,6,5,9,7,5.5,8.649
Spain,1809,Stewards,1,1,10,5,-5.5,4.716
Spain,1809,Craft,2,2,10,5,-3.5,5.3
Spain,1809,Hands,3,4,10,3,-1.5,4.319
Spain,1809,Archive,4,3,9,7,1.5,7.92
Spain,1809,Flow,1,1,10,5,-5.5,4.716
Spain,1810,Helm,2,2,10,7,-2.5,7.006
Spain,1810,Shield,3,4,10,4,-1.0,5.362
Spain,1810,Lore,6,5,9,8,6.0,9.837
Spain,1810,Stewards,1,1,10,5,-5.5,4.969
Spain,1810,Craft,2,2,10,5,-3.5,5.584
Spain,1810,Hands,3,4,10,3,-1.5,4.546
Spain,1810,Archive,4,3,9,8,2.0,9.041
Spain,1810,Flow,1,1,10,5,-5.5,4.969
Spain,1811,Helm,2,2,10,8,-2.0,7.822
Spain,1811,Shield,3,4,10,4,-1.0,5.446
Spain,1811,Lore,6,5,9,8,6.0,10.014
Spain,1811,Stewards,1,1,10,5,-5.5,5.074
Spain,1811,Craft,2,2,10,5,-3.5,5.689
Spain,1811,Hands,3,4,10,3,-1.5,4.609
Spain,1811,Archive,4,3,9,8,2.0,9.218
Spain,1811,Flow,1,1,10,5,-5.5,5.074
Spain,1812,Helm,3,3,10,9,0.5,9.338
Spain,1812,Shield,4,4,9,4,1.0,6.454
Spain,1812,Lore,5,5,9,8,5.0,10.055
Spain,1812,Stewards,1,1,10,5,-5.5,5.237
Spain,1812,Craft,2,2,10,5,-3.5,5.889
Spain,1812,Hands,3,4,10,3,-1.5,4.795
Spain,1812,Archive,4,4,9,8,3.0,9.584
Spain,1812,Flow,1,1,10,5,-5.5,5.237
Spain,1813,Helm,4,4,9,8,3.0,11.131
Spain,1813,Shield,5,5,8,4,4.0,9.049
Spain,1813,Lore,6,6,8,8,8.0,13.153
Spain,1813,Stewards,2,2,9,5,-2.5,6.96
Spain,1813,Craft,3,3,9,5,-0.5,7.895
Spain,1813,Hands,4,5,9,3,1.5,6.946
Spain,1813,Archive,5,5,8,8,6.0,12.411
Spain,1813,Flow,2,2,9,5,-2.5,6.96
Spain,1814,Helm,4,5,8,7,4.5,11.787
