Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Syria,1893,Executive,2,2,7,3,-1.5,0.88
Syria,1893,Army,3,3,6,3,1.5,1.23
Syria,1893,Priesthood / Knowledge Workers,7,6,4,7,12.5,2.22
Syria,1893,Property,4,4,6,4,4.0,1.38
Syria,1893,Trades / Professions,5,5,5,4,7.0,1.63
Syria,1893,Proletariat,4,3,6,3,2.5,1.08
Syria,1893,StateMemory,7,6,4,7,12.5,2.22
Syria,1893,Merchants / Shopkeepers,5,5,5,4,7.0,1.63
Syria,1894,Executive,2,2,7,3,-1.5,0.88
Syria,1894,Army,3,3,6,3,1.5,1.23
Syria,1894,Priesthood / Knowledge Workers,7,6,4,7,12.5,2.22
Syria,1894,Property,4,4,6,4,4.0,1.38
Syria,1894,Trades / Professions,5,5,5,4,7.0,1.63
Syria,1894,Proletariat,4,3,6,3,2.5,1.08
Syria,1894,StateMemory,7,6,4,7,12.5,2.22
Syria,1894,Merchants / Shopkeepers,5,5,5,4,7.0,1.63
Syria,1895,Army,5,4,5,3,5.5,2.78
Syria,1895,Executive,4,4,6,3,3.5,2.65
Syria,1895,Merchants / Shopkeepers,6,6,5,5,9.5,3.02
Syria,1895,Priesthood / Knowledge Workers,6,5,4,5,9.5,2.89
Syria,1895,Proletariat,3,4,6,3,2.5,2.54
Syria,1895,Property,4,6,5,4,7.0,2.71
Syria,1895,StateMemory,5,5,4,5,8.5,2.95
Syria,1895,Trades / Professions,5,5,5,4,7.0,2.83
Syria,1900,Army,5,4,6,3,4.5,2.69
Syria,1900,Executive,4,4,7,3,2.5,2.58
Syria,1900,Merchants / Shopkeepers,6,6,6,5,8.5,2.94
Syria,1900,Priesthood / Knowledge Workers,6,5,4,5,9.5,2.89
Syria,1900,Proletariat,3,4,7,3,1.5,2.45
Syria,1900,Property,4,6,6,4,6.0,2.63
Syria,1900,StateMemory,5,5,5,5,7.5,2.86
Syria,1900,Trades / Professions,5,5,6,4,6.0,2.75
Syria,1901,Army,5,4,6,3,4.5,2.69
Syria,1901,Executive,4,4,7,3,2.5,2.58
Syria,1901,Merchants / Shopkeepers,6,6,6,5,8.5,2.94
Syria,1901,Priesthood / Knowledge Workers,6,5,4,5,9.5,2.89
Syria,1901,Proletariat,3,4,7,3,1.5,2.45
Syria,1901,Property,4,6,6,4,6.0,2.63
Syria,1901,StateMemory,5,5,5,5,7.5,2.86
Syria,1901,Trades / Professions,5,5,6,4,6.0,2.75
Syria,1902,Army,5,4,6,3,4.5,2.69
Syria,1902,Executive,4,4,7,3,2.5,2.58
Syria,1902,Merchants / Shopkeepers,6,6,6,5,8.5,2.94
Syria,1902,Priesthood / Knowledge Workers,6,5,4,5,9.5,2.89
Syria,1902,Proletariat,3,4,7,3,1.5,2.45
Syria,1902,Property,4,6,6,4,6.0,2.63
Syria,1902,StateMemory,5,5,5,5,7.5,2.86
Syria,1902,Trades / Professions,5,5,6,4,6.0,2.75
Syria,1903,Army,5,4,6,3,4.5,2.69
Syria,1903,Executive,4,4,7,3,2.5,2.58
Syria,1903,Merchants / Shopkeepers,6,6,6,5,8.5,2.94
Syria,1903,Priesthood / Knowledge Workers,6,5,4,5,9.5,2.89
Syria,1903,Proletariat,3,4,7,3,1.5,2.45
Syria,1903,Property,4,6,6,4,6.0,2.63
Syria,1903,StateMemory,5,5,5,5,7.5,2.86
Syria,1903,Trades / Professions,5,5,6,4,6.0,2.75
Syria,1904,Army,5,4,6,3,4.5,2.69
Syria,1904,Executive,4,4,7,3,2.5,2.58
Syria,1904,Merchants / Shopkeepers,6,6,6,5,8.5,2.94
Syria,1904,Priesthood / Knowledge Workers,6,5,4,5,9.5,2.89
Syria,1904,Proletariat,3,4,7,3,1.5,2.45
Syria,1904,Property,4,6,6,4,6.0,2.63
Syria,1904,StateMemory,5,5,5,5,7.5,2.86
Syria,1904,Trades / Professions,5,5,6,4,6.0,2.75
Syria,1905,Army,5,4,6,3,4.5,2.69
Syria,1905,Executive,4,4,7,3,2.5,2.58
Syria,1905,Merchants / Shopkeepers,6,6,6,5,8.5,2.94
Syria,1905,Priesthood / Knowledge Workers,6,5,4,5,9.5,2.89
Syria,1905,Proletariat,3,4,7,3,1.5,2.45
Syria,1905,Property,4,6,6,4,6.0,2.63
Syria,1905,StateMemory,5,5,5,5,7.5,2.86
Syria,1905,Trades / Professions,5,5,6,4,6.0,2.75
Syria,1906,Army,5,4,6,3,4.5,2.69
Syria,1906,Executive,4,4,7,3,2.5,2.58
Syria,1906,Merchants / Shopkeepers,6,6,6,5,8.5,2.94
Syria,1906,Priesthood / Knowledge Workers,6,5,4,5,9.5,2.89
Syria,1906,Proletariat,3,4,7,3,1.5,2.45
Syria,1906,Property,4,6,6,4,6.0,2.63
Syria,1906,StateMemory,5,5,5,5,7.5,2.86
Syria,1906,Trades / Professions,5,5,6,4,6.0,2.75
Syria,1907,Army,5,4,6,3,4.5,2.69
Syria,1907,Executive,4,4,7,3,2.5,2.58
Syria,1907,Merchants / Shopkeepers,6,6,6,5,8.5,2.94
Syria,1907,Priesthood / Knowledge Workers,6,5,4,5,9.5,2.89
Syria,1907,Proletariat,3,4,7,3,1.5,2.45
Syria,1907,Property,4,6,6,4,6.0,2.63
Syria,1907,StateMemory,5,5,5,5,7.5,2.86
Syria,1907,Trades / Professions,5,5,6,4,6.0,2.75
Syria,1908,Army,5,4,6,4,5.0,2.78
Syria,1908,Executive,4,4,7,4,3.0,2.65
Syria,1908,Merchants / Shopkeepers,6,6,6,5,8.5,2.94
Syria,1908,Priesthood / Knowledge Workers,6,5,4,5,9.5,2.89
Syria,1908,Proletariat,3,4,7,3,1.5,2.45
Syria,1908,Property,4,6,6,4,6.0,2.63
Syria,1908,StateMemory,5,5,5,5,7.5,2.86
Syria,1908,Trades / Professions,5,5,6,4,6.0,2.75
Syria,1909,Army,5,4,6,4,5.0,2.78
Syria,1909,Executive,4,4,7,4,3.0,2.65
Syria,1909,Merchants / Shopkeepers,6,6,6,5,8.5,2.94
Syria,1909,Priesthood / Knowledge Workers,6,5,4,5,9.5,2.89
Syria,1909,Proletariat,3,4,7,3,1.5,2.45
