Society,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max
Thailand,1850,Helm,0.0,0.45,0.55,0.0,2.0,9.5,11.5
Thailand,1850,Shield,0.0,0.45,0.45,0.0,2.0,5.5,7.5
Thailand,1850,Lore,0.0,0.45,0.0,0.45,1.0,13.0,14.0
Thailand,1850,Stewards,0.55,0.45,0.45,0.0,3.0,7.0,10.0
Thailand,1850,Craft,0.55,0.45,0.55,0.0,3.0,4.5,7.5
Thailand,1850,Hands,0.45,0.45,0.45,0.0,3.0,2.0,5.0
Thailand,1850,Archive,0.0,0.45,0.0,0.0,1.0,10.5,11.5
Thailand,1850,Flow,0.45,0.0,0.0,0.0,1.0,5.5,6.5
Thailand,1855,Helm,0.0,0.0,0.0,0.0,0.0,12.0,12.0
Thailand,1855,Shield,0.45,0.0,0.0,0.55,1.5,5.5,7.0
Thailand,1855,Lore,0.45,0.0,0.0,0.0,1.0,11.0,12.0
Thailand,1855,Stewards,0.45,0.0,0.0,0.0,1.0,7.0,8.0
Thailand,1855,Craft,0.45,0.0,0.55,0.0,2.0,5.5,7.5
Thailand,1855,Hands,0.0,0.45,0.0,0.0,1.0,3.0,4.0
Thailand,1855,Archive,0.55,0.45,0.0,0.0,2.0,9.5,11.5
Thailand,1855,Flow,0.55,0.0,0.0,0.0,1.0,9.0,10.0
Thailand,1860,Helm,0.0,0.45,0.0,0.0,1.0,12.5,13.5
Thailand,1860,Shield,0.45,0.0,0.0,0.0,1.0,7.0,8.0
Thailand,1860,Lore,0.0,0.45,0.0,0.45,1.0,11.0,12.0
Thailand,1860,Stewards,0.55,0.0,0.0,0.0,1.0,9.0,10.0
Thailand,1860,Craft,0.45,0.0,0.45,0.0,2.0,6.5,8.5
Thailand,1860,Hands,0.0,0.0,0.0,0.0,0.0,4.0,4.0
Thailand,1860,Archive,0.45,0.0,0.0,0.0,1.0,10.5,11.5
Thailand,1860,Flow,0.0,0.0,0.0,0.45,0.5,10.0,10.5
Thailand,1865,Helm,0.45,0.55,0.0,0.0,2.0,12.5,14.5
Thailand,1865,Shield,0.45,0.0,0.0,0.0,1.0,7.0,8.0
Thailand,1865,Lore,0.45,0.45,0.0,0.0,2.0,11.5,13.5
Thailand,1865,Stewards,0.55,0.0,0.0,0.0,1.0,9.0,10.0
Thailand,1865,Craft,0.55,0.0,0.45,0.0,2.0,6.5,8.5
Thailand,1865,Hands,0.0,0.0,0.0,0.0,0.0,4.0,4.0
Thailand,1865,Archive,0.55,0.0,0.0,0.0,1.0,11.0,12.0
Thailand,1865,Flow,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Thailand,1870,Helm,0.0,0.0,0.0,0.0,0.0,9.0,9.0
Thailand,1870,Shield,0.0,0.0,0.0,0.0,0.0,8.0,8.0
Thailand,1870,Lore,0.0,0.45,0.0,0.0,1.0,11.0,12.0
Thailand,1870,Stewards,0.45,0.0,0.0,0.0,1.0,9.0,10.0
Thailand,1870,Craft,0.45,0.45,0.45,0.0,2.0,5.5,7.5
Thailand,1870,Hands,0.0,0.0,0.0,0.0,0.0,4.0,4.0
Thailand,1870,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5
Thailand,1870,Flow,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Thailand,1875,Helm,0.0,0.55,0.0,0.0,1.0,12.5,13.5
Thailand,1875,Shield,0.0,0.0,0.0,0.0,0.0,8.5,8.5
Thailand,1875,Lore,0.0,0.0,0.0,0.0,0.0,12.5,12.5
Thailand,1875,Stewards,0.0,0.0,0.0,0.0,0.0,7.0,7.0
Thailand,1875,Craft,0.0,0.0,0.45,0.0,1.0,8.0,9.0
Thailand,1875,Hands,0.0,0.0,0.0,0.0,0.0,4.0,4.0
Thailand,1875,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5
Thailand,1875,Flow,0.0,0.0,0.0,0.0,0.0,10.5,10.5
Thailand,1880,Helm,0.45,0.0,0.0,0.0,1.0,13.5,14.5
Thailand,1880,Shield,0.0,0.0,0.0,0.0,0.0,9.5,9.5
Thailand,1880,Lore,0.0,0.55,0.0,0.0,1.0,12.5,13.5
Thailand,1880,Stewards,0.55,0.0,0.0,0.55,1.5,8.0,9.5
Thailand,1880,Craft,0.0,0.0,0.45,0.0,1.0,9.0,10.0
Thailand,1880,Hands,0.0,0.0,0.0,0.0,0.0,6.5,6.5
Thailand,1880,Archive,0.45,0.0,0.0,0.0,1.0,12.0,13.0
Thailand,1880,Flow,0.45,0.0,0.0,0.0,1.0,11.5,12.5
Thailand,1885,Helm,0.45,0.0,0.45,0.0,2.0,12.5,14.5
Thailand,1885,Shield,0.0,0.0,0.0,0.0,0.0,8.5,8.5
Thailand,1885,Lore,0.0,0.45,0.0,0.0,1.0,12.5,13.5
Thailand,1885,Stewards,0.0,0.0,0.0,0.0,0.0,9.5,9.5
Thailand,1885,Craft,0.0,0.0,0.55,0.0,1.0,9.0,10.0
Thailand,1885,Hands,0.0,0.0,0.0,0.0,0.0,6.5,6.5
Thailand,1885,Archive,0.0,0.0,0.0,0.0,0.0,13.0,13.0
Thailand,1885,Flow,0.45,0.0,0.0,0.0,1.0,11.5,12.5
Thailand,1890,Helm,0.0,0.0,0.55,0.0,1.0,11.5,12.5
Thailand,1890,Shield,0.0,0.0,0.0,0.0,0.0,6.5,6.5
Thailand,1890,Lore,0.0,0.0,0.0,0.0,0.0,12.5,12.5
Thailand,1890,Stewards,0.0,0.0,0.0,0.0,0.0,9.5,9.5
Thailand,1890,Craft,0.0,0.0,0.55,0.0,1.0,9.0,10.0
Thailand,1890,Hands,0.0,0.0,0.0,0.0,0.0,6.5,6.5
Thailand,1890,Archive,0.0,0.0,0.0,0.0,0.0,13.0,13.0
Thailand,1890,Flow,0.45,0.0,0.0,0.0,1.0,11.5,12.5
Thailand,1895,Helm,0.0,0.45,0.45,0.0,1.0,7.5,8.5
Thailand,1895,Shield,0.0,0.0,0.0,0.0,0.0,4.5,4.5
Thailand,1895,Lore,0.0,0.0,0.0,0.0,0.0,11.5,11.5
Thailand,1895,Stewards,0.0,0.0,0.0,0.0,0.0,8.5,8.5
Thailand,1895,Craft,0.0,0.45,0.0,0.0,1.0,8.0,9.0
Thailand,1895,Hands,0.0,0.0,0.0,0.0,0.0,7.5,7.5
Thailand,1895,Archive,0.0,0.0,0.0,0.0,0.0,12.0,12.0
Thailand,1895,Flow,0.0,0.0,0.0,0.0,0.0,9.5,9.5
Thailand,1900,Helm,0.0,0.45,0.0,0.0,1.0,13.0,14.0
Thailand,1900,Shield,0.45,0.0,0.0,0.0,1.0,9.0,10.0
