Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
United Kingdom,1880,Helm,7.0,8.0,3.0,7.0,15.5,35.765
United Kingdom,1880,Shield,8.0,8.2,2.0,6.2,17.3,38.806
United Kingdom,1880,Lore,7.0,7.0,3.0,7.0,14.5,35.765
United Kingdom,1880,Stewards,7.0,8.0,2.4,6.2,15.7,35.378
United Kingdom,1880,Craft,7.0,8.0,3.0,6.0,15.0,34.146
United Kingdom,1880,Hands,5.0,5.0,5.0,4.0,7.0,22.65
United Kingdom,1880,Archive,8.0,7.4,2.0,7.0,16.9,40.137
United Kingdom,1880,Flow,8.0,8.2,2.0,7.0,17.7,40.137
United Kingdom,1881,Helm,7.0,8.0,3.0,7.0,15.5,35.765
United Kingdom,1881,Shield,8.0,8.2,2.0,6.2,17.3,38.806
United Kingdom,1881,Lore,7.0,7.0,3.0,7.0,14.5,35.765
United Kingdom,1881,Stewards,7.0,8.0,2.4,6.2,15.7,35.378
United Kingdom,1881,Craft,7.0,8.0,3.0,6.0,15.0,34.146
United Kingdom,1881,Hands,5.0,5.0,5.0,4.0,7.0,22.65
United Kingdom,1881,Archive,8.0,7.4,2.0,7.0,16.9,40.137
United Kingdom,1881,Flow,8.0,8.2,2.0,7.0,17.7,40.137
United Kingdom,1882,Helm,7.0,8.0,3.0,7.0,15.5,35.765
United Kingdom,1882,Shield,8.0,8.2,2.0,6.2,17.3,38.806
United Kingdom,1882,Lore,7.0,7.0,3.0,7.0,14.5,35.765
United Kingdom,1882,Stewards,7.0,8.0,2.4,6.2,15.7,35.378
United Kingdom,1882,Craft,7.0,8.0,3.0,6.0,15.0,34.146
United Kingdom,1882,Hands,5.0,5.0,5.0,4.0,7.0,22.65
United Kingdom,1882,Archive,8.0,7.4,2.0,7.0,16.9,40.137
United Kingdom,1882,Flow,8.0,8.2,2.0,7.0,17.7,40.137
United Kingdom,1883,Helm,7.0,8.0,3.0,7.0,15.5,35.765
United Kingdom,1883,Shield,8.0,8.2,2.0,6.2,17.3,38.806
United Kingdom,1883,Lore,7.0,7.0,3.0,7.0,14.5,35.765
United Kingdom,1883,Stewards,7.0,8.0,2.4,6.2,15.7,35.378
United Kingdom,1883,Craft,7.0,8.0,3.0,6.0,15.0,34.146
United Kingdom,1883,Hands,5.0,5.0,5.0,4.0,7.0,22.65
United Kingdom,1883,Archive,8.0,7.4,2.0,7.0,16.9,40.137
United Kingdom,1883,Flow,8.0,8.2,2.0,7.0,17.7,40.137
United Kingdom,1884,Helm,7.0,8.0,3.0,7.0,15.5,35.765
United Kingdom,1884,Shield,8.0,8.2,2.0,6.2,17.3,38.806
United Kingdom,1884,Lore,7.0,7.0,3.0,7.0,14.5,35.765
United Kingdom,1884,Stewards,7.0,8.0,2.4,6.2,15.7,35.378
United Kingdom,1884,Craft,7.0,8.0,3.0,6.0,15.0,34.146
United Kingdom,1884,Hands,5.0,6.0,5.0,4.0,8.0,22.65
United Kingdom,1884,Archive,8.0,7.4,2.0,7.0,16.9,40.137
United Kingdom,1884,Flow,8.0,8.2,2.0,7.0,17.7,40.137
United Kingdom,1885,Helm,6.0,7.0,4.0,7.0,12.5,30.943
United Kingdom,1885,Shield,8.0,8.2,2.0,6.2,17.3,38.022
United Kingdom,1885,Lore,7.0,7.0,3.0,7.0,14.5,35.09
United Kingdom,1885,Stewards,7.0,8.0,2.4,6.2,15.7,34.694
United Kingdom,1885,Craft,7.0,8.0,3.0,6.0,15.0,33.485
United Kingdom,1885,Hands,5.0,5.0,5.0,4.0,7.0,22.226
United Kingdom,1885,Archive,8.0,7.4,2.0,7.0,16.9,39.34
United Kingdom,1885,Flow,8.0,8.2,2.0,7.0,17.7,39.34
United Kingdom,1886,Helm,6.0,7.0,5.0,7.0,11.5,29.071
United Kingdom,1886,Shield,8.0,8.2,2.0,6.2,17.3,37.222
United Kingdom,1886,Lore,7.0,7.0,3.0,7.0,14.5,34.402
United Kingdom,1886,Stewards,7.0,8.0,2.4,6.2,15.7,33.997
United Kingdom,1886,Craft,7.0,7.0,3.0,6.0,14.0,32.812
United Kingdom,1886,Hands,5.0,5.0,5.0,4.0,7.0,21.795
United Kingdom,1886,Archive,8.0,7.4,2.0,7.0,16.9,38.529
United Kingdom,1886,Flow,7.0,7.2,2.0,7.0,15.7,35.887
United Kingdom,1887,Helm,7.0,8.0,3.0,7.0,15.5,35.765
