Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
USA,1996,Helm,7.2,8.0,3.8,7.0,14.9,32.916
USA,1996,Shield,7.4,9.0,3.2,6.0,16.2,32.662
USA,1996,Lore,6.0,7.2,3.8,7.0,12.9,29.942
USA,1996,Stewards,7.0,8.0,3.4,7.0,15.1,32.988
USA,1996,Craft,7.0,8.0,3.0,6.0,15.0,31.953
USA,1996,Hands,6.0,7.0,5.0,5.0,10.5,25.361
USA,1996,Archive,7.0,7.4,3.0,7.0,14.9,33.552
USA,1996,Flow,7.0,8.2,3.0,7.0,15.7,33.552
USA,1997,Helm,7.4,8.4,3.0,7.0,16.3,36.671
USA,1997,Shield,7.8,9.0,3.0,6.0,16.8,36.038
USA,1997,Lore,6.2,7.8,3.2,7.0,14.3,33.109
USA,1997,Stewards,7.2,9.0,3.0,7.0,16.7,36.138
USA,1997,Craft,7.0,8.0,3.0,6.6,15.3,34.937
USA,1997,Hands,6.0,7.0,4.0,5.0,11.5,28.103
USA,1997,Archive,7.0,7.8,3.0,7.0,15.3,35.6
USA,1997,Flow,8.0,9.0,2.2,7.2,18.4,39.875
USA,1998,Helm,4.8,7.0,6.8,7.0,8.5,21.559
USA,1998,Shield,7.0,9.0,3.6,6.0,15.4,28.157
USA,1998,Lore,5.8,7.4,4.4,7.0,12.3,26.173
USA,1998,Stewards,7.0,9.0,3.2,7.0,16.3,30.16
USA,1998,Craft,7.0,8.0,3.0,6.4,15.2,29.502
USA,1998,Hands,6.0,7.0,4.0,5.0,11.5,24.015
USA,1998,Archive,5.2,7.2,5.8,7.0,10.1,23.386
USA,1998,Flow,7.0,9.0,3.2,7.0,16.3,30.16
USA,1999,Helm,6.2,7.0,5.0,7.0,11.7,28.296
USA,1999,Shield,7.0,9.0,5.0,6.0,14.0,28.492
USA,1999,Lore,6.2,7.6,4.0,7.0,13.3,29.548
USA,1999,Stewards,7.0,9.0,3.6,8.0,16.4,33.468
USA,1999,Craft,7.0,8.0,3.0,7.0,15.5,32.724
USA,1999,Hands,6.0,7.0,4.0,5.0,11.5,25.765
USA,1999,Archive,6.2,7.2,3.8,7.0,13.1,29.803
USA,1999,Flow,7.0,9.0,3.2,8.0,16.8,34.031
USA,2000,Helm,4.6,6.8,6.8,7.0,8.1,19.54
USA,2000,Shield,7.0,8.0,4.0,6.0,14.0,24.975
USA,2000,Lore,5.4,7.6,5.0,7.0,11.5,22.615
USA,2000,Stewards,6.0,8.0,5.6,7.6,12.2,23.881
USA,2000,Craft,6.4,8.0,4.4,7.0,13.5,24.988
USA,2000,Hands,6.0,7.0,4.8,5.0,10.7,20.96
USA,2000,Archive,5.2,7.0,5.8,7.0,9.9,21.497
USA,2000,Flow,5.2,8.0,5.6,8.0,11.6,23.005
USA,2001,Helm,7.4,7.0,8.2,8.0,10.2,23.125
USA,2001,Shield,8.2,8.0,7.4,7.0,12.3,23.856
USA,2001,Lore,6.2,7.0,6.6,8.0,10.6,22.884
USA,2001,Stewards,5.4,6.6,6.8,7.0,8.7,20.2
USA,2001,Craft,5.8,7.0,6.8,7.0,9.5,20.849
USA,2001,Hands,6.4,6.0,7.8,6.0,7.6,19.662
USA,2001,Archive,6.0,7.0,6.8,8.0,10.2,22.376
USA,2001,Flow,4.4,6.2,7.8,7.0,6.3,17.717
USA,2002,Helm,7.0,7.0,6.0,8.0,12.0,26.272
USA,2002,Shield,7.2,8.0,6.6,8.0,12.6,25.929
USA,2002,Lore,6.0,7.0,5.2,8.0,11.8,25.49
USA,2002,Stewards,5.0,7.0,6.4,7.0,9.1,21.153
USA,2002,Craft,6.0,7.0,5.0,7.0,11.5,24.269
USA,2002,Hands,5.2,6.0,6.4,6.0,7.8,20.067
