Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Latium Vetus,460,Helm,,,,,,
Latium Vetus,460,Shield,,,,,,
Latium Vetus,460,Lore,,,,,,
Latium Vetus,460,Stewards,,,,,,
Latium Vetus,460,Craft,,,,,,
Latium Vetus,460,Hands,,,,,,
Latium Vetus,460,Archive,,,,,,
Latium Vetus,460,Flow,,,,,,
Latium Vetus,480,Helm,,,,,,
Latium Vetus,480,Shield,,,,,,
Latium Vetus,480,Lore,,,,,,
Latium Vetus,480,Stewards,,,,,,
Latium Vetus,480,Craft,,,,,,
Latium Vetus,480,Hands,,,,,,
Latium Vetus,480,Archive,,,,,,
Latium Vetus,480,Flow,,,,,,
Latium Vetus,500,Helm,,,,,,
Latium Vetus,500,Shield,,,,,,
Latium Vetus,500,Lore,,,,,,
Latium Vetus,500,Stewards,,,,,,
Latium Vetus,500,Craft,,,,,,
Latium Vetus,500,Hands,,,,,,
Latium Vetus,500,Archive,,,,,,
Latium Vetus,500,Flow,,,,,,
Latium Vetus,520,Helm,,,,,,
Latium Vetus,520,Shield,,,,,,
Latium Vetus,520,Lore,,,,,,
Latium Vetus,520,Stewards,,,,,,
Latium Vetus,520,Craft,,,,,,
Latium Vetus,520,Hands,,,,,,
Latium Vetus,520,Archive,,,,,,
Latium Vetus,520,Flow,,,,,,
Latium Vetus,540,Helm,,,,,,
Latium Vetus,540,Shield,,,,,,
Latium Vetus,540,Lore,,,,,,
Latium Vetus,540,Stewards,,,,,,
Latium Vetus,540,Craft,,,,,,
Latium Vetus,540,Hands,,,,,,
Latium Vetus,540,Archive,,,,,,
Latium Vetus,540,Flow,,,,,,
Latium Vetus,560,Helm,,,,,,
Latium Vetus,560,Shield,,,,,,
Latium Vetus,560,Lore,,,,,,
Latium Vetus,560,Stewards,,,,,,
Latium Vetus,560,Craft,,,,,,
Latium Vetus,560,Hands,,,,,,
Latium Vetus,560,Archive,,,,,,
Latium Vetus,560,Flow,,,,,,
Latium Vetus,580,Helm,,,,,,
Latium Vetus,580,Shield,,,,,,
Latium Vetus,580,Lore,,,,,,
Latium Vetus,580,Stewards,,,,,,
Latium Vetus,580,Craft,,,,,,
Latium Vetus,580,Hands,,,,,,
Latium Vetus,580,Archive,,,,,,
Latium Vetus,580,Flow,,,,,,
Latium Vetus,600,Helm,,,,,,
Latium Vetus,600,Shield,,,,,,
Latium Vetus,600,Lore,,,,,,
Latium Vetus,600,Stewards,,,,,,
Latium Vetus,600,Craft,,,,,,
Latium Vetus,600,Hands,,,,,,
Latium Vetus,600,Archive,,,,,,
Latium Vetus,600,Flow,,,,,,
Latium Vetus,620,Helm,,,,,,
Latium Vetus,620,Shield,,,,,,
Latium Vetus,620,Lore,,,,,,
Latium Vetus,620,Stewards,,,,,,
Latium Vetus,620,Craft,,,,,,
Latium Vetus,620,Hands,,,,,,
Latium Vetus,620,Archive,,,,,,
Latium Vetus,620,Flow,,,,,,
Latium Vetus,640,Helm,,,,,,
Latium Vetus,640,Shield,,,,,,
Latium Vetus,640,Lore,,,,,,
Latium Vetus,640,Stewards,,,,,,
Latium Vetus,640,Craft,,,,,,
Latium Vetus,640,Hands,,,,,,
Latium Vetus,640,Archive,,,,,,
Latium Vetus,640,Flow,,,,,,
Latium Vetus,660,Helm,,,,,,
Latium Vetus,660,Shield,,,,,,
Latium Vetus,660,Lore,,,,,,
Latium Vetus,660,Stewards,,,,,,
Latium Vetus,660,Craft,,,,,,
Latium Vetus,660,Hands,,,,,,
Latium Vetus,660,Archive,,,,,,
Latium Vetus,660,Flow,,,,,,
Latium Vetus,680,Helm,,,,,,
Latium Vetus,680,Shield,,,,,,
Latium Vetus,680,Lore,,,,,,
Latium Vetus,680,Stewards,,,,,,
Latium Vetus,680,Craft,,,,,,
Latium Vetus,680,Hands,,,,,,
Latium Vetus,680,Archive,,,,,,
Latium Vetus,680,Flow,,,,,,
Latium Vetus,700,Helm,,,,,,
Latium Vetus,700,Shield,,,,,,
Latium Vetus,700,Lore,,,,,,
Latium Vetus,700,Stewards,,,,,,
Latium Vetus,700,Craft,,,,,,
Latium Vetus,700,Hands,,,,,,
Latium Vetus,700,Archive,,,,,,
Latium Vetus,700,Flow,,,,,,
Latium Vetus,720,Helm,,,,,,
Latium Vetus,720,Shield,,,,,,
Latium Vetus,720,Lore,,,,,,
Latium Vetus,720,Stewards,,,,,,
Latium Vetus,720,Craft,,,,,,
Latium Vetus,720,Hands,,,,,,
Latium Vetus,720,Archive,,,,,,
Latium Vetus,720,Flow,,,,,,
Latium Vetus,740,Helm,,,,,,
Latium Vetus,740,Shield,,,,,,
Latium Vetus,740,Lore,,,,,,
Latium Vetus,740,Stewards,,,,,,
Latium Vetus,740,Craft,,,,,,
Latium Vetus,740,Hands,,,,,,
Latium Vetus,740,Archive,,,,,,
Latium Vetus,740,Flow,,,,,,
Latium Vetus,760,Helm,,,,,,
Latium Vetus,760,Shield,,,,,,
Latium Vetus,760,Lore,,,,,,
Latium Vetus,760,Stewards,,,,,,
Latium Vetus,760,Craft,,,,,,
Latium Vetus,760,Hands,,,,,,
Latium Vetus,760,Archive,,,,,,
Latium Vetus,760,Flow,,,,,,
Latium Vetus,780,Helm,,,,,,
Latium Vetus,780,Shield,,,,,,
Latium Vetus,780,Lore,,,,,,
Latium Vetus,780,Stewards,,,,,,
Latium Vetus,780,Craft,,,,,,
Latium Vetus,780,Hands,,,,,,
Latium Vetus,780,Archive,,,,,,
Latium Vetus,780,Flow,,,,,,
Latium Vetus,800,Helm,,,,,,
Latium Vetus,800,Shield,,,,,,
Latium Vetus,800,Lore,,,,,,
Latium Vetus,800,Stewards,,,,,,
Latium Vetus,800,Craft,,,,,,
Latium Vetus,800,Hands,,,,,,
Latium Vetus,800,Archive,,,,,,
Latium Vetus,800,Flow,,,,,,
Latium Vetus,820,Helm,,,,,,
Latium Vetus,820,Shield,,,,,,
Latium Vetus,820,Lore,,,,,,
Latium Vetus,820,Stewards,,,,,,
Latium Vetus,820,Craft,,,,,,
Latium Vetus,820,Hands,,,,,,
Latium Vetus,820,Archive,,,,,,
Latium Vetus,820,Flow,,,,,,
Latium Vetus,840,Helm,,,,,,
Latium Vetus,840,Shield,,,,,,
Latium Vetus,840,Lore,,,,,,
Latium Vetus,840,Stewards,,,,,,
Latium Vetus,840,Craft,,,,,,
Latium Vetus,840,Hands,,,,,,
Latium Vetus,840,Archive,,,,,,
Latium Vetus,840,Flow,,,,,,
Latium Vetus,860,Helm,,,,,,
Latium Vetus,860,Shield,,,,,,
