Society,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max
Sweden,1850,Helm,0.45,0.45,0.0,0.45,1.0,6.5,7.5
Sweden,1850,Shield,0.45,0.0,0.45,0.45,1.0,7.5,8.5
Sweden,1850,Lore,0.45,0.0,0.45,0.0,2.0,11.0,13.0
Sweden,1850,Stewards,0.45,0.0,0.0,0.0,1.0,7.0,8.0
Sweden,1850,Craft,0.45,0.0,0.0,0.0,1.0,5.0,6.0
Sweden,1850,Hands,0.55,0.0,0.55,0.0,2.0,1.5,3.5
Sweden,1850,Archive,0.0,0.0,0.0,0.0,0.0,9.5,9.5
Sweden,1850,Flow,0.45,0.0,0.0,0.0,1.0,5.0,6.0
Sweden,1860,Helm,0.0,0.0,0.0,0.0,0.0,7.5,7.5
Sweden,1860,Shield,0.45,0.0,0.0,0.45,1.5,7.5,9.0
Sweden,1860,Lore,0.45,0.45,0.45,0.0,1.0,12.0,13.0
Sweden,1860,Stewards,0.45,0.0,0.0,0.0,1.0,8.0,9.0
Sweden,1860,Craft,0.0,0.0,0.0,0.45,0.5,8.0,8.5
Sweden,1860,Hands,0.45,0.0,0.0,0.0,1.0,2.5,3.5
Sweden,1860,Archive,0.0,0.0,0.0,0.0,0.0,9.5,9.5
Sweden,1860,Flow,0.0,0.0,0.0,0.0,0.0,8.0,8.0
Sweden,1870,Helm,0.0,0.0,0.45,0.0,1.0,8.5,9.5
Sweden,1870,Shield,0.55,0.0,0.0,0.55,1.5,7.5,9.0
Sweden,1870,Lore,0.0,0.0,0.45,0.0,1.0,12.0,13.0
Sweden,1870,Stewards,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Sweden,1870,Craft,0.55,0.0,0.0,0.55,1.5,8.0,9.5
Sweden,1870,Hands,0.0,0.0,0.0,0.0,0.0,4.5,4.5
Sweden,1870,Archive,0.45,0.45,0.45,0.0,1.0,10.5,11.5
Sweden,1870,Flow,0.0,0.0,0.0,0.55,0.5,9.0,9.5
Sweden,1880,Helm,0.45,0.0,0.0,0.0,1.0,7.5,8.5
Sweden,1880,Shield,0.55,0.0,0.45,0.55,1.5,7.5,9.0
Sweden,1880,Hands,0.55,0.55,0.45,0.0,3.0,1.5,4.5
Sweden,1880,Archive,0.45,0.0,0.55,0.0,2.0,10.5,12.5
Sweden,1880,Lore,0.0,0.0,0.45,0.0,1.0,12.0,13.0
Sweden,1880,Stewards,0.0,0.0,0.0,0.55,0.5,10.0,10.5
Sweden,1880,Craft,0.0,0.0,0.0,0.0,0.0,10.5,10.5
Sweden,1880,Flow,0.0,0.45,0.0,0.0,1.0,9.5,10.5
Sweden,1890,Helm,0.0,0.0,0.45,0.0,1.0,6.5,7.5
Sweden,1890,Shield,0.55,0.0,0.55,0.0,2.0,7.0,9.0
Sweden,1890,Lore,0.0,0.0,0.45,0.0,1.0,12.0,13.0
Sweden,1890,Stewards,0.0,0.0,0.0,0.55,0.5,10.0,10.5
Sweden,1890,Craft,0.0,0.0,0.0,0.0,0.0,10.5,10.5
Sweden,1890,Hands,0.0,0.0,0.0,0.0,0.0,6.0,6.0
Sweden,1890,Archive,0.45,0.0,0.0,0.0,1.0,10.5,11.5
Sweden,1890,Flow,0.0,0.0,0.0,0.0,0.0,10.5,10.5
Sweden,1900,Helm,0.0,0.0,0.0,0.45,0.5,6.5,7.0
Sweden,1900,Shield,0.45,0.0,0.55,0.0,2.0,6.0,8.0
Sweden,1900,Lore,0.0,0.0,0.45,0.0,1.0,12.0,13.0
Sweden,1900,Stewards,0.0,0.0,0.0,0.0,0.0,11.5,11.5
Sweden,1900,Craft,0.0,0.0,0.0,0.0,0.0,10.5,10.5
Sweden,1900,Hands,0.55,0.0,0.0,0.0,1.0,5.0,6.0
Sweden,1900,Archive,0.0,0.0,0.0,0.55,0.5,10.5,11.0
Sweden,1900,Flow,0.0,0.0,0.0,0.0,0.0,10.5,10.5
Sweden,1910,Helm,0.0,0.0,0.45,0.0,1.0,10.0,11.0
Sweden,1910,Shield,0.55,0.0,0.0,0.0,1.0,8.0,9.0
Sweden,1910,Lore,0.0,0.45,0.45,0.0,2.0,12.5,14.5
Sweden,1910,Stewards,0.55,0.0,0.45,0.0,2.0,11.5,13.5
Sweden,1910,Craft,0.0,0.0,0.45,0.0,1.0,12.0,13.0
Sweden,1910,Hands,0.45,0.0,0.45,0.0,2.0,7.5,9.5
Sweden,1910,Archive,0.0,0.45,0.45,0.0,2.0,12.0,14.0
Sweden,1910,Flow,0.55,0.0,0.45,0.45,2.5,10.5,13.0
Sweden,1920,Helm,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Sweden,1920,Shield,0.0,0.0,0.0,0.0,0.0,8.0,8.0
Sweden,1920,Lore,0.0,0.0,0.0,0.0,0.0,13.5,13.5
Sweden,1920,Stewards,0.0,0.0,0.0,0.0,0.0,9.5,9.5
Sweden,1920,Craft,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Sweden,1920,Hands,0.0,0.0,0.45,0.0,1.0,7.5,8.5
Sweden,1920,Archive,0.0,0.0,0.0,0.0,0.0,12.0,12.0
Sweden,1920,Flow,0.0,0.0,0.0,0.55,0.5,9.5,10.0
Sweden,1930,Helm,0.0,0.0,0.0,0.0,0.0,11.0,11.0
Sweden,1930,Shield,0.0,0.0,0.0,0.0,0.0,8.0,8.0
Sweden,1930,Lore,0.0,0.0,0.0,0.0,0.0,13.5,13.5
Sweden,1930,Stewards,0.0,0.0,0.0,0.0,0.0,6.5,6.5
Sweden,1930,Craft,0.45,0.0,0.0,0.0,1.0,6.5,7.5
Sweden,1930,Hands,0.0,0.0,0.0,0.0,0.0,7.5,7.5
Sweden,1930,Archive,0.0,0.0,0.0,0.0,0.0,12.0,12.0
Sweden,1930,Flow,0.0,0.0,0.0,0.0,0.0,6.5,6.5
Sweden,1940,Helm,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Sweden,1940,Shield,0.0,0.0,0.0,0.0,0.0,7.5,7.5
Sweden,1940,Lore,0.0,0.0,0.0,0.0,0.0,12.5,12.5
Sweden,1940,Stewards,0.0,0.0,0.0,0.0,0.0,9.5,9.5
Sweden,1940,Craft,0.0,0.0,0.0,0.0,0.0,11.0,11.0
Sweden,1940,Hands,0.0,0.0,0.0,0.0,0.0,10.5,10.5
Sweden,1940,Archive,0.0,0.0,0.0,0.0,0.0,12.0,12.0
Sweden,1940,Flow,0.0,0.45,0.0,0.0,1.0,7.5,8.5
