Year,Node,Coherence_G,Capacity_G,Stress_G,Abstraction_G,Coherence_K,Capacity_K,Stress_K,Abstraction_K,Society
1880,Archive,9,9,2,8,8,8.0,4,8,Germany
1880,Craft,8,8,3,7,7,8.0,4,9,Germany
1880,Flow,7,8,4,7,7,8.0,5,8,Germany
1880,Hands,5,7,6,5,6,7.0,6,6,Germany
1880,Helm,7,8,4,8,8,8.0,5,8,Germany
1880,Lore,6,9,5,10,6,7.0,6,9,Germany
1880,Shield,9,9,3,9,9,9.0,3,7,Germany
1880,Stewards,6,8,4,7,7,8.0,4,8,Germany
1881,Helm,6,8,5,8,8,8.0,5,8,Germany
1881,Shield,9,9,3,9,9,9.0,3,7,Germany
1881,Lore,6,9,5,10,6,7.0,6,9,Germany
1881,Stewards,6,8,4,7,7,8.0,4,8,Germany
1881,Craft,8,8,3,7,7,8.0,4,9,Germany
1881,Hands,4,7,6,5,6,7.0,6,6,Germany
1881,Archive,9,9,2,8,8,8.0,4,8,Germany
1881,Flow,7,7,4,7,7,8.0,5,8,Germany
1882,Helm,7,8,4,8,8,8.0,5,8,Germany
1882,Shield,9,9,3,9,9,9.0,3,7,Germany
1882,Lore,6,9,5,10,6,7.0,5,9,Germany
1882,Stewards,6,8,4,7,7,8.0,4,8,Germany
1882,Craft,8,8,3,7,8,8.0,4,9,Germany
1882,Hands,4,7,6,5,6,7.0,6,6,Germany
1882,Archive,9,9,2,9,8,8.0,4,8,Germany
1882,Flow,7,8,4,7,7,8.0,5,8,Germany
1883,Helm,7,8,4,9,8,8.0,5,8,Germany
1883,Shield,9,9,3,9,9,9.0,3,7,Germany
1883,Lore,6,9,5,10,7,7.0,5,9,Germany
1883,Stewards,7,8,4,7,7,8.0,4,8,Germany
1883,Craft,8,8,3,8,8,8.0,4,9,Germany
1883,Hands,5,7,5,5,5,7.0,7,6,Germany
1883,Archive,9,10,2,9,8,8.0,4,8,Germany
1883,Flow,7,8,4,7,7,8.0,5,8,Germany
1884,Helm,7,9,5,9,8,8.0,5,8,Germany
1884,Shield,9,9,4,9,9,9.0,3,7,Germany
1884,Lore,6,9,5,10,7,7.0,5,9,Germany
1884,Stewards,7,8,4,8,7,8.0,4,8,Germany
1884,Craft,8,8,3,8,8,9.0,4,9,Germany
1884,Hands,5,7,5,6,5,7.0,7,6,Germany
1884,Archive,9,10,2,10,8,8.0,4,8,Germany
1884,Flow,8,8,4,8,8,8.0,5,8,Germany
1885,Helm,7,9,4,9,8,8.0,5,8,Germany
1885,Shield,9,9,4,9,9,9.0,3,7,Germany
1885,Lore,6,9,5,10,7,7.0,5,9,Germany
1885,Stewards,7,9,4,8,7,8.0,4,8,Germany
1885,Craft,8,8,3,8,8,9.0,4,9,Germany
1885,Hands,5,7,5,6,5,7.0,7,6,Germany
1885,Archive,10,10,2,10,8,8.0,4,8,Germany
1885,Flow,8,9,4,8,8,8.0,5,8,Germany
1886,Helm,7,9,4,9,7,8.0,6,8,Germany
1886,Shield,9,9,3,9,9,9.0,3,7,Germany
1886,Lore,6,9,5,10,7,7.0,5,9,Germany
1886,Stewards,7,9,4,8,7,8.0,4,8,Germany
1886,Craft,8,8,3,8,8,9.0,4,9,Germany
1886,Hands,5,7,5,6,5,7.0,7,6,Germany
1886,Archive,10,10,2,10,8,8.0,4,8,Germany
1886,Flow,8,9,4,8,8,8.0,5,8,Germany
1887,Helm,7,9,4,9,7,8.0,6,8,Germany
1887,Shield,9,9,4,9,9,9.0,3,7,Germany
1887,Lore,6,9,5,10,7,8.0,4,9,Germany
1887,Stewards,7,9,4,8,7,8.0,4,8,Germany
1887,Craft,8,8,3,8,8,9.0,4,9,Germany
1887,Hands,5,7,5,6,5,7.0,7,6,Germany
1887,Archive,10,10,2,10,8,8.0,4,8,Germany
1887,Flow,8,9,4,8,8,8.0,5,8,Germany
1888,Helm,4,7,7,7,7,8.0,6,8,Germany
1888,Shield,9,9,4,9,9,9.0,3,7,Germany
1888,Lore,6,9,5,10,7,8.0,4,9,Germany
1888,Stewards,7,9,4,8,7,8.0,4,8,Germany
1888,Craft,8,8,3,8,8,9.0,4,9,Germany
1888,Hands,5,7,5,6,5,7.0,7,6,Germany
1888,Archive,9,10,3,10,8,8.0,4,8,Germany
1888,Flow,8,9,4,8,8,8.0,5,8,Germany
1889,Helm,6,8,5,8,7,8.0,6,8,Germany
1889,Shield,9,9,3,9,9,9.0,3,7,Germany
1889,Lore,6,9,5,10,7,8.0,4,9,Germany
1889,Stewards,7,9,4,8,7,8.0,4,8,Germany
1889,Craft,8,8,3,8,8,9.0,4,9,Germany
1889,Hands,4,7,7,6,5,7.0,7,6,Germany
1889,Archive,10,10,2,10,8,8.0,4,8,Germany
1889,Flow,8,9,4,8,8,8.0,5,8,Germany
1890,Helm,4,6,8,7,6,7.0,7,8,Germany
1890,Shield,9,9,3,9,9,9.0,3,7,Germany
1890,Lore,6,9,5,10,7,8.0,4,9,Germany
1890,Stewards,7,9,4,8,7,8.0,4,8,Germany
1890,Craft,8,9,3,8,8,9.0,4,9,Germany
1890,Hands,6,7,5,6,5,7.0,8,6,Germany
1890,Archive,10,10,2,10,8,8.0,4,8,Germany
1890,Flow,8,9,4,8,8,8.0,5,8,Germany
1891,Helm,5,7,6,7,7,8.0,6,8,Germany
1891,Shield,9,9,3,9,9,9.0,3,7,Germany
1891,Lore,6,9,5,10,7,8.0,4,9,Germany
1891,Stewards,7,9,4,8,7,8.0,4,8,Germany
1891,Craft,8,9,3,8,8,9.0,4,9,Germany
1891,Hands,6,7,5,6,5,7.0,7,6,Germany
1891,Archive,10,10,2,10,8,8.0,4,8,Germany
1891,Flow,8,9,4,8,8,8.0,5,8,Germany
1892,Helm,5,7,6,7,7,8.0,6,8,Germany
1892,Shield,9,9,3,9,9,9.0,3,8,Germany
1892,Lore,6,9,5,10,7,8.0,4,9,Germany
1892,Stewards,7,9,4,8,7,8.0,5,8,Germany
1892,Craft,8,9,3,8,8,9.0,4,9,Germany
1892,Hands,6,7,5,6,5,7.0,7,6,Germany
