Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Canada,1900,Army,5,4,4,4,7.0,2.4
Canada,1900,Executive,7,6,5,6,12.0,2.943
Canada,1900,Merchants / Shopkeepers,6,6,4,4,9.0,2.571
Canada,1900,Priesthood / Knowledge Workers,6,6,4,5,10.5,2.743
Canada,1900,Proletariat,4,3,5,3,6.5,2.257
Canada,1900,Property,6,7,5,5,11.0,2.771
Canada,1900,StateMemory,5,5,4,5,9.5,2.629
Canada,1900,Trades / Professions,5,5,5,4,7.5,2.429
Canada,1901,Army,5,4,4,4,7.0,2.4
Canada,1901,Executive,7,6,5,6,12.0,2.943
Canada,1901,Merchants / Shopkeepers,6,6,4,4,9.0,2.571
Canada,1901,Priesthood / Knowledge Workers,6,6,4,5,10.5,2.743
Canada,1901,Proletariat,4,3,5,3,6.5,2.257
Canada,1901,Property,6,7,5,5,11.0,2.771
Canada,1901,StateMemory,5,5,4,5,9.5,2.629
Canada,1901,Trades / Professions,5,5,5,4,7.5,2.429
Canada,1902,Army,5,4,4,4,7.0,2.4
Canada,1902,Executive,7,6,5,6,12.0,2.943
Canada,1902,Merchants / Shopkeepers,6,6,4,4,9.0,2.571
Canada,1902,Priesthood / Knowledge Workers,6,6,4,5,10.5,2.743
Canada,1902,Proletariat,4,3,5,3,6.5,2.257
Canada,1902,Property,6,7,5,5,11.0,2.771
Canada,1902,StateMemory,5,5,4,5,9.5,2.629
Canada,1902,Trades / Professions,5,5,5,4,7.5,2.429
Canada,1903,Army,5,4,4,4,7.0,2.4
Canada,1903,Executive,7,6,5,6,12.0,2.943
Canada,1903,Merchants / Shopkeepers,6,6,4,4,9.0,2.571
Canada,1903,Priesthood / Knowledge Workers,6,6,4,5,10.5,2.743
Canada,1903,Proletariat,4,4,5,3,7.0,2.314
Canada,1903,Property,6,7,5,5,11.0,2.771
Canada,1903,StateMemory,5,5,4,5,9.5,2.629
Canada,1903,Trades / Professions,5,5,5,4,7.5,2.429
Canada,1904,Army,5,4,4,4,7.0,2.4
Canada,1904,Executive,7,6,5,6,12.0,2.943
Canada,1904,Merchants / Shopkeepers,6,6,4,4,9.0,2.571
Canada,1904,Priesthood / Knowledge Workers,6,6,4,5,10.5,2.743
Canada,1904,Proletariat,4,4,5,3,7.0,2.314
Canada,1904,Property,6,7,5,5,11.0,2.771
Canada,1904,StateMemory,5,5,4,5,9.5,2.629
Canada,1904,Trades / Professions,5,5,5,4,7.5,2.429
Canada,1905,Army,5,5,4,4,8.0,2.486
Canada,1905,Executive,7,7,4,6,14.0,3.086
Canada,1905,Merchants / Shopkeepers,6,6,4,5,9.5,2.629
Canada,1905,Priesthood / Knowledge Workers,6,6,4,5,10.5,2.743
Canada,1905,Proletariat,4,4,5,4,7.5,2.371
Canada,1905,Property,7,7,4,6,13.0,2.971
Canada,1905,StateMemory,6,6,4,5,10.0,2.743
Canada,1905,Trades / Professions,5,5,4,5,8.5,2.486
