Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Germany,1750.0,Army,8.0,8.0,3.0,7.0,16.5,3.014
Germany,1750.0,Executive,7.0,7.0,4.0,7.0,13.5,2.646
Germany,1750.0,Merchants / Shopkeepers,6.0,6.0,4.0,6.0,11,2.466
Germany,1750.0,Priesthood / Knowledge Workers,5.0,5.0,5.0,6.0,8,2.16
Germany,1750.0,Proletariat,3.0,3.0,2.0,3.0,5.5,2.364
Germany,1750.0,Property,7.0,7.0,4.0,5.0,12.5,2.502
Germany,1750.0,StateMemory,6.0,6.0,4.0,7.0,11.5,2.538
Germany,1750.0,Trades / Professions,6.0,6.0,4.0,6.0,11,2.466
Germany,1751.0,Army,8.0,8.0,3.0,7.0,16.5,3.014
Germany,1751.0,Executive,7.0,7.0,4.0,7.0,13.5,2.646
Germany,1751.0,Merchants / Shopkeepers,6.0,6.0,4.0,6.0,11,2.466
Germany,1751.0,Priesthood / Knowledge Workers,5.0,5.0,5.0,6.0,8,2.16
Germany,1751.0,Proletariat,3.0,3.0,2.0,3.0,5.5,2.364
Germany,1751.0,Property,7.0,7.0,4.0,5.0,12.5,2.502
Germany,1751.0,StateMemory,6.0,6.0,4.0,7.0,11.5,2.538
Germany,1751.0,Trades / Professions,6.0,6.0,4.0,6.0,11,2.466
Germany,1752.0,Army,8.0,8.0,3.0,7.0,16.5,3.014
Germany,1752.0,Executive,7.0,7.0,4.0,7.0,13.5,2.646
Germany,1752.0,Merchants / Shopkeepers,6.0,6.0,4.0,6.0,11,2.466
Germany,1752.0,Priesthood / Knowledge Workers,5.0,5.0,5.0,6.0,8,2.16
Germany,1752.0,Proletariat,3.0,3.0,2.0,3.0,5.5,2.364
Germany,1752.0,Property,7.0,7.0,4.0,5.0,12.5,2.502
Germany,1752.0,StateMemory,6.0,6.0,4.0,7.0,11.5,2.538
Germany,1752.0,Trades / Professions,6.0,6.0,4.0,6.0,11,2.466
Germany,1753.0,Army,8.0,8.0,3.0,7.0,16.5,3.014
