Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Markerxaxu,1900,Archive,8.0,8.0,3.0,7.0,16.5,2.684
Markerxaxu,1900,Craft,6.0,6.0,4.0,6.0,11.0,2.155
Markerxaxu,1900,Flow,5.0,6.0,5.0,6.0,9.0,1.892
Markerxaxu,1900,Hands,6.0,6.0,5.0,5.0,9.5,1.945
Markerxaxu,1900,Helm,8.0,7.0,6.0,7.0,12.5,2.241
Markerxaxu,1900,Lore,7.0,7.0,4.0,7.0,13.5,2.412
Markerxaxu,1900,Shield,5.0,5.0,6.0,5.0,6.5,1.723
Markerxaxu,1900,Stewards,6.0,7.0,5.0,6.0,11.0,2.086
Markerxaxu,1901,Archive,7.0,7.0,4.0,7.0,13.5,2.345
Markerxaxu,1901,Craft,6.0,6.0,4.0,6.0,11.0,2.122
Markerxaxu,1901,Flow,6.0,6.0,5.0,6.0,10.0,2.015
Markerxaxu,1901,Hands,6.0,6.0,5.0,5.0,9.5,1.948
Markerxaxu,1901,Helm,7.0,6.0,6.0,7.0,10.5,2.112
Markerxaxu,1901,Lore,7.0,7.0,4.0,7.0,13.5,2.41
Markerxaxu,1901,Shield,6.0,6.0,5.0,5.0,10.0,1.988
Markerxaxu,1901,Stewards,6.0,7.0,5.0,6.0,11.0,2.08
Markerxaxu,1902,Archive,7.0,7.0,4.0,7.0,13.5,2.35
Markerxaxu,1902,Craft,6.0,6.0,4.0,6.0,11.0,2.135
Markerxaxu,1902,Flow,6.0,6.0,5.0,6.0,10.0,2.025
Markerxaxu,1902,Hands,6.0,6.0,5.0,5.0,9.5,1.955
Markerxaxu,1902,Helm,7.0,7.0,5.0,7.0,12.5,2.22
Markerxaxu,1902,Lore,7.0,7.0,4.0,7.0,13.5,2.415
Markerxaxu,1902,Shield,6.0,6.0,4.0,5.0,10.5,2.105
Markerxaxu,1902,Stewards,6.0,7.0,5.0,6.0,11.0,2.085
Markerxaxu,1903,Archive,8.0,7.0,3.0,7.0,15.5,2.54
Markerxaxu,1903,Craft,6.0,7.0,4.0,6.0,12.0,2.21
Markerxaxu,1903,Flow,7.0,6.0,4.0,6.0,12.0,2.245
Markerxaxu,1903,Hands,6.0,6.0,5.0,5.0,9.5,1.96
Markerxaxu,1903,Helm,6.0,7.0,5.0,7.0,11.5,2.18
Markerxaxu,1903,Lore,7.0,7.0,4.0,7.0,13.5,2.42
Markerxaxu,1903,Shield,6.0,6.0,4.0,5.0,10.5,2.11
Markerxaxu,1903,Stewards,7.0,7.0,4.0,6.0,13.0,2.315
Markerxaxu,1904,Archive,8.0,8.0,3.0,7.0,16.5,2.685
Markerxaxu,1904,Craft,7.0,7.0,4.0,7.0,13.5,2.42
Markerxaxu,1904,Flow,7.0,7.0,4.0,6.0,13.0,2.35
Markerxaxu,1904,Hands,7.0,6.0,5.0,5.0,10.5,2.055
Markerxaxu,1904,Helm,5.0,7.0,6.0,7.0,9.5,1.92
Markerxaxu,1904,Lore,7.0,7.0,4.0,7.0,13.5,2.425
Markerxaxu,1904,Shield,6.0,6.0,4.0,6.0,11.0,2.185
Markerxaxu,1904,Stewards,7.0,7.0,4.0,6.0,13.0,2.32
Markerxaxu,1905,Archive,8.0,8.0,3.0,8.0,17.0,2.75
Markerxaxu,1905,Craft,7.0,7.0,4.0,7.0,13.5,2.425
Markerxaxu,1905,Flow,7.0,7.0,3.0,7.0,14.5,2.58
Markerxaxu,1905,Hands,7.0,7.0,4.0,5.0,12.5,2.285
Markerxaxu,1905,Helm,6.0,7.0,5.0,7.0,11.5,2.195
Markerxaxu,1905,Lore,7.0,7.0,4.0,7.0,13.5,2.43
Markerxaxu,1905,Shield,7.0,7.0,4.0,6.0,13.0,2.39
Markerxaxu,1905,Stewards,7.0,7.0,4.0,6.0,13.0,2.325
Markerxaxu,1906,Archive,8.0,8.0,3.0,8.0,17.0,2.752
Markerxaxu,1906,Craft,7.0,7.0,4.0,7.0,13.5,2.425
Markerxaxu,1906,Flow,7.0,7.0,4.0,7.0,13.5,2.425
Markerxaxu,1906,Hands,6.0,7.0,4.0,5.0,11.5,2.155
Markerxaxu,1906,Helm,5.0,6.0,5.0,7.0,9.5,1.98
Markerxaxu,1906,Lore,7.0,7.0,4.0,7.0,13.5,2.425
Markerxaxu,1906,Shield,7.0,6.0,4.0,6.0,12.0,2.24
Markerxaxu,1906,Stewards,7.0,7.0,4.0,6.0,13.0,2.345
Markerxaxu,1907,Archive,8.0,8.0,3.0,7.0,16.5,2.785
Markerxaxu,1907,Craft,6.0,7.0,4.0,6.0,12.0,2.155
Markerxaxu,1907,Flow,6.0,7.0,4.0,6.0,12.0,2.155
Markerxaxu,1907,Hands,8.0,7.0,3.0,6.0,15.0,2.655
Markerxaxu,1907,Helm,6.0,7.0,5.0,7.0,11.5,1.985
Markerxaxu,1907,Lore,7.0,7.0,3.0,7.0,14.5,2.545
