Nation,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Roman Empire,,Executive,7.0,8.0,-4,6,19.0,
Roman Empire,,Army,8.0,9.0,-5,4,20.0,20.8
Roman Empire,,Priests,6.0,5.0,-3,5,15.5,16.4
Roman Empire,,Property,7.0,7.0,-3,5,18.5,19.6
Roman Empire,,Trades/Professions,6.0,6.0,-2,4,16.0,16.4
Roman Empire,,Proletariat,5.0,7.0,-1,3,15.5,14.6
Roman Empire,,StateMemory,7.0,6.0,-4,6,18.0,19.1
Roman Empire,,Shopkeepers/Merchants,6.0,6.0,-2,4,16.0,16.4
Roman Empire,5.0,Executive,8.0,8.0,-5,6,20.0,
Roman Empire,5.0,Army,8.0,9.0,-5,4,20.0,20.8
Roman Empire,5.0,Priests,6.0,5.0,-3,5,15.5,16.4
Roman Empire,5.0,Property,7.0,7.0,-3,5,18.5,19.6
Roman Empire,5.0,Trades/Professions,6.0,6.0,-2,4,16.0,16.4
Roman Empire,5.0,Proletariat,5.0,7.0,-1,3,15.5,14.6
Roman Empire,5.0,StateMemory,7.0,6.0,-4,6,18.0,19.1
Roman Empire,5.0,Shopkeepers/Merchants,6.0,6.0,-2,4,16.0,16.4
Roman Empire,10.0,Executive,9.0,8.0,-6,7,21.5,
Roman Empire,10.0,Army,8.0,9.0,-5,4,20.0,21.3
Roman Empire,10.0,Priests,6.0,5.0,-3,5,15.5,16.9
Roman Empire,10.0,Property,7.0,7.0,-3,5,18.5,20.1
Roman Empire,10.0,Trades/Professions,6.0,6.0,-2,4,16.0,16.9
Roman Empire,10.0,Proletariat,5.0,7.0,-1,3,15.5,15.1
Roman Empire,10.0,StateMemory,7.0,6.0,-4,6,18.0,19.6
Roman Empire,10.0,Shopkeepers/Merchants,6.0,6.0,-2,4,16.0,16.9
Roman Empire,15.0,Executive,8.0,8.0,-4,7,20.5,
Roman Empire,15.0,Army,7.0,8.0,-4,4,19.0,19.8
Roman Empire,15.0,Priests,5.0,5.0,-2,5,15.5,15.9
Roman Empire,15.0,Property,7.0,7.0,-3,5,18.5,19.6
Roman Empire,15.0,Trades/Professions,6.0,6.0,-2,4,16.0,16.4
Roman Empire,15.0,Proletariat,5.0,7.0,-1,3,15.5,14.6
Roman Empire,15.0,StateMemory,7.0,6.0,-4,6,18.0,19.1
Roman Empire,15.0,Shopkeepers/Merchants,6.0,6.0,-2,4,16.0,16.4
Roman Empire,20.0,Executive,7.0,8.0,-3,7,20.5,
Roman Empire,20.0,Army,6.0,7.0,-3,4,18.0,18.3
Roman Empire,20.0,Priests,4.0,5.0,-1,5,15.5,15.4
Roman Empire,20.0,Property,7.0,7.0,-3,5,18.5,19.6
Roman Empire,20.0,Trades/Professions,6.0,6.0,-2,4,16.0,16.4
Roman Empire,20.0,Proletariat,5.0,7.0,-1,3,15.5,14.6
Roman Empire,20.0,StateMemory,7.0,6.0,-4,6,18.0,19.1
Roman Empire,20.0,Shopkeepers/Merchants,6.0,6.0,-2,4,16.0,16.4
Roman Empire,25.0,Executive,8.0,9.0,-4,7,22.5,15.6
Roman Empire,25.0,Army,9.0,8.0,-5,6,23.5,15.0
Roman Empire,25.0,Priests,6.0,5.0,-2,4,15.0,8.4
Roman Empire,25.0,Property,8.0,7.0,-3,5,19.5,12.0
Roman Empire,25.0,Trades/Professions,7.0,6.0,-2,4,17.0,9.6
Roman Empire,25.0,Proletariat,6.0,7.0,-1,3,17.5,8.4
Roman Empire,25.0,StateMemory,8.0,6.0,-3,5,18.5,10.8
Roman Empire,25.0,Shopkeepers/Merchants,7.0,6.0,-2,4,17.0,9.6
Roman Empire,30.0,Executive,7.5,8.5,-3,7,22.0,15.0
Roman Empire,30.0,Army,9.0,8.0,-4,6,23.0,14.4
Roman Empire,30.0,Priests,6.0,5.0,-2,4,15.0,8.4
Roman Empire,30.0,Property,8.0,7.0,-3,5,19.5,12.0
Roman Empire,30.0,Trades/Professions,7.0,6.0,-2,4,17.0,9.6
Roman Empire,30.0,Proletariat,6.0,7.0,-1,3,17.5,8.4
Roman Empire,30.0,StateMemory,8.0,6.0,-3,5,18.5,10.8
Roman Empire,30.0,Shopkeepers/Merchants,7.0,6.0,-2,4,17.0,9.6
Roman Empire,35.0,Executive,7.0,8.0,-2,7,21.5,14.4
Roman Empire,35.0,Army,9.0,8.0,-3,6,23.0,13.8
Roman Empire,35.0,Priests,6.0,5.0,-2,4,15.0,8.4
Roman Empire,35.0,Property,8.0,7.0,-3,5,19.5,12.0
Roman Empire,35.0,Trades/Professions,7.0,6.0,-2,4,17.0,9.6
Roman Empire,35.0,Proletariat,6.0,7.0,-1,3,17.5,8.4
Roman Empire,35.0,StateMemory,8.0,6.0,-3,5,18.5,10.8
Roman Empire,35.0,Shopkeepers/Merchants,7.0,6.0,-2,4,17.0,9.6
Roman Empire,40.0,Executive,6.5,7.5,-1,7,21.0,13.8
Roman Empire,40.0,Army,9.0,8.0,-2,6,23.0,13.2
Roman Empire,40.0,Priests,6.0,5.0,-2,4,15.0,8.4
Roman Empire,40.0,Property,8.0,7.0,-3,5,19.5,12.0
Roman Empire,40.0,Trades/Professions,7.0,6.0,-2,4,17.0,9.6
Roman Empire,40.0,Proletariat,6.0,7.0,-1,3,17.5,8.4
