Company,Year,Node,C,K,S,A,Node_Value,Bond_Strength
Nexperia,2010,Helm,7,7,4,6,8.67,5.38
Nexperia,2010,Shield,6,7,3,5,8.00,4.96
Nexperia,2010,Lore,6,6,3,5,7.50,4.65
Nexperia,2010,Stewards,7,7,4,5,8.17,5.07
Nexperia,2010,Craft,8,8,5,4,8.33,5.17
Nexperia,2010,Hands,7,7,5,3,6.83,4.24
Nexperia,2010,Archive,6,8,2,4,8.33,5.17
Nexperia,2010,Flow,8,9,4,3,8.67,5.38
Company,Year,Node,C,K,S,A,Node_Value,Bond_Strength
Nexperia,2011,Helm,6,7,6,5,7.00,4.88
Nexperia,2011,Shield,6,6,7,4,5.67,3.95
Nexperia,2011,Lore,5,7,5,4,6.33,4.41
Nexperia,2011,Stewards,6,7,5,5,6.83,4.76
Nexperia,2011,Craft,8,8,6,3,7.50,5.23
Nexperia,2011,Hands,8,8,5,2,7.33,5.11
Nexperia,2011,Archive,5,7,4,3,6.17,4.30
Nexperia,2011,Flow,7,9,7,3,6.67,4.65
Nexperia,2012,Helm,6,7,5,5,7.33,4.89
Nexperia,2012,Shield,7,7,4,5,7.67,5.11
Nexperia,2012,Lore,6,7,4,4,7.17,4.78
Nexperia,2012,Stewards,7,6,5,5,7.33,4.89
Nexperia,2012,Craft,8,8,4,3,7.67,5.11
Nexperia,2012,Hands,8,8,4,2,7.67,5.11
Nexperia,2012,Archive,6,7,3,4,7.50,5.00
Nexperia,2012,Flow,8,8,4,4,7.67,5.11
Nexperia,2013,Helm,7,8,3,6,9.50,5.63
Nexperia,2013,Shield,7,8,3,5,9.00,5.33
Nexperia,2013,Lore,7,7,3,5,8.50,5.04
Nexperia,2013,Stewards,8,7,3,5,8.50,5.04
Nexperia,2013,Craft,9,9,3,3,9.50,5.63
Nexperia,2013,Hands,9,8,3,3,9.00,5.33
Nexperia,2013,Archive,6,8,2,4,8.33,4.94
Nexperia,2013,Flow,8,9,3,3,8.00,4.74
Nexperia,2014,Helm,8,8,2,6,10.33,5.92
Nexperia,2014,Shield,8,8,2,5,9.83,5.63
Nexperia,2014,Lore,7,8,2,5,9.33,5.35
Nexperia,2014,Stewards,8,8,2,5,9.83,5.63
Nexperia,2014,Craft,9,9,2,4,10.33,5.92
Nexperia,2014,Hands,9,9,2,3,9.83,5.63
Nexperia,2014,Archive,7,8,2,4,8.83,5.06
Nexperia,2014,Flow,9,10,2,3,10.33,5.92
Company,Year,Node,C,K,S,A,Node_Value,Bond_Strength
Nexperia,2015,Helm,8,8,3,5,9.50,5.32
Nexperia,2015,Shield,8,8,3,4,9.00,5.04
Nexperia,2015,Lore,7,8,2,4,8.83,4.95
Nexperia,2015,Stewards,8,8,3,4,9.00,5.04
Nexperia,2015,Craft,9,9,3,3,9.50,5.32
Nexperia,2015,Hands,9,8,3,2,8.50,4.76
Nexperia,2015,Archive,7,8,2,3,8.33,4.67
Nexperia,2015,Flow,9,9,3,3,9.50,5.32
Nexperia,2016,Helm,6,8,7,6,7.67,5.04
Nexperia,2016,Shield,5,7,7,5,6.17,4.05
Nexperia,2016,Lore,6,7,6,5,7.00,4.60
Nexperia,2016,Stewards,7,8,6,5,8.00,5.26
