Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Pakistan,1947.0,Army,4.0,4.0,8.0,3.0,5.5,1.943
Pakistan,1947.0,Executive,3.0,3.0,9.0,4.0,5.0,1.714
Pakistan,1947.0,Merchants / Shopkeepers,3.0,3.0,9.0,3.0,4.5,1.686
Pakistan,1947.0,Priesthood / Knowledge Workers,5.0,5.0,6.0,5.0,9.5,2.429
Pakistan,1947.0,Proletariat,2.0,2.0,10.0,2.0,1.0,1.257
Pakistan,1947.0,Property,4.0,6.0,7.0,4.0,7.0,2.200
Pakistan,1947.0,StateMemory,2.0,2.0,9.0,3.0,2.5,1.486
Pakistan,1947.0,Trades / Professions,3.0,3.0,9.0,3.0,4.5,1.686
Pakistan,1948.0,Army,4.0,5.0,7.0,4.0,7.0,2.257
Pakistan,1948.0,Executive,4.0,4.0,8.0,5.0,7.0,2.143
Pakistan,1948.0,Merchants / Shopkeepers,4.0,4.0,8.0,4.0,6.0,1.943
Pakistan,1948.0,Priesthood / Knowledge Workers,5.0,5.0,6.0,5.0,9.5,2.429
Pakistan,1948.0,Proletariat,3.0,3.0,9.0,3.0,3.0,1.514
Pakistan,1948.0,Property,5.0,6.0,6.0,5.0,10.0,2.571
Pakistan,1948.0,StateMemory,3.0,3.0,8.0,4.0,5.0,1.829
Pakistan,1948.0,Trades / Professions,4.0,4.0,8.0,4.0,6.0,1.943
Pakistan,1949.0,Army,5.0,6.0,6.0,5.0,10.0,2.571
Pakistan,1949.0,Executive,5.0,5.0,7.0,6.0,10.5,2.543
Pakistan,1949.0,Merchants / Shopkeepers,5.0,5.0,7.0,5.0,8.5,2.286
Pakistan,1949.0,Priesthood / Knowledge Workers,6.0,6.0,5.0,6.0,12.0,2.743
Pakistan,1949.0,Proletariat,4.0,4.0,8.0,4.0,6.0,1.943
Pakistan,1949.0,Property,6.0,7.0,5.0,6.0,13.0,2.914
Pakistan,1949.0,StateMemory,4.0,4.0,7.0,5.0,8.5,2.286
Pakistan,1949.0,Trades / Professions,5.0,5.0,7.0,5.0,8.5,2.286
Pakistan,1950.0,Army,6.0,7.0,5.0,6.0,13.5,2.971
Pakistan,1950.0,Executive,6.0,6.0,6.0,7.0,13.0,2.914
Pakistan,1950.0,Merchants / Shopkeepers,6.0,6.0,6.0,6.0,11.0,2.571
Pakistan,1950.0,Priesthood / Knowledge Workers,7.0,7.0,4.0,7.0,15.0,3.143
Pakistan,1950.0,Proletariat,5.0,5.0,7.0,5.0,9.5,2.371
Pakistan,1950.0,Property,7.0,7.0,4.0,7.0,15.0,3.143
Pakistan,1950.0,StateMemory,6.0,6.0,5.0,6.0,11.5,2.743
Pakistan,1950.0,Trades / Professions,6.0,6.0,6.0,6.0,11.0,2.571
Pakistan,1950.0,Army,6.0,7.0,5.0,6.0,13.5,2.971
Pakistan,1950.0,Executive,6.0,6.0,6.0,7.0,13.0,2.914
Pakistan,1950.0,Merchants / Shopkeepers,6.0,6.0,6.0,6.0,11.0,2.571
Pakistan,1950.0,Priesthood / Knowledge Workers,7.0,7.0,4.0,7.0,15.0,3.143
Pakistan,1950.0,Proletariat,5.0,5.0,7.0,5.0,9.5,2.371
Pakistan,1950.0,Property,7.0,7.0,4.0,7.0,15.0,3.143
