Company,Year,Node,C,K,S,A,Node_Value,Bond_Strength
Qantas,1960,Helm,8,8,5,8,10.33,5.27
Qantas,1960,Shield,7,7,7,6,7.67,3.91
Qantas,1960,Lore,9,7,3,8,11.00,5.61
Qantas,1960,Stewards,8,8,4,7,10.17,5.18
Qantas,1960,Craft,7,8,6,9,10.00,5.10
Qantas,1960,Hands,8,8,5,6,9.33,4.76
Qantas,1960,Archive,7,7,5,7,8.83,4.50
Qantas,1960,Flow,8,9,4,8,11.17,5.69
Qantas,1961,Helm,8,8,5,8,10.33,5.13
Qantas,1961,Shield,8,7,6,7,8.50,4.22
Qantas,1961,Lore,9,8,4,8,10.83,5.38
Qantas,1961,Stewards,8,8,5,7,9.83,4.88
Qantas,1961,Craft,8,8,5,9,10.83,5.38
Qantas,1961,Hands,8,8,5,7,9.83,4.88
Qantas,1961,Archive,7,7,5,7,8.83,4.38
Qantas,1961,Flow,8,9,5,8,10.83,5.38
Qantas,1962,Helm,8,8,5,8,10.33,5.10
Qantas,1962,Shield,8,7,6,7,8.50,4.19
Qantas,1962,Lore,9,8,4,8,10.83,5.34
Qantas,1962,Stewards,8,8,5,7,9.83,4.85
Qantas,1962,Craft,8,9,5,9,11.17,5.51
Qantas,1962,Hands,8,8,5,7,9.83,4.85
Qantas,1962,Archive,7,8,5,7,9.17,4.52
Qantas,1962,Flow,8,9,5,8,10.83,5.34
Qantas,1963,Helm,8,8,5,8,10.33,5.08
Qantas,1963,Shield,8,7,6,7,8.50,4.18
Qantas,1963,Lore,9,8,4,8,10.83,5.32
Qantas,1963,Stewards,8,8,5,7,9.83,4.83
Qantas,1963,Craft,8,9,5,9,11.17,5.49
Qantas,1963,Hands,8,8,5,7,9.83,4.83
Qantas,1963,Archive,8,8,5,7,9.50,4.67
Qantas,1963,Flow,8,9,4,8,11.17,5.49
Qantas,1964,Helm,8,9,5,8,10.83,5.15
Qantas,1964,Shield,8,8,6,7,9.00,4.28
Qantas,1964,Lore,9,8,4,8,10.83,5.15
Qantas,1964,Stewards,8,8,5,7,9.83,4.68
Qantas,1964,Craft,9,9,5,9,11.67,5.55
Qantas,1964,Hands,8,8,5,7,9.83,4.68
Qantas,1964,Archive,8,8,5,7,9.50,4.52
Qantas,1964,Flow,8,9,4,8,11.17,5.31
Qantas,1965,Helm,8,9,5,8,10.83,5.12
Qantas,1965,Shield,8,8,6,7,9.00,4.25
Qantas,1965,Lore,9,8,4,9,11.33,5.35
Qantas,1965,Stewards,8,8,5,7,9.83,4.65
Qantas,1965,Craft,9,9,5,9,11.67,5.51
Qantas,1965,Hands,8,9,5,7,10.17,4.80
Qantas,1965,Archive,8,8,5,8,10.00,4.72
Qantas,1965,Flow,9,9,4,8,11.67,5.51
Qantas,1966,Helm,8,9,5,8,10.83,5.10
Qantas,1966,Shield,8,8,6,7,9.00,4.23
Qantas,1966,Lore,9,9,4,9,11.83,5.56
Qantas,1966,Stewards,8,8,5,7,9.83,4.62
Qantas,1966,Craft,9,9,5,9,11.67,5.48
Qantas,1966,Hands,8,9,5,7,10.17,4.78
Qantas,1966,Archive,8,8,5,8,10.00,4.70
Qantas,1966,Flow,9,9,4,8,11.67,5.48
Qantas,1967,Helm,9,9,5,9,11.83,5.35
Qantas,1967,Shield,8,8,6,7,9.00,4.07
Qantas,1967,Lore,9,9,4,9,11.83,5.35
Qantas,1967,Stewards,9,8,5,8,10.83,4.90
Qantas,1967,Craft,9,9,5,9,11.67,5.28
Qantas,1967,Hands,8,9,5,7,10.17,4.60
Qantas,1967,Archive,8,8,5,8,10.00,4.52
Qantas,1967,Flow,9,10,4,9,12.50,5.65
Qantas,1968,Helm,9,9,6,9,11.50,5.24
Qantas,1968,Shield,8,8,6,7,9.00,4.10
Qantas,1968,Lore,9,9,4,9,11.83,5.39
Qantas,1968,Stewards,9,9,5,8,11.17,5.09
Qantas,1968,Craft,9,9,6,9,11.33,5.16
Qantas,1968,Hands,8,9,5,8,10.50,4.78
Qantas,1968,Archive,8,9,5,8,10.50,4.78
Qantas,1968,Flow,9,10,5,9,12.33,5.62
Qantas,1969,Helm,9,9,6,9,11.50,5.21
Qantas,1969,Shield,8,8,7,7,8.83,4.00
Qantas,1969,Lore,9,9,5,9,11.67,5.29
Qantas,1969,Stewards,9,9,5,8,11.17,5.06
Qantas,1969,Craft,9,10,6,9,11.83,5.36
Qantas,1969,Hands,9,9,5,8,11.17,5.06
Qantas,1969,Archive,8,9,5,8,10.50,4.76
Qantas,1969,Flow,9,10,5,9,12.33,5.59
Qantas,1970,Helm,9,9,6,9,11.50,5.18
Qantas,1970,Shield,8,8,7,7,8.83,3.98
Qantas,1970,Lore,9,9,5,9,11.67,5.26
Qantas,1970,Stewards,9,9,5,8,11.17,5.03
Qantas,1970,Craft,9,10,6,9,11.83,5.33
Qantas,1970,Hands,9,9,5,8,11.17,5.03
Qantas,1970,Archive,8,9,5,8,10.50,4.73
Qantas,1970,Flow,9,10,4,9,12.67,5.71
Qantas,1971,Helm,9,9,5,9,11.83,5.36
Qantas,1971,Shield,8,8,6,7,9.00,4.08
Qantas,1971,Lore,9,9,4,9,12.17,5.51
Qantas,1971,Stewards,9,9,5,8,11.17,5.06
Qantas,1971,Craft,9,10,5,9,12.17,5.51
Qantas,1971,Hands,9,9,5,8,11.17,5.06
Qantas,1971,Archive,8,9,5,8,10.50,4.76
Qantas,1971,Flow,9,10,5,9,12.33,5.58
Qantas,1972,Helm,9,9,5,9,11.83,5.32
Qantas,1972,Shield,8,8,6,7,9.00,4.05
Qantas,1972,Lore,9,9,4,9,12.17,5.47
Qantas,1972,Stewards,9,9,5,8,11.17,5.02
Qantas,1972,Craft,9,10,5,9,12.17,5.47
Qantas,1972,Hands,9,9,5,8,11.17,5.02
Qantas,1972,Archive,8,9,5,8,10.50,4.72
Qantas,1972,Flow,9,10,5,9,12.33,5.54
Qantas,1973,Helm,9,9,7,9,11.17,5.23
Qantas,1973,Shield,8,8,8,7,8.33,3.90
Qantas,1973,Lore,9,9,6,9,11.50,5.39
Qantas,1973,Stewards,9,9,6,8,10.83,5.07
Qantas,1973,Craft,9,10,7,9,11.50,5.39
Qantas,1973,Hands,9,9,6,8,10.83,5.07
Qantas,1973,Archive,8,9,6,8,10.17,4.76
Qantas,1973,Flow,9,10,7,9,11.67,5.46
Qantas,1974,Helm,9,9,8,9,10.83,5.22
Qantas,1974,Shield,8,8,8,7,8.33,4.01
Qantas,1974,Lore,9,9,7,9,11.17,5.38
Qantas,1974,Stewards,9,9,7,8,10.50,5.06
Qantas,1974,Craft,9,10,8,9,11.17,5.38
Qantas,1974,Hands,9,9,7,8,10.50,5.06
Qantas,1974,Archive,8,9,7,8,9.83,4.74
Qantas,1974,Flow,9,10,8,9,11.33,5.46
Qantas,1975,Helm,9,9,8,9,10.83,5.20
Qantas,1975,Shield,8,8,9,7,8.00,3.84
Qantas,1975,Lore,9,9,7,9,11.17,5.36
Qantas,1975,Stewards,9,9,7,8,10.50,5.04
Qantas,1975,Craft,9,10,8,9,11.17,5.36
Qantas,1975,Hands,9,9,7,8,10.50,5.04
Qantas,1975,Archive,8,9,7,8,9.83,4.72
Qantas,1975,Flow,9,10,8,9,11.33,5.44
Qantas,1976,Helm,9,9,8,9,10.83,5.19
Qantas,1976,Shield,8,8,9,7,8.00,3.83
Qantas,1976,Lore,9,9,7,9,11.17,5.35
Qantas,1976,Stewards,9,9,7,8,10.50,5.03
Qantas,1976,Craft,9,10,8,9,11.17,5.35
Qantas,1976,Hands,9,9,7,8,10.50,5.03
Qantas,1976,Archive,8,9,7,8,9.83,4.71
Qantas,1976,Flow,9,10,8,9,11.33,5.43
Qantas,1977,Helm,9,9,7,9,11.17,5.24
Qantas,1977,Shield,8,8,8,7,8.33,3.91
Qantas,1977,Lore,9,9,6,9,11.50,5.40
Qantas,1977,Stewards,9,9,7,8,10.50,4.93
Qantas,1977,Craft,9,10,7,9,11.50,5.40
Qantas,1977,Hands,9,9,7,8,10.50,4.93
Qantas,1977,Archive,8,9,7,8,9.83,4.61
Qantas,1977,Flow,9,10,7,9,11.67,5.48
Qantas,1978,Helm,9,9,7,9,11.17,5.22
Qantas,1978,Shield,8,8,8,7,8.33,3.90
Qantas,1978,Lore,9,9,6,9,11.50,5.38
Qantas,1978,Stewards,9,9,6,8,10.83,5.07
Qantas,1978,Craft,9,10,7,9,11.50,5.38
Qantas,1978,Hands,9,9,6,8,10.83,5.07
Qantas,1978,Archive,8,9,6,8,10.17,4.75
Qantas,1978,Flow,9,10,6,9,12.00,5.62
Qantas,1979,Helm,9,9,6,9,11.50,5.29
Qantas,1979,Shield,8,8,7,8,9.17,4.21
Qantas,1979,Lore,9,9,5,9,11.83,5.43
Qantas,1979,Stewards,9,9,6,9,11.50,5.29
