 Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Singapore,1930,Archive,8,8,3,7,16.5,2.784
Singapore,1930,Craft,6,6,6,6,9.0,2.012
Singapore,1930,Flow,8,8,8,7,11.5,1.876
Singapore,1930,Hands,3,6,9,3,1.5,1.243
Singapore,1930,Helm,8,7,5,7,13.5,2.451
Singapore,1930,Lore,4,5,4,5,7.5,2.156
Singapore,1930,Shield,7,6,3,5,12.5,2.543
Singapore,1930,Stewards,6,6,8,7,7.5,1.765
 
Singapore,1931,Archive,7,6,3,6,13.0,2.156
Singapore,1931,Craft,5,4,7,5,4.5,1.543
Singapore,1931,Flow,6,3,9,6,3.0,1.432
Singapore,1931,Hands,3,3,9,3,-1.5,1.123
Singapore,1931,Helm,7,6,5,6,11.0,2.054
Singapore,1931,Lore,6,5,5,5,8.5,1.876
Singapore,1931,Shield,5,3,5,4,5.0,1.654
Singapore,1931,Stewards,4,3,9,5,0.5,1.234
Singapore,1932,Archive,7,6,4,6,12.0,2.045
Singapore,1932,Craft,5,4,7,5,4.5,1.521
Singapore,1932,Flow,6,3,8,6,4.0,1.498
Singapore,1932,Hands,3,3,8,3,-0.5,1.198
Singapore,1932,Helm,7,6,5,6,11.0,2.012
Singapore,1932,Lore,6,5,5,5,8.5,1.845
Singapore,1932,Shield,5,4,5,4,6.0,1.678
Singapore,1932,Stewards,4,4,8,5,2.5,1.345
 
Singapore,1931,Archive,7,6,3,6,13.0,2.156
Singapore,1931,Craft,5,4,7,5,4.5,1.543
Singapore,1931,Flow,6,3,9,6,3.0,1.432
Singapore,1931,Hands,3,3,9,3,-1.5,1.123
Singapore,1931,Helm,7,6,5,6,11.0,2.054
Singapore,1931,Lore,6,5,5,5,8.5,1.876
Singapore,1931,Shield,5,3,5,4,5.0,1.654
Singapore,1931,Stewards,4,3,9,5,0.5,1.234
Singapore,1932,Archive,7,6,4,6,12.0,2.045
Singapore,1932,Craft,5,4,7,5,4.5,1.521
Singapore,1932,Flow,6,3,8,6,4.0,1.498
Singapore,1932,Hands,3,3,8,3,-0.5,1.198
Singapore,1932,Helm,7,6,5,6,11.0,2.012
Singapore,1932,Lore,6,5,5,5,8.5,1.845
Singapore,1932,Shield,5,4,5,4,6.0,1.678
Singapore,1932,Stewards,4,4,8,5,2.5,1.345
