Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
USA,1970,Archive,8,8,3,8,17.0,2.482
USA,1970,Craft,7,7,4,7,13.5,2.145
USA,1970,Flow,7,8,5,8,14.0,1.988
USA,1970,Hands,6,7,5,5,10.5,1.834
USA,1970,Helm,6,7,6,7,10.5,1.865
USA,1970,Lore,6,8,5,9,13.5,1.944
USA,1970,Shield,5,8,7,7,9.5,1.722
USA,1970,Stewards,7,7,5,7,12.5,1.912

USA,1971,Archive,8,8,3,8,17.0,2.482
USA,1971,Craft,7,7,4,7,13.5,2.145
USA,1971,Flow,6,7,6,8,11.0,1.754
USA,1971,Hands,6,7,5,5,10.5,1.834
USA,1971,Helm,7,8,5,8,14.0,2.122
USA,1971,Lore,6,8,5,9,13.5,1.944
USA,1971,Shield,5,7,7,7,8.5,1.682
USA,1971,Stewards,6,7,6,7,10.5,1.745
USA,1972,Archive,8,8,3,8,17.0,2.482
USA,1972,Craft,7,7,4,7,13.5,2.145
USA,1972,Flow,6,7,5,8,12.0,1.889
USA,1972,Hands,6,7,5,5,10.5,1.834
USA,1972,Helm,8,8,4,8,16.0,2.544
USA,1972,Lore,7,8,4,9,15.5,2.256
USA,1972,Shield,6,7,6,7,10.5,1.882
USA,1972,Stewards,7,7,5,7,12.5,1.912
USA,1973,Archive,8,8,4,8,16.0,2.234
USA,1973,Craft,7,7,5,7,12.5,1.945
USA,1973,Flow,5,6,8,8,7.0,1.256
USA,1973,Hands,5,6,7,5,7.5,1.389
USA,1973,Helm,5,6,7,7,7.5,1.445
USA,1973,Lore,6,7,6,9,11.5,1.644
USA,1973,Shield,6,6,6,7,10.5,1.782
USA,1973,Stewards,5,6,8,7,6.5,1.212
USA,1974,Archive,8,7,5,8,14.0,1.945
USA,1974,Craft,6,6,6,7,10.5,1.634
USA,1974,Flow,4,5,9,8,4.0,0.985
USA,1974,Hands,4,5,8,5,6.5,1.123
USA,1974,Helm,3,4,9,7,2.5,1.045
USA,1974,Lore,6,7,6,9,11.5,1.644
USA,1974,Shield,6,6,5,7,10.5,1.945
USA,1974,Stewards,4,5,9,7,4.5,0.965
USA,1975,Archive,8,7,4,8,15.0,2.234
USA,1975,Craft,6,6,5,7,10.5,1.834
USA,1975,Flow,5,6,7,8,8.0,1.456
USA,1975,Hands,5,6,6,5,8.5,1.556
USA,1975,Helm,5,6,6,7,9.5,1.685
USA,1975,Lore,7,7,5,8,13.0,1.889
USA,1975,Shield,7,6,4,7,12.5,2.245
