Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Ukraine,1980,Army,8,9,3,4,13.0,3.029
Ukraine,1980,Executive,7,8,4,5,12.5,2.946
Ukraine,1980,Merchants / Shopkeepers,3,4,6,4,5.0,2.150
Ukraine,1980,Priesthood / Knowledge Workers,6,7,5,6,11.0,2.696
Ukraine,1980,Proletariat,7,7,3,4,12.0,2.808
Ukraine,1980,Property Owners,2,3,7,3,2.5,1.911
Ukraine,1980,State Memory,7,8,4,6,12.0,2.896
Ukraine,1980,Trades / Professions,6,7,4,5,11.5,2.775
Ukraine,1981,Army,8,9,3,4,13.0,3.029
Ukraine,1981,Executive,7,8,4,5,12.5,2.946
Ukraine,1981,Merchants / Shopkeepers,3,4,6,4,5.0,2.150
Ukraine,1981,Priesthood / Knowledge Workers,6,7,5,6,11.0,2.696
Ukraine,1981,Proletariat,7,7,3,4,12.0,2.808
Ukraine,1981,Property Owners,2,3,7,3,2.5,1.911
Ukraine,1981,State Memory,7,8,4,6,12.0,2.896
Ukraine,1981,Trades / Professions,6,7,4,5,11.5,2.775
Ukraine,1982,Army,8,9,3,4,13.0,3.029
Ukraine,1982,Executive,7,8,4,5,12.5,2.946
Ukraine,1982,Merchants / Shopkeepers,3,4,6,4,5.0,2.150
Ukraine,1982,Priesthood / Knowledge Workers,6,7,5,6,11.0,2.696
Ukraine,1982,Proletariat,7,7,3,4,12.0,2.808
Ukraine,1982,Property Owners,2,3,7,3,2.5,1.911
Ukraine,1982,State Memory,7,8,4,6,12.0,2.896
Ukraine,1982,Trades / Professions,6,7,4,5,11.5,2.775
Ukraine,1983,Army,8,9,3,4,13.0,3.029
Ukraine,1983,Executive,7,8,4,5,12.5,2.946
Ukraine,1983,Merchants / Shopkeepers,3,4,6,4,5.0,2.150
Ukraine,1983,Priesthood / Knowledge Workers,6,7,5,6,11.0,2.696
Ukraine,1983,Proletariat,7,7,3,4,12.0,2.808
Ukraine,1983,Property Owners,2,3,7,3,2.5,1.911
Ukraine,1983,State Memory,7,8,4,6,12.0,2.896
Ukraine,1983,Trades / Professions,6,7,4,5,11.5,2.775
Ukraine,1984,Army,8,9,3,4,13.0,3.029
Ukraine,1984,Executive,7,8,4,5,12.5,2.946
Ukraine,1984,Merchants / Shopkeepers,3,4,6,4,5.0,2.150
Ukraine,1984,Priesthood / Knowledge Workers,6,7,5,6,11.0,2.696
Ukraine,1984,Proletariat,7,7,3,4,12.0,2.808
Ukraine,1984,Property Owners,2,3,7,3,2.5,1.911
Ukraine,1984,State Memory,7,8,4,6,12.0,2.896
Ukraine,1984,Trades / Professions,6,7,4,5,11.5,2.775
Ukraine,1985,Army,8,9,3,4,13.0,3.000
Ukraine,1985,Executive,7,8,5,6,12.5,2.848
Ukraine,1985,Merchants / Shopkeepers,3,4,6,4,5.0,2.113
Ukraine,1985,Priesthood / Knowledge Workers,6,7,5,6,11.0,2.650
Ukraine,1985,Proletariat,7,7,4,5,12.5,2.738
Ukraine,1985,Property Owners,2,3,7,3,2.5,1.884
Ukraine,1985,State Memory,7,8,5,6,11.5,2.806
Ukraine,1985,Trades / Professions,6,7,4,5,11.5,2.729
Ukraine,1986,Army,8,9,4,4,12.0,2.924
Ukraine,1986,Executive,6,7,6,6,10.0,2.679
Ukraine,1986,Merchants / Shopkeepers,3,4,7,4,4.0,2.029
Ukraine,1986,Priesthood / Knowledge Workers,6,7,6,6,10.0,2.529
Ukraine,1986,Proletariat,6,7,5,5,10.5,2.596
Ukraine,1986,Property Owners,2,3,8,3,1.5,1.779
Ukraine,1986,State Memory,6,7,6,6,10.0,2.679
Ukraine,1986,Trades / Professions,6,7,5,5,10.5,2.600
Ukraine,1987,Army,7,8,4,4,12.0,2.857
Ukraine,1987,Executive,6,7,6,6,10.0,2.679
Ukraine,1987,Merchants / Shopkeepers,3,4,7,4,4.0,2.029
Ukraine,1987,Priesthood / Knowledge Workers,6,7,6,6,10.0,2.529
Ukraine,1987,Proletariat,6,7,5,5,10.5,2.600
Ukraine,1987,Property Owners,2,3,8,3,1.5,1.779
Ukraine,1987,State Memory,6,7,6,6,10.0,2.679
Ukraine,1987,Trades / Professions,6,7,5,5,10.5,2.600
Ukraine,1988,Army,7,8,5,4,11.0,2.714
Ukraine,1988,Executive,5,6,7,6,7.0,2.393
Ukraine,1988,Merchants / Shopkeepers,4,5,7,5,6.5,2.188
Ukraine,1988,Priesthood / Knowledge Workers,6,7,6,6,10.0,2.529
Ukraine,1988,Proletariat,5,6,6,5,8.5,2.461
Ukraine,1988,Property Owners,3,4,8,4,4.0,1.964
Ukraine,1988,State Memory,5,6,7,6,8.0,2.429
Ukraine,1988,Trades / Professions,5,6,6,5,8.5,2.461
Ukraine,1989,Army,6,7,6,4,9.0,2.571
Ukraine,1989,Executive,4,5,8,6,6.0,2.143
Ukraine,1989,Merchants / Shopkeepers,5,6,7,5,8.5,2.321
Ukraine,1989,Priesthood / Knowledge Workers,6,7,7,6,9.0,2.429
Ukraine,1989,Proletariat,5,6,7,5,7.5,2.286
Ukraine,1989,Property Owners,3,4,8,4,4.0,1.929
Ukraine,1989,State Memory,4,5,8,6,6.0,2.143
Ukraine,1989,Trades / Professions,5,6,7,5,7.5,2.286
Ukraine,1990,Army,5,6,7,4,7.0,2.429
Ukraine,1990,Executive,3,4,9,6,4.0,1.857
Ukraine,1990,Merchants / Shopkeepers,5,6,7,5,8.5,2.286
Ukraine,1990,Priesthood / Knowledge Workers,6,7,7,6,9.0,2.429
Ukraine,1990,Proletariat,4,5,8,5,5.5,2.107
Ukraine,1990,Property Owners,4,5,8,5,6.5,2.071
Ukraine,1990,State Memory,3,4,9,6,5.0,1.929
Ukraine,1990,Trades / Professions,4,5,8,5,5.5,2.107
Ukraine,1991,Army,5,6,7,4,7.0,2.464
Ukraine,1991,Executive,2,3,9,6,2.0,1.607
Ukraine,1991,Merchants / Shopkeepers,6,7,6,6,12.0,2.750
Ukraine,1991,Priesthood / Knowledge Workers,5,6,7,6,8.5,2.357
Ukraine,1991,Proletariat,4,5,8,5,5.5,2.107
Ukraine,1991,Property Owners,5,6,7,6,11.0,2.571
Ukraine,1991,State Memory,2,3,9,6,2.0,1.607
Ukraine,1991,Trades / Professions,4,5,8,5,5.5,2.107
Ukraine,1992,Army,6,7,6,5,9.5,2.607
Ukraine,1992,Executive,3,4,8,6,5.0,2.071
Ukraine,1992,Merchants / Shopkeepers,7,8,5,7,14.5,3.071
Ukraine,1992,Priesthood / Knowledge Workers,6,7,6,7,11.5,2.643
Ukraine,1992,Proletariat,5,6,7,6,8.5,2.393
Ukraine,1992,Property Owners,6,7,6,6,12.0,2.714
Ukraine,1992,State Memory,4,5,7,7,9.5,2.464
Ukraine,1992,Trades / Professions,5,6,7,6,8.5,2.393
Ukraine,1993,Army,6,7,6,5,9.5,2.607
Ukraine,1993,Executive,4,5,7,6,7.0,2.286
Ukraine,1993,Merchants / Shopkeepers,7,8,5,7,14.5,3.071
Ukraine,1993,Priesthood / Knowledge Workers,6,7,6,7,11.5,2.643
Ukraine,1993,Proletariat,5,6,7,6,8.5,2.393
Ukraine,1993,Property Owners,6,7,6,6,12.0,2.714
Ukraine,1993,State Memory,4,5,7,7,9.5,2.464
Ukraine,1993,Trades / Professions,5,6,7,6,8.5,2.393
Ukraine,1994,Army,6,7,6,5,9.5,2.607
Ukraine,1994,Executive,4,5,7,6,7.0,2.286
Ukraine,1994,Merchants / Shopkeepers,7,8,5,7,14.5,3.071
Ukraine,1994,Priesthood / Knowledge Workers,6,7,6,7,11.5,2.643
Ukraine,1994,Proletariat,5,6,7,6,8.5,2.393
Ukraine,1994,Property Owners,6,7,6,6,12.0,2.714
Ukraine,1994,State Memory,4,5,7,7,9.5,2.464
Ukraine,1994,Trades / Professions,5,6,7,6,8.5,2.393
Ukraine,1995,Army,6,7,6,5,9.5,2.607
Ukraine,1995,Executive,4,5,7,6,7.0,2.286
Ukraine,1995,Merchants / Shopkeepers,7,8,5,7,14.5,3.071
Ukraine,1995,Priesthood / Knowledge Workers,6,7,6,7,11.5,2.643
Ukraine,1995,Proletariat,5,6,7,6,8.5,2.393
Ukraine,1995,Property Owners,6,7,6,6,12.0,2.714
Ukraine,1995,State Memory,4,5,7,7,9.5,2.464
Ukraine,1995,Trades / Professions,5,6,7,6,8.5,2.393
Ukraine,1996,Army,6,7,5,5,10.0,2.679
Ukraine,1996,Executive,5,6,6,6,10.0,2.500
Ukraine,1996,Merchants / Shopkeepers,7,8,4,7,15.5,3.179
Ukraine,1996,Priesthood / Knowledge Workers,6,7,5,7,12.5,2.750
Ukraine,1996,Proletariat,5,6,6,6,9.5,2.500
Ukraine,1996,Property Owners,6,7,5,6,12.5,2.786
Ukraine,1996,State Memory,5,6,6,7,12.5,2.643
Ukraine,1996,Trades / Professions,5,6,6,6,9.5,2.500
Ukraine,1997,Army,6,7,5,5,10.0,2.679
Ukraine,1997,Executive,5,6,6,6,10.0,2.500
Ukraine,1997,Merchants / Shopkeepers,7,8,4,7,15.5,3.179
Ukraine,1997,Priesthood / Knowledge Workers,6,7,5,7,12.5,2.750
Ukraine,1997,Proletariat,5,6,6,6,9.5,2.500
Ukraine,1997,Property Owners,6,7,5,6,12.5,2.786
Ukraine,1997,State Memory,5,6,6,7,12.5,2.643
Ukraine,1997,Trades / Professions,5,6,6,6,9.5,2.500
Ukraine,1998,Army,6,7,5,5,10.0,2.679
Ukraine,1998,Executive,5,6,6,6,10.0,2.500
Ukraine,1998,Merchants / Shopkeepers,7,8,4,7,15.5,3.179
Ukraine,1998,Priesthood / Knowledge Workers,6,7,5,7,12.5,2.750
Ukraine,1998,Proletariat,5,6,6,6,9.5,2.500
Ukraine,1998,Property Owners,6,7,5,6,12.5,2.786
Ukraine,1998,State Memory,5,6,6,7,12.5,2.643
Ukraine,1998,Trades / Professions,5,6,6,6,9.5,2.500
Ukraine,1999,Army,6,7,5,5,10.0,2.679
Ukraine,1999,Executive,5,6,6,6,10.0,2.500
Ukraine,1999,Merchants / Shopkeepers,7,8,4,7,15.5,3.179
Ukraine,1999,Priesthood / Knowledge Workers,6,7,5,7,12.5,2.750
Ukraine,1999,Proletariat,5,6,6,6,9.5,2.500
Ukraine,1999,Property Owners,6,7,5,6,12.5,2.786
Ukraine,1999,State Memory,5,6,6,7,12.5,2.643
Ukraine,1999,Trades / Professions,5,6,6,6,9.5,2.500
Ukraine,2000,Army,7,8,4,5,11.5,2.821
Ukraine,2000,Executive,6,7,5,6,11.0,2.643
Ukraine,2000,Merchants / Shopkeepers,7,8,4,7,15.5,3.214
Ukraine,2000,Priesthood / Knowledge Workers,6,7,5,7,12.5,2.786
Ukraine,2000,Proletariat,6,7,5,6,11.0,2.643
Ukraine,2000,Property Owners,6,7,5,6,12.5,2.821
Ukraine,2000,State Memory,6,7,5,7,12.5,2.750
Ukraine,2000,Trades / Professions,6,7,5,6,11.0,2.643
Ukraine,2001,Army,7,8,4,5,11.5,2.821
Ukraine,2001,Executive,6,7,5,6,11.0,2.643
Ukraine,2001,Merchants / Shopkeepers,7,8,4,7,15.5,3.214
Ukraine,2001,Priesthood / Knowledge Workers,6,7,5,7,12.5,2.786
Ukraine,2001,Proletariat,6,7,5,6,11.0,2.643
Ukraine,2001,Property Owners,6,7,5,6,12.5,2.821
Ukraine,2001,State Memory,6,7,5,7,12.5,2.750
Ukraine,2001,Trades / Professions,6,7,5,6,11.0,2.643
Ukraine,2002,Army,7,8,4,5,11.5,2.821
Ukraine,2002,Executive,6,7,5,6,11.0,2.643
Ukraine,2002,Merchants / Shopkeepers,7,8,4,7,15.5,3.214
Ukraine,2002,Priesthood / Knowledge Workers,6,7,5,7,12.5,2.786
Ukraine,2002,Proletariat,6,7,5,6,11.0,2.643
Ukraine,2002,Property Owners,6,7,5,6,12.5,2.821
Ukraine,2002,State Memory,6,7,5,7,12.5,2.750
Ukraine,2002,Trades / Professions,6,7,5,6,11.0,2.643
Ukraine,2003,Army,7,8,4,5,11.5,2.821
Ukraine,2003,Executive,6,7,5,6,11.0,2.643
Ukraine,2003,Merchants / Shopkeepers,7,8,4,7,15.5,3.214
Ukraine,2003,Priesthood / Knowledge Workers,6,7,5,7,12.5,2.786
Ukraine,2003,Proletariat,6,7,5,6,11.0,2.643
Ukraine,2003,Property Owners,6,7,5,6,12.5,2.821
Ukraine,2003,State Memory,6,7,5,7,12.5,2.750
Ukraine,2003,Trades / Professions,6,7,5,6,11.0,2.643
Ukraine,2004,Army,7,8,5,5,10.5,2.750
Ukraine,2004,Executive,5,6,7,6,9.0,2.464
Ukraine,2004,Merchants / Shopkeepers,7,8,5,7,14.5,3.107
Ukraine,2004,Priesthood / Knowledge Workers,6,7,6,7,11.5,2.679
Ukraine,2004,Proletariat,5,6,7,6,8.5,2.393
Ukraine,2004,Property Owners,6,7,6,6,12.0,2.714
Ukraine,2004,State Memory,5,6,7,7,11.5,2.571
Ukraine,2004,Trades / Professions,5,6,7,6,8.5,2.393
Ukraine,2005,Army,6,7,6,5,9.5,2.607
Ukraine,2005,Executive,4,5,8,6,6.0,2.143
Ukraine,2005,Merchants / Shopkeepers,7,8,6,7,13.5,2.964
Ukraine,2005,Priesthood / Knowledge Workers,6,7,6,7,11.5,2.607
Ukraine,2005,Proletariat,5,6,7,6,8.5,2.357
Ukraine,2005,Property Owners,6,7,6,6,12.0,2.643
Ukraine,2005,State Memory,4,5,8,7,8.5,2.393
Ukraine,2005,Trades / Professions,5,6,7,6,8.5,2.357
Ukraine,2006,Army,6,7,6,5,9.5,2.607
Ukraine,2006,Executive,5,6,7,6,9.0,2.429
Ukraine,2006,Merchants / Shopkeepers,7,8,6,7,13.5,2.964
Ukraine,2006,Priesthood / Knowledge Workers,6,7,6,7,11.5,2.607
Ukraine,2006,Proletariat,5,6,7,6,8.5,2.357
Ukraine,2006,Property Owners,6,7,6,6,12.0,2.643
Ukraine,2006,State Memory,5,6,7,7,11.5,2.571
Ukraine,2006,Trades / Professions,5,6,7,6,8.5,2.357
Ukraine,2007,Army,6,7,6,5,9.5,2.607
Ukraine,2007,Executive,5,6,7,6,9.0,2.429
Ukraine,2007,Merchants / Shopkeepers,7,8,6,7,13.5,2.964
Ukraine,2007,Priesthood / Knowledge Workers,6,7,6,7,11.5,2.607
Ukraine,2007,Proletariat,5,6,7,6,8.5,2.357
Ukraine,2007,Property Owners,6,7,6,6,12.0,2.643
Ukraine,2007,State Memory,5,6,7,7,11.5,2.571
Ukraine,2007,Trades / Professions,5,6,7,6,8.5,2.357
Ukraine,2008,Army,6,7,6,5,9.5,2.607
Ukraine,2008,Executive,5,6,7,6,9.0,2.429
Ukraine,2008,Merchants / Shopkeepers,7,8,6,7,13.5,2.964
Ukraine,2008,Priesthood / Knowledge Workers,6,7,6,7,11.5,2.607
Ukraine,2008,Proletariat,5,6,7,6,8.5,2.357
Ukraine,2008,Property Owners,6,7,6,6,12.0,2.643
Ukraine,2008,State Memory,5,6,7,7,11.5,2.571
