Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Markerxixn,1900,Archive,5,5,6,5,4.5,2.034]
Markerxixn,1900,Craft,5,5,6,5,4.5,2.012]
Markerxixn,1900,Flow,6,6,7,5,4.5,2.156]
Markerxixn,1900,Hands,5,5,6,4,3.0,1.978]
Markerxixn,1900,Helm,3,3,8,4,-1.0,1.812]
Markerxixn,1900,Lore,7,6,5,6,9.0,2.345]
Markerxixn,1900,Shield,4,4,7,4,1.0,1.929]
Markerxixn,1900,Stewards,4,4,7,4,-1.0,1.856]
Markerxixn,1901,Archive,5,5,6,5,4.5,2.030]
Markerxixn,1901,Craft,5,5,6,5,4.5,2.010]
Markerxixn,1901,Flow,6,6,7,5,4.5,2.150]
Markerxixn,1901,Hands,5,5,6,4,3.0,1.975]
Markerxixn,1901,Helm,3,3,8,4,-1.0,1.800]
Markerxixn,1901,Lore,7,6,5,6,9.0,2.340]
Markerxixn,1901,Shield,4,4,7,4,1.0,1.920]
Markerxixn,1901,Stewards,4,4,7,4,-1.0,1.850]
Markerxixn,1902,Archive,5,5,6,5,4.5,2.025]
Markerxixn,1902,Craft,5,5,6,5,4.5,2.005]
Markerxixn,1902,Flow,6,6,7,5,4.5,2.145]
Markerxixn,1902,Hands,5,5,6,4,3.0,1.970]
Markerxixn,1902,Helm,3,3,8,4,-1.0,1.790]
Markerxixn,1902,Lore,7,6,5,6,9.0,2.335]
Markerxixn,1902,Shield,4,4,7,4,1.0,1.910]
Markerxixn,1902,Stewards,4,4,7,4,-1.0,1.845]
Markerxixn,1903,Archive,5,5,6,5,4.5,2.020]
Markerxixn,1903,Craft,5,5,6,5,4.5,2.000]
Markerxixn,1903,Flow,6,6,7,5,4.5,2.140]
Markerxixn,1903,Hands,5,5,6,4,3.0,1.965]
Markerxixn,1903,Helm,3,3,8,4,-1.0,1.780]
Markerxixn,1903,Lore,7,6,5,6,9.0,2.330]
Markerxixn,1903,Shield,4,4,7,4,1.0,1.900]
Markerxixn,1903,Stewards,4,4,7,4,-1.0,1.840]
Markerxixn,1904,Archive,5,5,6,5,4.5,2.015]
Markerxixn,1904,Craft,5,5,6,5,4.5,1.995]
Markerxixn,1904,Flow,6,6,7,5,4.5,2.135]
Markerxixn,1904,Hands,5,5,6,4,3.0,1.960]
Markerxixn,1904,Helm,3,3,8,4,-1.0,1.770]
Markerxixn,1904,Lore,7,6,5,6,9.0,2.325]
Markerxixn,1904,Shield,4,4,7,4,1.0,1.890]
Markerxixn,1904,Stewards,4,4,7,4,-1.0,1.835]
Markerxixn,1905,Archive,5,5,7,5,3.5,1.980]
Markerxixn,1905,Craft,5,5,7,5,3.5,1.950]
Markerxixn,1905,Flow,6,6,8,5,3.0,2.050]
Markerxixn,1905,Hands,5,5,7,4,2.0,1.920]
Markerxixn,1905,Helm,2,3,9,4,-3.0,1.600]
Markerxixn,1905,Lore,8,7,4,7,13.5,2.500]
Markerxixn,1905,Shield,3,4,8,4,-1.0,1.750]
Markerxixn,1905,Stewards,4,4,8,4,-2.0,1.780]
Markerxixn,1906,Archive,6,6,6,6,6.0,2.120]
Markerxixn,1906,Craft,6,6,6,6,6.0,2.150]
Markerxixn,1906,Flow,7,7,6,6,9.0,2.300]
Markerxixn,1906,Hands,6,6,6,5,5.5,2.100]
Markerxixn,1906,Helm,5,5,6,5,4.5,2.100]
Markerxixn,1906,Lore,8,7,4,7,13.5,2.550]
Markerxixn,1906,Shield,5,5,7,5,3.0,2.000]
Markerxixn,1906,Stewards,5,5,7,5,3.0,2.050]
Markerxixn,1907,Archive,6,6,7,6,5.0,2.080]
Markerxixn,1907,Craft,6,6,7,6,5.0,2.100]
Markerxixn,1907,Flow,6,7,8,6,4.0,2.150]
Markerxixn,1907,Hands,5,6,7,5,3.5,2.050]
Markerxixn,1907,Helm,4,4,8,5,0.0,1.900]
Markerxixn,1907,Lore,7,7,6,7,10.5,2.350]
Markerxixn,1907,Shield,5,5,7,5,3.0,2.000]
Markerxixn,1907,Stewards,4,5,8,5,-1.0,1.850]
Markerxixn,1908,Archive,5,5,8,5,2.5,1.880]
Markerxixn,1908,Craft,5,5,8,5,2.5,1.850]
Markerxixn,1908,Flow,5,6,9,5,1.5,1.950]
Markerxixn,1908,Hands,5,5,8,4,1.0,1.820]
Markerxixn,1908,Helm,2,2,10,4,-4.0,1.400]
Markerxixn,1908,Lore,6,6,7,6,5.0,2.100]
Markerxixn,1908,Shield,3,3,9,4,-2.5,1.600]
Markerxixn,1908,Stewards,3,4,9,4,-3.0,1.650]
Markerxixn,1909,Archive,7,7,5,6,9.5,2.220]
Markerxixn,1909,Craft,7,7,5,6,9.5,2.250]
Markerxixn,1909,Flow,7,7,6,6,8.0,2.280]
Markerxixn,1909,Hands,6,6,6,5,6.5,2.180]
Markerxixn,1909,Helm,6,6,5,6,8.0,2.300]
Markerxixn,1909,Lore,8,7,5,7,12.0,2.400]
Markerxixn,1909,Shield,6,6,6,5,6.5,2.200]
Markerxixn,1909,Stewards,6,6,6,5,6.5,2.150]
Markerxixn,1910,Archive,6,6,7,6,5.0,2.050]
Markerxixn,1910,Craft,6,6,7,6,5.0,2.050]
Markerxixn,1910,Flow,6,6,7,5,4.5,2.100]
Markerxixn,1910,Hands,6,6,7,5,4.5,2.020]
Markerxixn,1910,Helm,5,5,7,5,3.0,2.000]
Markerxixn,1910,Lore,7,7,6,7,10.5,2.250]
Markerxixn,1910,Shield,5,5,7,5,3.0,2.000]
Markerxixn,1910,Stewards,5,5,7,5,3.0,1.950]
Markerxixn,1911,Archive,5,5,7,5,3.5,1.920]
Markerxixn,1911,Craft,5,5,7,5,3.5,1.900]
Markerxixn,1911,Flow,5,5,8,5,2.0,1.950]
Markerxixn,1911,Hands,5,5,7,4,2.0,1.850]
Markerxixn,1911,Helm,3,3,9,4,-2.0,1.650]
Markerxixn,1911,Lore,7,6,6,6,7.0,2.200]
Markerxixn,1911,Shield,4,4,8,4,0.0,1.800]
Markerxixn,1911,Stewards,4,4,8,4,-2.0,1.700]
Markerxixn,1912,Archive,5,5,7,5,3.5,1.900]
Markerxixn,1912,Craft,5,5,7,5,3.5,1.880]
Markerxixn,1912,Flow,5,5,8,5,2.0,1.930]
Markerxixn,1912,Hands,5,5,7,4,2.0,1.830]
Markerxixn,1912,Helm,3,3,9,4,-2.0,1.640]
Markerxixn,1912,Lore,7,6,6,6,7.0,2.180]
Markerxixn,1912,Shield,4,4,8,4,0.0,1.780]
Markerxixn,1912,Stewards,4,4,8,4,-2.0,1.680]
Markerxixn,1913,Archive,5,5,7,5,3.5,1.890]
Markerxixn,1913,Craft,5,5,7,5,3.5,1.870]
Markerxixn,1913,Flow,5,5,8,5,2.0,1.920]
Markerxixn,1913,Hands,5,5,7,4,2.0,1.820]
Markerxixn,1913,Helm,3,3,9,4,-2.0,1.630]
Markerxixn,1913,Lore,7,6,6,6,7.0,2.170]
Markerxixn,1913,Shield,4,4,8,4,0.0,1.770]
Markerxixn,1913,Stewards,4,4,8,4,-2.0,1.670]
Markerxixn,1914,Archive,5,5,7,5,3.5,1.920]
Markerxixn,1914,Craft,5,5,7,5,3.5,1.900]
Markerxixn,1914,Flow,5,6,8,5,2.5,1.980]
Markerxixn,1914,Hands,5,5,7,4,2.0,1.850]
Markerxixn,1914,Helm,4,4,8,5,0.0,1.850]
Markerxixn,1914,Lore,7,6,6,6,7.0,2.200]
Markerxixn,1914,Shield,5,5,7,5,3.0,1.950]
Markerxixn,1914,Stewards,4,5,8,5,-1.0,1.800]
Markerxixn,1915,Archive,5,5,8,5,2.5,1.850]
Markerxixn,1915,Craft,5,5,8,5,2.5,1.850]
Markerxixn,1915,Flow,5,5,9,5,1.0,1.900]
Markerxixn,1915,Hands,4,5,8,4,-1.0,1.780]
Markerxixn,1915,Helm,3,3,9,4,-2.0,1.700]
Markerxixn,1915,Lore,6,6,7,6,5.0,2.100]
Markerxixn,1915,Shield,4,4,8,4,0.0,1.800]
Markerxixn,1915,Stewards,4,4,8,4,-2.0,1.750]
Markerxixn,1916,Archive,5,5,8,5,2.5,1.830]
Markerxixn,1916,Craft,5,5,8,5,2.5,1.830]
Markerxixn,1916,Flow,5,5,9,5,1.0,1.880]
Markerxixn,1916,Hands,4,5,8,4,-1.0,1.760]
Markerxixn,1916,Helm,3,3,9,4,-2.0,1.680]
Markerxixn,1916,Lore,6,6,7,6,5.0,2.080]
Markerxixn,1916,Shield,4,4,8,4,0.0,1.780]
Markerxixn,1916,Stewards,4,4,8,4,-2.0,1.730]
Markerxixn,1917,Archive,6,6,7,6,5.0,2.050]
Markerxixn,1917,Craft,6,6,7,6,5.0,2.050]
Markerxixn,1917,Flow,6,6,7,6,5.0,2.100]
Markerxixn,1917,Hands,5,6,7,5,3.5,2.000]
Markerxixn,1917,Helm,4,4,8,5,0.0,1.900]
