Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Russia,1880,Archive,8,7,4,6,14.0,2.684
Russia,1880,Craft,6,5,5,6,9.0,2.153
Russia,1880,Flow,6,6,5,5,9.5,2.181
Russia,1880,Hands,4,4,6,3,3.5,1.527
Russia,1880,Helm,4,5,8,6,4.0,1.598
Russia,1880,Lore,3,7,6,9,8.5,1.862
Russia,1880,Shield,5,6,7,5,6.5,1.821
Russia,1880,Stewards,5,5,6,5,6.5,1.964

Russia,1881,Archive,7,6,5,6,11.0,1.854
Russia,1881,Craft,5,5,6,6,7.0,1.723
Russia,1881,Flow,5,6,6,5,7.5,1.698
Russia,1881,Hands,4,4,7,3,2.5,1.512
Russia,1881,Helm,3,4,9,5,0.5,1.621
Russia,1881,Lore,2,6,7,8,5.0,1.745
Russia,1881,Shield,3,5,8,4,2.0,1.584
Russia,1881,Stewards,4,5,7,5,4.5,1.645
Russia,1882,Archive,8,7,4,6,14.0,2.156
Russia,1882,Craft,6,5,5,6,9.0,2.012
Russia,1882,Flow,6,6,5,5,9.5,2.045
Russia,1882,Hands,4,4,6,3,3.5,1.687
Russia,1882,Helm,7,6,5,4,10.0,2.103
Russia,1882,Lore,3,6,6,7,6.5,1.898
Russia,1882,Shield,5,6,6,5,7.5,1.945
Russia,1882,Stewards,5,6,5,5,8.5,1.987
Russia,1883,Archive,8,7,3,6,15.0,2.245
Russia,1883,Craft,6,6,5,6,10.0,2.089
Russia,1883,Flow,6,7,5,5,10.5,2.112
Russia,1883,Hands,5,5,6,3,5.5,1.682
Russia,1883,Helm,7,7,4,5,12.5,2.234
Russia,1883,Lore,4,6,5,7,8.5,2.012
Russia,1883,Shield,6,6,5,5,9.5,2.056
Russia,1883,Stewards,6,6,5,5,9.5,2.054
Russia,1884,Archive,8,8,3,6,16.0,2.312
Russia,1884,Craft,6,6,5,6,10.0,2.156
Russia,1884,Flow,7,7,4,6,13.0,2.289
Russia,1884,Hands,4,4,6,4,4.0,1.745
Russia,1884,Helm,8,7,4,4,13.0,2.345
Russia,1884,Lore,5,6,6,6,8.0,2.011
Russia,1884,Shield,6,7,4,5,11.5,2.212
Russia,1884,Stewards,6,6,4,5,10.5,2.198
Russia,1885,Archive,8,8,3,6,16.0,2.323
Russia,1885,Craft,6,6,5,6,10.0,2.167
Russia,1885,Flow,7,7,4,6,13.0,2.301
Russia,1885,Hands,4,4,7,4,3.0,1.654
Russia,1885,Helm,8,7,4,5,13.5,2.356
Russia,1885,Lore,5,6,5,6,9.0,2.089
Russia,1885,Shield,7,7,4,5,12.5,2.245
Russia,1885,Stewards,6,6,4,5,10.5,2.245
Russia,1886,Archive,9,8,3,6,17.0,2.412
Russia,1886,Craft,6,6,4,6,11.0,2.234
Russia,1886,Flow,7,7,4,6,13.0,2.387
Russia,1886,Hands,5,5,5,4,7.0,1.892
Russia,1886,Helm,8,7,4,5,13.5,2.401
Russia,1886,Lore,5,6,5,6,9.0,2.123
Russia,1886,Shield,7,7,4,5,12.5,2.289
Russia,1886,Stewards,6,7,4,5,11.5,2.267
Russia,1887,Archive,9,8,3,6,17.0,2.456
Russia,1887,Craft,7,6,4,6,12.0,2.312
Russia,1887,Flow,8,8,5,6,14.0,2.456
Russia,1887,Hands,4,4,6,3,3.5,1.789
Russia,1887,Helm,8,7,4,5,13.5,2.412
Russia,1887,Lore,5,6,5,6,9.0,2.156
Russia,1887,Shield,7,7,4,6,13.0,2.389
Russia,1887,Stewards,7,7,4,5,12.5,2.345
Russia,1888,Archive,9,8,3,6,17.0,2.654
Russia,1888,Craft,7,7,4,7,13.5,2.456
Russia,1888,Flow,8,8,4,6,15.0,2.567
Russia,1888,Hands,4,4,7,3,2.5,1.812
Russia,1888,Helm,8,7,4,5,13.5,2.512
Russia,1888,Lore,6,6,5,6,10.0,2.234
Russia,1888,Shield,8,8,3,6,16.0,2.543
Russia,1888,Stewards,7,7,4,6,13.0,2.412

Russia,1889,Archive,9,8,3,6,17.0,2.678
Russia,1889,Craft,7,7,4,7,13.5,2.467
Russia,1889,Flow,8,8,4,6,15.0,2.589
Russia,1889,Hands,4,4,7,3,2.5,1.832
Russia,1889,Helm,8,7,4,5,13.5,2.541
Russia,1889,Lore,6,6,5,6,10.0,2.256
Russia,1889,Shield,8,8,3,6,16.0,2.567
Russia,1889,Stewards,7,7,4,6,13.0,2.434
Russia,1899,Archive,8,8,4,6,15.0,2.456
Russia,1899,Craft,8,8,4,7,15.5,2.543
Russia,1899,Flow,9,9,4,7,17.5,2.678
Russia,1899,Hands,4,5,6,4,5.0,1.987
Russia,1899,Helm,5,6,5,4,8.0,2.012
Russia,1899,Lore,3,7,6,8,8.0,1.987
Russia,1899,Shield,7,7,4,5,12.5,2.345
Russia,1899,Stewards,6,7,5,5,10.5,2.123
Russia,1900,Archive,8,8,4,6,15.0,2.445
