Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
UAE,1970,Archive,4,4,5,5,5.5,1.756
UAE,1970,Craft,4,4,5,4,5.0,1.689
UAE,1970,Flow,7,7,4,7,13.5,2.454
UAE,1970,Hands,5,6,6,4,7.0,1.823
UAE,1970,Helm,6,5,6,6,8.0,2.112
UAE,1970,Lore,7,5,4,5,10.5,2.234
UAE,1970,Shield,5,4,5,4,6.0,1.876
UAE,1970,Stewards,6,8,4,6,13.0,2.345
UAE,1971,Helm,6,5,7,6,7.0,1.639
UAE,1971,Shield,4,4,6,4,4.0,1.484
UAE,1971,Lore,7,5,4,5,10.5,2.051
UAE,1971,Stewards,7,8,4,6,14.0,2.111
UAE,1971,Craft,4,4,5,4,5.0,1.595
UAE,1971,Hands,5,6,6,4,7.0,1.564
UAE,1971,Archive,4,4,5,5,5.5,1.652
UAE,1971,Flow,7,7,4,7,13.5,2.171
UAE,1972,Helm,7,6,6,6,10.0,1.915
UAE,1972,Shield,5,5,5,5,7.5,1.824
UAE,1972,Lore,7,6,4,5,11.5,2.153
UAE,1972,Stewards,7,8,4,6,14.0,2.215
UAE,1972,Craft,4,5,5,4,6.0,1.678
UAE,1972,Hands,5,6,6,4,7.0,1.641
UAE,1972,Archive,4,5,5,5,6.5,1.736
UAE,1972,Flow,8,8,4,7,15.5,2.369
UAE,1973,Helm,7,7,5,7,12.5,2.299
UAE,1973,Shield,6,6,4,6,11.0,2.323
UAE,1973,Lore,7,7,4,6,13.0,2.418
UAE,1973,Stewards,8,9,4,7,16.5,2.576
UAE,1973,Craft,5,5,5,5,7.5,2.0
UAE,1973,Hands,6,6,5,4,9.0,2.03
UAE,1973,Archive,5,5,5,6,8.0,2.06
UAE,1973,Flow,8,8,5,8,15.0,2.448
UAE,1974,Helm,8,8,4,7,15.5,2.858
UAE,1974,Shield,6,7,4,6,12.0,2.582
UAE,1974,Lore,8,7,3,6,15.0,3.048
UAE,1974,Stewards,8,10,3,8,19.0,3.195
UAE,1974,Craft,5,6,5,5,8.5,2.209
UAE,1974,Hands,6,7,5,5,10.5,2.305
UAE,1974,Archive,5,6,4,6,10.0,2.478
UAE,1974,Flow,9,8,4,8,17.0,3.031
UAE,1975,Helm,8,8,4,8,16.0,3.206
UAE,1975,Shield,7,7,4,7,13.5,3.025
UAE,1975,Lore,8,8,3,7,16.5,3.443
UAE,1975,Stewards,9,10,3,8,20.0,3.637
UAE,1975,Craft,6,7,4,6,12.0,2.844
UAE,1975,Hands,7,7,4,6,13.0,2.953
UAE,1975,Archive,6,7,4,7,12.5,2.917
UAE,1975,Flow,9,9,3,8,19.0,3.637
UAE,1976,Helm,8,8,3,8,17.0,3.603
UAE,1976,Shield,8,7,4,7,14.5,3.201
UAE,1976,Lore,8,8,3,7,16.5,3.524
UAE,1976,Stewards,9,10,3,8,20.0,3.722
UAE,1976,Craft,6,7,4,6,12.0,2.844
UAE,1976,Hands,7,7,4,6,13.0,2.953
UAE,1976,Archive,6,7,4,7,12.5,2.917
UAE,1976,Flow,9,9,3,8,19.0,3.637
UAE,1979,Helm,9,9,4,8,18.0,3.361
UAE,1979,Shield,8,8,5,8,15.0,2.988
UAE,1979,Lore,8,8,4,7,15.5,3.169
UAE,1979,Stewards,9,10,3,8,20.0,3.585
UAE,1979,Craft,7,8,4,7,14.5,3.012
UAE,1979,Hands,8,8,4,6,15.0,3.064
UAE,1979,Archive,7,8,4,7,14.5,3.102
UAE,1979,Flow,10,10,3,9,21.5,3.864
UAE,1982,Helm,9,9,4,8,18.0,3.224
UAE,1982,Shield,8,8,6,8,14.0,2.681
UAE,1982,Lore,8,8,4,7,15.5,3.092
UAE,1982,Stewards,9,10,4,8,19.0,3.185
UAE,1982,Craft,7,8,4,7,14.5,2.992
UAE,1982,Hands,8,8,4,6,15.0,3.014
UAE,1982,Archive,8,8,4,8,16.0,3.141
UAE,1982,Flow,10,10,4,9,20.5,3.487
UAE,1985,Helm,8,9,5,8,16.0,2.855
UAE,1985,Shield,8,8,5,8,15.0,2.791
UAE,1985,Lore,8,8,4,7,15.5,2.892
UAE,1985,Stewards,8,9,5,8,16.0,2.840
UAE,1985,Craft,8,8,4,7,15.5,2.921
UAE,1985,Hands,8,8,4,6,15.0,2.915
UAE,1985,Archive,8,9,4,8,17.0,3.075
UAE,1985,Flow,10,10,4,9,20.5,3.337
UAE,1986,Helm,8,9,4,8,17.0,3.158
UAE,1986,Shield,8,8,5,8,15.0,2.909
UAE,1986,Lore,8,8,4,7,15.5,3.091
UAE,1986,Stewards,8,9,4,8,17.0,3.158
UAE,1986,Craft,8,8,4,7,15.5,3.091
UAE,1986,Hands,8,8,4,6,15.0,3.023
UAE,1986,Archive,8,9,4,8,17.0,3.158
UAE,1986,Flow,10,10,4,9,20.5,3.429
UAE,1987,Helm,8,9,4,8,17.0,3.124
UAE,1987,Shield,8,8,6,8,14.0,2.667
UAE,1987,Lore,8,8,4,7,15.5,3.057
UAE,1987,Stewards,8,9,4,8,17.0,3.124
UAE,1987,Craft,8,8,4,7,15.5,3.057
UAE,1987,Hands,8,8,4,6,15.0,2.99
UAE,1987,Archive,8,9,4,8,17.0,3.124
UAE,1987,Flow,10,10,4,9,20.5,3.39
UAE,1988,Helm,8,9,5,8,16.0,2.837
UAE,1988,Shield,8,8,6,8,14.0,2.633
UAE,1988,Lore,8,8,4,8,16.0,3.07
UAE,1988,Stewards,8,10,4,8,18.0,3.07
UAE,1988,Craft,8,8,4,8,16.0,3.07
UAE,1988,Hands,8,8,4,6,15.0,2.941
UAE,1988,Archive,8,9,4,8,17.0,3.07
UAE,1988,Flow,10,10,5,10,20.0,3.141
UAE,1989,Helm,9,9,6,9,16.5,2.737
UAE,1989,Shield,9,9,6,9,16.5,2.737
UAE,1989,Lore,9,9,4,8,18.0,3.093
UAE,1989,Stewards,9,10,5,9,18.5,2.933
UAE,1989,Craft,8,9,5,8,16.0,2.792
UAE,1989,Hands,8,9,5,7,15.5,2.735
UAE,1989,Archive,9,9,4,9,18.5,3.153
UAE,1989,Flow,10,10,6,10,19.0,2.871
UAE,1990,Helm,9,9,6,9,16.5,2.712
UAE,1990,Shield,9,9,7,9,15.5,2.54
UAE,1990,Lore,9,9,4,8,18.0,3.061
UAE,1990,Stewards,9,10,5,9,18.5,2.905
UAE,1990,Craft,8,9,5,8,16.0,2.765
UAE,1990,Hands,8,9,5,7,15.5,2.709
UAE,1990,Archive,9,9,4,9,18.5,3.12
UAE,1990,Flow,10,10,6,10,19.0,2.845
UAE,1991,Helm,9,9,7,9,15.5,2.472
UAE,1991,Shield,9,10,8,9,15.5,2.327
UAE,1991,Lore,9,9,4,9,18.5,3.01
UAE,1991,Stewards,9,10,5,10,19.0,2.866
UAE,1991,Craft,8,9,5,8,16.0,2.678
UAE,1991,Hands,8,9,6,7,14.5,2.455
UAE,1991,Archive,9,10,4,9,19.5,3.01
UAE,1991,Flow,10,10,7,10,18.0,2.592
UAE,1992,Helm,9,10,4,9,19.5,3.882
UAE,1992,Shield,9,10,4,10,20.0,3.956
UAE,1992,Lore,9,9,3,9,19.5,4.275
UAE,1992,Stewards,10,10,3,10,22.0,4.473
UAE,1992,Craft,9,9,4,8,18.0,3.808
UAE,1992,Hands,9,9,4,7,17.5,3.735
UAE,1992,Archive,9,10,3,10,21.0,4.354
UAE,1992,Flow,10,10,3,10,22.0,4.473
UAE,1993,Helm,9,10,3,9,20.5,4.557
UAE,1993,Shield,9,10,3,10,21.0,4.643
UAE,1993,Lore,9,9,3,9,19.5,4.557
UAE,1993,Stewards,10,10,3,10,22.0,4.771
UAE,1993,Craft,9,9,3,8,19.0,4.471
UAE,1993,Hands,9,9,3,7,18.5,4.386
UAE,1993,Archive,9,10,3,10,21.0,4.643
UAE,1993,Flow,10,10,3,10,22.0,4.771
UAE,1994,Helm,9,10,3,9,20.5,4.557
UAE,1994,Shield,9,10,3,10,21.0,4.643
UAE,1994,Lore,9,9,3,9,19.5,4.557
UAE,1994,Stewards,10,10,3,10,22.0,4.771
UAE,1994,Craft,9,9,3,8,19.0,4.471
UAE,1994,Hands,9,9,3,7,18.5,4.386
UAE,1994,Archive,9,10,3,10,21.0,4.643
UAE,1994,Flow,10,10,3,10,22.0,4.771
UAE,1995,Helm,10,10,2,10,23.0,5.839
UAE,1995,Shield,9,10,3,10,21.0,5.040
UAE,1995,Lore,9,10,3,10,21.0,5.040
UAE,1995,Stewards,10,10,2,10,23.0,5.839
UAE,1995,Craft,9,10,3,9,20.5,4.948
UAE,1995,Hands,9,10,3,8,20.0,4.856
UAE,1995,Archive,10,10,3,10,22.0,5.178
UAE,1995,Flow,10,10,2,10,23.0,5.839
UAE,1996,Helm,10,10,2,10,23.0,5.839
UAE,1996,Shield,9,10,3,10,21.0,5.040
UAE,1996,Lore,9,10,3,10,21.0,5.040
UAE,1996,Stewards,10,10,2,10,23.0,5.839
UAE,1996,Craft,9,10,3,9,20.5,4.948
UAE,1996,Hands,9,10,3,8,20.0,4.856
UAE,1996,Archive,10,10,3,10,22.0,5.178
UAE,1996,Flow,10,10,2,10,23.0,5.839
UAE,1997,Helm,10,10,2,10,23.0,5.273
UAE,1997,Shield,9,10,3,10,21.0,4.620
UAE,1997,Lore,9,10,3,10,21.0,4.620
UAE,1997,Stewards,10,10,4,10,21.0,4.290
UAE,1997,Craft,9,10,4,9,19.5,4.099
UAE,1997,Hands,9,10,4,8,19.0,4.022
UAE,1997,Archive,10,10,3,10,22.0,4.745
UAE,1997,Flow,10,10,3,10,22.0,4.745
UAE,1998,Helm,10,10,3,10,22.0,4.500
UAE,1998,Shield,9,10,3,10,21.0,4.383
UAE,1998,Lore,9,10,3,10,21.0,4.383
UAE,1998,Stewards,10,10,5,10,20.0,3.748
UAE,1998,Craft,9,10,4,9,19.5,3.914
UAE,1998,Hands,9,10,4,8,19.0,3.841
UAE,1998,Archive,10,10,3,10,22.0,4.500
UAE,1998,Flow,10,10,4,10,21.0,4.095
UAE,1999,Helm,10,10,3,10,22.0,4.722
UAE,1999,Shield,9,10,3,10,21.0,4.598
UAE,1999,Lore,9,10,3,10,21.0,4.598
UAE,1999,Stewards,10,10,3,10,22.0,4.722
UAE,1999,Craft,9,10,4,9,19.5,4.084
UAE,1999,Hands,9,10,4,8,19.0,4.008
UAE,1999,Archive,10,10,3,10,22.0,4.722
UAE,1999,Flow,10,10,3,10,22.0,4.722
UAE,2000,Helm,10,10,4,10,21.0,4.024
UAE,2000,Shield,9,10,4,10,20.0,3.917
UAE,2000,Lore,9,10,4,10,20.0,3.917
UAE,2000,Stewards,10,10,3,10,22.0,4.410
UAE,2000,Craft,9,10,4,9,19.5,3.846
UAE,2000,Hands,9,10,4,8,19.0,3.775
UAE,2000,Archive,10,10,3,10,22.0,4.410
UAE,2000,Flow,10,10,4,10,21.0,4.024
UAE,2001,Helm,10,10,5,10,20.0,3.527
UAE,2001,Shield,9,10,6,10,18.0,3.176
UAE,2001,Lore,9,10,5,10,19.0,3.433
UAE,2001,Stewards,10,10,3,10,22.0,4.172
UAE,2001,Craft,9,10,4,9,19.5,3.662
UAE,2001,Hands,9,10,4,8,19.0,3.594
UAE,2001,Archive,10,10,3,10,22.0,4.172
UAE,2001,Flow,10,10,4,10,21.0,3.829
UAE,2002,Helm,10,10,5,10,20.0,3.605
UAE,2002,Shield,9,10,5,10,19.0,3.508
UAE,2002,Lore,9,10,4,10,20.0,3.818
UAE,2002,Stewards,10,10,3,10,22.0,4.284
UAE,2002,Craft,9,10,4,9,19.5,3.749
UAE,2002,Hands,9,10,4,8,19.0,3.680
UAE,2002,Archive,10,10,3,10,22.0,4.284
UAE,2002,Flow,10,10,4,10,21.0,3.922
UAE,2003,Helm,9,10,4,10,20.0,3.930
UAE,2003,Shield,9,10,5,10,19.0,3.601
UAE,2003,Lore,10,10,4,10,21.0,4.037
UAE,2003,Stewards,10,10,3,10,22.0,4.427
UAE,2003,Craft,9,10,4,9,19.5,3.859
UAE,2003,Hands,9,10,4,8,19.0,3.788
UAE,2003,Archive,10,10,3,10,22.0,4.427
UAE,2003,Flow,10,10,3,10,22.0,4.427
UAE,2004,Helm,9,10,4,10,20.0,4.041
UAE,2004,Shield,9,10,4,10,20.0,4.041
UAE,2004,Lore,10,10,3,10,22.0,4.568
UAE,2004,Stewards,10,10,3,10,22.0,4.568
UAE,2004,Craft,9,10,4,9,19.5,3.967
UAE,2004,Hands,9,10,4,8,19.0,3.893
UAE,2004,Archive,10,10,3,10,22.0,4.568
UAE,2004,Flow,10,10,3,10,22.0,4.568
UAE,2005,Helm,9,10,4,10,20.0,3.719
UAE,2005,Shield,9,10,4,10,20.0,3.719
UAE,2005,Lore,9,10,3,10,21.0,4.052
UAE,2005,Stewards,10,10,4,10,21.0,3.819
UAE,2005,Craft,10,10,5,9,19.5,3.457
UAE,2005,Hands,9,10,6,8,17.0,3.053
UAE,2005,Archive,10,10,4,10,21.0,3.819
UAE,2005,Flow,10,10,4,10,21.0,3.819
UAE,2006,Helm,9,10,4,10,20.0,3.544
UAE,2006,Shield,9,10,4,10,20.0,3.544
UAE,2006,Lore,9,10,3,10,21.0,3.840
UAE,2006,Stewards,10,10,5,10,20.0,3.368
UAE,2006,Craft,10,10,6,9,18.5,3.073
UAE,2006,Hands,9,10,7,8,16.0,2.734
UAE,2006,Archive,10,10,4,10,21.0,3.639
UAE,2006,Flow,10,10,5,10,20.0,3.368
UAE,2007,Helm,9,10,5,10,19.0,3.040
UAE,2007,Shield,9,10,4,10,20.0,3.265
UAE,2007,Lore,9,10,3,10,21.0,3.508
UAE,2007,Stewards,10,10,7,10,18.0,2.733
UAE,2007,Craft,10,10,7,9,17.5,2.684
UAE,2007,Hands,8,10,8,8,14.0,2.337
UAE,2007,Archive,10,10,4,10,21.0,3.351
UAE,2007,Flow,10,10,7,10,18.0,2.733
UAE,2008,Helm,10,10,7,10,18.0,2.461
UAE,2008,Shield,9,10,4,10,20.0,2.869
UAE,2008,Lore,9,10,4,10,20.0,2.869
UAE,2008,Stewards,8,10,9,10,14.0,2.082
UAE,2008,Craft,8,9,8,9,13.5,2.156
UAE,2008,Hands,7,9,9,8,11.0,1.940
UAE,2008,Archive,10,10,5,10,20.0,2.771
UAE,2008,Flow,8,9,8,10,14.0,2.198
UAE,2009,Helm,10,10,6,10,19.0,2.847
UAE,2009,Shield,9,10,4,10,20.0,3.170
UAE,2009,Lore,9,10,4,10,20.0,3.170
UAE,2009,Stewards,9,10,7,10,17.0,2.600
UAE,2009,Craft,8,9,6,9,15.5,2.642
UAE,2009,Hands,8,9,7,8,14.0,2.430
UAE,2009,Archive,10,10,5,10,20.0,3.041
UAE,2009,Flow,9,10,6,10,18.0,2.770
UAE,2010,Helm,10,10,4,10,21.0,3.794
UAE,2010,Shield,9,10,4,10,20.0,3.693
UAE,2010,Lore,9,10,3,10,21.0,4.022
UAE,2010,Stewards,9,10,5,10,19.0,3.404
UAE,2010,Craft,9,10,5,9,18.5,3.341
UAE,2010,Hands,9,10,5,8,18.0,3.279
UAE,2010,Archive,10,10,4,10,21.0,3.794
UAE,2010,Flow,10,10,4,10,21.0,3.794
UAE,2011,Helm,10,10,5,10,20.0,3.461
UAE,2011,Shield,9,10,5,10,19.0,3.368
UAE,2011,Lore,10,10,4,10,21.0,3.746
UAE,2011,Stewards,9,10,4,10,20.0,3.648
UAE,2011,Craft,9,10,4,9,19.5,3.583
UAE,2011,Hands,9,10,5,8,18.0,3.245
UAE,2011,Archive,10,10,4,10,21.0,3.746
UAE,2011,Flow,10,10,4,10,21.0,3.746
UAE,2012,Helm,10,10,4,10,21.0,3.875
UAE,2012,Shield,9,10,5,10,19.0,3.475
UAE,2012,Lore,10,10,4,10,21.0,3.875
UAE,2012,Stewards,10,10,4,10,21.0,3.875
UAE,2012,Craft,9,10,4,10,20.0,3.774
UAE,2012,Hands,9,10,4,8,19.0,3.639
UAE,2012,Archive,10,10,4,10,21.0,3.875
UAE,2012,Flow,10,10,4,10,21.0,3.875
UAE,2013,Helm,10,10,4,10,21.0,4.077
UAE,2013,Shield,9,10,5,10,19.0,3.637
UAE,2013,Lore,10,10,3,10,22.0,4.472
UAE,2013,Stewards,10,10,3,10,22.0,4.472
UAE,2013,Craft,9,10,4,10,20.0,3.970
UAE,2013,Hands,9,10,4,9,19.5,3.899
UAE,2013,Archive,10,10,4,10,21.0,4.077
UAE,2013,Flow,10,10,3,10,22.0,4.472
UAE,2014,Helm,10,10,4,10,21.0,3.859
UAE,2014,Shield,10,10,6,10,19.0,3.295
UAE,2014,Lore,10,10,4,10,21.0,3.859
UAE,2014,Stewards,10,10,4,10,21.0,3.859
UAE,2014,Craft,9,10,4,10,20.0,3.759
UAE,2014,Hands,9,10,4,9,19.5,3.692
UAE,2014,Archive,10,10,4,10,21.0,3.859
UAE,2014,Flow,10,10,4,10,21.0,3.859
UAE,2015,Helm,10,10,5,10,20.0,3.264
UAE,2015,Shield,10,10,7,10,18.0,2.849
UAE,2015,Lore,10,10,4,10,21.0,3.509
UAE,2015,Stewards,9,10,6,10,18.0,2.964
UAE,2015,Craft,9,10,5,10,19.0,3.179
UAE,2015,Hands,9,10,5,9,18.5,3.122
UAE,2015,Archive,10,10,4,10,21.0,3.509
UAE,2015,Flow,10,10,5,10,20.0,3.264
UAE,2016,Helm,10,10,5,10,20.0,3.264
UAE,2016,Shield,10,10,7,10,18.0,2.849
UAE,2016,Lore,10,10,4,10,21.0,3.509
UAE,2016,Stewards,9,10,6,10,18.0,2.964
UAE,2016,Craft,9,10,5,10,19.0,3.179
UAE,2016,Hands,9,10,5,9,18.5,3.122
UAE,2016,Archive,10,10,4,10,21.0,3.509
UAE,2016,Flow,10,10,5,10,20.0,3.264
UAE,2017,Helm,10,10,4,10,21.0,3.807
UAE,2017,Shield,10,10,6,10,19.0,3.259
UAE,2017,Lore,10,10,4,10,21.0,3.807
UAE,2017,Stewards,10,10,5,10,20.0,3.515
UAE,2017,Craft,9,10,4,10,20.0,3.709
UAE,2017,Hands,9,10,4,9,19.5,3.643
UAE,2017,Archive,10,10,4,10,21.0,3.807
UAE,2017,Flow,10,10,4,10,21.0,3.807
UAE,2018,Helm,10,10,4,10,21.0,3.966
UAE,2018,Shield,10,10,5,10,20.0,3.647
UAE,2018,Lore,10,10,3,10,22.0,4.330
UAE,2018,Stewards,10,10,4,10,21.0,3.966
UAE,2018,Craft,9,10,4,10,20.0,3.863
UAE,2018,Hands,9,10,4,9,19.5,3.794
UAE,2018,Archive,10,10,4,10,21.0,3.966
UAE,2018,Flow,10,10,4,10,21.0,3.966
UAE,2019,Helm,10,10,5,10,20.0,3.420
UAE,2019,Shield,10,10,5,10,20.0,3.420
UAE,2019,Lore,10,10,3,10,22.0,3.997
UAE,2019,Stewards,10,10,5,10,20.0,3.420
UAE,2019,Craft,10,10,4,10,21.0,3.693
UAE,2019,Hands,9,10,6,9,17.5,3.039
UAE,2019,Archive,10,10,4,10,21.0,3.693
UAE,2019,Flow,10,10,6,10,19.0,3.178
UAE,2020,Helm,10,10,6,10,19.0,3.028
UAE,2020,Shield,10,10,5,10,20.0,3.247
UAE,2020,Lore,10,10,3,10,22.0,3.759
UAE,2020,Stewards,10,10,6,10,19.0,3.028
UAE,2020,Craft,10,10,4,10,21.0,3.492
UAE,2020,Hands,9,10,7,9,16.5,2.708
UAE,2020,Archive,10,10,4,10,21.0,3.492
UAE,2020,Flow,9,10,8,10,16.0,2.590
UAE,2021,Helm,10,10,5,10,20.0,3.528
UAE,2021,Shield,10,10,4,10,21.0,3.821
UAE,2021,Lore,10,10,3,10,22.0,4.150
UAE,2021,Stewards,10,10,4,10,21.0,3.821
UAE,2021,Craft,10,10,4,10,21.0,3.821
UAE,2021,Hands,10,10,6,10,19.0,3.272
UAE,2021,Archive,10,10,4,10,21.0,3.821
UAE,2021,Flow,10,10,6,10,19.0,3.272
UAE,2022,Helm,10,10,4,10,21.0,4.317
UAE,2022,Shield,10,10,4,10,21.0,4.317
UAE,2022,Lore,10,10,3,10,22.0,4.762
UAE,2022,Stewards,10,10,3,10,22.0,4.762
UAE,2022,Craft,10,10,3,10,22.0,4.762
UAE,2022,Hands,10,10,4,10,21.0,4.317
UAE,2022,Archive,10,10,3,10,22.0,4.762
UAE,2022,Flow,10,10,3,10,22.0,4.762
UAE,2023,Helm,10,10,4,10,21.0,4.317
UAE,2023,Shield,10,10,4,10,21.0,4.317
UAE,2023,Lore,10,10,3,10,22.0,4.762
UAE,2023,Stewards,10,10,3,10,22.0,4.762
UAE,2023,Craft,10,10,3,10,22.0,4.762
UAE,2023,Hands,10,10,4,10,21.0,4.317
UAE,2023,Archive,10,10,3,10,22.0,4.762
UAE,2023,Flow,10,10,3,10,22.0,4.762
UAE,2024,Helm,10,10,4,10,21.0,4.202
UAE,2024,Shield,10,10,5,10,20.0,3.844
UAE,2024,Lore,10,10,3,10,22.0,4.619
UAE,2024,Stewards,10,10,3,10,22.0,4.619
UAE,2024,Craft,10,10,3,10,22.0,4.619
UAE,2024,Hands,10,10,4,10,21.0,4.202
UAE,2024,Archive,10,10,3,10,22.0,4.619
UAE,2024,Flow,10,10,4,10,21.0,4.202
UAE,2025,Helm,10,10,4,10,21.0,4.202
UAE,2025,Shield,10,10,5,10,20.0,3.844
UAE,2025,Lore,10,10,3,10,22.0,4.619
UAE,2025,Stewards,10,10,3,10,22.0,4.619
UAE,2025,Craft,10,10,3,10,22.0,4.619
UAE,2025,Hands,10,10,4,10,21.0,4.202
UAE,2025,Archive,10,10,3,10,22.0,4.619
