Society,Year,Formalism,From_Node,To_Node,B_ij
Argentina,1950,JUNO-1.0,Helm,Shield,0.3444
Argentina,1950,JUNO-1.0,Helm,Lore,0.36
Argentina,1950,JUNO-1.0,Helm,Stewards,0.3209
Argentina,1950,JUNO-1.0,Helm,Craft,0.3254
Argentina,1950,JUNO-1.0,Helm,Hands,0.3396
Argentina,1950,JUNO-1.0,Helm,Archive,0.3254
Argentina,1950,JUNO-1.0,Helm,Flow,0.3209
Argentina,1950,JUNO-1.0,Shield,Helm,0.3444
Argentina,1950,JUNO-1.0,Shield,Lore,0.3362
Argentina,1950,JUNO-1.0,Shield,Stewards,0.2997
Argentina,1950,JUNO-1.0,Shield,Craft,0.3039
Argentina,1950,JUNO-1.0,Shield,Hands,0.3172
Argentina,1950,JUNO-1.0,Shield,Archive,0.3039
Argentina,1950,JUNO-1.0,Shield,Flow,0.2997
Argentina,1950,JUNO-1.0,Lore,Helm,0.36
Argentina,1950,JUNO-1.0,Lore,Shield,0.3362
Argentina,1950,JUNO-1.0,Lore,Stewards,0.3133
Argentina,1950,JUNO-1.0,Lore,Craft,0.3177
Argentina,1950,JUNO-1.0,Lore,Hands,0.3316
Argentina,1950,JUNO-1.0,Lore,Archive,0.3177
Argentina,1950,JUNO-1.0,Lore,Flow,0.3133
Argentina,1950,JUNO-1.0,Stewards,Helm,0.3209
Argentina,1950,JUNO-1.0,Stewards,Shield,0.2997
Argentina,1950,JUNO-1.0,Stewards,Lore,0.3133
Argentina,1950,JUNO-1.0,Stewards,Craft,0.2832
Argentina,1950,JUNO-1.0,Stewards,Hands,0.2956
Argentina,1950,JUNO-1.0,Stewards,Archive,0.2832
Argentina,1950,JUNO-1.0,Stewards,Flow,0.2793
Argentina,1950,JUNO-1.0,Craft,Helm,0.3254
Argentina,1950,JUNO-1.0,Craft,Shield,0.3039
Argentina,1950,JUNO-1.0,Craft,Lore,0.3177
Argentina,1950,JUNO-1.0,Craft,Stewards,0.2832
Argentina,1950,JUNO-1.0,Craft,Hands,0.2997
Argentina,1950,JUNO-1.0,Craft,Archive,0.2872
Argentina,1950,JUNO-1.0,Craft,Flow,0.2832
Argentina,1950,JUNO-1.0,Hands,Helm,0.3396
Argentina,1950,JUNO-1.0,Hands,Shield,0.3172
Argentina,1950,JUNO-1.0,Hands,Lore,0.3316
Argentina,1950,JUNO-1.0,Hands,Stewards,0.2956
Argentina,1950,JUNO-1.0,Hands,Craft,0.2997
Argentina,1950,JUNO-1.0,Hands,Archive,0.2997
Argentina,1950,JUNO-1.0,Hands,Flow,0.2956
Argentina,1950,JUNO-1.0,Archive,Helm,0.3254
Argentina,1950,JUNO-1.0,Archive,Shield,0.3039
Argentina,1950,JUNO-1.0,Archive,Lore,0.3177
Argentina,1950,JUNO-1.0,Archive,Stewards,0.2832
Argentina,1950,JUNO-1.0,Archive,Craft,0.2872
Argentina,1950,JUNO-1.0,Archive,Hands,0.2997
Argentina,1950,JUNO-1.0,Archive,Flow,0.2832
Argentina,1950,JUNO-1.0,Flow,Helm,0.3209
Argentina,1950,JUNO-1.0,Flow,Shield,0.2997
Argentina,1950,JUNO-1.0,Flow,Lore,0.3133
Argentina,1950,JUNO-1.0,Flow,Stewards,0.2793
Argentina,1950,JUNO-1.0,Flow,Craft,0.2832
Argentina,1950,JUNO-1.0,Flow,Hands,0.2956
Argentina,1950,JUNO-1.0,Flow,Archive,0.2832
Argentina,1951,JUNO-1.0,Helm,Shield,0.3444
Argentina,1951,JUNO-1.0,Helm,Lore,0.36
Argentina,1951,JUNO-1.0,Helm,Stewards,0.3209
Argentina,1951,JUNO-1.0,Helm,Craft,0.3254
Argentina,1951,JUNO-1.0,Helm,Hands,0.3396
Argentina,1951,JUNO-1.0,Helm,Archive,0.3254
Argentina,1951,JUNO-1.0,Helm,Flow,0.3165
Argentina,1951,JUNO-1.0,Shield,Helm,0.3444
Argentina,1951,JUNO-1.0,Shield,Lore,0.3362
Argentina,1951,JUNO-1.0,Shield,Stewards,0.2997
Argentina,1951,JUNO-1.0,Shield,Craft,0.3039
Argentina,1951,JUNO-1.0,Shield,Hands,0.3172
Argentina,1951,JUNO-1.0,Shield,Archive,0.3039
Argentina,1951,JUNO-1.0,Shield,Flow,0.2956
Argentina,1951,JUNO-1.0,Lore,Helm,0.36
Argentina,1951,JUNO-1.0,Lore,Shield,0.3362
Argentina,1951,JUNO-1.0,Lore,Stewards,0.3133
Argentina,1951,JUNO-1.0,Lore,Craft,0.3177
