Metric,Node,Spearman_rho,MAE,N
bond_strength,ALL,0.958,21.505,30008
bond_strength,Helm,0.9599,22.1069,3751
bond_strength,Shield,0.9569,21.0419,3751
bond_strength,Lore,0.9407,22.8189,3751
bond_strength,Stewards,0.9624,21.3679,3751
bond_strength,Craft,0.9584,21.6168,3751
bond_strength,Hands,0.9629,17.9017,3751
bond_strength,Archive,0.9559,23.2408,3751
bond_strength,Flow,0.959,21.9453,3751
system_bond_density,ALL,0.9585,21.505,3751
decay_index,ALL,0.9743,,3751
lambda2_connectivity,ALL,0.9553,,3751
