Society,Year,Node,Formalism,Node_Value,Bond_Strength
Argentina,1950,Helm,CAMS-v3.2,,23.3049
Argentina,1950,Shield,CAMS-v3.2,,20.481
Argentina,1950,Lore,CAMS-v3.2,,22.037
Argentina,1950,Stewards,CAMS-v3.2,,18.3683
Argentina,1950,Craft,CAMS-v3.2,,18.5291
Argentina,1950,Hands,CAMS-v3.2,,20.307
Argentina,1950,Archive,CAMS-v3.2,,18.5291
Argentina,1950,Flow,CAMS-v3.2,,18.3683
Argentina,1951,Helm,CAMS-v3.2,,23.274
Argentina,1951,Shield,CAMS-v3.2,,20.4546
Argentina,1951,Lore,CAMS-v3.2,,22.0081
Argentina,1951,Stewards,CAMS-v3.2,,18.345
Argentina,1951,Craft,CAMS-v3.2,,18.5055
Argentina,1951,Hands,CAMS-v3.2,,20.2808
Argentina,1951,Archive,CAMS-v3.2,,18.5055
Argentina,1951,Flow,CAMS-v3.2,,18.1856
Argentina,1952,Helm,CAMS-v3.2,,15.7278
Argentina,1952,Shield,CAMS-v3.2,,16.1067
Argentina,1952,Lore,CAMS-v3.2,,14.8894
Argentina,1952,Stewards,CAMS-v3.2,,14.8894
Argentina,1952,Craft,CAMS-v3.2,,14.8894
Argentina,1952,Hands,CAMS-v3.2,,14.2638
Argentina,1952,Archive,CAMS-v3.2,,14.8894
Argentina,1952,Flow,CAMS-v3.2,,11.7246
Argentina,1953,Helm,CAMS-v3.2,,14.4633
Argentina,1953,Shield,CAMS-v3.2,,14.3581
Argentina,1953,Lore,CAMS-v3.2,,14.0674
Argentina,1953,Stewards,CAMS-v3.2,,11.4987
Argentina,1953,Craft,CAMS-v3.2,,14.0674
Argentina,1953,Hands,CAMS-v3.2,,12.493
Argentina,1953,Archive,CAMS-v3.2,,14.0674
Argentina,1953,Flow,CAMS-v3.2,,11.2974
Argentina,1954,Helm,CAMS-v3.2,,14.2114
Argentina,1954,Shield,CAMS-v3.2,,13.9747
Argentina,1954,Lore,CAMS-v3.2,,13.9747
Argentina,1954,Stewards,CAMS-v3.2,,11.5264
Argentina,1954,Craft,CAMS-v3.2,,13.9747
Argentina,1954,Hands,CAMS-v3.2,,12.0291
Argentina,1954,Archive,CAMS-v3.2,,13.9747
Argentina,1954,Flow,CAMS-v3.2,,11.4253
Argentina,1955,Helm,CAMS-v3.2,,4.7792
Argentina,1955,Shield,CAMS-v3.2,,5.1465
Argentina,1955,Lore,CAMS-v3.2,,5.4704
Argentina,1955,Stewards,CAMS-v3.2,,5.3742
Argentina,1955,Craft,CAMS-v3.2,,6.6473
Argentina,1955,Hands,CAMS-v3.2,,6.433
Argentina,1955,Archive,CAMS-v3.2,,5.1914
Argentina,1955,Flow,CAMS-v3.2,,4.9937
Argentina,1956,Helm,CAMS-v3.2,,8.6682
Argentina,1956,Shield,CAMS-v3.2,,10.2006
Argentina,1956,Lore,CAMS-v3.2,,9.0514
Argentina,1956,Stewards,CAMS-v3.2,,9.0514
Argentina,1956,Craft,CAMS-v3.2,,9.9345
Argentina,1956,Hands,CAMS-v3.2,,9.0514
Argentina,1956,Archive,CAMS-v3.2,,9.0514
Argentina,1956,Flow,CAMS-v3.2,,9.0514
Argentina,1957,Helm,CAMS-v3.2,,13.0759
Argentina,1957,Shield,CAMS-v3.2,,13.2215
Argentina,1957,Lore,CAMS-v3.2,,14.453
Argentina,1957,Stewards,CAMS-v3.2,,13.9581
Argentina,1957,Craft,CAMS-v3.2,,14.453
Argentina,1957,Hands,CAMS-v3.2,,14.453
Argentina,1957,Archive,CAMS-v3.2,,13.9581
Argentina,1957,Flow,CAMS-v3.2,,13.9581
Argentina,1958,Helm,CAMS-v3.2,,15.1633
Argentina,1958,Shield,CAMS-v3.2,,15.1633
Argentina,1958,Lore,CAMS-v3.2,,15.1633
Argentina,1958,Stewards,CAMS-v3.2,,15.1633
Argentina,1958,Craft,CAMS-v3.2,,15.1633
Argentina,1958,Hands,CAMS-v3.2,,15.1633
Argentina,1958,Archive,CAMS-v3.2,,15.1633
Argentina,1958,Flow,CAMS-v3.2,,15.1633
Argentina,1959,Helm,CAMS-v3.2,,13.0748
Argentina,1959,Shield,CAMS-v3.2,,13.6395
Argentina,1959,Lore,CAMS-v3.2,,13.6395
Argentina,1959,Stewards,CAMS-v3.2,,10.7734
Argentina,1959,Craft,CAMS-v3.2,,13.6395
Argentina,1959,Hands,CAMS-v3.2,,10.7734
Argentina,1959,Archive,CAMS-v3.2,,13.6395
Argentina,1959,Flow,CAMS-v3.2,,11.5453
Argentina,1960,Helm,CAMS-v3.2,,15.1633
Argentina,1960,Shield,CAMS-v3.2,,15.1633
Argentina,1960,Lore,CAMS-v3.2,,15.1633
Argentina,1960,Stewards,CAMS-v3.2,,15.1633
Argentina,1960,Craft,CAMS-v3.2,,15.1633
Argentina,1960,Hands,CAMS-v3.2,,15.1633
Argentina,1960,Archive,CAMS-v3.2,,15.1633
Argentina,1960,Flow,CAMS-v3.2,,15.1633
Argentina,1961,Helm,CAMS-v3.2,,15.1633
Argentina,1961,Shield,CAMS-v3.2,,15.1633
Argentina,1961,Lore,CAMS-v3.2,,15.1633
Argentina,1961,Stewards,CAMS-v3.2,,15.1633
Argentina,1961,Craft,CAMS-v3.2,,15.1633
Argentina,1961,Hands,CAMS-v3.2,,15.1633
Argentina,1961,Archive,CAMS-v3.2,,15.1633
Argentina,1961,Flow,CAMS-v3.2,,15.1633
Argentina,1962,Helm,CAMS-v3.2,,5.4326
Argentina,1962,Shield,CAMS-v3.2,,8.508
Argentina,1962,Lore,CAMS-v3.2,,7.698
Argentina,1962,Stewards,CAMS-v3.2,,7.6331
Argentina,1962,Craft,CAMS-v3.2,,7.8954
Argentina,1962,Hands,CAMS-v3.2,,7.7634
Argentina,1962,Archive,CAMS-v3.2,,7.5685
Argentina,1962,Flow,CAMS-v3.2,,5.6824
Argentina,1963,Helm,CAMS-v3.2,,11.2013
Argentina,1963,Shield,CAMS-v3.2,,12.6651
Argentina,1963,Lore,CAMS-v3.2,,14.2017
Argentina,1963,Stewards,CAMS-v3.2,,13.7168
Argentina,1963,Craft,CAMS-v3.2,,14.2017
Argentina,1963,Hands,CAMS-v3.2,,14.2017
Argentina,1963,Archive,CAMS-v3.2,,14.2017
Argentina,1963,Flow,CAMS-v3.2,,13.7168
Argentina,1964,Helm,CAMS-v3.2,,15.1633
Argentina,1964,Shield,CAMS-v3.2,,15.1633
Argentina,1964,Lore,CAMS-v3.2,,15.1633
Argentina,1964,Stewards,CAMS-v3.2,,15.1633
Argentina,1964,Craft,CAMS-v3.2,,15.1633
Argentina,1964,Hands,CAMS-v3.2,,15.1633
Argentina,1964,Archive,CAMS-v3.2,,15.1633
