Society,Year,Node,Formalism,Node_Value,Bond_Strength
Argentina,1950,Helm,JUNO-1.0,12.2,0.3338
Argentina,1950,Shield,JUNO-1.0,10.5,0.315
Argentina,1950,Lore,JUNO-1.0,11.2,0.3271
Argentina,1950,Stewards,JUNO-1.0,8.5,0.2965
Argentina,1950,Craft,JUNO-1.0,8.5,0.3001
Argentina,1950,Hands,JUNO-1.0,9.9,0.3113
Argentina,1950,Archive,JUNO-1.0,8.5,0.3001
Argentina,1950,Flow,JUNO-1.0,8.5,0.2965
Argentina,1951,Helm,JUNO-1.0,12.2,0.3332
Argentina,1951,Shield,JUNO-1.0,10.5,0.3144
Argentina,1951,Lore,JUNO-1.0,11.2,0.3265
Argentina,1951,Stewards,JUNO-1.0,8.5,0.2959
Argentina,1951,Craft,JUNO-1.0,8.5,0.2995
Argentina,1951,Hands,JUNO-1.0,10.3,0.3107
Argentina,1951,Archive,JUNO-1.0,8.5,0.2995
Argentina,1951,Flow,JUNO-1.0,8.1,0.2924
Argentina,1952,Helm,JUNO-1.0,8.5,0.2403
Argentina,1952,Shield,JUNO-1.0,9.3,0.2526
Argentina,1952,Lore,JUNO-1.0,7.5,0.2429
Argentina,1952,Stewards,JUNO-1.0,7.5,0.2429
Argentina,1952,Craft,JUNO-1.0,7.5,0.2429
Argentina,1952,Hands,JUNO-1.0,6.5,0.2289
Argentina,1952,Archive,JUNO-1.0,7.5,0.2429
Argentina,1952,Flow,JUNO-1.0,5.0,0.2077
Argentina,1953,Helm,JUNO-1.0,7.1,0.2291
Argentina,1953,Shield,JUNO-1.0,8.5,0.2389
Argentina,1953,Lore,JUNO-1.0,7.5,0.2365
Argentina,1953,Stewards,JUNO-1.0,5.8,0.2124
Argentina,1953,Craft,JUNO-1.0,7.5,0.2365
Argentina,1953,Hands,JUNO-1.0,6.2,0.2178
Argentina,1953,Archive,JUNO-1.0,7.5,0.2365
Argentina,1953,Flow,JUNO-1.0,5.0,0.2073
Argentina,1954,Helm,JUNO-1.0,7.1,0.2306
Argentina,1954,Shield,JUNO-1.0,8.1,0.2375
Argentina,1954,Lore,JUNO-1.0,7.5,0.2375
Argentina,1954,Stewards,JUNO-1.0,5.8,0.2158
Argentina,1954,Craft,JUNO-1.0,7.5,0.2375
Argentina,1954,Hands,JUNO-1.0,6.2,0.2187
Argentina,1954,Archive,JUNO-1.0,7.5,0.2375
Argentina,1954,Flow,JUNO-1.0,5.6,0.2132
Argentina,1955,Helm,JUNO-1.0,0.1,0.1105
Argentina,1955,Shield,JUNO-1.0,1.2,0.1165
Argentina,1955,Lore,JUNO-1.0,1.5,0.121
Argentina,1955,Stewards,JUNO-1.0,2.0,0.1236
Argentina,1955,Craft,JUNO-1.0,3.8,0.1407
Argentina,1955,Hands,JUNO-1.0,3.0,0.1343
Argentina,1955,Archive,JUNO-1.0,1.2,0.1179
Argentina,1955,Flow,JUNO-1.0,1.3,0.1174
Argentina,1956,Helm,JUNO-1.0,3.0,0.1665
Argentina,1956,Shield,JUNO-1.0,6.0,0.1877
Argentina,1956,Lore,JUNO-1.0,4.0,0.1768
Argentina,1956,Stewards,JUNO-1.0,5.0,0.1768
Argentina,1956,Craft,JUNO-1.0,6.4,0.1923
Argentina,1956,Hands,JUNO-1.0,4.0,0.1768
Argentina,1956,Archive,JUNO-1.0,4.0,0.1768
Argentina,1956,Flow,JUNO-1.0,4.0,0.1768
Argentina,1957,Helm,JUNO-1.0,5.8,0.2216
Argentina,1957,Shield,JUNO-1.0,6.6,0.228
Argentina,1957,Lore,JUNO-1.0,7.5,0.242
Argentina,1957,Stewards,JUNO-1.0,7.2,0.2378
Argentina,1957,Craft,JUNO-1.0,7.5,0.242
Argentina,1957,Hands,JUNO-1.0,7.5,0.242
Argentina,1957,Archive,JUNO-1.0,7.2,0.2378
Argentina,1957,Flow,JUNO-1.0,7.2,0.2378
Argentina,1958,Helm,JUNO-1.0,7.5,0.25
Argentina,1958,Shield,JUNO-1.0,7.5,0.25
Argentina,1958,Lore,JUNO-1.0,7.5,0.25
Argentina,1958,Stewards,JUNO-1.0,7.5,0.25
Argentina,1958,Craft,JUNO-1.0,7.5,0.25
Argentina,1958,Hands,JUNO-1.0,7.5,0.25
Argentina,1958,Archive,JUNO-1.0,7.5,0.25
Argentina,1958,Flow,JUNO-1.0,7.5,0.25
Argentina,1959,Helm,JUNO-1.0,6.5,0.2186
Argentina,1959,Shield,JUNO-1.0,7.5,0.2319
Argentina,1959,Lore,JUNO-1.0,7.5,0.2319
Argentina,1959,Stewards,JUNO-1.0,4.8,0.1985
Argentina,1959,Craft,JUNO-1.0,7.5,0.2319
Argentina,1959,Hands,JUNO-1.0,4.4,0.1985
