Society,Year,Formalism,System_Bond_Density,System_Bond_Density_0,Decay_Index,Lambda2_Connectivity,Phase,Regime_Label,ESCH_Activation
Argentina,1950,CAMS-v3.2,19.9906,19.9906,0.0,145.0046,,legacy_deprecated,1.45
Argentina,1951,CAMS-v3.2,19.9449,19.9906,0.0023,143.881,,legacy_deprecated,1.45
Argentina,1952,CAMS-v3.2,14.6726,19.9906,0.266,93.7235,,legacy_deprecated,-0.125
Argentina,1953,CAMS-v3.2,13.2891,19.9906,0.3352,88.9639,,legacy_deprecated,-0.275
Argentina,1954,CAMS-v3.2,13.1364,19.9906,0.3429,89.8893,,legacy_deprecated,-0.15
Argentina,1955,CAMS-v3.2,5.5045,19.9906,0.7246,37.9009,,legacy_deprecated,-3.3
Argentina,1956,CAMS-v3.2,9.2575,19.9906,0.5369,69.1375,,legacy_deprecated,-1.625
Argentina,1957,CAMS-v3.2,13.9414,19.9906,0.3026,104.0421,,legacy_deprecated,-0.2
Argentina,1958,CAMS-v3.2,15.1633,19.9906,0.2415,121.3061,,legacy_deprecated,0.0
Argentina,1959,CAMS-v3.2,12.5906,19.9906,0.3702,84.195,,legacy_deprecated,-0.525
Argentina,1960,CAMS-v3.2,15.1633,19.9906,0.2415,121.3061,,legacy_deprecated,0.0
Argentina,1961,CAMS-v3.2,15.1633,19.9906,0.2415,121.3061,,legacy_deprecated,0.0
Argentina,1962,CAMS-v3.2,7.2727,19.9906,0.6362,42.5733,,legacy_deprecated,-3.075
Argentina,1963,CAMS-v3.2,13.5134,19.9906,0.324,89.469,,legacy_deprecated,-0.25
Argentina,1964,CAMS-v3.2,15.1633,19.9906,0.2415,121.3061,,legacy_deprecated,0.0
Argentina,1965,CAMS-v3.2,15.1633,19.9906,0.2415,121.3061,,legacy_deprecated,0.0
Argentina,1966,CAMS-v3.2,12.2611,19.9906,0.3867,80.1208,,legacy_deprecated,-0.65
Argentina,1967,CAMS-v3.2,15.2521,19.9906,0.237,111.5603,,legacy_deprecated,0.0
Argentina,1968,CAMS-v3.2,14.1432,19.9906,0.2925,95.0163,,legacy_deprecated,-0.375
