Society,Year,Formalism,System_Bond_Density,System_Bond_Density_0,Decay_Index,Lambda2_Connectivity,Phase,Regime_Label,ESCH_Activation
Argentina,1950,JUNO-1.0,0.31,0.31,0.0,2.3547,6,High Coherence,1.45
Argentina,1951,JUNO-1.0,0.309,0.31,0.0033,2.3283,6,High Coherence,1.45
Argentina,1952,JUNO-1.0,0.2376,0.31,0.2335,1.6598,4,Moderate Stress,-0.125
Argentina,1953,JUNO-1.0,0.2269,0.31,0.2682,1.6496,4,Moderate Stress,-0.275
Argentina,1954,JUNO-1.0,0.2286,0.31,0.2628,1.6956,4,Moderate Stress,-0.15
Argentina,1955,JUNO-1.0,0.1228,0.31,0.6041,0.8803,1,Systemic Collapse,-3.3
Argentina,1956,JUNO-1.0,0.1788,0.31,0.4232,1.3303,3,Fragmentation,-1.625
Argentina,1957,JUNO-1.0,0.2361,0.31,0.2385,1.7696,4,Moderate Stress,-0.2
Argentina,1958,JUNO-1.0,0.25,0.31,0.1937,2.0,5,Stable Integration,0.0
Argentina,1959,JUNO-1.0,0.2192,0.31,0.2931,1.5634,4,Moderate Stress,-0.525
Argentina,1960,JUNO-1.0,0.25,0.31,0.1937,2.0,5,Stable Integration,0.0
Argentina,1961,JUNO-1.0,0.25,0.31,0.1937,2.0,5,Stable Integration,0.0
Argentina,1962,JUNO-1.0,0.1443,0.31,0.5346,0.9249,1,Systemic Collapse,-3.075
Argentina,1963,JUNO-1.0,0.2308,0.31,0.2555,1.6307,4,Moderate Stress,-0.25
Argentina,1964,JUNO-1.0,0.25,0.31,0.1937,2.0,5,Stable Integration,0.0
Argentina,1965,JUNO-1.0,0.25,0.31,0.1937,2.0,5,Stable Integration,0.0
Argentina,1966,JUNO-1.0,0.2149,0.31,0.3069,1.4675,4,Moderate Stress,-0.65
Argentina,1967,JUNO-1.0,0.248,0.31,0.2001,1.8352,4,Moderate Stress,0.0
Argentina,1968,JUNO-1.0,0.2327,0.31,0.2494,1.6303,4,Moderate Stress,-0.375
Argentina,1969,JUNO-1.0,0.1817,0.31,0.414,1.328,3,Fragmentation,-1.4
Argentina,1970,JUNO-1.0,0.1705,0.31,0.4499,1.2865,3,Fragmentation,-2.225
Argentina,1971,JUNO-1.0,0.1628,0.31,0.475,1.2147,2,Acute Crisis,-2.5
Argentina,1972,JUNO-1.0,0.1315,0.31,0.5758,0.9087,1,Systemic Collapse,-3.4
Argentina,1973,JUNO-1.0,0.2321,0.31,0.2513,1.5418,4,Moderate Stress,-0.475
Argentina,1974,JUNO-1.0,0.1705,0.31,0.45,1.2863,3,Fragmentation,-1.575
Argentina,1975,JUNO-1.0,0.1016,0.31,0.6722,0.724,1,Systemic Collapse,-4.625
Argentina,1976,JUNO-1.0,0.1267,0.31,0.5914,0.7127,1,Systemic Collapse,-3.225
Argentina,1977,JUNO-1.0,0.1399,0.31,0.5488,0.7488,1,Systemic Collapse,-2.875
Argentina,1978,JUNO-1.0,0.1697,0.31,0.4527,0.8562,2,Acute Crisis,-2.05
Argentina,1979,JUNO-1.0,0.1837,0.31,0.4075,0.9288,3,Fragmentation,-1.25
Argentina,1980,JUNO-1.0,0.1849,0.31,0.4035,1.1096,3,Fragmentation,-1.325
Argentina,1981,JUNO-1.0,0.1418,0.31,0.5425,0.9492,1,Systemic Collapse,-2.6
Argentina,1982,JUNO-1.0,0.1021,0.31,0.6706,0.6328,1,Systemic Collapse,-4.425
Argentina,1983,JUNO-1.0,0.1968,0.31,0.3652,1.4001,3,Fragmentation,-1.35
Argentina,1984,JUNO-1.0,0.2555,0.31,0.1758,1.7206,5,Stable Integration,0.375
Argentina,1985,JUNO-1.0,0.2415,0.31,0.2212,1.6292,4,Moderate Stress,0.15
Argentina,1986,JUNO-1.0,0.2641,0.31,0.1481,1.8463,5,Stable Integration,0.475
Argentina,1987,JUNO-1.0,0.2044,0.31,0.3406,1.4291,4,Moderate Stress,-0.75
Argentina,1988,JUNO-1.0,0.1463,0.31,0.528,1.0326,1,Systemic Collapse,-2.1
Argentina,1989,JUNO-1.0,0.0796,0.31,0.7433,0.4403,1,Systemic Collapse,-4.975
Argentina,1990,JUNO-1.0,0.1601,0.31,0.4836,1.1031,2,Acute Crisis,-1.5
