Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
France,1875,Helm,5.0,6.0,6.0,6.0,8.0,19.502
France,1875,Shield,6.0,6.0,5.0,5.0,9.5,21.123
France,1875,Lore,7.0,6.0,3.0,7.0,13.5,27.718
France,1875,Stewards,6.0,7.0,4.0,5.0,11.5,22.058
France,1875,Craft,6.0,6.0,4.0,6.0,11.0,23.381
France,1875,Hands,5.0,5.0,6.0,4.0,6.0,16.974
France,1875,Archive,7.0,6.0,3.0,7.0,13.5,27.718
France,1875,Flow,6.0,6.0,4.0,6.0,11.0,23.381
France,1880,Helm,5.0,6.2,5.0,6.0,9.2,20.739
France,1880,Shield,6.0,6.0,4.0,5.0,10.5,22.455
France,1880,Lore,7.0,7.0,3.0,7.0,14.5,28.238
France,1880,Stewards,6.0,7.0,4.0,5.0,11.5,22.455
France,1880,Craft,6.0,6.0,4.0,6.0,11.0,23.804
France,1880,Hands,5.0,5.0,5.0,4.0,7.0,18.063
France,1880,Archive,7.0,6.0,3.0,7.0,13.5,28.238
France,1880,Flow,6.0,7.0,4.0,6.0,12.0,23.804
France,1885,Helm,5.0,6.0,5.0,6.0,9.0,20.712
France,1885,Shield,6.0,7.0,4.2,5.0,11.3,22.231
France,1885,Lore,7.0,7.0,3.0,7.0,14.5,28.198
France,1885,Stewards,6.0,7.0,4.0,5.0,11.5,22.425
France,1885,Craft,6.0,7.0,4.0,6.0,12.0,23.772
France,1885,Hands,5.0,5.0,5.0,4.0,7.0,18.04
France,1885,Archive,7.0,6.0,3.0,7.0,13.5,28.198
France,1885,Flow,6.0,7.0,4.0,6.0,12.0,23.772
France,1890,Helm,5.0,6.0,6.0,6.0,8.0,18.742
France,1890,Shield,6.0,7.0,4.0,5.0,11.5,21.105
France,1890,Lore,7.0,7.0,3.0,7.0,14.5,26.519
France,1890,Stewards,5.0,7.0,5.0,5.0,9.5,18.325
France,1890,Craft,6.0,7.0,4.0,6.0,12.0,22.403
France,1890,Hands,5.0,5.0,6.0,4.0,6.0,16.259
France,1890,Archive,6.2,6.0,4.0,7.0,11.7,24.001
France,1890,Flow,6.0,7.0,5.0,6.0,11.0,21.47
France,1895,Helm,4.0,5.8,7.0,6.0,5.8,15.048
France,1895,Shield,5.0,6.0,6.0,5.0,7.5,16.263
France,1895,Lore,6.0,7.0,4.0,7.0,12.5,21.896
France,1895,Stewards,5.0,7.0,5.0,5.0,9.5,16.991
France,1895,Craft,6.0,7.0,4.0,6.0,12.0,20.72
France,1895,Hands,5.0,5.0,6.0,4.0,6.0,15.03
France,1895,Archive,6.0,6.0,5.0,7.0,10.5,21.012
France,1895,Flow,6.0,7.0,4.0,6.0,12.0,20.72
France,1900,Helm,6.0,7.0,5.0,7.0,11.5,27.121
France,1900,Shield,6.0,7.0,4.0,5.0,11.5,25.162
France,1900,Lore,7.0,7.0,3.0,8.0,15.0,33.394
France,1900,Stewards,6.0,8.0,3.0,6.0,14.0,27.966
France,1900,Craft,7.0,7.0,3.0,7.0,14.5,31.886
France,1900,Hands,5.0,6.0,5.0,5.0,8.5,21.794
France,1900,Archive,7.0,7.0,3.0,7.0,14.5,31.886
France,1900,Flow,7.0,8.0,3.0,7.0,15.5,31.886
France,1905,Helm,6.0,7.0,5.0,7.0,11.5,26.804
France,1905,Shield,6.0,7.0,5.0,6.0,11.0,25.316
France,1905,Lore,7.0,7.0,4.0,8.0,14.0,31.646
France,1905,Stewards,6.0,7.0,4.0,6.0,12.0,26.446
France,1905,Craft,7.0,7.0,3.0,7.0,14.5,31.478
France,1905,Hands,5.0,6.0,5.0,5.0,8.5,21.53
France,1905,Archive,7.0,7.0,3.0,7.0,14.5,31.478
France,1905,Flow,7.0,7.0,3.0,7.0,14.5,31.478
France,1910,Helm,6.0,7.0,5.0,7.0,11.5,25.668
France,1910,Shield,6.0,7.0,5.0,6.0,11.0,24.313
France,1910,Lore,7.0,7.0,3.0,7.0,14.5,30.184
France,1910,Stewards,6.0,7.0,4.0,6.0,12.0,25.391
France,1910,Craft,7.0,7.0,4.0,6.0,13.0,27.552
