Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Japan,1875,Helm,7.0,6.0,4.2,7.0,12.3,20.818
Japan,1875,Shield,5.0,4.0,5.2,5.0,6.3,15.146
Japan,1875,Lore,5.0,5.0,4.2,7.0,9.3,17.94
Japan,1875,Stewards,4.8,3.8,4.2,4.8,6.8,15.266
Japan,1875,Craft,4.8,3.8,4.2,4.8,6.8,15.266
Japan,1875,Hands,3.0,4.0,7.2,2.8,1.2,8.521
Japan,1875,Archive,5.0,4.8,4.2,6.0,8.6,16.912
Japan,1875,Flow,3.8,4.0,5.2,3.8,4.5,11.899
Japan,1880,Helm,7.0,6.0,4.2,7.0,12.3,22.579
Japan,1880,Shield,6.0,5.0,4.2,5.0,9.3,18.779
Japan,1880,Lore,6.0,6.0,3.2,7.0,12.3,21.846
Japan,1880,Stewards,4.8,4.8,4.2,4.8,7.8,16.474
Japan,1880,Craft,4.8,4.8,4.2,4.8,7.8,16.474
Japan,1880,Hands,3.0,4.0,7.2,2.8,1.2,9.165
Japan,1880,Archive,6.0,4.8,3.2,6.0,10.6,20.755
Japan,1880,Flow,3.8,5.0,5.2,3.8,5.5,12.808
Japan,1885,Helm,7.2,7.0,3.0,7.0,14.7,27.701
Japan,1885,Shield,6.0,6.0,3.0,5.0,11.5,22.726
Japan,1885,Lore,6.2,6.0,3.0,7.0,12.7,25.692
Japan,1885,Stewards,5.8,4.8,3.0,5.0,10.1,22.304
Japan,1885,Craft,5.8,4.8,3.0,5.0,10.1,22.304
Japan,1885,Hands,4.0,4.0,7.0,2.8,2.4,12.548
Japan,1885,Archive,6.2,5.8,3.0,7.0,12.5,25.692
Japan,1885,Flow,4.8,5.0,4.0,4.0,7.8,17.903
Japan,1890,Helm,7.2,7.0,3.0,7.2,14.8,30.026
Japan,1890,Shield,6.0,6.0,3.0,6.0,12.0,25.784
Japan,1890,Lore,7.2,7.0,3.0,8.2,15.3,31.271
Japan,1890,Stewards,6.0,6.0,3.0,5.0,11.5,24.352
Japan,1890,Craft,6.0,6.0,3.0,5.0,11.5,24.352
Japan,1890,Hands,4.0,5.0,6.0,2.8,4.4,14.023
Japan,1890,Archive,7.2,6.0,3.0,7.2,13.8,30.026
Japan,1890,Flow,5.0,5.0,4.0,4.0,8.0,19.605
Japan,1895,Helm,8.2,8.0,2.8,7.2,17.0,34.516
Japan,1895,Shield,7.0,7.0,2.8,6.0,14.2,30.081
Japan,1895,Lore,7.2,7.0,2.8,8.2,15.5,33.485
Japan,1895,Stewards,6.0,6.0,2.8,5.0,11.7,26.147
Japan,1895,Craft,6.0,6.0,2.8,5.0,11.7,26.147
Japan,1895,Hands,4.0,5.0,5.8,2.8,4.6,15.05
Japan,1895,Archive,7.2,7.0,2.8,7.2,15.0,32.207
Japan,1895,Flow,6.0,6.0,2.8,4.0,11.2,24.592
Japan,1900,Helm,7.2,7.0,2.8,7.2,15.0,33.252
Japan,1900,Shield,7.0,7.0,2.8,6.0,14.2,31.016
Japan,1900,Lore,7.2,7.0,2.8,8.2,15.5,34.611
Japan,1900,Stewards,7.0,7.0,2.8,5.0,13.7,29.467
Japan,1900,Craft,7.0,6.0,2.8,5.0,12.7,29.467
Japan,1900,Hands,4.0,5.0,5.8,3.8,5.1,16.998
Japan,1900,Archive,7.2,7.0,2.8,7.2,15.0,33.252
Japan,1900,Flow,6.0,6.0,2.8,5.0,11.7,26.938
Japan,1905,Helm,8.2,8.0,2.8,7.2,17.0,37.841
Japan,1905,Shield,8.0,8.2,2.8,7.0,16.9,37.038
Japan,1905,Lore,8.2,7.0,2.8,8.2,16.5,39.286
Japan,1905,Stewards,7.0,7.0,2.8,6.0,14.2,32.895
Japan,1905,Craft,7.0,7.0,2.8,5.0,13.7,31.259
Japan,1905,Hands,4.0,5.0,5.8,3.8,5.1,17.95
Japan,1905,Archive,7.2,7.0,2.8,7.2,15.0,35.273
