Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Sweden,1875,Helm,7.0,6.0,3.0,5.0,12.5,26.502
Sweden,1875,Shield,6.6,5.0,2.0,3.0,11.1,24.355
Sweden,1875,Lore,8.0,6.2,2.0,5.2,14.8,30.324
Sweden,1875,Stewards,6.6,6.0,3.0,4.0,11.6,24.458
Sweden,1875,Craft,6.0,5.0,3.0,4.0,10.0,22.92
Sweden,1875,Hands,5.0,4.0,4.4,3.0,6.1,17.957
Sweden,1875,Archive,7.0,6.0,2.0,5.0,13.5,27.636
Sweden,1875,Flow,6.0,5.0,3.0,4.0,10.0,22.92
Sweden,1880,Helm,7.0,6.0,3.0,5.0,12.5,26.382
Sweden,1880,Shield,6.6,5.0,2.0,3.0,11.1,24.238
Sweden,1880,Lore,7.8,6.2,2.0,5.2,14.6,29.698
Sweden,1880,Stewards,6.6,6.0,3.0,4.0,11.6,24.345
Sweden,1880,Craft,6.0,6.0,3.0,4.0,11.0,22.817
Sweden,1880,Hands,5.0,4.0,4.6,3.0,5.9,17.716
Sweden,1880,Archive,7.0,6.0,2.0,5.0,13.5,27.51
Sweden,1880,Flow,6.0,5.0,3.0,4.0,10.0,22.817
Sweden,1885,Helm,7.0,6.0,3.0,5.0,12.5,26.56
Sweden,1885,Shield,6.6,5.0,2.0,3.0,11.1,24.414
Sweden,1885,Lore,7.8,6.4,2.0,5.2,14.8,29.907
Sweden,1885,Stewards,6.6,6.0,3.0,4.0,11.6,24.513
Sweden,1885,Craft,6.2,6.0,3.0,4.0,11.2,23.489
Sweden,1885,Hands,5.0,4.0,4.6,3.0,5.9,17.834
Sweden,1885,Archive,7.0,6.0,2.0,5.0,13.5,27.697
Sweden,1885,Flow,6.2,5.8,3.0,4.0,11.0,23.489
Sweden,1890,Helm,7.0,6.0,3.0,5.0,12.5,27.425
Sweden,1890,Shield,6.6,5.0,2.0,3.0,11.1,25.254
Sweden,1890,Lore,7.8,6.4,2.0,5.4,14.9,31.118
Sweden,1890,Stewards,6.6,6.2,3.0,4.0,11.8,25.322
Sweden,1890,Craft,7.0,6.0,3.0,4.0,12.0,26.372
Sweden,1890,Hands,5.2,5.0,4.4,3.0,7.3,19.104
Sweden,1890,Archive,7.0,6.0,2.0,5.0,13.5,28.606
Sweden,1890,Flow,7.0,6.0,3.0,4.0,12.0,26.372
Sweden,1895,Helm,7.0,6.0,3.0,5.0,12.5,27.189
Sweden,1895,Shield,6.6,5.0,2.0,3.0,11.1,25.041
Sweden,1895,Lore,7.8,6.6,3.0,5.4,14.1,29.601
Sweden,1895,Stewards,6.6,6.2,3.0,4.0,11.8,25.107
Sweden,1895,Craft,7.0,6.0,3.0,4.0,12.0,26.147
Sweden,1895,Hands,5.2,5.0,4.4,3.0,7.3,18.949
Sweden,1895,Archive,7.0,6.0,2.0,5.0,13.5,28.358
Sweden,1895,Flow,7.0,6.0,3.0,4.0,12.0,26.147
Sweden,1900,Helm,7.0,7.0,3.0,5.0,13.5,28.178
Sweden,1900,Shield,7.0,6.0,2.0,3.0,12.5,26.983
Sweden,1900,Lore,7.4,6.6,2.2,5.4,14.5,30.667
Sweden,1900,Stewards,7.0,7.0,3.0,5.0,13.5,28.178
Sweden,1900,Craft,7.0,7.0,3.0,4.0,13.0,27.054
Sweden,1900,Hands,6.0,5.0,5.0,3.0,7.5,21.154
Sweden,1900,Archive,7.0,6.6,2.0,5.0,14.1,29.398
Sweden,1900,Flow,7.0,7.0,3.0,4.8,13.4,27.96
Sweden,1905,Helm,6.0,6.0,5.0,5.0,9.5,21.476
Sweden,1905,Shield,7.0,6.0,3.0,3.0,11.5,23.712
Sweden,1905,Lore,7.0,6.6,2.8,5.4,13.5,26.481
Sweden,1905,Stewards,6.0,6.2,4.0,4.2,10.3,21.633
Sweden,1905,Craft,7.0,7.0,3.0,4.0,13.0,24.833
Sweden,1905,Hands,6.0,5.0,5.0,3.0,7.5,19.465
Sweden,1905,Archive,7.0,6.2,3.0,5.0,12.7,25.87
Sweden,1905,Flow,7.0,7.0,3.0,4.8,13.4,25.67
Sweden,1910,Helm,6.0,6.0,5.0,5.0,9.5,20.723
Sweden,1910,Shield,7.0,6.0,3.0,3.0,11.5,22.812
Sweden,1910,Lore,7.0,6.6,3.0,5.4,13.3,25.301
Sweden,1910,Stewards,6.0,7.0,4.0,4.2,11.1,20.86
Sweden,1910,Craft,7.0,7.0,4.0,4.0,12.0,22.918
Sweden,1910,Hands,5.0,5.0,6.2,3.0,5.3,15.599
Sweden,1910,Archive,7.0,6.4,3.0,5.0,12.9,24.92
Sweden,1910,Flow,7.0,7.0,3.8,4.8,12.6,23.909
Sweden,1915,Helm,6.0,5.8,6.0,5.0,8.3,18.45
Sweden,1915,Shield,7.0,6.0,4.8,3.0,9.7,19.604
Sweden,1915,Lore,7.0,6.0,3.0,5.4,12.7,23.451
Sweden,1915,Stewards,6.0,6.0,4.8,4.2,9.3,18.727
Sweden,1915,Craft,7.0,6.0,4.0,4.0,11.0,21.262
Sweden,1915,Hands,5.0,4.0,6.2,3.0,4.3,14.53
Sweden,1915,Archive,7.0,6.0,3.0,5.0,12.5,23.101
Sweden,1915,Flow,5.4,5.0,6.2,4.0,6.2,16.251
Sweden,1920,Helm,6.6,6.0,4.0,6.0,11.6,26.138
Sweden,1920,Shield,7.0,6.0,3.0,3.0,11.5,24.667
Sweden,1920,Lore,7.0,6.2,3.0,5.8,13.1,28.046
Sweden,1920,Stewards,6.0,6.0,4.0,4.2,10.1,22.662
Sweden,1920,Craft,7.0,7.0,3.0,5.0,13.5,27.148
Sweden,1920,Hands,6.0,6.0,4.0,4.0,10.0,22.424
Sweden,1920,Archive,7.0,6.0,3.0,5.0,12.5,27.148
Sweden,1920,Flow,7.0,7.0,3.0,5.0,13.5,27.148
Sweden,1925,Helm,7.0,7.0,3.0,6.0,14.0,30.823
Sweden,1925,Shield,7.0,6.0,2.0,3.0,12.5,28.114
Sweden,1925,Lore,7.0,7.0,2.0,6.0,15.0,32.153
Sweden,1925,Stewards,7.0,7.0,3.0,5.0,13.5,29.607
Sweden,1925,Craft,7.0,7.0,3.0,5.0,13.5,29.607
Sweden,1925,Hands,7.0,6.0,3.0,4.0,12.0,28.307
Sweden,1925,Archive,7.0,7.0,2.0,5.0,14.5,30.9
Sweden,1925,Flow,7.0,7.0,3.0,5.0,13.5,29.607
Sweden,1930,Helm,6.6,6.0,5.0,6.0,10.6,23.242
Sweden,1930,Shield,7.0,6.0,3.0,3.0,11.5,22.787
Sweden,1930,Lore,7.0,6.2,4.0,6.0,12.2,25.114
Sweden,1930,Stewards,6.0,6.0,5.0,5.0,9.5,20.963
Sweden,1930,Craft,7.0,6.0,4.0,5.0,11.5,24.099
Sweden,1930,Hands,5.8,5.0,6.0,4.0,6.8,18.626
Sweden,1930,Archive,7.0,6.0,3.0,5.0,12.5,25.131
Sweden,1930,Flow,6.0,5.2,5.8,4.4,7.6,19.637
Sweden,1935,Helm,8.0,7.0,3.0,6.0,15.0,34.109
Sweden,1935,Shield,7.0,6.8,2.0,3.0,13.3,28.679
Sweden,1935,Lore,7.2,7.0,2.0,6.0,15.2,33.298
Sweden,1935,Stewards,7.0,7.0,3.0,5.0,13.5,30.145
Sweden,1935,Craft,7.0,7.0,3.0,5.0,13.5,30.145
Sweden,1935,Hands,7.0,7.0,3.0,4.0,13.0,28.845
Sweden,1935,Archive,7.0,7.0,2.0,5.0,14.5,31.466
Sweden,1935,Flow,7.0,7.0,3.0,5.0,13.5,30.145
Sweden,1940,Helm,6.8,6.0,7.0,6.0,8.8,21.479
Sweden,1940,Shield,7.0,7.0,5.8,4.0,10.2,21.104
Sweden,1940,Lore,7.0,6.0,5.0,6.0,11.0,23.808
Sweden,1940,Stewards,7.0,7.0,5.0,5.0,11.5,22.861
Sweden,1940,Craft,7.0,7.0,5.0,5.0,11.5,22.861
Sweden,1940,Hands,7.0,6.0,5.0,4.0,10.0,21.844
Sweden,1940,Archive,7.0,6.0,4.0,5.0,11.5,23.849
Sweden,1940,Flow,6.0,6.0,6.0,4.0,8.0,18.866
Sweden,1945,Helm,8.2,8.0,2.0,7.0,17.7,45.21
Sweden,1945,Shield,7.8,7.0,2.0,4.0,14.8,38.81
Sweden,1945,Lore,8.0,8.0,2.0,7.0,17.5,44.539
Sweden,1945,Stewards,8.0,8.0,2.0,6.0,17.0,42.948
Sweden,1945,Craft,8.0,8.0,2.0,6.0,17.0,42.948
Sweden,1945,Hands,8.0,7.0,2.0,5.0,15.5,41.264
Sweden,1945,Archive,8.0,8.0,2.0,6.0,17.0,42.948
Sweden,1945,Flow,8.0,8.0,2.0,6.0,17.0,42.948
Sweden,1950,Helm,8.2,8.0,2.0,7.0,17.7,44.997
Sweden,1950,Shield,8.0,7.0,2.0,4.0,15.0,39.411
Sweden,1950,Lore,8.0,8.0,2.0,7.0,17.5,44.324
Sweden,1950,Stewards,8.0,8.0,2.0,6.0,17.0,42.78
Sweden,1950,Craft,8.0,8.0,2.0,5.0,16.5,41.142
Sweden,1950,Hands,8.0,8.0,2.0,5.0,16.5,41.142
Sweden,1950,Archive,8.0,8.0,2.0,6.0,17.0,42.78
Sweden,1950,Flow,8.0,8.6,2.0,6.0,17.6,42.78
Sweden,1955,Helm,8.2,8.0,2.0,7.0,17.7,44.997
Sweden,1955,Shield,8.0,7.0,2.0,4.0,15.0,39.411
Sweden,1955,Lore,8.0,8.0,2.0,7.0,17.5,44.324
Sweden,1955,Stewards,8.0,8.0,2.0,6.0,17.0,42.78
Sweden,1955,Craft,8.0,8.0,2.0,5.0,16.5,41.142
Sweden,1955,Hands,8.0,8.0,2.0,5.0,16.5,41.142
Sweden,1955,Archive,8.0,8.0,2.0,6.0,17.0,42.78
Sweden,1955,Flow,8.0,8.6,2.0,6.0,17.6,42.78
Sweden,1960,Helm,8.4,9.0,2.0,7.0,18.9,46.111
Sweden,1960,Shield,8.0,8.0,2.0,5.0,16.5,41.489
Sweden,1960,Lore,8.0,9.0,2.0,7.0,18.5,44.764
Sweden,1960,Stewards,8.0,9.0,2.0,6.0,18.0,43.173
Sweden,1960,Craft,8.0,9.0,2.0,5.0,17.5,41.489
Sweden,1960,Hands,8.0,8.4,2.0,5.0,16.9,41.489
Sweden,1960,Archive,8.0,8.0,2.0,6.0,17.0,43.173
Sweden,1960,Flow,8.0,9.0,2.0,6.0,18.0,43.173
Sweden,1965,Helm,8.0,9.0,2.0,7.0,18.5,44.539
Sweden,1965,Shield,8.0,8.0,2.0,5.0,16.5,41.264
Sweden,1965,Lore,8.0,8.8,2.0,7.0,18.3,44.539
Sweden,1965,Stewards,8.0,8.6,2.0,6.0,17.6,42.948
Sweden,1965,Craft,8.0,9.0,2.0,5.0,17.5,41.264
Sweden,1965,Hands,8.0,8.0,2.0,5.0,16.5,41.264
Sweden,1965,Archive,8.0,8.0,2.0,6.0,17.0,42.948
Sweden,1965,Flow,8.0,9.0,2.0,6.0,18.0,42.948
Sweden,1970,Helm,7.6,9.0,3.0,7.0,17.1,39.73
Sweden,1970,Shield,8.0,8.0,2.0,5.0,16.5,39.613
Sweden,1970,Lore,8.0,8.0,3.0,7.0,16.5,40.981
Sweden,1970,Stewards,8.0,8.2,3.0,6.0,16.2,39.504
Sweden,1970,Craft,8.0,8.0,3.0,5.0,15.5,37.944
Sweden,1970,Hands,8.0,8.0,3.0,5.0,15.5,37.944
Sweden,1970,Archive,8.0,8.0,2.0,6.0,17.0,41.229
Sweden,1970,Flow,8.0,9.0,2.0,6.0,18.0,41.229
Sweden,1975,Helm,7.0,7.0,5.0,7.0,12.5,28.843
Sweden,1975,Shield,7.0,7.0,3.0,5.0,13.5,28.739
Sweden,1975,Lore,7.0,7.6,4.0,7.0,14.1,30.093
Sweden,1975,Stewards,7.0,7.0,5.0,6.0,12.0,27.637
Sweden,1975,Craft,7.0,7.0,4.0,5.0,12.5,27.531
Sweden,1975,Hands,7.0,6.8,5.0,5.0,11.3,26.363
Sweden,1975,Archive,7.8,7.0,3.0,6.0,14.8,32.067
Sweden,1975,Flow,7.0,7.0,5.0,5.0,11.5,26.363
Sweden,1980,Helm,6.0,6.8,6.0,7.0,10.3,22.798
Sweden,1980,Shield,7.0,7.0,4.0,5.0,12.5,24.502
Sweden,1980,Lore,7.0,7.0,4.0,7.0,13.5,26.92
Sweden,1980,Stewards,6.0,6.4,6.0,6.0,9.4,21.695
Sweden,1980,Craft,7.0,6.2,5.0,5.0,10.7,23.482
Sweden,1980,Hands,6.0,6.0,6.0,5.0,8.5,20.53
Sweden,1980,Archive,7.0,7.0,4.0,6.0,13.0,25.749
Sweden,1980,Flow,6.2,6.8,6.0,5.0,9.5,20.931
Sweden,1985,Helm,5.0,5.8,7.0,7.0,7.3,18.937
Sweden,1985,Shield,7.0,7.0,5.0,5.0,11.5,22.232
Sweden,1985,Lore,6.0,7.0,5.0,7.0,11.5,22.626
Sweden,1985,Stewards,6.0,6.8,6.0,6.0,9.8,20.619
Sweden,1985,Craft,7.0,7.0,5.0,5.0,11.5,22.232
Sweden,1985,Hands,6.0,6.0,6.0,5.0,8.5,19.487
Sweden,1985,Archive,7.0,7.0,5.0,6.0,12.0,23.403
Sweden,1985,Flow,6.2,7.0,5.0,5.0,10.7,20.737
Sweden,1990,Helm,4.6,5.0,8.0,7.0,5.1,14.868
Sweden,1990,Shield,7.0,7.0,5.8,5.0,10.7,17.805
Sweden,1990,Lore,6.0,6.0,6.0,7.0,9.5,18.272
Sweden,1990,Stewards,4.6,5.0,8.0,6.0,4.6,13.962
Sweden,1990,Craft,6.0,6.0,7.0,5.0,7.5,15.606
Sweden,1990,Hands,5.0,5.0,8.0,5.0,4.5,13.576
Sweden,1990,Archive,6.0,6.0,5.8,6.0,9.2,17.455
Sweden,1990,Flow,5.0,5.0,8.0,5.0,4.5,13.576
Sweden,1995,Helm,6.0,6.2,6.0,7.0,9.7,23.919
Sweden,1995,Shield,7.0,7.0,4.0,5.0,12.5,25.747
Sweden,1995,Lore,7.0,7.0,4.0,7.0,13.5,28.292
Sweden,1995,Stewards,6.2,6.4,5.6,6.0,10.0,23.592
Sweden,1995,Craft,7.0,7.0,4.0,5.0,12.5,25.747
Sweden,1995,Hands,6.0,6.0,5.0,5.0,9.5,22.508
Sweden,1995,Archive,7.0,7.0,4.0,6.0,13.0,27.058
Sweden,1995,Flow,7.0,7.2,4.0,5.6,13.0,26.543
Sweden,2000,Helm,7.0,7.0,4.0,7.0,13.5,31.277
Sweden,2000,Shield,7.0,7.0,3.0,5.0,13.5,29.776
Sweden,2000,Lore,7.0,7.6,3.2,7.0,14.9,32.354
Sweden,2000,Stewards,7.0,7.4,4.0,6.0,13.4,29.936
Sweden,2000,Craft,7.0,7.4,3.8,5.0,13.1,28.766
Sweden,2000,Hands,7.0,7.0,4.0,5.0,12.5,28.518
Sweden,2000,Archive,7.0,7.4,3.0,6.0,14.4,31.244
Sweden,2000,Flow,7.2,8.0,3.6,6.0,14.6,30.957
Sweden,2005,Helm,7.0,7.0,4.0,7.0,13.5,30.287
Sweden,2005,Shield,7.0,7.0,3.0,5.0,13.5,28.792
Sweden,2005,Lore,7.0,7.2,4.0,7.0,13.7,30.287
Sweden,2005,Stewards,7.0,7.6,4.0,6.0,13.6,28.973
Sweden,2005,Craft,7.0,7.8,4.0,5.0,13.3,27.581
Sweden,2005,Hands,6.0,6.0,5.0,5.0,9.5,24.058
Sweden,2005,Archive,7.0,7.0,3.0,6.0,14.0,30.232
Sweden,2005,Flow,7.0,8.0,4.0,6.0,14.0,28.973
Sweden,2010,Helm,6.0,7.0,5.0,7.0,11.5,25.283
Sweden,2010,Shield,7.0,7.0,4.0,5.0,12.5,26.024
Sweden,2010,Lore,6.0,7.0,5.0,7.0,11.5,25.283
Sweden,2010,Stewards,7.0,7.0,5.0,6.0,12.0,26.228
Sweden,2010,Craft,7.0,7.0,4.0,5.0,12.5,26.024
Sweden,2010,Hands,6.0,6.0,5.0,5.0,9.5,22.756
Sweden,2010,Archive,7.0,7.0,3.0,6.0,14.0,28.545
Sweden,2010,Flow,7.0,8.0,4.0,6.0,14.0,27.368
Sweden,2015,Helm,5.0,5.8,7.0,7.0,7.3,17.49
Sweden,2015,Shield,6.0,6.0,6.8,5.0,7.7,17.235
Sweden,2015,Lore,5.0,6.0,7.0,7.0,7.5,17.49
Sweden,2015,Stewards,6.0,6.0,7.0,6.0,8.0,18.129
Sweden,2015,Craft,7.0,7.0,5.0,5.0,11.5,20.26
Sweden,2015,Hands,5.0,5.0,7.0,5.0,5.5,15.462
Sweden,2015,Archive,6.0,6.0,5.0,6.0,10.0,19.739
Sweden,2015,Flow,7.0,7.0,5.0,5.0,11.5,20.26
Sweden,2020,Helm,5.0,5.8,7.0,7.0,7.3,16.386
