Society,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max
Canada,1850,Helm,0.45,0.0,0.45,0.0,2.0,3.0,5.0
Canada,1850,Shield,0.45,0.0,0.55,0.0,2.0,2.5,4.5
Canada,1850,Lore,0.0,0.0,0.45,0.0,1.0,6.5,7.5
Canada,1850,Stewards,0.0,0.0,0.0,0.55,0.5,8.0,8.5
Canada,1850,Craft,0.45,0.0,0.45,0.0,2.0,6.0,8.0
Canada,1850,Hands,0.45,0.0,0.45,0.0,2.0,2.5,4.5
Canada,1850,Archive,0.0,0.0,0.45,0.0,1.0,6.0,7.0
Canada,1850,Flow,0.0,0.0,0.45,0.0,1.0,7.0,8.0
Canada,1860,Helm,0.0,0.0,0.45,0.0,1.0,2.0,3.0
Canada,1860,Shield,0.0,0.0,0.45,0.0,1.0,2.5,3.5
Canada,1860,Lore,0.0,0.0,0.45,0.0,1.0,7.5,8.5
Canada,1860,Stewards,0.0,0.0,0.0,0.0,0.0,9.0,9.0
Canada,1860,Craft,0.0,0.0,0.45,0.0,1.0,7.0,8.0
Canada,1860,Hands,0.45,0.0,0.45,0.0,2.0,2.5,4.5
Canada,1860,Archive,0.0,0.0,0.55,0.0,1.0,6.0,7.0
Canada,1860,Flow,0.0,0.0,0.45,0.0,1.0,8.0,9.0
Canada,1867,Helm,0.0,0.0,0.45,0.0,1.0,9.0,10.0
Canada,1867,Shield,0.0,0.0,0.0,0.0,0.0,7.0,7.0
Canada,1867,Lore,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Canada,1867,Stewards,0.0,0.0,0.45,0.0,1.0,10.5,11.5
Canada,1867,Craft,0.0,0.0,0.0,0.0,0.0,8.5,8.5
Canada,1867,Hands,0.0,0.0,0.0,0.0,0.0,6.0,6.0
Canada,1867,Archive,0.0,0.0,0.0,0.45,0.5,10.5,11.0
Canada,1867,Flow,0.0,0.0,0.55,0.0,1.0,10.5,11.5
Canada,1870,Helm,0.45,0.0,0.45,0.0,2.0,4.5,6.5
Canada,1870,Shield,0.0,0.0,0.45,0.0,1.0,4.0,5.0
Canada,1870,Lore,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Canada,1870,Stewards,0.0,0.0,0.0,0.0,0.0,8.0,8.0
Canada,1870,Craft,0.0,0.0,0.0,0.0,0.0,7.0,7.0
Canada,1870,Hands,0.0,0.0,0.45,0.0,1.0,2.5,3.5
Canada,1870,Archive,0.0,0.0,0.0,0.0,0.0,8.5,8.5
Canada,1870,Flow,0.0,0.0,0.0,0.0,0.0,7.0,7.0
Canada,1880,Helm,0.0,0.0,0.45,0.45,1.5,9.5,11.0
Canada,1880,Shield,0.0,0.0,0.0,0.0,0.0,8.0,8.0
Canada,1880,Lore,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Canada,1880,Stewards,0.0,0.0,0.0,0.0,0.0,11.5,11.5
Canada,1880,Craft,0.0,0.0,0.45,0.0,1.0,9.5,10.5
Canada,1880,Hands,0.0,0.0,0.0,0.0,0.0,7.0,7.0
Canada,1880,Archive,0.0,0.0,0.0,0.0,0.0,11.0,11.0
Canada,1880,Flow,0.0,0.0,0.0,0.0,0.0,11.5,11.5
Canada,1885,Helm,0.45,0.0,0.55,0.0,2.0,5.5,7.5
Canada,1885,Shield,0.0,0.0,0.0,0.0,0.0,6.0,6.0
Canada,1885,Lore,0.0,0.0,0.0,0.0,0.0,9.0,9.0
Canada,1885,Stewards,0.0,0.0,0.45,0.0,1.0,10.5,11.5
Canada,1885,Craft,0.0,0.0,0.0,0.0,0.0,9.5,9.5
Canada,1885,Hands,0.0,0.45,0.55,0.0,2.0,2.5,4.5
Canada,1885,Archive,0.0,0.0,0.0,0.0,0.0,7.5,7.5
Canada,1885,Flow,0.0,0.0,0.55,0.0,1.0,10.5,11.5
Canada,1900,Helm,0.0,0.0,0.0,0.0,0.0,14.0,14.0
Canada,1900,Shield,0.0,0.0,0.0,0.0,0.0,10.5,10.5
Canada,1900,Lore,0.0,0.0,0.0,0.0,0.0,12.0,12.0
Canada,1900,Stewards,0.0,0.0,0.0,0.0,0.0,14.0,14.0
Canada,1900,Craft,0.0,0.0,0.0,0.0,0.0,11.5,11.5
Canada,1900,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Canada,1900,Archive,0.0,0.0,0.0,0.0,0.0,13.0,13.0
Canada,1900,Flow,0.0,0.0,0.0,0.0,0.0,14.0,14.0
Canada,1910,Helm,0.0,0.0,0.0,0.45,0.5,13.0,13.5
Canada,1910,Shield,0.0,0.0,0.45,0.0,1.0,7.5,8.5
Canada,1910,Lore,0.0,0.0,0.0,0.45,0.5,12.0,12.5
Canada,1910,Stewards,0.0,0.0,0.0,0.0,0.0,15.0,15.0
Canada,1910,Craft,0.45,0.0,0.0,0.0,1.0,12.5,13.5
Canada,1910,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Canada,1910,Archive,0.0,0.0,0.0,0.45,0.5,13.0,13.5
Canada,1910,Flow,0.0,0.0,0.0,0.0,0.0,15.0,15.0
Canada,1914,Helm,0.0,0.0,0.0,0.45,0.5,8.5,9.0
