Society,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max
China,1800,Helm,0.45,0.71,0.55,0.45,4.0,9.5,13.5
China,1800,Shield,0.55,0.55,0.55,0.55,2.0,8.0,10.0
China,1800,Lore,0.71,0.71,0.45,0.45,2.5,13.0,15.5
China,1800,Stewards,0.55,0.55,0.45,0.0,1.0,11.5,12.5
China,1800,Craft,0.45,0.45,0.84,0.45,2.0,7.5,9.5
China,1800,Hands,0.45,0.84,0.45,0.84,3.0,4.0,7.0
China,1800,Archive,0.45,0.55,0.45,0.45,2.0,12.0,14.0
China,1800,Flow,0.55,0.55,0.71,0.84,4.5,7.5,12.0
China,1801,Helm,1.0,0.45,0.45,0.89,2.0,10.0,12.0
China,1801,Shield,0.84,0.45,0.55,0.0,2.0,7.5,9.5
China,1801,Lore,0.45,0.45,1.0,0.55,4.0,12.0,16.0
China,1801,Stewards,0.84,0.0,0.55,0.55,2.5,9.0,11.5
China,1801,Craft,0.45,0.0,0.45,0.55,1.5,8.5,10.0
China,1801,Hands,0.84,0.55,0.0,0.0,3.0,4.5,7.5
China,1801,Archive,0.45,0.55,0.55,0.71,2.5,11.0,13.5
China,1801,Flow,0.71,0.71,1.0,0.55,3.0,7.5,10.5
China,1802,Helm,0.55,0.45,0.45,0.45,1.5,10.0,11.5
China,1802,Shield,0.45,0.55,0.84,0.55,3.5,6.5,10.0
China,1802,Lore,0.55,0.55,0.45,0.84,1.5,14.5,16.0
China,1802,Stewards,0.45,0.45,0.45,0.55,2.5,8.5,11.0
China,1802,Craft,0.45,0.45,0.0,0.45,2.0,7.5,9.5
China,1802,Hands,0.45,0.55,0.45,0.45,1.5,6.5,8.0
China,1802,Archive,0.71,0.55,0.71,0.84,2.5,11.5,14.0
China,1802,Flow,0.71,0.45,0.55,0.0,3.0,8.5,11.5
China,1803,Helm,0.71,0.55,0.45,0.55,2.5,11.0,13.5
China,1803,Shield,0.84,0.84,0.84,0.45,4.0,6.5,10.5
China,1803,Lore,0.45,0.55,0.84,0.55,4.0,12.0,16.0
China,1803,Stewards,0.55,0.0,0.45,0.84,3.0,9.0,12.0
China,1803,Craft,0.45,0.45,0.45,0.0,2.0,7.5,9.5
China,1803,Hands,0.45,0.84,0.45,0.45,3.0,4.5,7.5
China,1803,Archive,0.55,0.45,0.45,0.71,2.5,12.5,15.0
China,1803,Flow,0.0,0.71,0.45,0.55,2.5,8.5,11.0
China,1804,Helm,0.55,0.0,0.45,0.45,1.5,10.0,11.5
China,1804,Shield,0.45,0.45,0.71,0.0,2.0,7.5,9.5
China,1804,Lore,0.0,0.55,0.55,0.71,3.0,12.5,15.5
China,1804,Stewards,0.45,0.71,0.55,1.0,4.0,9.0,13.0
China,1804,Craft,0.45,0.0,0.84,0.71,2.5,7.5,10.0
China,1804,Hands,0.71,0.0,0.45,0.45,2.0,5.5,7.5
China,1804,Archive,0.71,0.84,0.0,0.0,1.0,13.0,14.0
China,1804,Flow,0.71,0.0,0.45,0.0,1.0,8.5,9.5
China,1805,Helm,0.71,0.45,0.84,0.45,3.0,9.5,12.5
China,1805,Shield,0.45,0.0,0.45,0.45,1.0,7.5,8.5
China,1805,Lore,0.0,0.71,0.55,0.71,3.0,13.0,16.0
China,1805,Stewards,0.45,0.45,0.55,0.45,1.0,10.5,11.5
China,1805,Craft,0.55,0.84,0.0,0.71,2.5,8.0,10.5
China,1805,Hands,0.55,0.45,0.55,0.45,3.0,3.5,6.5
China,1805,Archive,0.45,0.0,0.84,0.45,3.5,12.0,15.5
China,1805,Flow,0.71,0.0,0.0,0.45,2.0,8.5,10.5
China,1806,Helm,0.84,0.55,0.55,0.45,3.0,9.5,12.5
China,1806,Shield,0.45,0.45,0.0,0.84,1.5,7.5,9.0
China,1806,Lore,0.0,0.45,0.45,0.84,1.0,13.5,14.5
China,1806,Stewards,0.0,0.84,0.45,0.45,1.0,9.5,10.5
China,1806,Craft,0.45,0.45,0.55,0.45,3.0,6.5,9.5
China,1806,Hands,0.84,0.71,0.45,0.71,2.5,5.5,8.0
China,1806,Archive,0.55,0.84,0.0,0.71,2.5,11.0,13.5
China,1806,Flow,0.84,0.55,0.45,0.55,2.5,8.5,11.0
China,1807,Helm,0.45,0.0,0.84,0.45,2.0,10.5,12.5
China,1807,Shield,0.71,0.0,0.45,0.45,1.5,7.5,9.0
China,1807,Lore,0.55,0.55,0.45,0.45,2.5,13.5,16.0
China,1807,Stewards,0.71,0.55,0.55,0.45,2.0,9.5,11.5
China,1807,Craft,0.84,0.0,0.0,0.45,2.5,7.5,10.0
China,1807,Hands,0.45,0.45,0.71,0.45,2.5,5.5,8.0
China,1807,Archive,0.45,0.0,0.0,0.0,1.0,12.0,13.0
China,1807,Flow,0.45,0.55,0.71,0.89,2.5,9.5,12.0
China,1808,Helm,0.45,0.55,0.55,0.45,1.0,10.5,11.5
China,1808,Shield,0.0,0.71,0.84,0.55,2.5,7.5,10.0
China,1808,Lore,0.55,0.0,0.71,0.0,2.0,13.0,15.0
China,1808,Stewards,0.71,0.0,0.45,0.45,2.0,9.5,11.5
China,1808,Craft,0.45,0.84,0.45,0.55,1.5,7.5,9.0
China,1808,Hands,0.45,0.55,0.0,0.45,2.0,5.5,7.5
China,1808,Archive,0.71,0.45,0.45,0.0,2.0,11.0,13.0
China,1808,Flow,0.45,0.55,0.71,0.45,3.0,7.5,10.5
China,1809,Helm,0.84,0.71,0.84,0.84,4.5,9.0,13.5
China,1809,Shield,0.89,0.84,0.55,0.89,3.0,7.0,10.0
China,1809,Lore,0.71,0.55,0.55,0.71,4.0,12.0,16.0
China,1809,Stewards,0.45,0.0,0.0,0.55,1.0,10.0,11.0
China,1809,Craft,0.45,0.55,0.45,0.71,1.5,8.0,9.5
China,1809,Hands,0.71,0.71,0.71,0.55,4.5,5.0,9.5
China,1809,Archive,0.71,0.45,0.45,0.45,2.5,11.5,14.0
China,1809,Flow,0.55,0.45,0.71,0.71,4.0,7.0,11.0
China,1810,Helm,0.0,0.0,0.55,0.45,1.0,10.0,11.0
China,1810,Shield,0.84,0.55,0.0,0.55,3.0,6.5,9.5
China,1810,Lore,0.45,0.45,0.45,0.0,2.0,13.0,15.0
China,1810,Stewards,0.45,0.71,0.45,0.71,2.5,9.0,11.5
China,1810,Craft,0.45,0.45,0.45,0.45,2.0,7.5,9.5
China,1810,Hands,0.45,0.45,0.45,0.71,2.5,4.5,7.0
China,1810,Archive,0.45,0.45,0.0,0.45,1.5,11.5,13.0
China,1810,Flow,0.84,0.0,0.55,0.45,2.0,7.5,9.5
China,1811,Helm,0.71,0.0,0.71,0.45,2.0,7.0,9.0
China,1811,Shield,0.0,0.55,0.84,0.45,3.0,5.5,8.5
China,1811,Lore,0.45,0.0,0.45,0.55,1.5,13.5,15.0
China,1811,Stewards,0.71,0.84,0.71,0.55,3.5,8.0,11.5
China,1811,Craft,0.71,0.55,0.55,0.84,3.0,8.0,11.0
China,1811,Hands,0.0,0.45,0.45,0.55,0.5,5.0,5.5
