Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Colombia,1875,Helm,4.0,3.6,6.6,4.0,3.0,7.69
Colombia,1875,Shield,3.0,3.0,7.0,3.0,0.5,5.883
Colombia,1875,Lore,5.0,4.0,4.6,5.0,6.9,10.001
Colombia,1875,Stewards,4.6,4.0,5.6,4.0,5.0,8.623
Colombia,1875,Craft,3.0,3.0,5.0,3.0,2.5,6.428
Colombia,1875,Hands,3.0,2.6,6.0,2.0,0.6,5.419
Colombia,1875,Archive,3.0,3.0,5.0,3.8,2.9,6.987
Colombia,1875,Flow,3.6,3.0,6.0,3.0,2.1,6.803
Colombia,1876,Helm,4.0,3.8,6.2,4.0,3.6,7.913
Colombia,1876,Shield,3.0,3.0,7.0,3.0,0.5,5.95
Colombia,1876,Lore,5.0,4.0,4.4,5.0,7.1,10.205
Colombia,1876,Stewards,4.6,4.0,5.4,4.0,5.2,8.801
Colombia,1876,Craft,3.0,3.0,5.0,3.0,2.5,6.501
Colombia,1876,Hands,3.0,2.8,6.0,2.0,0.8,5.483
Colombia,1876,Archive,3.0,3.0,5.0,3.8,2.9,7.065
Colombia,1876,Flow,3.8,3.0,6.0,3.0,2.3,7.097
Colombia,1877,Helm,4.0,4.0,6.0,4.0,4.0,8.164
Colombia,1877,Shield,3.0,3.0,6.4,3.0,1.1,6.246
Colombia,1877,Lore,5.0,4.0,4.4,5.0,7.1,10.453
Colombia,1877,Stewards,4.8,4.0,5.0,4.0,5.8,9.365
Colombia,1877,Craft,3.0,3.0,5.0,3.0,2.5,6.646
Colombia,1877,Hands,3.0,3.0,6.0,2.0,1.0,5.607
Colombia,1877,Archive,3.0,3.0,5.0,4.0,3.0,7.358
Colombia,1877,Flow,4.0,3.0,5.8,3.0,2.7,7.54
Colombia,1878,Helm,4.0,4.0,6.0,4.0,4.0,8.173
Colombia,1878,Shield,3.0,3.0,6.2,3.0,1.3,6.308
Colombia,1878,Lore,5.0,4.0,4.4,5.0,7.1,10.465
Colombia,1878,Stewards,4.8,4.0,5.0,4.0,5.8,9.376
Colombia,1878,Craft,3.0,3.0,5.0,3.0,2.5,6.653
Colombia,1878,Hands,3.0,3.0,6.0,2.0,1.0,5.613
Colombia,1878,Archive,3.0,3.0,5.0,4.0,3.0,7.366
Colombia,1878,Flow,4.0,3.0,5.8,3.0,2.7,7.548
Colombia,1879,Helm,4.0,4.0,6.0,4.0,4.0,8.164
