Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Denmark,1752,Archive,9.0,3.0,0.0,7.0
Denmark,1752,Craft,6.0,5.0,0.0,4.0
Denmark,1752,Flow,6.0,5.0,0.0,4.0
Denmark,1752,Hands,5.0,4.0,0.0,3.0
Denmark,1752,Helm,7.0,6.0,0.0,5.0
Denmark,1752,Lore,8.0,4.0,0.0,6.0
Denmark,1752,Shield,6.0,5.0,0.0,4.0
Denmark,1752,Stewards,7.0,6.0,0.0,5.0
Denmark,1754,Archive,9.0,3.0,0.0,7.0
Denmark,1754,Craft,6.0,5.0,0.0,4.0
Denmark,1754,Flow,6.0,5.0,0.0,4.0
Denmark,1754,Hands,5.0,4.0,0.0,3.0
Denmark,1754,Helm,7.0,6.0,0.0,5.0
Denmark,1754,Lore,8.0,4.0,0.0,6.0
Denmark,1754,Shield,6.0,5.0,0.0,4.0
Denmark,1754,Stewards,7.0,6.0,0.0,5.0
Denmark,1756,Archive,9.0,3.0,0.0,7.0
Denmark,1756,Craft,6.0,5.0,0.0,4.0
Denmark,1756,Flow,6.0,5.0,0.0,4.0
Denmark,1756,Hands,5.0,4.0,0.0,3.0
Denmark,1756,Helm,7.0,6.0,0.0,5.0
Denmark,1756,Lore,8.0,4.0,0.0,6.0
Denmark,1756,Shield,6.0,5.0,0.0,4.0
Denmark,1756,Stewards,7.0,6.0,0.0,5.0
Denmark,1758,Archive,9.0,3.0,0.0,7.0
Denmark,1758,Craft,6.0,5.0,0.0,4.0
Denmark,1758,Flow,6.0,5.0,0.0,4.0
Denmark,1758,Hands,5.0,4.0,0.0,3.0
Denmark,1758,Helm,7.0,6.0,0.0,5.0
Denmark,1758,Lore,8.0,4.0,0.0,6.0
Denmark,1758,Shield,6.0,5.0,0.0,4.0
Denmark,1758,Stewards,7.0,6.0,0.0,5.0
Denmark,1762,Archive,3.0,2.0,1.0,1.0
Denmark,1762,Craft,6.0,5.0,0.0,4.0
Denmark,1762,Flow,4.0,3.0,0.0,2.0
Denmark,1762,Hands,5.0,4.0,0.0,3.0
Denmark,1762,Helm,6.0,5.0,0.0,4.0
Denmark,1762,Lore,4.0,3.0,0.0,2.0
Denmark,1762,Shield,5.0,4.0,0.0,3.0
Denmark,1762,Stewards,7.0,6.0,0.0,5.0
Denmark,1764,Archive,3.0,2.0,1.0,1.0
Denmark,1764,Craft,6.0,5.0,0.0,4.0
Denmark,1764,Flow,4.0,3.0,0.0,2.0
Denmark,1764,Hands,5.0,4.0,0.0,3.0
Denmark,1764,Helm,6.0,5.0,0.0,4.0
Denmark,1764,Lore,4.0,3.0,0.0,2.0
Denmark,1764,Shield,5.0,4.0,0.0,3.0
Denmark,1764,Stewards,7.0,6.0,0.0,5.0
Denmark,1766,Archive,3.0,2.0,1.0,1.0
Denmark,1766,Craft,6.0,5.0,0.0,4.0
Denmark,1766,Flow,4.0,3.0,0.0,2.0
Denmark,1766,Hands,5.0,4.0,0.0,3.0
Denmark,1766,Helm,6.0,5.0,0.0,4.0
Denmark,1766,Lore,4.0,3.0,0.0,2.0
Denmark,1766,Shield,5.0,4.0,0.0,3.0
Denmark,1766,Stewards,7.0,6.0,0.0,5.0
Denmark,1768,Archive,3.0,2.0,1.0,1.0
Denmark,1768,Craft,6.0,5.0,0.0,4.0
Denmark,1768,Flow,4.0,3.0,0.0,2.0
Denmark,1768,Hands,5.0,4.0,0.0,3.0
Denmark,1768,Helm,6.0,5.0,0.0,4.0
Denmark,1768,Lore,4.0,3.0,0.0,2.0
Denmark,1768,Shield,5.0,4.0,0.0,3.0
Denmark,1768,Stewards,7.0,6.0,0.0,5.0
Denmark,1802,Archive,3.0,3.0,0.0,2.0
Denmark,1802,Craft,6.0,6.0,0.0,5.0
Denmark,1802,Flow,4.0,4.0,0.0,3.0
Denmark,1802,Hands,5.0,5.0,0.0,4.0
Denmark,1802,Helm,6.0,6.0,0.0,5.0
Denmark,1802,Lore,4.0,3.0,0.0,2.0
Denmark,1802,Shield,5.0,5.0,0.0,4.0
Denmark,1802,Stewards,7.0,7.0,0.0,6.0
Denmark,1804,Archive,3.0,3.0,0.0,2.0
Denmark,1804,Craft,6.0,6.0,0.0,5.0
Denmark,1804,Flow,4.0,4.0,0.0,3.0
Denmark,1804,Hands,5.0,5.0,0.0,4.0
Denmark,1804,Helm,6.0,6.0,0.0,5.0
Denmark,1804,Lore,4.0,3.0,0.0,2.0
Denmark,1804,Shield,5.0,5.0,0.0,4.0
Denmark,1804,Stewards,7.0,7.0,0.0,6.0
Denmark,1806,Archive,3.0,3.0,0.0,2.0
Denmark,1806,Craft,6.0,6.0,0.0,5.0
Denmark,1806,Flow,4.0,4.0,0.0,3.0
Denmark,1806,Hands,5.0,5.0,0.0,4.0
Denmark,1806,Helm,6.0,6.0,0.0,5.0
Denmark,1806,Lore,4.0,3.0,0.0,2.0
Denmark,1806,Shield,5.0,5.0,0.0,4.0
Denmark,1806,Stewards,7.0,7.0,0.0,6.0
Denmark,1808,Archive,3.0,3.0,0.0,2.0
Denmark,1808,Craft,6.0,6.0,0.0,5.0
Denmark,1808,Flow,4.0,4.0,0.0,3.0
Denmark,1808,Hands,5.0,5.0,0.0,4.0
Denmark,1808,Helm,6.0,6.0,0.0,5.0
