Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Hong Kong,1900,Archive,6.0,6.0,4.0,7.0
Hong Kong,1900,Craft,6.0,7.0,6.0,5.0
Hong Kong,1900,Flow,7.0,8.0,5.0,6.0
Hong Kong,1900,Hands,4.0,5.0,7.0,4.0
Hong Kong,1900,Helm,6.0,7.0,6.0,5.0
Hong Kong,1900,Lore,5.0,6.0,4.0,6.0
Hong Kong,1900,Shield,7.0,7.0,5.0,4.0
Hong Kong,1900,Stewards,6.0,7.0,5.0,5.0
Hong Kong,1901,Archive,6.0,6.0,4.0,7.0
Hong Kong,1901,Craft,6.0,7.0,5.0,5.0
Hong Kong,1901,Flow,7.0,8.0,4.0,6.0
Hong Kong,1901,Hands,4.0,5.0,6.0,4.0
Hong Kong,1901,Helm,6.0,7.0,5.0,5.0
Hong Kong,1901,Lore,5.0,6.0,4.0,6.0
Hong Kong,1901,Shield,7.0,7.0,4.0,4.0
Hong Kong,1901,Stewards,6.0,7.0,4.0,5.0
Hong Kong,1902,Archive,7.0,7.0,3.0,7.0
Hong Kong,1902,Craft,7.0,8.0,4.0,5.0
Hong Kong,1902,Flow,8.0,9.0,3.0,6.0
Hong Kong,1902,Hands,5.0,6.0,5.0,4.0
Hong Kong,1902,Helm,7.0,8.0,4.0,5.0
Hong Kong,1902,Lore,5.0,6.0,3.0,6.0
Hong Kong,1902,Shield,7.0,7.0,3.0,4.0
Hong Kong,1902,Stewards,7.0,8.0,3.0,5.0
Hong Kong,1903,Archive,7.0,7.0,3.0,7.0
Hong Kong,1903,Craft,7.0,8.0,3.0,5.0
Hong Kong,1903,Flow,8.0,9.0,3.0,6.0
Hong Kong,1903,Hands,5.0,6.0,4.0,4.0
Hong Kong,1903,Helm,7.0,8.0,3.0,5.0
Hong Kong,1903,Lore,5.0,6.0,3.0,6.0
Hong Kong,1903,Shield,7.0,7.0,3.0,4.0
Hong Kong,1903,Stewards,7.0,8.0,3.0,5.0
Hong Kong,1904,Archive,7.0,7.0,3.0,7.0
Hong Kong,1904,Craft,7.0,8.0,4.0,5.0
Hong Kong,1904,Flow,8.0,9.0,4.0,6.0
Hong Kong,1904,Hands,5.0,6.0,5.0,4.0
Hong Kong,1904,Helm,7.0,8.0,4.0,5.0
