Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Indonesia,1941,Archive,3.0,3.0,8.0,3.0
Indonesia,1941,Craft,4.0,4.0,6.0,3.0
Indonesia,1941,Flow,5.0,6.0,6.0,4.0
Indonesia,1941,Hands,3.0,3.0,9.0,2.0
Indonesia,1941,Helm,5.0,6.0,7.0,4.0
Indonesia,1941,Lore,6.0,6.0,5.0,5.0
Indonesia,1941,Shield,4.0,5.0,7.0,3.0
Indonesia,1941,Stewards,4.0,7.0,6.0,3.0
Indonesia,1942,Archive,2.0,2.0,9.0,2.0
Indonesia,1942,Craft,3.0,3.0,8.0,2.0
Indonesia,1942,Flow,3.0,3.0,8.0,2.0
Indonesia,1942,Hands,2.0,2.0,10.0,1.0
Indonesia,1942,Helm,3.0,3.0,9.0,3.0
Indonesia,1942,Lore,4.0,4.0,7.0,3.0
Indonesia,1942,Shield,3.0,3.0,9.0,2.0
Indonesia,1942,Stewards,3.0,3.0,8.0,2.0
Indonesia,1943,Archive,1.0,1.0,10.0,1.0
Indonesia,1943,Craft,2.0,2.0,9.0,1.0
Indonesia,1943,Flow,2.0,2.0,9.0,1.0
Indonesia,1943,Hands,1.0,1.0,10.0,1.0
Indonesia,1943,Helm,2.0,2.0,10.0,2.0
Indonesia,1943,Lore,3.0,3.0,8.0,2.0
Indonesia,1943,Shield,2.0,2.0,10.0,1.0
Indonesia,1943,Stewards,2.0,2.0,9.0,1.0
Indonesia,1944,Archive,1.0,1.0,10.0,1.0
Indonesia,1944,Craft,2.0,2.0,9.0,1.0
Indonesia,1944,Flow,2.0,2.0,9.0,1.0
Indonesia,1944,Hands,1.0,1.0,10.0,1.0
Indonesia,1944,Helm,2.0,2.0,10.0,2.0
Indonesia,1944,Lore,3.0,3.0,8.0,2.0
Indonesia,1944,Shield,2.0,2.0,10.0,1.0
Indonesia,1944,Stewards,2.0,2.0,9.0,1.0
Indonesia,1945,Archive,2.0,2.0,9.0,2.0
Indonesia,1945,Craft,3.0,3.0,8.0,2.0
Indonesia,1945,Flow,3.0,3.0,8.0,2.0
Indonesia,1945,Hands,2.0,2.0,10.0,1.0
Indonesia,1945,Helm,4.0,4.0,9.0,3.0
Indonesia,1945,Lore,4.0,4.0,7.0,3.0
Indonesia,1945,Shield,3.0,3.0,9.0,2.0
Indonesia,1945,Stewards,3.0,3.0,8.0,2.0
Indonesia,1946,Archive,3.0,3.0,8.0,3.0
Indonesia,1946,Craft,4.0,4.0,7.0,3.0
Indonesia,1946,Flow,4.0,4.0,7.0,3.0
Indonesia,1946,Hands,3.0,3.0,9.0,2.0
Indonesia,1946,Helm,5.0,5.0,8.0,4.0
Indonesia,1946,Lore,5.0,5.0,6.0,4.0
Indonesia,1946,Shield,4.0,4.0,8.0,3.0
Indonesia,1946,Stewards,4.0,4.0,7.0,3.0
Indonesia,1947,Archive,4.0,4.0,7.0,4.0
Indonesia,1947,Craft,5.0,5.0,6.0,4.0
Indonesia,1947,Flow,5.0,5.0,6.0,4.0
Indonesia,1947,Hands,4.0,4.0,8.0,3.0
Indonesia,1947,Helm,6.0,6.0,7.0,5.0
Indonesia,1947,Lore,6.0,6.0,5.0,5.0
Indonesia,1947,Shield,5.0,5.0,7.0,4.0
Indonesia,1947,Stewards,5.0,5.0,6.0,4.0
Indonesia,1948,Archive,4.0,4.0,7.0,4.0
Indonesia,1948,Craft,5.0,5.0,6.0,4.0
Indonesia,1948,Flow,5.0,5.0,6.0,4.0
Indonesia,1948,Hands,4.0,4.0,8.0,3.0
Indonesia,1948,Helm,6.0,6.0,7.0,5.0
Indonesia,1948,Lore,6.0,6.0,5.0,5.0
Indonesia,1948,Shield,5.0,5.0,7.0,4.0
Indonesia,1948,Stewards,5.0,5.0,6.0,4.0
Indonesia,1949,Archive,4.0,4.0,7.0,4.0
Indonesia,1949,Craft,5.0,5.0,6.0,4.0
Indonesia,1949,Flow,5.0,5.0,6.0,4.0
Indonesia,1949,Hands,4.0,4.0,8.0,3.0
Indonesia,1949,Helm,6.0,6.0,7.0,5.0
Indonesia,1949,Lore,6.0,6.0,5.0,5.0
Indonesia,1949,Shield,5.0,5.0,7.0,4.0
Indonesia,1949,Stewards,5.0,5.0,6.0,4.0
Indonesia,1950,Archive,6.0,6.0,6.0,6.0
Indonesia,1950,Craft,6.0,6.0,5.0,5.0
Indonesia,1950,Flow,6.0,6.0,5.0,5.0
Indonesia,1950,Hands,5.0,5.0,6.0,4.0
Indonesia,1950,Helm,6.0,7.0,6.0,6.0
Indonesia,1950,Lore,7.0,7.0,5.0,6.0
Indonesia,1950,Shield,6.0,6.0,6.0,5.0
Indonesia,1950,Stewards,6.0,7.0,5.0,5.0
Indonesia,1951,Archive,6.0,6.0,6.0,6.0
Indonesia,1951,Craft,6.0,6.0,5.0,5.0
Indonesia,1951,Flow,6.0,6.0,5.0,5.0
Indonesia,1951,Hands,5.0,5.0,6.0,4.0
Indonesia,1951,Helm,6.0,7.0,6.0,6.0
Indonesia,1951,Lore,7.0,7.0,5.0,6.0
Indonesia,1951,Shield,6.0,6.0,6.0,5.0
Indonesia,1951,Stewards,6.0,7.0,5.0,5.0
Indonesia,1952,Archive,6.0,6.0,6.0,6.0
Indonesia,1952,Craft,6.0,6.0,5.0,5.0
Indonesia,1952,Flow,6.0,6.0,5.0,5.0
Indonesia,1952,Hands,5.0,5.0,6.0,4.0
Indonesia,1952,Helm,6.0,7.0,6.0,6.0
Indonesia,1952,Lore,7.0,7.0,5.0,6.0
Indonesia,1952,Shield,6.0,6.0,6.0,5.0
Indonesia,1952,Stewards,6.0,7.0,5.0,5.0
Indonesia,1953,Archive,6.0,6.0,6.0,6.0
Indonesia,1953,Craft,6.0,6.0,5.0,5.0
Indonesia,1953,Flow,6.0,6.0,5.0,5.0
Indonesia,1953,Hands,5.0,5.0,6.0,4.0
Indonesia,1953,Helm,6.0,7.0,6.0,6.0
Indonesia,1953,Lore,7.0,7.0,5.0,6.0
Indonesia,1953,Shield,6.0,6.0,6.0,5.0
Indonesia,1953,Stewards,6.0,7.0,5.0,5.0
Indonesia,1954,Archive,6.0,6.0,6.0,6.0
Indonesia,1954,Craft,6.0,6.0,5.0,5.0
Indonesia,1954,Flow,6.0,6.0,5.0,5.0
Indonesia,1954,Hands,5.0,5.0,6.0,4.0
Indonesia,1954,Helm,6.0,7.0,6.0,6.0
Indonesia,1954,Lore,7.0,7.0,5.0,6.0
Indonesia,1954,Shield,6.0,6.0,6.0,5.0
Indonesia,1954,Stewards,6.0,7.0,5.0,5.0
Indonesia,1955,Archive,6.0,6.0,6.0,6.0
Indonesia,1955,Craft,6.0,6.0,5.0,5.0
Indonesia,1955,Flow,6.0,6.0,5.0,5.0
Indonesia,1955,Hands,5.0,5.0,6.0,4.0
Indonesia,1955,Helm,6.0,7.0,6.0,6.0
Indonesia,1955,Lore,7.0,7.0,5.0,6.0
Indonesia,1955,Shield,6.0,6.0,6.0,5.0
Indonesia,1955,Stewards,6.0,7.0,5.0,5.0
Indonesia,1956,Archive,6.0,6.0,6.0,6.0
Indonesia,1956,Craft,6.0,6.0,5.0,5.0
Indonesia,1956,Flow,6.0,6.0,5.0,5.0
Indonesia,1956,Hands,5.0,5.0,6.0,4.0
Indonesia,1956,Helm,6.0,7.0,6.0,6.0
Indonesia,1956,Lore,7.0,7.0,5.0,6.0
Indonesia,1956,Shield,6.0,6.0,6.0,5.0
Indonesia,1956,Stewards,6.0,7.0,5.0,5.0
Indonesia,1957,Archive,6.0,6.0,6.0,6.0
Indonesia,1957,Craft,6.0,6.0,5.0,5.0
Indonesia,1957,Flow,6.0,6.0,5.0,5.0
Indonesia,1957,Hands,5.0,5.0,6.0,4.0
Indonesia,1957,Helm,6.0,7.0,6.0,6.0
Indonesia,1957,Lore,7.0,7.0,5.0,6.0
Indonesia,1957,Shield,6.0,6.0,6.0,5.0
Indonesia,1957,Stewards,6.0,7.0,5.0,5.0
Indonesia,1958,Archive,6.0,6.0,6.0,6.0
Indonesia,1958,Craft,6.0,6.0,5.0,5.0
Indonesia,1958,Flow,6.0,6.0,5.0,5.0
Indonesia,1958,Hands,5.0,5.0,6.0,4.0
Indonesia,1958,Helm,6.0,7.0,6.0,6.0
Indonesia,1958,Lore,7.0,7.0,5.0,6.0
Indonesia,1958,Shield,6.0,6.0,6.0,5.0
Indonesia,1958,Stewards,6.0,7.0,5.0,5.0
Indonesia,1959,Archive,6.0,6.0,6.0,6.0
Indonesia,1959,Craft,6.0,6.0,5.0,5.0
Indonesia,1959,Flow,6.0,6.0,5.0,5.0
Indonesia,1959,Hands,5.0,5.0,6.0,4.0
Indonesia,1959,Helm,6.0,7.0,6.0,6.0
Indonesia,1959,Lore,7.0,7.0,5.0,6.0
Indonesia,1959,Shield,6.0,6.0,6.0,5.0
Indonesia,1959,Stewards,6.0,7.0,5.0,5.0
Indonesia,1960,Archive,6.0,6.0,6.0,6.0
