Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Iraq,20,Helm,3.0,3.0,6.0,3.0
Iraq,21,Flow,4.0,4.0,6.0,3.0
Iraq,1900,Archive,5.0,4.0,4.0,5.0
Iraq,1900,Craft,4.0,4.0,5.0,3.0
Iraq,1900,Flow,4.0,4.0,5.0,3.0
Iraq,1900,Hands,3.0,3.0,6.0,2.0
Iraq,1900,Helm,4.0,4.0,5.0,3.0
Iraq,1900,Lore,5.0,4.0,4.0,5.0
Iraq,1900,Shield,3.0,3.0,5.0,2.0
Iraq,1900,Stewards,4.0,5.0,4.0,3.0
Iraq,1901,Archive,5.0,4.0,4.0,5.0
Iraq,1901,Craft,4.0,4.0,5.0,3.0
Iraq,1901,Flow,4.0,4.0,5.0,3.0
Iraq,1901,Hands,3.0,3.0,6.0,2.0
Iraq,1901,Helm,4.0,4.0,5.0,3.0
Iraq,1901,Lore,5.0,4.0,4.0,5.0
Iraq,1901,Shield,3.0,3.0,5.0,2.0
Iraq,1901,Stewards,4.0,5.0,4.0,3.0
Iraq,1902,Archive,5.0,4.0,4.0,5.0
Iraq,1902,Craft,4.0,4.0,5.0,3.0
Iraq,1902,Flow,4.0,4.0,5.0,3.0
Iraq,1902,Hands,3.0,3.0,6.0,2.0
Iraq,1902,Helm,4.0,4.0,5.0,3.0
Iraq,1902,Lore,5.0,4.0,4.0,5.0
Iraq,1902,Shield,3.0,3.0,5.0,2.0
Iraq,1902,Stewards,4.0,5.0,4.0,3.0
Iraq,1903,Archive,5.0,4.0,4.0,5.0
Iraq,1903,Craft,4.0,4.0,5.0,3.0
Iraq,1903,Flow,4.0,4.0,5.0,3.0
Iraq,1903,Hands,3.0,3.0,6.0,2.0
Iraq,1903,Helm,4.0,4.0,5.0,3.0
Iraq,1903,Lore,5.0,4.0,4.0,5.0
Iraq,1903,Shield,3.0,3.0,5.0,2.0
Iraq,1903,Stewards,4.0,5.0,4.0,3.0
Iraq,1904,Archive,5.0,4.0,4.0,5.0
Iraq,1904,Craft,4.0,4.0,5.0,3.0
Iraq,1904,Flow,4.0,4.0,5.0,3.0
Iraq,1904,Hands,3.0,3.0,6.0,2.0
Iraq,1904,Helm,4.0,4.0,5.0,3.0
Iraq,1904,Lore,5.0,4.0,4.0,5.0
Iraq,1904,Shield,3.0,3.0,5.0,2.0
