Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Israel,1946.0,Archive,6.0,5.0,5.0,7.0
Israel,1946.0,Craft,5.0,5.0,7.0,4.0
Israel,1946.0,Flow,4.0,4.0,7.0,4.0
Israel,1946.0,Hands,4.0,4.0,8.0,3.0
Israel,1946.0,Helm,6.0,5.0,8.0,6.0
Israel,1946.0,Lore,7.0,6.0,5.0,7.0
Israel,1946.0,Shield,4.0,4.0,8.0,4.0
Israel,1946.0,Stewards,5.0,6.0,6.0,5.0
Israel,1947.0,Archive,7.0,6.0,6.0,7.0
Israel,1947.0,Craft,6.0,6.0,7.0,5.0
Israel,1947.0,Flow,5.0,5.0,7.0,5.0
Israel,1947.0,Hands,5.0,5.0,7.0,4.0
Israel,1947.0,Helm,7.0,6.0,7.0,7.0
Israel,1947.0,Lore,7.0,6.0,5.0,7.0
Israel,1947.0,Shield,5.0,5.0,8.0,5.0
Israel,1947.0,Stewards,6.0,7.0,6.0,6.0
Israel,1948.0,Archive,8.0,7.0,5.0,8.0
Israel,1948.0,Craft,7.0,7.0,6.0,6.0
Israel,1948.0,Flow,6.0,6.0,6.0,6.0
Israel,1948.0,Hands,6.0,6.0,6.0,5.0
Israel,1948.0,Helm,8.0,7.0,6.0,8.0
Israel,1948.0,Lore,7.0,6.0,4.0,7.0
Israel,1948.0,Shield,6.0,6.0,7.0,6.0
Israel,1948.0,Stewards,7.0,8.0,5.0,7.0
Israel,1949.0,Archive,8.0,8.0,4.0,8.0
Israel,1949.0,Craft,7.0,7.0,5.0,7.0
Israel,1949.0,Flow,7.0,7.0,5.0,7.0
Israel,1949.0,Hands,7.0,7.0,5.0,6.0
Israel,1949.0,Helm,8.0,8.0,5.0,8.0
Israel,1949.0,Lore,7.0,7.0,4.0,7.0
Israel,1949.0,Shield,7.0,7.0,6.0,7.0
Israel,1949.0,Stewards,8.0,8.0,4.0,7.0
Israel,1950.0,Archive,8.0,8.0,4.0,8.0
Israel,1950.0,Craft,7.0,7.0,5.0,7.0
Israel,1950.0,Flow,7.0,7.0,5.0,7.0
Israel,1950.0,Hands,7.0,7.0,5.0,6.0
Israel,1950.0,Helm,8.0,8.0,4.0,8.0
Israel,1950.0,Lore,7.0,7.0,4.0,7.0
Israel,1950.0,Shield,7.0,7.0,5.0,7.0
Israel,1950.0,Stewards,8.0,8.0,4.0,7.0
Israel,1951.0,Archive,8.0,8.0,4.0,8.0
Israel,1951.0,Craft,7.0,7.0,5.0,7.0
Israel,1951.0,Flow,7.0,7.0,5.0,7.0
Israel,1951.0,Hands,7.0,7.0,5.0,6.0
Israel,1951.0,Helm,8.0,8.0,4.0,8.0
Israel,1951.0,Lore,7.0,7.0,4.0,7.0
Israel,1951.0,Shield,7.0,7.0,5.0,7.0
Israel,1951.0,Stewards,8.0,8.0,4.0,7.0
Israel,1952.0,Archive,8.0,8.0,4.0,8.0
Israel,1952.0,Craft,7.0,7.0,5.0,7.0
Israel,1952.0,Flow,7.0,7.0,5.0,7.0
Israel,1952.0,Hands,7.0,7.0,5.0,6.0
Israel,1952.0,Helm,8.0,8.0,4.0,8.0
Israel,1952.0,Lore,7.0,7.0,4.0,7.0
Israel,1952.0,Shield,7.0,7.0,5.0,7.0
Israel,1952.0,Stewards,8.0,8.0,4.0,7.0
Israel,1953.0,Archive,8.0,8.0,4.0,8.0
Israel,1953.0,Craft,7.0,7.0,5.0,7.0
Israel,1953.0,Flow,7.0,7.0,5.0,7.0
Israel,1953.0,Hands,7.0,7.0,5.0,6.0
Israel,1953.0,Helm,8.0,8.0,4.0,8.0
Israel,1953.0,Lore,7.0,7.0,4.0,7.0
Israel,1953.0,Shield,7.0,7.0,5.0,7.0
Israel,1953.0,Stewards,8.0,8.0,4.0,7.0
Israel,1954.0,Archive,8.0,8.0,4.0,8.0
Israel,1954.0,Craft,7.0,7.0,5.0,7.0
Israel,1954.0,Flow,7.0,7.0,5.0,7.0
Israel,1954.0,Hands,7.0,7.0,5.0,6.0
Israel,1954.0,Helm,8.0,8.0,4.0,8.0
Israel,1954.0,Lore,7.0,7.0,4.0,7.0
Israel,1954.0,Shield,7.0,7.0,5.0,7.0
Israel,1954.0,Stewards,8.0,8.0,4.0,7.0
Israel,1955.0,Archive,8.0,8.0,4.0,8.0
Israel,1955.0,Craft,7.0,7.0,5.0,7.0
Israel,1955.0,Flow,7.0,7.0,5.0,7.0
Israel,1955.0,Hands,7.0,7.0,5.0,6.0
Israel,1955.0,Helm,8.0,8.0,4.0,8.0
Israel,1955.0,Lore,7.0,7.0,4.0,7.0
Israel,1955.0,Shield,7.0,7.0,5.0,7.0
Israel,1955.0,Stewards,8.0,8.0,4.0,7.0
Israel,1956.0,Archive,8.0,8.0,4.0,8.0
Israel,1956.0,Craft,7.0,7.0,5.0,7.0
Israel,1956.0,Flow,7.0,7.0,5.0,7.0
Israel,1956.0,Hands,7.0,7.0,5.0,6.0
Israel,1956.0,Helm,8.0,8.0,4.0,8.0
Israel,1956.0,Lore,7.0,7.0,4.0,7.0
Israel,1956.0,Shield,7.0,7.0,5.0,7.0
Israel,1956.0,Stewards,8.0,8.0,4.0,7.0
Israel,1957.0,Archive,8.0,8.0,4.0,8.0
Israel,1957.0,Craft,7.0,7.0,5.0,7.0
Israel,1957.0,Flow,7.0,7.0,5.0,7.0
Israel,1957.0,Hands,7.0,7.0,5.0,6.0
Israel,1957.0,Helm,8.0,8.0,4.0,8.0
Israel,1957.0,Lore,7.0,7.0,4.0,7.0
Israel,1957.0,Shield,7.0,7.0,5.0,7.0
Israel,1957.0,Stewards,8.0,8.0,4.0,7.0
Israel,1958.0,Archive,8.0,8.0,4.0,8.0
Israel,1958.0,Craft,7.0,7.0,5.0,7.0
Israel,1958.0,Flow,7.0,7.0,5.0,7.0
Israel,1958.0,Hands,7.0,7.0,5.0,6.0
Israel,1958.0,Helm,8.0,8.0,4.0,8.0
Israel,1958.0,Lore,7.0,7.0,4.0,7.0
Israel,1958.0,Shield,7.0,7.0,5.0,7.0
Israel,1958.0,Stewards,8.0,8.0,4.0,7.0
Israel,1959.0,Archive,8.0,8.0,4.0,8.0
Israel,1959.0,Craft,7.0,7.0,5.0,7.0
Israel,1959.0,Flow,7.0,7.0,5.0,7.0
Israel,1959.0,Hands,7.0,7.0,5.0,6.0
Israel,1959.0,Helm,8.0,8.0,4.0,8.0
Israel,1959.0,Lore,7.0,7.0,4.0,7.0
Israel,1959.0,Shield,7.0,7.0,5.0,7.0
Israel,1959.0,Stewards,8.0,8.0,4.0,7.0
Israel,1960.0,Archive,8.0,8.0,4.0,8.0
Israel,1960.0,Craft,7.0,7.0,5.0,7.0
Israel,1960.0,Flow,7.0,7.0,5.0,7.0
Israel,1960.0,Hands,7.0,7.0,5.0,6.0
Israel,1960.0,Helm,8.0,8.0,4.0,8.0
Israel,1960.0,Lore,7.0,7.0,4.0,7.0
Israel,1960.0,Shield,7.0,7.0,5.0,7.0
Israel,1960.0,Stewards,8.0,8.0,4.0,7.0
Israel,1961.0,Archive,8.0,8.0,4.0,8.0
Israel,1961.0,Craft,7.0,7.0,5.0,7.0
Israel,1961.0,Flow,7.0,7.0,5.0,7.0
Israel,1961.0,Hands,7.0,7.0,5.0,6.0
Israel,1961.0,Helm,8.0,8.0,4.0,8.0
Israel,1961.0,Lore,7.0,7.0,4.0,7.0
Israel,1961.0,Shield,7.0,7.0,5.0,7.0
Israel,1961.0,Stewards,8.0,8.0,4.0,7.0
