Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Italy,1900,Archive,6.0,5.0,4.0,6.0
Italy,1900,Craft,5.0,5.0,5.0,5.0
Italy,1900,Flow,5.0,5.0,5.0,5.0
Italy,1900,Hands,3.0,4.0,6.0,3.0
Italy,1900,Helm,4.0,4.0,5.0,5.0
Italy,1900,Lore,6.0,5.0,4.0,6.0
Italy,1900,Shield,5.0,5.0,4.0,4.0
Italy,1900,Stewards,4.0,6.0,4.0,5.0
Italy,1902,Archive,6.0,5.0,3.0,6.0
Italy,1902,Craft,5.0,5.0,4.0,5.0
Italy,1902,Flow,5.0,5.0,4.0,5.0
Italy,1902,Hands,4.0,4.0,5.0,4.0
Italy,1902,Helm,4.0,4.0,4.0,5.0
Italy,1902,Lore,6.0,5.0,3.0,6.0
Italy,1902,Shield,5.0,5.0,3.0,4.0
Italy,1902,Stewards,4.0,6.0,3.0,5.0
Italy,1903,Archive,6.0,5.0,3.0,6.0
Italy,1903,Craft,5.0,5.0,4.0,5.0
Italy,1903,Flow,5.0,5.0,4.0,5.0
Italy,1903,Hands,4.0,4.0,5.0,4.0
Italy,1903,Helm,4.0,4.0,4.0,5.0
Italy,1903,Lore,6.0,5.0,3.0,6.0
Italy,1903,Shield,5.0,5.0,3.0,4.0
Italy,1903,Stewards,4.0,6.0,3.0,5.0
Italy,1904,Archive,6.0,6.0,2.0,6.0
Italy,1904,Craft,6.0,6.0,3.0,5.0
Italy,1904,Flow,6.0,6.0,3.0,5.0
Italy,1904,Hands,4.0,5.0,4.0,4.0
Italy,1904,Helm,5.0,5.0,3.0,5.0
Italy,1904,Lore,6.0,5.0,3.0,6.0
Italy,1904,Shield,6.0,6.0,2.0,5.0
Italy,1904,Stewards,5.0,6.0,3.0,5.0
Italy,1905,Archive,6.0,6.0,2.0,6.0
Italy,1905,Craft,6.0,6.0,3.0,5.0
Italy,1905,Flow,6.0,6.0,3.0,5.0
Italy,1905,Hands,4.0,5.0,4.0,4.0
Italy,1905,Helm,5.0,5.0,3.0,5.0
Italy,1905,Lore,6.0,5.0,3.0,6.0
Italy,1905,Shield,6.0,6.0,2.0,5.0
Italy,1905,Stewards,5.0,6.0,3.0,5.0
Italy,1906,Archive,6.0,6.0,2.0,6.0
Italy,1906,Craft,6.0,6.0,3.0,5.0
Italy,1906,Flow,6.0,6.0,3.0,5.0
Italy,1906,Hands,4.0,5.0,4.0,4.0
Italy,1906,Helm,5.0,5.0,3.0,5.0
Italy,1906,Lore,6.0,5.0,3.0,6.0
Italy,1906,Shield,6.0,6.0,2.0,5.0
Italy,1906,Stewards,5.0,6.0,3.0,5.0
Italy,1907,Archive,6.0,6.0,2.0,6.0
Italy,1907,Craft,6.0,6.0,3.0,5.0
Italy,1907,Flow,6.0,6.0,3.0,5.0
Italy,1907,Hands,4.0,5.0,4.0,4.0
Italy,1907,Helm,5.0,5.0,3.0,5.0
Italy,1907,Lore,6.0,5.0,3.0,6.0
Italy,1907,Shield,6.0,6.0,2.0,5.0
Italy,1907,Stewards,5.0,6.0,3.0,5.0
Italy,1908,Archive,6.0,6.0,3.0,6.0
Italy,1908,Craft,6.0,6.0,4.0,5.0
Italy,1908,Flow,6.0,6.0,4.0,5.0
Italy,1908,Hands,4.0,5.0,5.0,4.0
Italy,1908,Helm,5.0,5.0,4.0,5.0
Italy,1908,Lore,6.0,5.0,4.0,6.0
Italy,1908,Shield,6.0,6.0,3.0,5.0
Italy,1908,Stewards,5.0,6.0,4.0,5.0
Italy,1909,Archive,6.0,6.0,3.0,6.0
Italy,1909,Craft,6.0,6.0,4.0,5.0
Italy,1909,Flow,6.0,6.0,4.0,5.0
Italy,1909,Hands,4.0,5.0,5.0,4.0
Italy,1909,Helm,5.0,5.0,4.0,5.0
Italy,1909,Lore,6.0,5.0,4.0,6.0
Italy,1909,Shield,6.0,6.0,3.0,5.0
Italy,1909,Stewards,5.0,6.0,4.0,5.0
Italy,1910,Archive,6.0,6.0,3.0,6.0
Italy,1910,Craft,6.0,6.0,4.0,5.0
Italy,1910,Flow,6.0,6.0,4.0,5.0
Italy,1910,Hands,4.0,5.0,5.0,4.0
Italy,1910,Helm,5.0,5.0,4.0,5.0
Italy,1910,Lore,6.0,5.0,4.0,6.0
Italy,1910,Shield,6.0,6.0,3.0,5.0
Italy,1910,Stewards,5.0,6.0,4.0,5.0
Italy,1911,Archive,6.0,6.0,3.0,6.0
Italy,1911,Craft,6.0,6.0,4.0,5.0
Italy,1911,Flow,6.0,6.0,4.0,5.0
Italy,1911,Hands,4.0,5.0,5.0,4.0
Italy,1911,Helm,5.0,5.0,4.0,5.0
Italy,1911,Lore,6.0,5.0,4.0,6.0
Italy,1911,Shield,6.0,6.0,3.0,5.0
Italy,1911,Stewards,5.0,6.0,4.0,5.0
Italy,1912,Archive,6.0,6.0,3.0,6.0
Italy,1912,Craft,6.0,6.0,4.0,5.0
Italy,1912,Flow,6.0,6.0,4.0,5.0
