Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Japan,1875,Helm,6.0,4.8,4.0,7.0,10.3,20.06
Japan,1875,Shield,5.0,4.0,5.0,5.0,6.5,15.623
Japan,1875,Lore,5.0,4.0,5.0,7.0,7.5,17.767
Japan,1875,Stewards,5.0,5.0,4.0,5.0,8.5,16.307
Japan,1875,Craft,4.0,3.0,5.0,4.0,4.0,12.845
Japan,1875,Hands,5.0,5.0,5.0,3.0,6.5,13.202
Japan,1875,Archive,5.0,4.2,4.0,6.0,8.2,17.45
Japan,1875,Flow,4.0,4.0,5.0,5.0,5.5,14.021
Japan,1876,Helm,6.0,4.8,4.0,7.0,10.3,20.06
Japan,1876,Shield,5.0,4.0,5.0,5.0,6.5,15.623
Japan,1876,Lore,5.0,4.0,5.0,7.0,7.5,17.767
Japan,1876,Stewards,5.0,5.0,4.0,5.0,8.5,16.307
Japan,1876,Craft,4.0,3.0,5.0,4.0,4.0,12.845
Japan,1876,Hands,5.0,5.0,5.0,3.0,6.5,13.202
Japan,1876,Archive,5.0,4.2,4.0,6.0,8.2,17.45
Japan,1876,Flow,4.0,4.0,5.0,5.0,5.5,14.021
Japan,1877,Helm,6.0,4.8,6.0,7.0,8.3,17.512
Japan,1877,Shield,5.0,5.0,7.0,5.0,5.5,13.596
Japan,1877,Lore,5.0,4.0,5.0,7.0,7.5,16.833
Japan,1877,Stewards,5.0,5.0,5.0,5.0,7.5,14.82
Japan,1877,Craft,4.0,3.0,5.0,4.0,4.0,12.202
Japan,1877,Hands,5.0,5.0,6.0,3.0,5.5,11.993
Japan,1877,Archive,5.0,4.2,5.0,6.0,7.2,15.861
Japan,1877,Flow,4.0,4.0,5.0,5.0,5.5,13.313
Japan,1878,Helm,6.0,4.8,4.0,7.0,10.3,20.518
Japan,1878,Shield,5.0,5.0,4.0,5.0,8.5,16.662
Japan,1878,Lore,5.0,5.0,4.0,7.0,9.5,18.934
Japan,1878,Stewards,5.0,5.0,4.0,5.0,8.5,16.662
Japan,1878,Craft,4.0,4.0,5.0,4.0,5.0,13.115
Japan,1878,Hands,5.0,5.0,5.0,3.0,6.5,13.48
Japan,1878,Archive,5.0,4.2,4.0,6.0,8.2,17.837
Japan,1878,Flow,4.0,4.0,4.0,5.0,6.5,14.964
Japan,1879,Helm,6.0,4.8,4.0,7.0,10.3,20.518
Japan,1879,Shield,5.0,5.0,4.0,5.0,8.5,16.662
Japan,1879,Lore,5.0,5.0,4.0,7.0,9.5,18.934
Japan,1879,Stewards,5.0,5.0,4.0,5.0,8.5,16.662
Japan,1879,Craft,4.0,4.0,5.0,4.0,5.0,13.115
Japan,1879,Hands,5.0,5.0,5.0,3.0,6.5,13.48
Japan,1879,Archive,5.0,4.2,4.0,6.0,8.2,17.837
Japan,1879,Flow,4.0,4.0,4.0,5.0,6.5,14.964
Japan,1880,Helm,6.0,4.8,4.0,7.0,10.3,20.518
Japan,1880,Shield,5.0,5.0,4.0,5.0,8.5,16.662
Japan,1880,Lore,5.0,5.0,4.0,7.0,9.5,18.934
Japan,1880,Stewards,5.0,5.0,4.0,5.0,8.5,16.662
Japan,1880,Craft,4.0,4.0,5.0,4.0,5.0,13.115
Japan,1880,Hands,5.0,5.0,5.0,3.0,6.5,13.48
Japan,1880,Archive,5.0,4.2,4.0,6.0,8.2,17.837
Japan,1880,Flow,4.0,4.0,4.0,5.0,6.5,14.964
Japan,1881,Helm,6.0,4.8,5.0,7.0,9.3,19.517
Japan,1881,Shield,5.0,5.0,4.0,5.0,8.5,16.513
Japan,1881,Lore,5.0,5.0,4.0,7.0,9.5,18.759
Japan,1881,Stewards,5.0,5.0,4.0,5.0,8.5,16.513
Japan,1881,Craft,4.0,4.0,5.0,4.0,5.0,13.001
Japan,1881,Hands,5.0,5.0,5.0,3.0,6.5,13.362
Japan,1881,Archive,5.0,4.2,4.0,6.0,8.2,17.674
Japan,1881,Flow,4.0,4.0,4.0,5.0,6.5,14.831
Japan,1882,Helm,7.0,5.8,5.0,8.0,11.8,24.953
Japan,1882,Shield,6.0,5.0,4.0,6.0,10.0,21.854
Japan,1882,Lore,6.2,5.0,4.0,8.0,11.2,24.589
Japan,1882,Stewards,5.0,5.0,5.0,5.0,7.5,17.89
Japan,1882,Craft,4.0,4.0,5.0,4.0,5.0,14.658
Japan,1882,Hands,5.0,5.0,5.0,3.0,6.5,15.163
Japan,1882,Archive,6.2,5.2,4.0,7.0,10.9,23.438
Japan,1882,Flow,5.0,5.0,4.0,5.0,8.5,18.69
Japan,1883,Helm,7.0,5.8,5.0,8.0,11.8,24.953
Japan,1883,Shield,6.0,5.0,4.0,6.0,10.0,21.854
Japan,1883,Lore,6.2,5.0,4.0,8.0,11.2,24.589
Japan,1883,Stewards,5.0,5.0,5.0,5.0,7.5,17.89
Japan,1883,Craft,4.0,4.0,5.0,4.0,5.0,14.658
Japan,1883,Hands,5.0,5.0,5.0,3.0,6.5,15.163
Japan,1883,Archive,6.2,5.2,4.0,7.0,10.9,23.438
Japan,1883,Flow,5.0,5.0,4.0,5.0,8.5,18.69
Japan,1884,Helm,7.0,5.8,5.0,8.0,11.8,24.953
Japan,1884,Shield,6.0,5.0,4.0,6.0,10.0,21.854
Japan,1884,Lore,6.2,5.0,4.0,8.0,11.2,24.589
Japan,1884,Stewards,5.0,5.0,5.0,5.0,7.5,17.89
Japan,1884,Craft,4.0,4.0,5.0,4.0,5.0,14.658
Japan,1884,Hands,5.0,5.0,5.0,3.0,6.5,15.163
Japan,1884,Archive,6.2,5.2,4.0,7.0,10.9,23.438
Japan,1884,Flow,5.0,5.0,4.0,5.0,8.5,18.69
Japan,1885,Helm,7.0,5.8,4.0,8.0,12.8,26.232
Japan,1885,Shield,6.0,5.0,4.0,6.0,10.0,22.061
Japan,1885,Lore,6.2,5.0,4.0,8.0,11.2,24.83
Japan,1885,Stewards,5.0,5.0,5.0,5.0,7.5,18.054
Japan,1885,Craft,4.0,4.0,5.0,4.0,5.0,14.79
Japan,1885,Hands,5.0,5.0,5.0,3.0,6.5,15.299
Japan,1885,Archive,6.2,5.2,4.0,7.0,10.9,23.665
Japan,1885,Flow,5.0,5.0,4.0,5.0,8.5,18.863
Japan,1886,Helm,7.0,6.0,4.0,8.0,13.0,26.232
Japan,1886,Shield,6.0,5.0,4.0,6.0,10.0,22.061
Japan,1886,Lore,6.2,5.0,4.0,8.0,11.2,24.83
Japan,1886,Stewards,5.0,5.0,5.0,5.0,7.5,18.054
Japan,1886,Craft,4.0,4.0,5.0,4.0,5.0,14.79
Japan,1886,Hands,5.0,5.0,5.0,3.0,6.5,15.299
Japan,1886,Archive,6.2,5.2,4.0,7.0,10.9,23.665
Japan,1886,Flow,5.0,5.0,4.0,5.0,8.5,18.863
Japan,1887,Helm,7.0,6.0,4.0,8.0,13.0,26.232
Japan,1887,Shield,6.0,5.0,4.0,6.0,10.0,22.061
Japan,1887,Lore,6.2,5.0,4.0,8.0,11.2,24.83
Japan,1887,Stewards,5.0,5.0,5.0,5.0,7.5,18.054
Japan,1887,Craft,4.0,4.0,5.0,4.0,5.0,14.79
Japan,1887,Hands,5.0,5.0,5.0,3.0,6.5,15.299
Japan,1887,Archive,6.2,5.2,4.0,7.0,10.9,23.665
Japan,1887,Flow,5.0,5.0,4.0,5.0,8.5,18.863
Japan,1888,Helm,7.0,6.0,4.0,8.0,13.0,26.232
Japan,1888,Shield,6.0,5.0,4.0,6.0,10.0,22.061
Japan,1888,Lore,6.2,5.0,4.0,8.0,11.2,24.83
Japan,1888,Stewards,5.0,5.0,5.0,5.0,7.5,18.054
Japan,1888,Craft,4.0,4.0,5.0,4.0,5.0,14.79
Japan,1888,Hands,5.0,5.0,5.0,3.0,6.5,15.299
Japan,1888,Archive,6.2,5.2,4.0,7.0,10.9,23.665
Japan,1888,Flow,5.0,5.0,4.0,5.0,8.5,18.863
Japan,1889,Helm,7.0,6.0,4.0,8.0,13.0,26.232
Japan,1889,Shield,6.0,5.0,4.0,6.0,10.0,22.061
Japan,1889,Lore,6.2,5.0,4.0,8.0,11.2,24.83
Japan,1889,Stewards,5.0,5.0,5.0,5.0,7.5,18.054
Japan,1889,Craft,4.0,4.0,5.0,4.0,5.0,14.79
Japan,1889,Hands,5.0,5.0,5.0,3.0,6.5,15.299
Japan,1889,Archive,6.2,5.2,4.0,7.0,10.9,23.665
Japan,1889,Flow,5.0,5.0,4.0,5.0,8.5,18.863
Japan,1890,Helm,7.0,6.0,5.0,8.0,12.0,27.166
Japan,1890,Shield,6.0,6.0,4.0,6.0,11.0,23.703
Japan,1890,Lore,6.2,6.0,4.0,8.0,12.2,26.803
Japan,1890,Stewards,6.0,6.0,4.0,6.0,11.0,23.703
Japan,1890,Craft,5.0,5.2,4.0,5.0,8.7,20.232
Japan,1890,Hands,5.0,5.0,5.0,4.0,7.0,17.867
Japan,1890,Archive,6.2,6.2,4.0,7.0,11.9,25.484
Japan,1890,Flow,5.0,5.2,4.0,6.0,9.2,21.703
Japan,1891,Helm,7.0,6.0,5.0,8.0,12.0,27.166
Japan,1891,Shield,6.0,6.0,4.0,6.0,11.0,23.703
Japan,1891,Lore,6.2,6.0,4.0,8.0,12.2,26.803
Japan,1891,Stewards,6.0,6.0,4.0,6.0,11.0,23.703
Japan,1891,Craft,5.0,5.2,4.0,5.0,8.7,20.232
Japan,1891,Hands,5.0,5.0,5.0,4.0,7.0,17.867
Japan,1891,Archive,6.2,6.2,4.0,7.0,11.9,25.484
Japan,1891,Flow,5.0,5.2,4.0,6.0,9.2,21.703
Japan,1892,Helm,7.0,6.0,5.0,8.0,12.0,27.166
Japan,1892,Shield,6.0,6.0,4.0,6.0,11.0,23.703
Japan,1892,Lore,6.2,6.0,4.0,8.0,12.2,26.803
Japan,1892,Stewards,6.0,6.0,4.0,6.0,11.0,23.703
Japan,1892,Craft,5.0,5.2,4.0,5.0,8.7,20.232
Japan,1892,Hands,5.0,5.0,5.0,4.0,7.0,17.867
