Society,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max
Japan,1875,Helm,0.0,0.0,0.447,0.0,1.0,11.5,12.5
Japan,1875,Shield,0.0,0.0,0.447,0.0,1.0,5.5,6.5
Japan,1875,Lore,0.0,0.0,0.447,0.0,1.0,8.5,9.5
Japan,1875,Stewards,0.447,0.447,0.447,0.447,1.0,6.5,7.5
Japan,1875,Craft,0.447,0.447,0.447,0.447,1.0,6.5,7.5
Japan,1875,Hands,0.0,0.0,0.447,0.447,1.0,0.5,1.5
Japan,1875,Archive,0.0,0.447,0.447,0.0,1.0,8.0,9.0
Japan,1875,Flow,0.447,0.0,0.447,0.447,1.0,4.0,5.0
Japan,1880,Helm,0.0,0.0,0.447,0.0,1.0,11.5,12.5
Japan,1880,Shield,0.0,0.0,0.447,0.0,1.0,8.5,9.5
Japan,1880,Lore,0.0,0.0,0.447,0.0,1.0,11.5,12.5
Japan,1880,Stewards,0.447,0.447,0.447,0.447,1.0,7.5,8.5
Japan,1880,Craft,0.447,0.447,0.447,0.447,1.0,7.5,8.5
Japan,1880,Hands,0.0,0.0,0.447,0.447,1.0,0.5,1.5
Japan,1880,Archive,0.0,0.447,0.447,0.0,1.0,10.0,11.0
Japan,1880,Flow,0.447,0.0,0.447,0.447,1.0,5.0,6.0
Japan,1885,Helm,0.447,0.0,0.0,0.0,1.0,14.5,15.5
Japan,1885,Shield,0.0,0.0,0.0,0.0,0.0,11.5,11.5
Japan,1885,Lore,0.447,0.0,0.0,0.0,1.0,12.5,13.5
Japan,1885,Stewards,0.447,0.447,0.0,0.0,1.0,9.5,10.5
Japan,1885,Craft,0.447,0.447,0.0,0.0,1.0,9.5,10.5
Japan,1885,Hands,0.0,0.0,0.0,0.447,0.5,2.0,2.5
Japan,1885,Archive,0.447,0.447,0.0,0.0,2.0,11.5,13.5
Japan,1885,Flow,0.447,0.0,0.0,0.0,1.0,7.0,8.0
Japan,1890,Helm,0.447,0.0,0.0,0.447,1.0,14.5,15.5
Japan,1890,Shield,0.0,0.0,0.0,0.0,0.0,12.0,12.0
Japan,1890,Lore,0.447,0.0,0.0,0.447,1.0,15.0,16.0
Japan,1890,Stewards,0.0,0.0,0.0,0.0,0.0,11.5,11.5
Japan,1890,Craft,0.0,0.0,0.0,0.0,0.0,11.5,11.5
Japan,1890,Hands,0.0,0.0,0.0,0.447,0.5,4.0,4.5
Japan,1890,Archive,0.447,0.0,0.0,0.447,1.0,13.5,14.5
Japan,1890,Flow,0.0,0.0,0.0,0.0,0.0,8.0,8.0
Japan,1895,Helm,0.447,0.0,0.447,0.447,1.0,16.5,17.5
Japan,1895,Shield,0.0,0.0,0.447,0.0,1.0,14.0,15.0
Japan,1895,Lore,0.447,0.0,0.447,0.447,1.0,15.0,16.0
Japan,1895,Stewards,0.0,0.0,0.447,0.0,1.0,11.5,12.5
Japan,1895,Craft,0.0,0.0,0.447,0.0,1.0,11.5,12.5
Japan,1895,Hands,0.0,0.0,0.447,0.447,1.5,4.0,5.5
Japan,1895,Archive,0.447,0.0,0.447,0.447,1.0,14.5,15.5
Japan,1895,Flow,0.0,0.0,0.447,0.0,1.0,11.0,12.0
Japan,1900,Helm,0.447,0.0,0.447,0.447,1.0,14.5,15.5
Japan,1900,Shield,0.0,0.0,0.447,0.0,1.0,14.0,15.0
Japan,1900,Lore,0.447,0.0,0.447,0.447,1.0,15.0,16.0
Japan,1900,Stewards,0.0,0.0,0.447,0.0,1.0,13.5,14.5
Japan,1900,Craft,0.0,0.0,0.447,0.0,1.0,12.5,13.5
Japan,1900,Hands,0.0,0.0,0.447,0.447,1.5,4.5,6.0
Japan,1900,Archive,0.447,0.0,0.447,0.447,1.0,14.5,15.5
Japan,1900,Flow,0.0,0.0,0.447,0.0,1.0,11.5,12.5
Japan,1905,Helm,0.447,0.0,0.447,0.447,1.0,16.5,17.5
Japan,1905,Shield,0.0,0.447,0.447,0.0,1.0,16.5,17.5
Japan,1905,Lore,0.447,0.0,0.447,0.447,1.0,16.0,17.0
Japan,1905,Stewards,0.0,0.0,0.447,0.0,1.0,14.0,15.0
Japan,1905,Craft,0.0,0.0,0.447,0.0,1.0,13.5,14.5
Japan,1905,Hands,0.0,0.0,0.447,0.447,1.5,4.5,6.0
Japan,1905,Archive,0.447,0.0,0.447,0.447,1.0,14.5,15.5
Japan,1905,Flow,0.0,0.0,0.447,0.0,1.0,12.5,13.5
Japan,1910,Helm,0.0,0.0,0.447,0.447,1.5,12.5,14.0
Japan,1910,Shield,0.0,0.0,0.447,0.0,1.0,13.0,14.0
Japan,1910,Lore,0.0,0.0,0.447,0.447,1.5,14.0,15.5
Japan,1910,Stewards,0.0,0.0,0.447,0.0,1.0,13.0,14.0
Japan,1910,Craft,0.0,0.0,0.447,0.0,1.0,12.5,13.5
Japan,1910,Hands,0.0,0.0,0.447,0.447,1.0,1.5,2.5
Japan,1910,Archive,0.0,0.0,0.447,0.447,1.5,11.5,13.0
Japan,1910,Flow,0.0,0.0,0.447,0.0,1.0,12.5,13.5
Japan,1915,Helm,0.0,0.0,0.447,0.0,1.0,11.0,12.0
Japan,1915,Shield,0.0,0.0,0.447,0.0,1.0,13.0,14.0
Japan,1915,Lore,0.0,0.0,0.447,0.0,1.0,11.5,12.5
Japan,1915,Stewards,0.0,0.0,0.447,0.0,1.0,14.0,15.0
Japan,1915,Craft,0.0,0.0,0.447,0.0,1.0,14.0,15.0
Japan,1915,Hands,0.0,0.0,0.447,0.0,1.0,7.0,8.0
Japan,1915,Archive,0.0,0.0,0.447,0.0,1.0,11.5,12.5
Japan,1915,Flow,0.0,0.0,0.447,0.0,1.0,13.5,14.5
Japan,1920,Helm,0.447,0.0,0.447,0.0,1.0,8.0,9.0
Japan,1920,Shield,0.0,0.0,0.447,0.0,1.0,10.0,11.0
Japan,1920,Lore,0.0,0.0,0.447,0.447,1.5,10.5,12.0
Japan,1920,Stewards,0.0,0.0,0.447,0.0,1.0,7.5,8.5
Japan,1920,Craft,0.0,0.0,0.447,0.0,1.0,10.5,11.5
Japan,1920,Hands,0.0,0.0,0.447,0.0,1.0,6.0,7.0
Japan,1920,Archive,0.0,0.0,0.447,0.0,1.0,11.0,12.0
Japan,1920,Flow,0.0,0.0,0.447,0.0,1.0,6.0,7.0
Japan,1925,Helm,0.0,0.0,0.447,0.0,1.0,10.0,11.0
Japan,1925,Shield,0.0,0.0,0.447,0.0,1.0,8.0,9.0
Japan,1925,Lore,0.0,0.0,0.447,0.447,1.5,11.5,13.0
Japan,1925,Stewards,0.0,0.0,0.447,0.0,1.0,9.5,10.5
Japan,1925,Craft,0.0,0.0,0.447,0.0,1.0,12.5,13.5
Japan,1925,Hands,0.0,0.0,0.447,0.0,1.0,7.0,8.0
Japan,1925,Archive,0.0,0.0,0.447,0.0,1.0,11.0,12.0
Japan,1925,Flow,0.0,0.0,0.447,0.0,1.0,7.0,8.0
Japan,1930,Helm,0.447,0.0,0.447,0.0,1.0,5.0,6.0
Japan,1930,Shield,0.0,0.0,0.447,0.0,1.0,8.5,9.5
Japan,1930,Lore,0.0,0.0,0.447,0.0,1.0,9.5,10.5
Japan,1930,Stewards,0.0,0.0,0.447,0.0,1.0,4.5,5.5
Japan,1930,Craft,0.0,0.0,0.447,0.0,1.0,8.5,9.5
Japan,1930,Hands,0.0,0.0,0.447,0.0,1.0,-0.5,0.5
Japan,1930,Archive,0.447,0.0,0.447,0.0,1.0,8.0,9.0
Japan,1930,Flow,0.0,0.0,0.447,0.0,1.0,1.0,2.0
Japan,1935,Helm,0.447,0.0,0.447,0.447,1.5,7.5,9.0
Japan,1935,Shield,0.0,0.447,0.447,0.447,2.0,13.0,15.0
Japan,1935,Lore,0.0,0.0,0.447,0.447,1.5,11.0,12.5
Japan,1935,Stewards,0.0,0.0,0.447,0.0,1.0,10.0,11.0
Japan,1935,Craft,0.0,0.0,0.447,0.0,1.0,12.0,13.0
Japan,1935,Hands,0.0,0.0,0.447,0.0,1.0,3.0,4.0
Japan,1935,Archive,0.447,0.0,0.447,0.447,1.5,7.5,9.0
Japan,1935,Flow,0.0,0.0,0.447,0.0,1.0,6.5,7.5
Japan,1940,Helm,0.447,0.0,0.447,0.447,1.5,7.0,8.5
Japan,1940,Shield,0.0,0.447,0.447,0.447,2.0,12.0,14.0
Japan,1940,Lore,0.0,0.0,0.447,0.447,1.5,9.5,11.0
Japan,1940,Stewards,0.0,0.447,0.447,0.0,1.0,9.0,10.0
Japan,1940,Craft,0.0,0.447,0.447,0.0,1.0,11.0,12.0
Japan,1940,Hands,0.0,0.0,0.447,0.0,1.0,2.0,3.0
Japan,1940,Archive,0.447,0.0,0.447,0.447,1.5,8.0,9.5
Japan,1940,Flow,0.0,0.447,0.447,0.0,1.0,5.5,6.5
Japan,1945,Helm,0.0,0.0,0.0,0.447,0.5,-4.0,-3.5
Japan,1945,Shield,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0
Japan,1945,Lore,0.0,0.0,0.447,0.447,1.0,-3.0,-2.0
Japan,1945,Stewards,0.0,0.0,0.0,0.0,0.0,-6.5,-6.5
Japan,1945,Craft,0.0,0.447,0.447,0.0,1.0,-2.0,-1.0
Japan,1945,Hands,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0
Japan,1945,Archive,0.0,0.0,0.0,0.447,0.5,-5.0,-4.5
Japan,1945,Flow,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0
Japan,1950,Helm,0.0,0.0,0.447,0.447,1.0,7.5,8.5
Japan,1950,Shield,0.0,0.0,0.447,0.0,1.0,3.0,4.0
Japan,1950,Lore,0.0,0.0,0.447,0.447,1.0,7.5,8.5
Japan,1950,Stewards,0.0,0.447,0.447,0.0,1.0,4.0,5.0
Japan,1950,Craft,0.0,0.447,0.447,0.0,1.0,5.0,6.0
Japan,1950,Hands,0.0,0.0,0.447,0.0,1.0,4.0,5.0
Japan,1950,Archive,0.0,0.0,0.447,0.447,1.0,6.5,7.5
Japan,1950,Flow,0.0,0.447,0.447,0.0,1.0,4.0,5.0
Japan,1955,Helm,0.447,0.0,0.447,0.447,1.5,12.0,13.5
Japan,1955,Shield,0.0,0.0,0.447,0.0,1.0,7.0,8.0
Japan,1955,Lore,0.0,0.0,0.447,0.447,1.5,11.0,12.5
Japan,1955,Stewards,0.0,0.0,0.447,0.0,1.0,8.5,9.5
Japan,1955,Craft,0.0,0.0,0.447,0.0,1.0,10.5,11.5
Japan,1955,Hands,0.0,0.0,0.447,0.0,1.0,7.0,8.0
Japan,1955,Archive,0.447,0.0,0.447,0.447,1.5,11.0,12.5
Japan,1955,Flow,0.0,0.0,0.447,0.0,1.0,9.0,10.0
Japan,1960,Helm,0.447,0.0,0.447,0.0,1.0,13.0,14.0
Japan,1960,Shield,0.0,0.0,0.447,0.0,1.0,10.0,11.0
Japan,1960,Lore,0.0,0.0,0.447,0.0,1.0,12.0,13.0
Japan,1960,Stewards,0.0,0.447,0.447,0.447,1.0,14.0,15.0
Japan,1960,Craft,0.0,0.447,0.447,0.447,1.0,13.5,14.5
Japan,1960,Hands,0.0,0.0,0.447,0.447,1.0,10.0,11.0
Japan,1960,Archive,0.447,0.0,0.447,0.0,1.0,14.0,15.0
Japan,1960,Flow,0.0,0.447,0.447,0.0,1.0,12.5,13.5
Japan,1965,Helm,0.447,0.0,0.447,0.0,1.0,16.0,17.0
Japan,1965,Shield,0.0,0.0,0.447,0.0,1.0,10.0,11.0
Japan,1965,Lore,0.0,0.0,0.447,0.0,1.0,13.0,14.0
Japan,1965,Stewards,0.0,0.447,0.447,0.447,1.0,15.0,16.0
Japan,1965,Craft,0.0,0.447,0.447,0.447,1.0,14.5,15.5
Japan,1965,Hands,0.0,0.0,0.447,0.447,1.0,11.0,12.0
Japan,1965,Archive,0.447,0.0,0.447,0.0,1.0,16.0,17.0
Japan,1965,Flow,0.0,0.447,0.447,0.0,1.0,14.5,15.5
Japan,1970,Helm,0.447,0.0,0.447,0.0,1.0,15.0,16.0
Japan,1970,Shield,0.0,0.0,0.447,0.0,1.0,10.0,11.0
Japan,1970,Lore,0.0,0.0,0.447,0.0,1.0,10.0,11.0
Japan,1970,Stewards,0.0,0.447,0.447,0.447,1.0,16.0,17.0
Japan,1970,Craft,0.0,0.447,0.447,0.447,1.0,15.5,16.5
Japan,1970,Hands,0.0,0.0,0.447,0.447,1.0,12.5,13.5
Japan,1970,Archive,0.447,0.0,0.447,0.0,1.0,16.0,17.0
Japan,1970,Flow,0.0,0.447,0.447,0.0,1.0,15.5,16.5
Japan,1975,Helm,0.447,0.0,0.447,0.0,1.0,12.0,13.0
Japan,1975,Shield,0.0,0.0,0.447,0.0,1.0,11.0,12.0
Japan,1975,Lore,0.0,0.0,0.447,0.0,1.0,14.0,15.0
Japan,1975,Stewards,0.0,0.447,0.447,0.447,1.0,13.0,14.0
Japan,1975,Craft,0.0,0.447,0.447,0.447,1.0,16.0,17.0
Japan,1975,Hands,0.0,0.0,0.447,0.447,1.0,11.5,12.5
Japan,1975,Archive,0.447,0.0,0.447,0.0,1.0,15.0,16.0
Japan,1975,Flow,0.0,0.447,0.447,0.0,1.0,13.5,14.5
Japan,1980,Helm,0.0,0.0,0.447,0.0,1.0,15.0,16.0
Japan,1980,Shield,0.0,0.0,0.447,0.0,1.0,11.5,12.5
Japan,1980,Lore,0.0,0.0,0.447,0.0,1.0,15.5,16.5
Japan,1980,Stewards,0.0,0.447,0.447,0.447,1.0,16.0,17.0
Japan,1980,Craft,0.0,0.447,0.447,0.447,1.0,17.0,18.0
Japan,1980,Hands,0.0,0.0,0.447,0.447,1.0,13.5,14.5
Japan,1980,Archive,0.0,0.0,0.447,0.0,1.0,15.0,16.0
Japan,1980,Flow,0.0,0.447,0.447,0.0,1.0,16.5,17.5
Japan,1985,Helm,0.0,0.0,0.447,0.0,1.0,15.5,16.5
Japan,1985,Shield,0.0,0.0,0.447,0.0,1.0,12.5,13.5
Japan,1985,Lore,0.0,0.0,0.447,0.0,1.0,15.5,16.5
Japan,1985,Stewards,0.0,0.447,0.447,0.0,1.0,15.0,16.0
Japan,1985,Craft,0.0,0.447,0.447,0.0,1.0,17.5,18.5
Japan,1985,Hands,0.0,0.0,0.447,0.447,1.0,14.5,15.5
Japan,1985,Archive,0.0,0.0,0.447,0.0,1.0,16.0,17.0
Japan,1985,Flow,0.0,0.447,0.447,0.0,1.0,13.5,14.5
Japan,1990,Helm,0.447,0.0,0.447,0.0,1.0,7.5,8.5
Japan,1990,Shield,0.0,0.0,0.447,0.0,1.0,8.5,9.5
Japan,1990,Lore,0.0,0.0,0.447,0.0,1.0,12.5,13.5
Japan,1990,Stewards,0.0,0.447,0.447,0.0,1.0,6.5,7.5
Japan,1990,Craft,0.0,0.0,0.447,0.0,1.0,13.0,14.0
Japan,1990,Hands,0.0,0.447,0.447,0.0,1.0,13.5,14.5
Japan,1990,Archive,0.0,0.0,0.447,0.0,1.0,8.5,9.5
Japan,1990,Flow,0.0,0.447,0.447,0.0,1.0,10.5,11.5
Japan,1995,Helm,0.447,0.0,0.447,0.0,1.0,3.5,4.5
Japan,1995,Shield,0.0,0.0,0.447,0.0,1.0,9.5,10.5
Japan,1995,Lore,0.0,0.0,0.447,0.0,1.0,9.0,10.0
Japan,1995,Stewards,0.0,0.447,0.447,0.0,1.0,2.5,3.5
Japan,1995,Craft,0.0,0.0,0.447,0.0,1.0,11.0,12.0
Japan,1995,Hands,0.0,0.447,0.447,0.0,1.0,6.0,7.0
Japan,1995,Archive,0.0,0.0,0.447,0.0,1.0,5.5,6.5
Japan,1995,Flow,0.0,0.447,0.447,0.0,1.0,4.0,5.0
Japan,2000,Helm,0.447,0.0,0.447,0.0,1.0,6.5,7.5
Japan,2000,Shield,0.0,0.0,0.447,0.0,1.0,9.5,10.5
Japan,2000,Lore,0.0,0.0,0.447,0.0,1.0,9.0,10.0
Japan,2000,Stewards,0.0,0.447,0.447,0.0,1.0,6.5,7.5
Japan,2000,Craft,0.0,0.0,0.447,0.0,1.0,11.0,12.0
Japan,2000,Hands,0.0,0.447,0.447,0.0,1.0,4.0,5.0
Japan,2000,Archive,0.0,0.0,0.447,0.0,1.0,8.5,9.5
Japan,2000,Flow,0.0,0.447,0.447,0.0,1.0,6.5,7.5
Japan,2005,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0
Japan,2005,Shield,0.0,0.0,0.0,0.0,0.0,13.5,13.5
Japan,2005,Lore,0.0,0.0,0.0,0.0,0.0,12.0,12.0
Japan,2005,Stewards,0.0,0.0,0.0,0.0,0.0,9.5,9.5
Japan,2005,Craft,0.0,0.0,0.0,0.0,0.0,14.0,14.0
Japan,2005,Hands,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Japan,2005,Archive,0.0,0.0,0.0,0.0,0.0,11.5,11.5
Japan,2005,Flow,0.0,0.0,0.0,0.0,0.0,10.5,10.5
Japan,2010,Helm,0.447,0.0,0.447,0.0,1.0,4.5,5.5
Japan,2010,Shield,0.0,0.0,0.447,0.0,1.0,11.0,12.0
Japan,2010,Lore,0.0,0.0,0.447,0.0,1.0,9.0,10.0
Japan,2010,Stewards,0.0,0.0,0.447,0.0,1.0,6.5,7.5
Japan,2010,Craft,0.0,0.0,0.447,0.0,1.0,11.0,12.0
Japan,2010,Hands,0.0,0.0,0.447,0.0,1.0,3.0,4.0
Japan,2010,Archive,0.0,0.0,0.447,0.0,1.0,5.5,6.5
Japan,2010,Flow,0.0,0.0,0.447,0.0,1.0,7.5,8.5
Japan,2015,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0
Japan,2015,Shield,0.0,0.447,0.0,0.447,1.0,13.5,14.5
Japan,2015,Lore,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Japan,2015,Stewards,0.0,0.0,0.0,0.0,0.0,11.5,11.5
Japan,2015,Craft,0.0,0.0,0.0,0.0,0.0,13.0,13.0
Japan,2015,Hands,0.0,0.0,0.0,0.0,0.0,8.0,8.0
Japan,2015,Archive,0.0,0.0,0.0,0.0,0.0,12.0,12.0
Japan,2015,Flow,0.0,0.0,0.0,0.0,0.0,11.5,11.5
Japan,2020,Helm,0.0,0.0,0.447,0.0,1.0,6.5,7.5
Japan,2020,Shield,0.0,0.447,0.447,0.447,2.0,11.5,13.5
Japan,2020,Lore,0.0,0.0,0.447,0.0,1.0,7.0,8.0
Japan,2020,Stewards,0.0,0.0,0.447,0.0,1.0,6.5,7.5
Japan,2020,Craft,0.0,0.0,0.447,0.0,1.0,10.0,11.0
Japan,2020,Hands,0.0,0.0,0.447,0.0,1.0,3.0,4.0
Japan,2020,Archive,0.0,0.0,0.447,0.0,1.0,6.5,7.5
Japan,2020,Flow,0.0,0.0,0.447,0.0,1.0,6.5,7.5
Japan,2026,Helm,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Japan,2026,Shield,0.0,0.447,0.0,0.447,1.0,14.0,15.0
Japan,2026,Lore,0.0,0.0,0.0,0.0,0.0,8.0,8.0
Japan,2026,Stewards,0.0,0.0,0.0,0.0,0.0,7.5,7.5
Japan,2026,Craft,0.0,0.0,0.0,0.0,0.0,11.0,11.0
Japan,2026,Hands,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Japan,2026,Archive,0.0,0.0,0.0,0.0,0.0,8.5,8.5
Japan,2026,Flow,0.0,0.0,0.0,0.0,0.0,10.5,10.5
